;0,001407312;0,8514076;2,088669;-0,01049498;0,2397572;1,978487;-0,01424514;0,2975453;2,043747;-0,02714987;0,6676051;2,069257;-0,2102846;0,548223;2,042904;-0,2981907;0,2593734;2,001605;-0,2907124;0,03294076;1,909522;-0,2833985;-0,04805528;1,887276;0,1519291;0,5550539;2,067264;0,2202793;0,2627828;2,008796;0,2309176;0,03138699;1,913834;0,2117471;-0,04223763;1,887846;-0,09142499;0,1646338;1,949686;-0,07555033;-0,3847959;2,00571;-0,06033446;-0,7311268;2,005083;-0,05348203;-0,7649207;1,908942;0,07093669;0,1577427;1,965962;0,08941457;-0,3937793;1,970957;0,117688;-0,7338163;1,986217;0,1245404;-0,7676101;1,890077; 
-0,0009188429;0,8519307;2,087797;-0,01222949;0,2382529;1,976909;-0,0163445;0,2963173;2,042144;-0,02786299;0,6677918;2,069463;-0,2104743;0,5481726;2,043075;-0,2989773;0,2598135;2,002305;-0,298496;0,03633587;1,901359;-0,2942616;-0,04002526;1,872751;0,1500806;0,5552498;2,066123;0,2191575;0,2620619;2,007801;0,2302653;0,02951226;1,913355;0,2173891;-0,07338839;1,888517;-0,09219497;0,1625724;1,948585;-0,07615118;-0,3865702;2,005089;-0,0605372;-0,7311012;2,005182;-0,05400462;-0,7648686;1,90896;0,0696564;0,1573741;1,964426;0,08891547;-0,3940756;1,970365;0,1176231;-0,7337238;1,986127;0,1241557;-0,7674913;1,889905; 
-0,008477081;0,8527883;2,085184;-0,01320561;0,2376968;1,976162;-0,01739538;0,2958618;2,041425;-0,02825131;0,6679256;2,069778;-0,2115374;0,5478148;2,043706;-0,3012945;0,276274;2,009372;-0,3048412;0,05158119;1,898894;-0,2972423;-0,03440456;1,866203;0,1481445;0,5553034;2,06567;0,2179331;0,2617443;2,007236;0,2297048;0,02868594;1,91323;0,2153543;-0,07456344;1,890016;-0,09289028;0,1615854;1,947861;-0,07707183;-0,3872223;2,004451;-0,06063744;-0,731141;2,005189;-0,05439177;-0,7648981;1,908895;0,06897274;0,1573047;1,963683;0,08824211;-0,3945634;1,969804;0,1169451;-0,7341329;1,986343;0,1376178;-0,814716;1,961244; 
-0,007341776;0,8537424;2,084264;-0,01403637;0,2371163;1,975602;-0,01839822;0,2953994;2,040962;-0,03021842;0,6694012;2,071359;-0,21244;0,5474982;2,044376;-0,3032949;0,2783711;2,011273;-0,3062271;0,05145191;1,897205;-0,2967401;-0,03401609;1,864038;0,1470337;0,5552053;2,065664;0,2171346;0,2601309;2,006425;0,2288267;0,0274187;1,913264;0,2146123;-0,07602134;1,890092;-0,09340225;0,1605223;1,947208;-0,07769357;-0,388377;2,003983;-0,06104322;-0,7312887;2,005063;-0,05498039;-0,7650062;1,908695;0,0684793;0,1571957;1,963117;0,08731977;-0,3946981;1,96946;0,1167401;-0,7341405;1,986292;0,1373556;-0,8148422;1,961394; 
-0,01036308;0,8540498;2,0834;-0,01571924;0,2358977;1,974853;-0,02003341;0,294405;2,040418;-0,03107984;0,6695029;2,072209;-0,2137579;0,5470489;2,045304;-0,3058884;0,2827142;2,013879;-0,3067515;0,05149535;1,896319;-0,2954543;-0,03310126;1,864357;0,1454857;0,5551007;2,0659;0,2153246;0,2595187;2,005996;0,2273485;0,02585668;1,913165;0,2132735;-0,07768604;1,889707;-0,09493165;0,1587058;1,946897;-0,078051;-0,3890174;2,003603;-0,06130743;-0,7309349;2,005136;-0,05543944;-0,7646323;1,908695;0,06694012;0,1566726;1,96161;0,08669308;-0,3950532;1,969037;0,1164672;-0,7344602;1,986171;0,1374963;-0,8151243;1,961346; 
-0,01600632;0,8542847;2,081242;-0,01761421;0,2348172;1,974444;-0,02229691;0,2933452;2,040182;-0,03440678;0,6700599;2,074464;-0,2151469;0,5464543;2,046151;-0,308208;0,2864922;2,015122;-0,3066845;0,05153348;1,896355;-0,2922935;-0,03263856;1,867157;0,1434077;0,5554832;2,066925;0,213667;0,2591741;2,006059;0,2262709;0,02533704;1,913126;0,2147481;-0,07876562;1,89032;-0,09633372;0,1573161;1,94675;-0,07866023;-0,3900235;2,003299;-0,06154043;-0,7310213;2,004796;-0,05568397;-0,7646644;1,908278;0,06539933;0,1562747;1,960689;0,08604071;-0,3953733;1,968642;0,1157152;-0,7350858;1,9862;0,1379769;-0,8154603;1,961349; 
-0,0200418;0,8527317;2,077752;-0,01910199;0,2338487;1,974515;-0,0238337;0,2922826;2,040327;-0,03523745;0,6688899;2,075388;-0,217158;0,5450853;2,047342;-0,3094355;0,2885279;2,015524;-0,3057986;0,05241347;1,899236;-0,2893696;-0,02911292;1,87904;0,1418205;0,5551044;2,068336;0,2122119;0,2591233;2,006634;0,2251834;0,02472341;1,913307;0,2151133;-0,07948199;1,89008;-0,09780937;0,1559395;1,946936;-0,07923747;-0,3905823;2,003049;-0,0626066;-0,7299584;2,004545;-0,05676552;-0,7635934;1,907965;0,0639792;0,1555865;1,96039;0,08549003;-0,3957911;1,96831;0,1154097;-0,7353173;1,986176;0,1373443;-0,8160427;1,962018; 
-0,02053417;0,8511183;2,076428;-0,02051768;0,2332143;1,974701;-0,02574266;0,2914143;2,04064;-0,03912055;0,6681797;2,077557;-0,2200638;0,543923;2,049067;-0,3102272;0,2895656;2,016546;-0,3040171;0,06484635;1,910971;-0,2969343;-0,01208921;1,893714;0,1397262;0,5554253;2,070611;0,2109554;0,2593793;2,007568;0,2234956;0,02411339;1,913156;0,2180256;-0,06899868;1,892158;-0,09883061;0,1549862;1,947086;-0,07949669;-0,3909693;2,002901;-0,06317249;-0,7300297;2,00445;-0,05730779;-0,7636168;1,907811;0,06301383;0,1552428;1,960271;0,08487319;-0,3958478;1,967953;0,115236;-0,7356174;1,986088;0,1211007;-0,7692045;1,889448; 
-0,02428795;0,846622;2,070993;-0,02220441;0,2326008;1,974896;-0,02779897;0,2902957;2,040947;-0,04154461;0,6652701;2,079468;-0,2219055;0,5429202;2,050377;-0,3110118;0,2883823;2,01719;-0,3037774;0,06497326;1,915183;-0,2980226;-0,01101468;1,894078;0,1379313;0,5550647;2,073118;0,2087029;0,2590114;2,008912;0,2219528;0,02347846;1,913286;0,2172934;-0,06979604;1,892199;-0,1004092;0,1540395;1,947329;-0,07991616;-0,3915764;2,00278;-0,06329983;-0,7301057;2,004423;-0,05718177;-0,7636366;1,90774;0,06160209;0,1549468;1,959918;0,0840454;-0,3960187;1,967694;0,1150899;-0,7357299;1,986037;0,121208;-0,7692608;1,889354; 
-0,03386249;0,8402696;2,061459;-0,02408433;0,2317562;1,975262;-0,0305351;0,2888463;2,041478;-0,04893651;0,6623942;2,082062;-0,2248294;0,5410912;2,052414;-0,3120034;0,2873346;2,018302;-0,3033874;0,06246291;1,92017;-0,3010086;-0,01271794;1,896123;0,1360346;0,5544817;2,075873;0,2073596;0,2595483;2,010629;0,2207716;0,02326884;1,913791;0,2179857;-0,06597745;1,893984;-0,1015079;0,1529506;1,947462;-0,08051617;-0,3920671;2,002795;-0,06329784;-0,7301198;2,004438;-0,05695856;-0,7632455;1,90759;0,06041218;0,1544565;1,959945;0,08322295;-0,3959755;1,967381;0,1148956;-0,7360052;1,985968;0,1212349;-0,769131;1,889121; 
-0,03679157;0,8366227;2,059062;-0,02551664;0,231183;1,97554;-0,03246099;0,287812;2,041872;-0,05144471;0,6599356;2,08351;-0,2270237;0,5396092;2,053779;-0,3133302;0,2852845;2,020283;-0,3056945;0,05812512;1,928382;-0,3055743;-0,0156595;1,900388;0,1346128;0,5546774;2,079131;0,2052241;0,25986;2,012741;0,2192827;0,02224072;1,914708;0,2118574;-0,07911643;1,892277;-0,1026702;0,151966;1,947479;-0,08081206;-0,3924329;2,002964;-0,06357238;-0,7305342;2,00424;-0,05689223;-0,7636204;1,907368;0,05937096;0,1540821;1,95991;0,08221731;-0,3960781;1,967214;0,1149277;-0,7364331;1,986022;0,1216078;-0,7695194;1,889151; 
