;0,04331206;0,6897587;2,391717;-0,01360772;0,09546214;2,310138;-0,01641137;0,1552421;2,369626;0,005661679;0,5136332;2,379923;-0,2087383;0,4155124;2,395978;-0,4971534;0,4249356;2,330857;-0,7138524;0,4884076;2,263101;-0,7860854;0,5095649;2,245198;0,1815907;0,3916593;2,436915;0,2112578;0,1276174;2,394126;0,2220824;-0,0910776;2,303091;0,2173413;-0,1493213;2,291079;-0,1036461;0,01357788;2,281587;-0,1470929;-0,4826689;2,309269;-0,1574592;-0,8311206;2,268596;-0,1817148;-0,8907198;2,235264;0,06928194;0,003504921;2,304482;0,07975665;-0,4929515;2,312505;0,09906742;-0,8376874;2,277059;0,1482016;-0,8858803;2,232481; 
0,04268997;0,6904358;2,391845;-0,01320379;0,0956267;2,310469;-0,01618886;0,1553881;2,369901;0,005457883;0,5137205;2,380124;-0,2087441;0,4153538;2,395893;-0,4970942;0,4229802;2,330272;-0,7139245;0,4858209;2,262024;-0,7862013;0,5067679;2,243956;0,1805971;0,3928382;2,437277;0,2113506;0,127913;2,394735;0,2234414;-0,09130235;2,305186;0,2176796;-0,14737;2,291934;-0,1029008;0,0138738;2,281649;-0,1466687;-0,4827363;2,308936;-0,1573622;-0,8309949;2,268529;-0,1813513;-0,8910306;2,235337;0,06981;0,003847556;2,305311;0,08038038;-0,4932805;2,312168;0,09926398;-0,8376389;2,276947;0,148147;-0,8859028;2,232752; 
0,04250823;0,6901482;2,391691;-0,01254862;0,09526491;2,310722;-0,01590272;0,1552152;2,369999;0,004136807;0,5130554;2,379271;-0,2091923;0,4148985;2,395578;-0,4971164;0,4223134;2,329784;-0,7132044;0,4876797;2,261332;-0,8121591;0,5159671;2,238116;0,1803954;0,392464;2,437128;0,2119359;0,129175;2,396084;0,2241173;-0,09000182;2,306276;0,2174229;-0,153442;2,293051;-0,1018691;0,01307606;2,281832;-0,1459045;-0,4838733;2,308471;-0,1583813;-0,832021;2,268547;-0,1815485;-0,8923189;2,234805;0,07137299;0,00333986;2,30619;0,08085123;-0,4932254;2,311531;0,09917531;-0,8376663;2,276988;0,1485667;-0,8858435;2,232559; 
0,04190951;0,6901371;2,391973;-0,0123586;0,09590442;2,312057;-0,01576271;0,1556342;2,371154;0,003498662;0,5126318;2,379996;-0,2104819;0,4150014;2,396326;-0,4975415;0,4211033;2,329159;-0,7136151;0,4865499;2,260512;-0,8128814;0,5145827;2,237651;0,1798058;0,3933847;2,437452;0,2116627;0,1289886;2,396369;0,2244072;-0,09024207;2,306643;0,2169973;-0,1550781;2,293068;-0,1017352;0,01360401;2,28372;-0,1456044;-0,4831872;2,309324;-0,1574357;-0,8318056;2,27016;-0,1809663;-0,8916308;2,235413;0,07167333;0,003885163;2,306937;0,08139122;-0,4929183;2,311117;0,09935738;-0,8375661;2,276883;0,1484398;-0,8857033;2,232523; 
0,04139879;0,6901194;2,391527;-0,0124621;0,09604742;2,312686;-0,01588297;0,1556875;2,371815;0,001857882;0,5126248;2,380935;-0,2113936;0,4152069;2,396791;-0,4976687;0,4201542;2,328282;-0,7144505;0,4829279;2,259056;-0,8136775;0,5119229;2,236576;0,17743;0,3950606;2,437073;0,2114763;0,1290441;2,396941;0,224459;-0,09012894;2,30691;0,2170093;-0,1553114;2,292956;-0,1016867;0,01378528;2,284361;-0,1453095;-0,4832522;2,310032;-0,1569075;-0,8327085;2,270896;-0,1819217;-0,8926278;2,236956;0,07163648;0,004221221;2,307548;0,081643;-0,4929318;2,310713;0,09936545;-0,8375534;2,276872;0,1469624;-0,8856628;2,23383; 
0,04109404;0,6900574;2,391003;-0,01264504;0,09571498;2,313065;-0,01614038;0,155389;2,372168;0,0009030891;0,5123587;2,381084;-0,2121782;0,4148272;2,396781;-0,4981329;0,4187663;2,326795;-0,7145603;0,4833216;2,257791;-0,8139613;0,5127859;2,236107;0,1771341;0,3943239;2,436972;0,2105953;0,1192071;2,396458;0,2262465;-0,09911479;2,304191;0,2170158;-0,1557379;2,293037;-0,1020204;0,01331986;2,285372;-0,1451423;-0,4834673;2,310632;-0,1567811;-0,8326631;2,271536;-0,1824068;-0,892575;2,237632;0,07162873;0,003923037;2,307613;0,0822773;-0,4934565;2,310122;0,09926522;-0,838237;2,277182;0,1479687;-0,8865401;2,234494; 
0,04067968;0,6900073;2,389944;-0,01261334;0,09586759;2,313397;-0,01622592;0,155485;2,372413;0,0003091092;0,5120914;2,381139;-0,212397;0,4147723;2,39679;-0,4984146;0,4180642;2,32578;-0,7145783;0,4824726;2,255184;-0,813256;0,5140004;2,232629;0,1769816;0,3950828;2,437484;0,2099371;0,1216286;2,39748;0,2266334;-0,0968981;2,305718;0,2169932;-0,1557646;2,293091;-0,1019321;0,01345453;2,285681;-0,1448647;-0,4836487;2,311084;-0,1571282;-0,8342164;2,272468;-0,1830458;-0,8934296;2,237188;0,07175614;0,004058605;2,307958;0,08251802;-0,4933132;2,309664;0,09940452;-0,8382691;2,277144;0,1479567;-0,8862419;2,233727; 
0,04032223;0,6902229;2,389406;-0,01267064;0,09583479;2,313566;-0,01613148;0,1554353;2,372598;-2,899554E-05;0,5119793;2,381231;-0,2128713;0,4148253;2,396802;-0,4976191;0,4168118;2,324227;-0,7137479;0,4816878;2,253665;-0,8126493;0,5131729;2,231533;0,1748499;0,3961249;2,436038;0,2099258;0,1224592;2,397857;0,2267766;-0,09621579;2,30628;0,2167892;-0,1579479;2,293217;-0,1018806;0,01345875;2,285898;-0,1448482;-0,483804;2,311258;-0,1574402;-0,8346726;2,273107;-0,1826851;-0,8947588;2,238452;0,071637;0,004160449;2,308124;0,08272702;-0,4931924;2,30932;0,09934197;-0,8378154;2,276699;0,1464909;-0,8860514;2,234493; 
0,04003279;0,6905527;2,388554;-0,01272802;0,09568903;2,313647;-0,01622723;0,1553532;2,372654;-0,0005681156;0,512066;2,38109;-0,2132136;0,4144187;2,396497;-0,4975118;0,4166917;2,32305;-0,7139681;0,4784908;2,250029;-0,8132451;0,5077702;2,22596;0,1745323;0,3962176;2,43584;0,2101056;0,1242416;2,398733;0,2266173;-0,09446328;2,306936;0,2165815;-0,1588312;2,293108;-0,1019114;0,01327811;2,286173;-0,1447722;-0,4837657;2,31137;-0,1575246;-0,8358437;2,273288;-0,1828393;-0,8957303;2,237975;0,07163488;0,004141713;2,308115;0,08298018;-0,493386;2,308696;0,09935071;-0,8380021;2,276672;0,1481753;-0,8861479;2,233748; 
0,03875889;0,6911596;2,387663;-0,01277873;0,09570628;2,313659;-0,01627094;0,1553871;2,372659;-0,0006946647;0,5121455;2,381026;-0,2137979;0,414449;2,396244;-0,4978354;0,4159524;2,321427;-0,7145356;0,4769694;2,248183;-0,8139307;0,5073453;2,225572;0,1732839;0,3972947;2,435567;0,209912;0,1251632;2,399057;0,2269855;-0,09368481;2,307554;0,2167466;-0,151632;2,29385;-0,1019629;0,0133226;2,286272;-0,1448178;-0,4834557;2,311377;-0,157579;-0,8356169;2,273737;-0,1837094;-0,8956821;2,238965;0,07153392;0,004274604;2,308078;0,08308277;-0,4932455;2,308334;0,09918171;-0,8380283;2,277364;0,1482436;-0,8860074;2,233212; 
0,03818116;0,6909596;2,38671;-0,01289937;0,0957124;2,313696;-0,01654599;0,1553744;2,372686;-0,001776348;0,5117977;2,380856;-0,2144756;0,4139044;2,395753;-0,4971491;0,4156474;2,32013;-0,7134373;0,4778399;2,246325;-0,8134032;0,5077059;2,225223;0,1728243;0,3979442;2,435782;0,2097611;0,1253343;2,399076;0,2267042;-0,09358455;2,30753;0,2170052;-0,1471606;2,294818;-0,1020015;0,01328852;2,286336;-0,1448169;-0,4834563;2,311369;-0,157639;-0,8356351;2,273761;-0,1837323;-0,8958769;2,238914;0,07142059;0,004388986;2,308066;0,08332101;-0,4931445;2,307926;0,0992651;-0,8377886;2,277243;0,1480132;-0,8857194;2,233188; 
0,03768384;0,6913058;2,385337;-0,01294387;0,09568322;2,313708;-0,0167317;0,1553167;2,37271;-0,002473997;0,51214;2,38126;-0,2150444;0,4133044;2,39511;-0,497187;0,4154558;2,319644;-0,7137815;0,4757637;2,244779;-0,8148137;0,5003684;2,221704;0,1727435;0,3979179;2,435935;0,2095569;0,1258791;2,399057;0,226963;-0,09319362;2,30786;0,2170584;-0,1511914;2,294022;-0,1020257;0,01323685;2,286371;-0,1447123;-0,4834017;2,311318;-0,1576721;-0,8359744;2,273897;-0,1837084;-0,8962907;2,238786;0,07141664;0,004393629;2,308018;0,08335363;-0,4931676;2,307058;0,09929608;-0,8377849;2,277148;0,148379;-0,8858132;2,23268; 
0,03720823;0,6917404;2,384896;-0,01297608;0,09572861;2,313699;-0,01688116;0,1553688;2,372686;-0,00257788;0,512175;2,381248;-0,2158762;0,4132592;2,394644;-0,4973558;0,4151879;2,318418;-0,7138673;0,4756655;2,243195;-0,8148376;0,4996623;2,218799;0,1724486;0,3985161;2,436424;0,2093747;0,1264682;2,398983;0,2269505;-0,09273541;2,308013;0,2169998;-0,1484247;2,293889;-0,1020602;0,01324702;2,286391;-0,1447821;-0,4834336;2,311212;-0,1577134;-0,8360863;2,273887;-0,1837169;-0,8964449;2,238482;0,07141823;0,004513185;2,307907;0,08367772;-0,4923154;2,306078;0,09945305;-0,8376518;2,276938;0,1482149;-0,8856618;2,23244; 
0,03696203;0,6921777;2,384898;-0,01345258;0,09537679;2,313552;-0,01737623;0,1551037;2,372538;-0,002900665;0,5121881;2,381074;-0,2164159;0,4131324;2,393967;-0,497217;0,4150822;2,317619;-0,7132785;0,4764161;2,241486;-0,8143784;0,501153;2,21803;0,1721953;0,3966173;2,43565;0,2087499;0,1261821;2,398479;0,2268033;-0,09313191;2,307793;0,2176007;-0,1462153;2,294443;-0,1026129;0,0128503;2,286234;-0,1450035;-0,4820943;2,31072;-0,1576551;-0,8351946;2,274119;-0,1835199;-0,8960153;2,239064;0,07099682;0,004112537;2,307706;0,08316148;-0,4930777;2,304612;0,09949256;-0,8380451;2,2771;0,148391;-0,8857476;2,232616; 
0,03551488;0,6932876;2,385206;-0,0135369;0,09547378;2,313438;-0,0175132;0,1552261;2,372431;-0,003070249;0,5125532;2,381049;-0,2171206;0,4131345;2,393667;-0,4979618;0,4145643;2,316516;-0,714484;0,4742229;2,240079;-0,8153215;0,5016398;2,218258;0,1713965;0,3973772;2,435752;0,2079153;0,1217923;2,396932;0,2272646;-0,09744781;2,306126;0,2179105;-0,144298;2,294234;-0,1026774;0,01289847;2,286139;-0,1450703;-0,4821471;2,310494;-0,1577763;-0,8353065;2,274021;-0,1835036;-0,8963356;2,23889;0,07089905;0,004410086;2,307428;0,08295886;-0,4928818;2,303125;0,09951142;-0,8380535;2,277055;0,1487104;-0,885876;2,232461; 
0,03503371;0,6937793;2,384787;-0,01382158;0,09542269;2,313114;-0,01777949;0,1551893;2,372136;-0,003475569;0,5126756;2,38085;-0,2183927;0,4128361;2,393092;-0,4983391;0,4139874;2,315345;-0,7150376;0,4734412;2,239129;-0,8153487;0,5018551;2,215788;0,17068;0,3949602;2,434455;0,2078372;0,1223411;2,39696;0,2271893;-0,09695876;2,306168;0,2181945;-0,1433415;2,294161;-0,1031593;0,01264465;2,285716;-0,1452787;-0,4818823;2,309847;-0,1577439;-0,8352839;2,273959;-0,183642;-0,89658;2,239079;0,07078042;0,004396967;2,306979;0,08309133;-0,4922896;2,301853;0,09961417;-0,8379238;2,276689;0,1475111;-0,8861684;2,233181; 
0,03340787;0,6940186;2,384651;-0,0141611;0,09544282;2,312719;-0,01827775;0,1551284;2,371768;-0,004395229;0,5123697;2,380706;-0,2197352;0,4126831;2,392388;-0,4985416;0,4139892;2,31498;-0,7151957;0,4740176;2,238993;-0,8154727;0,502384;2,215038;0,1704381;0,3950316;2,434546;0,2073858;0,1226597;2,39639;0,2263064;-0,09670548;2,30554;0,2186681;-0,1419267;2,29359;-0,1034845;0,01253376;2,285446;-0,1453037;-0,4822126;2,309561;-0,1578974;-0,8356976;2,273986;-0,1837902;-0,8969795;2,23874;0,07057501;0,004533775;2,306009;0,08273375;-0,4911781;2,300221;0,09962927;-0,8377661;2,276445;0,1473939;-0,8861681;2,232928; 
0,03227765;0,6944416;2,383831;-0,01465302;0,09551427;2,311987;-0,01897117;0,1552059;2,371021;-0,005943788;0,5124856;2,37986;-0,2205596;0,4125217;2,391826;-0,4983708;0,4139459;2,314497;-0,7151319;0,4734631;2,23825;-0,8161809;0,499042;2,214123;0,1697;0,395449;2,434463;0,2063307;0,1235086;2,395332;0,22584;-0,09609394;2,305197;0,2169681;-0,1452813;2,291916;-0,1037683;0,01250769;2,285024;-0,1455385;-0,4819018;2,308929;-0,1578581;-0,8356996;2,274012;-0,1837893;-0,8971065;2,23868;0,07023225;0,004841282;2,304858;0,08323563;-0,4902913;2,298539;0,1000095;-0,8375492;2,276265;0,1478271;-0,8864737;2,233202; 
0,03107223;0,6957753;2,382916;-0,01524719;0,09536664;2,311429;-0,01977698;0,155191;2,37052;-0,007321086;0,5136261;2,379676;-0,2210668;0,4120823;2,390654;-0,4983397;0,4137254;2,313859;-0,7145887;0,4747987;2,237215;-0,8156804;0,501002;2,213727;0,1682777;0,396759;2,434552;0,2055232;0,1247559;2,394847;0,2251371;-0,09480093;2,304505;0,2175097;-0,141686;2,291747;-0,1039621;0,01237862;2,284815;-0,1458202;-0,48192;2,30845;-0,1578497;-0,8356897;2,274018;-0,1841966;-0,897139;2,238742;0,06940389;0,005154103;2,303809;0,08303879;-0,4899551;2,297881;0,0999256;-0,8366266;2,275365;0,1474988;-0,8861073;2,232773; 
0,02997389;0,695462;2,382044;-0,01549476;0,09560858;2,31068;-0,02021092;0,1552591;2,369836;-0,008388657;0,5130032;2,379153;-0,2216984;0,4117147;2,389894;-0,498212;0,4137185;2,313324;-0,7148945;0,4732706;2,236446;-0,8157533;0,5013121;2,213995;0,1682344;0,3967329;2,434496;0,2037828;0,1155056;2,390023;0,2260575;-0,1042011;2,300629;0,2209804;-0,1795534;2,276995;-0,1041343;0,01241415;2,283742;-0,1459361;-0,4819683;2,307923;-0,1580727;-0,8359028;2,273954;-0,184207;-0,8975748;2,238587;0,06939788;0,005474229;2,303031;0,08256954;-0,4888864;2,29627;0,09990609;-0,8366491;2,27534;0,148201;-0,8868182;2,23388; 
0,02845624;0,6961008;2,381204;-0,01599269;0,09581318;2,310069;-0,02077602;0,1554095;2,369308;-0,00874864;0,5131916;2,379079;-0,2227278;0,411355;2,389163;-0,4985372;0,4127518;2,312259;-0,7152727;0,4728193;2,23585;-0,8159888;0,5021142;2,214098;0,1680536;0,3967993;2,434378;0,2027699;0,11836;2,389458;0,2253835;-0,1015286;2,300525;0,2160255;-0,1449255;2,287523;-0,1044688;0,01237854;2,283502;-0,1460334;-0,4812392;2,307055;-0,157947;-0,835548;2,273961;-0,1840905;-0,8974587;2,238698;0,06877193;0,006029052;2,301451;0,08246171;-0,4883475;2,295451;0,0998999;-0,836512;2,275204;0,14748;-0,8864182;2,233352; 
0,02791652;0,6964834;2,380142;-0,0164654;0,09571388;2,309022;-0,02136937;0,1553029;2,368357;-0,009599639;0,5134003;2,378625;-0,2231091;0,4113351;2,388649;-0,49919;0,4123628;2,311009;-0,7161174;0,4725587;2,235206;-0,8164202;0,5039566;2,214083;0,1674435;0,3967531;2,434047;0,202272;0,1195383;2,389491;0,2251896;-0,100372;2,300558;0,2153946;-0,151554;2,284211;-0,1047652;0,01223558;2,282748;-0,1463885;-0,4815496;2,306287;-0,1579928;-0,8367195;2,274435;-0,183753;-0,8986947;2,238689;0,06843373;0,006172887;2,300028;0,0823992;-0,4883196;2,294874;0,09951442;-0,836526;2,275406;0,1477914;-0,8861854;2,232708; 
0,02685365;0,6970783;2,379555;-0,01705133;0,09564921;2,3082;-0,02199346;0,1552359;2,367615;-0,01009742;0,5135844;2,378351;-0,2237065;0,4112407;2,388094;-0,5001452;0,4123059;2,309535;-0,7172742;0,4731787;2,234949;-0,818022;0,5027402;2,212766;0,1670123;0,3967624;2,4337;0,2016932;0,1213532;2,38935;0,2241723;-0,09839897;2,299688;0,2139432;-0,1529656;2,282174;-0,1052468;0,01215108;2,282085;-0,1464842;-0,4815634;2,305619;-0,1580315;-0,836649;2,274443;-0,183302;-0,8989046;2,238526;0,06784368;0,006120891;2,298932;0,0820795;-0,4878948;2,293639;0,09949073;-0,8365228;2,275397;0,1484279;-0,8860477;2,231943; 
0,02644659;0,6973493;2,378886;-0,01731884;0,0955871;2,307106;-0,02237803;0,1551292;2,366557;-0,01067004;0,5135118;2,377604;-0,2241934;0,4109898;2,38739;-0,5000166;0,4125154;2,30903;-0,7173603;0,4722916;2,233996;-0,817443;0,5039023;2,211209;0,166552;0,3969081;2,433365;0,2011106;0,1229514;2,388999;0,2239355;-0,09695552;2,299789;0,213682;-0,1540602;2,28113;-0,10546;0,01197007;2,281456;-0,14683;-0,4813859;2,304823;-0,1579777;-0,8365879;2,27439;-0,1837477;-0,8986772;2,238236;0,06778166;0,006365934;2,297175;0,08197932;-0,4876785;2,292696;0,09940569;-0,8362617;2,275086;0,1464746;-0,8862915;2,233485; 
0,01660946;0,6749315;2,271559;-0,02221119;0,09317306;2,299206;-0,02703212;0,1588618;2,349132;-0,02975282;0,5060975;2,309139;-0,2304659;0,412987;2,345812;-0,5056468;0,3852955;2,270557;-0,7209125;0,4592377;2,204003;-0,8207538;0,4764155;2,168511;0,1482297;0,4049686;2,371769;0,1983831;0,1270863;2,381231;0,2225132;-0,09591539;2,301989;0,2061066;-0,1985042;2,274982;-0,1079147;0,01037704;2,280069;-0,1476203;-0,4802981;2,305823;-0,1580574;-0,8354309;2,274486;-0,1861577;-0,8973179;2,239483;0,06539308;0,005729292;2,294784;0,08032522;-0,4857543;2,292008;0,09914035;-0,8361889;2,274964;0,1462984;-0,8862066;2,233217; 
0,01620996;0,6740882;2,271058;-0,0240841;0,09220129;2,295233;-0,02822581;0,1575055;2,342634;-0,02882113;0,5043272;2,308121;-0,2305018;0,4133084;2,344744;-0,5056828;0,3853908;2,270079;-0,72113;0,4562248;2,199819;-0,8209521;0,4741761;2,164838;0,1482136;0,404932;2,370928;0,1983871;0,126484;2,378135;0,2208517;-0,09763186;2,301946;0,205652;-0,2005714;2,275815;-0,1097173;0,009399107;2,278728;-0,1482908;-0,4797736;2,306138;-0,1580962;-0,8353375;2,274436;-0,1860017;-0,8975309;2,239565;0,06341938;0,005186999;2,29203;0,07963388;-0,4847778;2,291266;0,09904172;-0,8362273;2,275075;0,1467929;-0,8861846;2,232565; 
0,01622734;0,6738338;2,268629;-0,02540203;0,09267727;2,291927;-0,02940483;0,1579131;2,337291;-0,02901198;0,5044428;2,307037;-0,2305688;0,4134341;2,342965;-0,505076;0,3855362;2,269002;-0,7224393;0,4341399;2,184157;-0,8217698;0,4591948;2,152488;0,1492328;0,4062238;2,370418;0,1982434;0,1282288;2,375945;0,21989;-0,09662732;2,301946;0,2138042;-0,1452906;2,290041;-0,1112703;0,009276469;2,276949;-0,1487101;-0,4796444;2,306299;-0,1580509;-0,8353348;2,274391;-0,1856428;-0,8978824;2,23966;0,06251259;0,00542404;2,289737;0,07883237;-0,4840639;2,290381;0,09919239;-0,8358392;2,274327;0,1466467;-0,8861001;2,232648; 
0,01543794;0,6726775;2,264836;-0,0266685;0,09326891;2,288409;-0,03077479;0,1582642;2,332165;-0,02968064;0,5037221;2,304892;-0,2316252;0,4134961;2,339887;-0,5045609;0,3854816;2,266523;-0,7218001;0,436551;2,182893;-0,8209541;0,4601418;2,149775;0,1507429;0,407049;2,370209;0,1976646;0,1298577;2,371972;0,2186829;-0,09591238;2,301084;0,2008957;-0,1963573;2,268232;-0,1132079;0,008826819;2,274229;-0,1490143;-0,4795632;2,306187;-0,1580724;-0,8353312;2,274354;-0,1856024;-0,8979928;2,239531;0,0618116;0,005536317;2,286852;0,07836848;-0,4828586;2,28869;0,09915508;-0,8356498;2,274031;0,1468967;-0,8863641;2,232627; 
0,0141664;0,6714475;2,259311;-0,02798484;0,09300485;2,284623;-0,0316558;0,1580306;2,32704;-0,03055492;0,5032867;2,301825;-0,2325009;0,4137058;2,337024;-0,5046266;0,385933;2,263597;-0,7222311;0,4374418;2,181328;-0,7877387;0,4012713;2,155252;0,1494468;0,4075083;2,364945;0,1968428;0,1315041;2,367268;0,2177193;-0,09510818;2,299623;0,200768;-0,1962317;2,268303;-0,1146425;0,008664742;2,270929;-0,1494994;-0,4793107;2,305872;-0,1577924;-0,8352175;2,274128;-0,1856028;-0,8980443;2,23959;0,06047367;0,005288581;2,283709;0,07772357;-0,4824692;2,287353;0,09908869;-0,8355317;2,273976;0,1469115;-0,8862174;2,232336; 
-0,1163044;0,7160824;2,316335;-0,05239112;0,1069821;2,273058;-0,06643758;0,1713397;2,320139;-0,109912;0,5301794;2,328;-0,2592199;0,4081698;2,350019;-0,300714;0,1452961;2,294772;-0,2968856;-0,08112983;2,222491;-0,2886515;-0,1574952;2,203454;0,1137909;0,4440086;2,382254;0,3991565;0,4781415;2,388716;0,6167073;0,5636886;2,368616;0,6442441;0,571458;2,369321;-0,1271997;0,0158681;2,256681;-0,155628;-0,4714526;2,290967;-0,1579861;-0,8323123;2,272031;-0,184425;-0,8973623;2,240418;0,03972001;0,02888677;2,265088;0,07612853;-0,480565;2,280967;0,0993588;-0,8352532;2,273443;0,1464607;-0,8859383;2,232195; 
-0,1146358;0,7139541;2,311994;-0,05278487;0,1082088;2,271857;-0,06761262;0,1716459;2,320173;-0,1099805;0,5278974;2,324269;-0,2605873;0,407172;2,347656;-0,2997169;0,1425093;2,288566;-0,2962053;-0,08431418;2,217723;-0,2859117;-0,1600257;2,197383;0,1160744;0,4458277;2,390006;0,3994102;0,4782138;2,394103;0,6165724;0,5647727;2,373463;0,6470851;0,5734605;2,376197;-0,1276029;0,01769759;2,249621;-0,1571188;-0,4717438;2,282011;-0,1571593;-0,8293;2,265887;-0,1810005;-0,8957306;2,234814;0,04011128;0,02938902;2,265513;0,07599187;-0,4808463;2,281129;0,09941126;-0,8358836;2,274586;0,1447618;-0,8868195;2,235489; 
-0,1146239;0,7130635;2,309702;-0,05302034;0,1086537;2,271214;-0,06816623;0,1716419;2,320439;-0,11054;0,5269473;2,322787;-0,2616025;0,4060677;2,346097;-0,2993872;0,1401957;2,285902;-0,2957924;-0,08654009;2,214591;-0,2856031;-0,1626947;2,196243;0,1167127;0,4457706;2,392274;0,4001511;0,4778756;2,39647;0,6167879;0,5657914;2,375427;0,647391;0,573867;2,377136;-0,1276439;0,01806127;2,246783;-0,1574033;-0,472497;2,279681;-0,157288;-0,8288713;2,264142;-0,1813907;-0,8961049;2,234765;0,04039707;0,02951335;2,26585;0,07588197;-0,480922;2,281224;0,1001544;-0,8368325;2,276005;0,1447864;-0,8869286;2,235822
