;-0,0222953;0,2338967;3,1263;-0,03962575;-0,3329663;3,006428;-0,04084528;-0,2850398;3,066326;-0,03511254;0,0395375;3,111488;-0,2081264;-0,03911379;3,097608;-0,4439358;-0,02678574;3,106928;-0,6500571;0,01367542;3,127399;-0,687454;0,003845295;3,100512;0,1338119;-0,08244958;3,097821;0,1669101;-0,3316593;3,054935;0,1787343;-0,5346809;2,980088;0,1610455;-0,552188;2,939413;-0,1175558;-0,4017294;2,979218;-0,1435603;-0,7783318;2,908107;-0,131108;-1,10614;2,892656;-0,1247844;-1,147811;2,804559;0,03608749;-0,4131325;2,985664;0,05232304;-0,7654719;2,889783;0,04644259;-1,096578;2,869066;0,04887184;-1,136845;2,780126; 
-0,01463862;0,233798;3,121253;-0,03746069;-0,3311186;3,006684;-0,03865422;-0,2831491;3,066264;-0,03234602;0,04056162;3,109803;-0,2064508;-0,03639688;3,096975;-0,4435455;-0,02625703;3,107377;-0,649789;0,01329402;3,1274;-0,7191938;0,03083542;3,134714;0,1345941;-0,08206329;3,097083;0,1664673;-0,3305175;3,054724;0,1800289;-0,5333224;2,97995;0,1829301;-0,5532413;2,941628;-0,1149318;-0,3989274;2,979444;-0,1430078;-0,7774513;2,907717;-0,1311067;-1,106131;2,892722;-0,1248006;-1,147847;2,804705;0,03798103;-0,4118724;2,986763;0,05479788;-0,7624133;2,889504;0,0472915;-1,097229;2,872217;0,04951571;-1,138474;2,783781; 
-0,01411857;0,2337513;3,122477;-0,03579812;-0,3305526;3,007569;-0,03740969;-0,282661;3,0669;-0,03227622;0,0405601;3,109823;-0,2057754;-0,03531426;3,099408;-0,4467293;-0,103874;3,162781;-0,6489655;-0,0948665;3,084689;-0,7181927;-0,07485617;3,089307;0,1365903;-0,08226857;3,099544;0,165987;-0,3304405;3,055574;0,1803681;-0,5334843;2,98104;0,1704911;-0,6191763;2,935176;-0,11329;-0,3987138;2,97961;-0,1430571;-0,7771553;2,907738;-0,1311276;-1,106225;2,893035;-0,1247438;-1,147998;2,805056;0,04091021;-0,4113099;2,989396;0,05534918;-0,763088;2,890332;0,04822811;-1,097869;2,874533;0,0506064;-1,139554;2,786313; 
-0,01117674;0,2335967;3,122894;-0,03484176;-0,3306483;3,007928;-0,0365931;-0,2823603;3,067016;-0,03300947;0,04098949;3,107392;-0,2047824;-0,03490058;3,101381;-0,4162216;-0,1291859;3,172413;-0,6103777;-0,1281481;3,072755;-0,6077878;-0,1294634;3,055971;0,1368613;-0,08227242;3,099702;0,1657981;-0,3307591;3,055804;0,1788701;-0,5339532;2,981443;0,1761158;-0,6220515;2,938592;-0,1119837;-0,3991084;2,980225;-0,1421352;-0,7771128;2,908079;-0,13094;-1,105138;2,893741;-0,1252562;-1,14695;2,805745;0,04301348;-0,4113136;2,991018;0,05619801;-0,765178;2,893051;0,05110402;-1,096739;2,877592;0,01262354;-1,170225;2,877353; 
-0,01137108;0,2335388;3,123452;-0,03409387;-0,3305723;3,008106;-0,03550584;-0,2819537;3,067037;-0,03181752;0,04172425;3,105463;-0,2041098;-0,03506272;3,10318;-0,4142926;-0,1416649;3,175168;-0,5843144;-0,1839986;3,041677;-0,6064022;-0,1869556;3,002132;0,137563;-0,08204417;3,099828;0,1655546;-0,331443;3,055751;0,1770365;-0,5346684;2,980913;0,1725627;-0,6206316;2,934656;-0,1112761;-0,3991196;2,980311;-0,1420508;-0,7770029;2,908149;-0,1310977;-1,10517;2,893991;-0,1260325;-1,146975;2,805959;0,04374511;-0,4114222;2,991865;0,05634528;-0,7643334;2,893772;0,05156799;-1,096368;2,877708;0,01211464;-1,169292;2,875312; 
-0,07439638;0,233756;3,140712;-0,05249402;-0,3446974;3,005113;-0,05323275;-0,2934147;3,064943;-0,0502344;0,04058201;3,10873;-0,2271087;-0,07129031;3,090102;-0,2520926;-0,3168207;3,060281;-0,2617645;-0,5229071;2,995024;-0,3230138;-0,522076;2,930687;0,1083176;-0,0764019;3,101031;0,1587584;-0,3304949;3,058588;0,1665662;-0,5300269;2,972047;0,1632047;-0,616556;2,927196;-0,1268488;-0,4134744;2,979315;-0,1443811;-0,7767453;2,910504;-0,1317136;-1,105331;2,894251;-0,1257266;-1,146531;2,805926;0,02388865;-0,418761;2,98763;0,05540839;-0,7653201;2,893822;0,05155092;-1,096382;2,877591;0,01093059;-1,168693;2,87444; 
-0,07459778;0,2339344;3,13963;-0,05406432;-0,3456985;3,004819;-0,05554146;-0,2944214;3,064487;-0,05370878;0,04034442;3,107689;-0,2274592;-0,07140027;3,089188;-0,2527747;-0,3167612;3,059094;-0,2621047;-0,5231928;2,994889;-0,3233996;-0,5228441;2,930356;0,1062994;-0,07577696;3,102101;0,1571531;-0,3291319;3,061906;0,1691907;-0,5295669;2,962005;0,1688725;-0,6171412;2,919564;-0,1284578;-0,4145405;2,979134;-0,1451615;-0,7769967;2,911368;-0,131882;-1,105277;2,894372;-0,1252967;-1,146201;2,805916;0,02206493;-0,4196112;2,987536;0,05485214;-0,7657529;2,893268;0,05044984;-1,09735;2,876705;0,01048616;-1,170106;2,874707; 
-0,07621578;0,2347675;3,138445;-0,05758739;-0,3466319;3,004467;-0,06020645;-0,2955108;3,064042;-0,06077743;0,03954168;3,107394;-0,2292292;-0,0730195;3,08719;-0,2529732;-0,3172697;3,057954;-0,262779;-0,5240577;2,994754;-0,2607808;-0,607776;2,943413;0,1031758;-0,07325944;3,104254;0,1642088;-0,3312099;3,06792;0,2030865;-0,5545362;2,949534;0,1913894;-0,6287422;2,906582;-0,1321805;-0,4160006;2,97879;-0,1455427;-0,7766457;2,911726;-0,1321568;-1,105371;2,894599;-0,1247416;-1,14628;2,806038;0,01881354;-0,4200768;2,987218;0,0509612;-0,7661479;2,891473;0,05044625;-1,097408;2,876738;0,0110257;-1,170578;2,873951; 
-0,07716927;0,2342264;3,136662;-0,05926096;-0,3466717;3,004531;-0,06282725;-0,2956475;3,064032;-0,06707661;0,03900808;3,107006;-0,2313392;-0,07361405;3,084775;-0,2529043;-0,3183504;3,052521;-0,2632734;-0,5263791;2,994386;-0,2609426;-0,6099185;2,943169;0,101216;-0,07066615;3,104923;0,1800246;-0,3219758;3,076768;0,2514173;-0,5215421;2,960472;0,2595514;-0,5963516;2,903437;-0,1338439;-0,416628;2,978599;-0,1457981;-0,7755782;2,91241;-0,1326289;-1,105604;2,895385;-0,1246937;-1,14653;2,806839;0,01780851;-0,4198605;2,987488;0,04998636;-0,7663691;2,890924;0,05089252;-1,097333;2,875184;0,01058161;-1,170094;2,874142; 
-0,0804512;0,2342946;3,134842;-0,06122449;-0,3459442;3,004427;-0,06569791;-0,2947467;3,063721;-0,07239862;0,03982001;3,105053;-0,2355193;-0,07482854;3,082635;-0,2527369;-0,3194317;3,050421;-0,2640418;-0,5281039;2,994384;-0,261245;-0,6121261;2,942835;0,1008669;-0,07017381;3,10612;0,2282333;-0,3152136;3,101159;0,318487;-0,5099929;2,964179;0,3363781;-0,5753551;2,929418;-0,136127;-0,4172054;2,978355;-0,1458013;-0,7753426;2,912607;-0,1333172;-1,105571;2,895539;-0,124833;-1,146461;2,806923;0,0170112;-0,4193344;2,987555;0,04919542;-0,7675562;2,891102;0,05062739;-1,096636;2,876414;0,01099377;-1,169818;2,873724; 
-0,1461199;0,232611;3,121385;-0,07050663;-0,3367441;3,008065;-0,07662513;-0,2861429;3,066383;-0,1084491;0,04057146;3,099061;-0,2710726;-0,08388157;3,081358;-0,2634156;-0,3251995;3,049178;-0,2661257;-0,5338802;2,990391;-0,2608321;-0,5922859;2,946953;0,06830889;-0,0239812;3,112214;0,3404031;-0,0255429;3,185075;0,5514781;-0,02329347;3,205881;0,6465472;-0,03601777;3,182449;-0,1412097;-0,4156994;2,981245;-0,146619;-0,7742352;2,914024;-0,1344218;-1,10577;2,895721;-0,1282452;-1,14621;2,806755;0,01185546;-0,4068588;2,991604;0,04880363;-0,7669419;2,891652;0,05059722;-1,096535;2,876326;0,007398661;-1,167679;2,876051; 
-0,1455531;0,2327311;3,121411;-0,07315864;-0,3343891;3,008453;-0,08018569;-0,2839291;3,06626;-0,1116439;0,0406733;3,096924;-0,2717182;-0,08406119;3,080962;-0,2661366;-0,3277467;3,04915;-0,2700104;-0,5380232;2,996681;-0,2618143;-0,5984944;2,956845;0,06840856;-0,02395728;3,112171;0,3408913;-0,02506511;3,185314;0,5526341;-0,02369311;3,203889;0,6265015;-0,01714676;3,160015;-0,1437199;-0,4149289;2,982028;-0,147411;-0,772377;2,915578;-0,1345919;-1,105851;2,895918;-0,1282013;-1,14582;2,80679;0,01084615;-0,4045226;2,992421;0,0480042;-0,7661707;2,892934;0,04930052;-1,096805;2,876773;0,007279582;-1,168603;2,875192; 
-0,1454197;0,2327806;3,121539;-0,07454871;-0,3336688;3,009153;-0,08189392;-0,283261;3,066822;-0,1127227;0,04087267;3,096957;-0,2720329;-0,08413498;3,081037;-0,2678687;-0,3289284;3,049247;-0,2604774;-0,5754055;2,958856;-0,2474894;-0,6367191;2,921841;0,06837787;-0,02398486;3,112104;0,3410924;-0,02677583;3,184143;0,5532329;-0,02652303;3,202068;0,6253837;-0,0187244;3,159981;-0,1453084;-0,4147064;2,98365;-0,1477932;-0,7719138;2,916478;-0,1350165;-1,105923;2,896647;-0,1286667;-1,145831;2,807494;0,009877599;-0,403412;2,992925;0,04731097;-0,7651736;2,893416;0,04936849;-1,096851;2,876765;0,007843401;-1,168918;2,87461
