;0,01592599;0,6821478;3,263264;0,03579838;0,08988076;3,206307;0,0386759;0,1479871;3,264516;0,02844429;0,5008041;3,278452;-0,1246704;0,4751885;3,280326;-0,2238893;0,6825837;3,159791;-0,2286466;0,976715;3,106646;-0,2189622;1,047528;3,119649;0,1775094;0,3755468;3,235498;0,246134;0,1024961;3,242862;0,2604858;-0,1266646;3,182651;0,2610138;-0,2189677;3,148891;-0,03049722;0,02181774;3,19991;-0,07224533;-0,497963;3,226894;-0,06488101;-0,8845039;3,223439;-0,0730085;-0,9558251;3,165805;0,1051268;0,01717041;3,184003;0,166302;-0,4903473;3,185084;0,1790703;-0,8469939;3,190182;0,2038352;-0,941107;3,136874; 
0,01811083;0,6850327;3,271606;0,03657752;0,08808246;3,206042;0,03992537;0,1469621;3,264337;0,0318396;0,5023618;3,278515;-0,1225713;0,4704026;3,281786;-0,2180826;0,6571384;3,166937;-0,2270651;0,9507258;3,110787;-0,2174453;1,021437;3,123701;0,1775043;0,3753588;3,235691;0,2461037;0,1001487;3,242621;0,2598163;-0,1339036;3,179697;0,2601258;-0,2243225;3,145739;-0,03003744;0,02021577;3,199445;-0,07225965;-0,4979266;3,22683;-0,06443463;-0,8839927;3,220272;-0,07336538;-0,9553542;3,166246;0,105368;0,01645623;3,184054;0,1662515;-0,4904081;3,185102;0,1792556;-0,8473357;3,18994;0,2038775;-0,9412101;3,137014; 
0,01836726;0,6837552;3,270885;0,03723888;0,08716229;3,206383;0,04062889;0,1456355;3,264758;0,03444714;0,4992979;3,27926;-0,1224378;0,4700568;3,281824;-0,2256426;0,7136902;3,154979;-0,228791;1,007887;3,099412;-0,218803;1,078161;3,11357;0,1774857;0,3757793;3,237137;0,2461046;0,09996404;3,242879;0,257437;-0,1318557;3,177274;0,25881;-0,2175399;3,144188;-0,02969781;0,01975929;3,199189;-0,0727661;-0,5004687;3,227064;-0,06525405;-0,8853018;3,222806;-0,07340501;-0,9554682;3,166392;0,1059869;0,01535452;3,185221;0,1662747;-0,4904664;3,185008;0,1793223;-0,8481418;3,18974;0,2038486;-0,9411641;3,137251; 
0,02548229;0,6809156;3,287887;0,04094427;0,08284714;3,209071;0,04500378;0,141041;3,26776;0,03996996;0,4952485;3,284096;-0,1212734;0,4385031;3,29855;-0,2466282;0,5953751;3,119182;-0,2314601;0,8673209;2,98614;-0,230839;0,9388486;2,993176;0,1962657;0,3785795;3,257457;0,250725;0,09644225;3,246866;0,258607;-0,1449804;3,176223;0,259211;-0,2187223;3,145537;-0,02783497;0,01409143;3,201184;-0,07120921;-0,5042149;3,228279;-0,06508096;-0,884944;3,222213;-0,07330687;-0,955267;3,165918;0,1117114;0,00935946;3,187759;0,1662453;-0,4906872;3,185097;0,1792773;-0,8479145;3,189556;0,2037915;-0,9412196;3,13744; 
0,02685254;0,6796331;3,28812;0,04186247;0,08020919;3,210223;0,04634003;0,138011;3,26926;0,04171599;0,4926183;3,289059;-0,1209892;0,4352567;3,3019;-0,2520874;0,5807603;3,101403;-0,235479;0,8300841;2,9258;-0,2334649;0,8866243;2,910405;0,1976246;0,3782842;3,258823;0,2542192;0,08902705;3,247637;0,2602885;-0,1615554;3,162342;0,2591586;-0,230376;3,141593;-0,02752369;0,0107077;3,202105;-0,07149807;-0,5080782;3,229197;-0,06474088;-0,8854561;3,223351;-0,07341193;-0,9553185;3,16562;0,1127206;0,00664279;3,187954;0,1665546;-0,4909402;3,185062;0,1787386;-0,847132;3,189233;0,2039625;-0,9414261;3,137348; 
0,02743588;0,6791652;3,288387;0,04306999;0,07778855;3,211548;0,04851042;0,1351263;3,27088;0,04573954;0,4897189;3,293262;-0,1197414;0,4296603;3,307104;-0,2574611;0,5230171;3,071376;-0,2478601;0,7260836;2,88677;-0,2377352;0,7908241;2,857908;0,1980904;0,3774289;3,261017;0,2562606;0,08914477;3,24653;0,2664689;-0,1649913;3,148985;0,2661005;-0,2432695;3,138047;-0,0268177;0,007389331;3,2045;-0,07166727;-0,5105104;3,230753;-0,06493722;-0,8852892;3,224909;-0,07317499;-0,9553301;3,165479;0,113431;0,005083352;3,187722;0,1667783;-0,491407;3,184945;0,179261;-0,8473346;3,188875;0,2043006;-0,9420457;3,137379; 
0,0279603;0,6779215;3,29014;0,04477793;0,07492191;3,212775;0,05050091;0,1322459;3,272394;0,04558073;0,4876239;3,29695;-0,1181508;0,4214315;3,312261;-0,2476725;0,4413983;3,095996;-0,2579441;0,5769318;2,887696;-0,2402116;0,6466064;2,822105;0,1994261;0,3763373;3,263897;0,2645082;0,09023723;3,239462;0,2818862;-0,1694087;3,12479;0,2715839;-0,2448964;3,113067;-0,02493184;0,002958787;3,206738;-0,07162241;-0,5130029;3,232854;-0,06488698;-0,8853236;3,224953;-0,07330877;-0,9554402;3,167006;0,1153521;0,003062735;3,187118;0,1665071;-0,4944816;3,184972;0,178867;-0,8476687;3,188892;0,203741;-0,9416133;3,138012; 
0,02799921;0,6766498;3,292184;0,04511802;0,07222049;3,213505;0,05092089;0,1295629;3,273437;0,04662602;0,486062;3,29975;-0,1146192;0,4128867;3,315212;-0,2407662;0,3711036;3,102391;-0,2460707;0,4646889;2,86145;-0,2380464;0,5184007;2,775507;0,2013108;0,3772537;3,269474;0,2716246;0,09276858;3,225865;0,2933022;-0,134334;3,07038;0,2915027;-0,226635;3,045946;-0,02485855;0,0005148746;3,207839;-0,07118192;-0,5133476;3,232973;-0,06482376;-0,8853281;3,224954;-0,07263278;-0,9554615;3,166579;0,1154566;0,00125048;3,186639;0,1665347;-0,4949453;3,184637;0,178435;-0,8469653;3,187363;0,2037905;-0,9418587;3,137903; 
0,02743392;0,6760514;3,294152;0,04445042;0,06740054;3,213608;0,05086324;0,1255355;3,27366;0,04801428;0,4845101;3,300041;-0,1143987;0,4016349;3,314484;-0,2342774;0,3030197;3,06971;-0,2460193;0,3665361;2,817619;-0,249472;0,3852134;2,747484;0,201555;0,3764508;3,270745;0,2866736;0,1087114;3,191157;0,3045377;-0,1092375;3,023927;0,3140639;-0,1987901;2,997621;-0,02669121;-0,003947158;3,207583;-0,07140223;-0,516041;3,234153;-0,06539299;-0,8863238;3,225744;-0,07271989;-0,9556481;3,167178;0,1148131;-0,002912058;3,186758;0,1665084;-0,4956438;3,184762;0,1785392;-0,8471068;3,18731;0,2037731;-0,9419502;3,137928; 
0,02709562;0,6760329;3,295026;0,04321783;0,0659858;3,214233;0,04913617;0,1237649;3,274725;0,04632488;0,4847621;3,305787;-0,1147675;0,3989032;3,312883;-0,2179155;0,2901473;3,099876;-0,2445221;0,3331901;2,87156;-0,231521;0,265905;2,77011;0,20201;0,3761685;3,272604;0,2908675;0,140455;3,174466;0,3387515;-0,07751644;2,962682;0,3420652;-0,1595821;2,932206;-0,02830952;-0,005461531;3,207921;-0,07078255;-0,516247;3,234813;-0,06569639;-0,8854301;3,226282;-0,0730833;-0,9550076;3,169312;0,1138359;-0,004069871;3,186733;0,1668429;-0,4977823;3,186415;0,1784664;-0,8471999;3,187244;0,2039297;-0,941874;3,138282; 
0,02649081;0,6769224;3,30487;0,0425864;0,06531398;3,215454;0,04763446;0,1229058;3,276251;0,04517496;0,4838206;3,30745;-0,117254;0,3959425;3,310712;-0,1900389;0,2436138;3,133569;-0,2142779;0,1532121;2,870365;-0,2263974;0,1080113;2,745556;0,2027003;0,3762145;3,275672;0,3097053;0,1713477;3,153003;0,3612659;-0,005187225;2,93105;0,3809104;-0,08243852;2,872206;-0,02949598;-0,006712586;3,208785;-0,07071257;-0,5163555;3,234895;-0,06509876;-0,8859899;3,225175;-0,07326168;-0,9556562;3,169864;0,1137202;-0,004766206;3,187814;0,1669053;-0,4984185;3,186953;0,1789227;-0,8495484;3,18739;0,204249;-0,9421428;3,138441; 
