;0,2365745;0,7923663;2,480789;0,2476914;0,1730833;2,433185;0,2502499;0,2347321;2,492885;0,2531531;0,6015964;2,498085;0,05817372;0,5119467;2,514072;-0,197515;0,5344915;2,477916;-0,4103616;0,6037063;2,371266;-0,4817967;0,6091972;2,333489;0,4174608;0,4947576;2,499775;0,476964;0,2116284;2,481924;0,483952;-0,01487443;2,382354;0,4675253;-0,1135463;2,337608;0,1665587;0,09343128;2,418323;0,1380851;-0,4619397;2,408458;0,1447958;-0,8270382;2,395341;0,128904;-0,8851289;2,345614;0,3267989;0,09359898;2,418758;0,3419984;-0,4566935;2,426643;0,3403882;-0,8247433;2,424143;0,3531599;-0,8805804;2,370346; 
0,23682;0,7918243;2,481075;0,247664;0,1731287;2,432917;0,2501848;0,2347444;2,492728;0,2531412;0,601678;2,498168;0,05836768;0,5120063;2,513541;-0,2006133;0,5354317;2,476845;-0,4142069;0,6023258;2,370356;-0,4858027;0,6078625;2,332988;0,4173342;0,4947477;2,499528;0,477114;0,2115992;2,481294;0,4795397;-0,03030931;2,373722;0,4633259;-0,1281359;2,330296;0,166558;0,09372099;2,417665;0,1380809;-0,4605417;2,408006;0,145042;-0,8271393;2,395366;0,1289417;-0,8850923;2,345688;0,3267449;0,09364798;2,418516;0,341957;-0,4566299;2,426599;0,3401952;-0,8243715;2,423996;0,3532709;-0,8807229;2,370027; 
0,2367587;0,7922878;2,481158;0,2476318;0,1732419;2,432809;0,2500948;0,2348436;2,492657;0,2527048;0,6024719;2,498787;0,05833327;0,511981;2,513216;-0,2021506;0,5355564;2,475976;-0,4162338;0,6012306;2,369878;-0,4878912;0,6068469;2,332774;0,4171354;0,4950303;2,499435;0,4771283;0,2119577;2,48012;0,4789939;-0,03349251;2,371881;0,4631678;-0,1275251;2,330088;0,1665507;0,09381837;2,417508;0,1379509;-0,4606784;2,408005;0,1449538;-0,8273556;2,395255;0,1292345;-0,8852699;2,346;0,3267301;0,09397149;2,418274;0,3418716;-0,4566751;2,426583;0,3403348;-0,8243058;2,423942;0,3530531;-0,8808881;2,370022; 
0,2361964;0,7928392;2,481972;0,2474593;0,1733987;2,432593;0,2498758;0,2349301;2,492523;0,2520389;0,6027558;2,499315;0,05822872;0,512049;2,512753;-0,2021047;0,5353467;2,475827;-0,4165313;0,5999561;2,369908;-0,4881972;0,6057414;2,332984;0,4169913;0,4953904;2,49909;0,4770773;0,2119999;2,47952;0,47881;-0,03421831;2,371191;0,4631252;-0,1274768;2,330107;0,1664328;0,09403605;2,417187;0,1378831;-0,4610648;2,408021;0,144863;-0,8275061;2,39541;0,1291103;-0,8853936;2,345734;0,3265472;0,09416313;2,41789;0,3418197;-0,4567946;2,426598;0,3403567;-0,8242354;2,423888;0,3528781;-0,880915;2,369913; 
0,2361571;0,7927389;2,482033;0,2474203;0,1734357;2,432474;0,2497814;0,2349598;2,492435;0,2519855;0,6027801;2,499314;0,05821177;0,5120292;2,512347;-0,2044861;0,5356501;2,474162;-0,4192592;0,5997803;2,36883;-0,4909219;0,6056706;2,332068;0,416958;0,4954194;2,499027;0,4772592;0,2120404;2,47866;0,4789228;-0,03524915;2,370374;0,4630575;-0,1274411;2,330026;0,1664015;0,09408777;2,417022;0,1376875;-0,4617972;2,408277;0,1447186;-0,8275356;2,395622;0,1287871;-0,8853928;2,345179;0,3265208;0,09420902;2,417757;0,3418372;-0,4571967;2,426661;0,3403069;-0,824285;2,42376;0,3525576;-0,8810605;2,369778; 
0,2361698;0,7927944;2,481978;0,2473484;0,1733803;2,432258;0,2496952;0,234913;2,492315;0,2520151;0,602795;2,499365;0,0582342;0,5121242;2,511865;-0,2056304;0,5357711;2,473725;-0,420369;0,5995463;2,368165;-0,492021;0,6055083;2,331541;0,41688;0,4954732;2,498839;0,4770719;0,2119012;2,478275;0,4787985;-0,03539142;2,369817;0,4628221;-0,1270456;2,329664;0,1663426;0,0940483;2,416862;0,1375465;-0,4626133;2,408307;0,1444134;-0,8280212;2,395189;0,1284025;-0,8870131;2,344174;0,3263624;0,09418249;2,417257;0,3416412;-0,4574058;2,426627;0,3404601;-0,8250316;2,42376;0,3528498;-0,8815656;2,369418; 
0,2361733;0,7928425;2,482094;0,2472486;0,1733331;2,432081;0,2496398;0,2348778;2,492172;0,2518372;0,6028266;2,49935;0,05828435;0,5121663;2,51159;-0,2058665;0,5357352;2,473443;-0,4207697;0,5989072;2,367949;-0,4925406;0,5930523;2,331705;0,416532;0,4953041;2,498131;0,4771148;0,2118049;2,478079;0,4785925;-0,03590683;2,368944;0,4626948;-0,1271232;2,329186;0,1662791;0,0940848;2,416602;0,1375789;-0,4626262;2,408266;0,144288;-0,8280047;2,39519;0,1281047;-0,8869948;2,343106;0,3262864;0,09415279;2,417145;0,341647;-0,457408;2,426609;0,3403993;-0,8251114;2,423699;0,3528104;-0,8815325;2,369395; 
0,2364518;0,7928702;2,482135;0,2472208;0,1734595;2,431894;0,2495693;0,2349864;2,491995;0,2516909;0,602841;2,499216;0,0582438;0,5122874;2,511443;-0,2060194;0,5354519;2,473243;-0,4208528;0,598591;2,367659;-0,4922851;0,5900742;2,331437;0,4165094;0,4953615;2,498065;0,4771285;0,2117966;2,477724;0,4784234;-0,03647701;2,368518;0,462527;-0,1269054;2,328846;0,166267;0,09425406;2,416399;0,1374148;-0,4617087;2,407885;0,1443137;-0,82787;2,395162;0,1282709;-0,8853804;2,344443;0,326303;0,09423296;2,416972;0,341562;-0,4577524;2,426704;0,3403509;-0,8250629;2,42366;0,3528432;-0,8816206;2,369205; 
0,2363641;0,7928534;2,482163;0,2471162;0,1735025;2,43174;0,2494123;0,2350129;2,491888;0,2514215;0,6030233;2,499413;0,0582954;0,5124623;2,51112;-0,2057376;0,5352409;2,473212;-0,4206005;0,5978166;2,367407;-0,4917453;0,5873705;2,331283;0,4163922;0,4954495;2,497993;0,4770189;0,2119307;2,477468;0,4784431;-0,03656919;2,368414;0,4623533;-0,127268;2,328331;0,166201;0,09435721;2,416089;0,1374381;-0,4606714;2,407749;0,1443057;-0,8278356;2,395132;0,1285177;-0,8854979;2,344609;0,326182;0,09432825;2,416828;0,3414748;-0,4581625;2,426742;0,3402924;-0,8247709;2,423756;0,353358;-0,8814706;2,369252; 
0,2363186;0,7928805;2,482145;0,2470209;0,1738978;2,431544;0,2491826;0,2353835;2,491681;0,2500688;0,6029125;2,498864;0,05830536;0,512506;2,511057;-0,1829527;0,5266202;2,484327;-0,3966296;0,5909436;2,377294;-0,4688908;0,5823922;2,34316;0,4164609;0,4956385;2,498052;0,4767822;0,2121298;2,476676;0,4786474;-0,03658922;2,368253;0,4623783;-0,1275353;2,328163;0,166228;0,09469367;2,415795;0,1374913;-0,4606093;2,407709;0,1445985;-0,8278359;2,395111;0,1287517;-0,8850317;2,345418;0,326227;0,09470124;2,416772;0,3415762;-0,4568793;2,426535;0,3403554;-0,8245987;2,423839;0,3527901;-0,8807025;2,369714; 
0,2359716;0,7925252;2,481947;0,2469977;0,1739114;2,431456;0,2491162;0,2353775;2,491628;0,2500604;0,60322;2,499164;0,05847731;0,512526;2,510696;-0,192346;0,529263;2,477377;-0,4071275;0,5938386;2,373304;-0,4798711;0,5862761;2,340224;0,4164633;0,495687;2,497984;0,4768208;0,2121365;2,476536;0,4785406;-0,03680345;2,368073;0,4624365;-0,1274591;2,328049;0,1662386;0,0947599;2,415658;0,1373731;-0,4603427;2,40752;0,1448082;-0,8276784;2,395165;0,1286266;-0,8846471;2,346845;0,3261692;0,09472959;2,416616;0,3414348;-0,4566393;2,426293;0,3403902;-0,8247733;2,423808;0,3528731;-0,8810809;2,369398; 
