;-0,03548685;0,3499685;2,606393;-0,05473561;-0,2195317;2,493217;-0,05968449;-0,1678863;2,547841;-0,06554536;0,15531;2,56964;-0,2409961;0,08619485;2,56346;-0,5105821;0,07716082;2,5573;-0,7217549;0,1141653;2,495303;-0,7594126;0,1314071;2,486977;0,1044646;0,04423955;2,578372;0,1226827;-0,2220062;2,529638;0,1354785;-0,4254121;2,434235;0,1397144;-0,4866532;2,395236;-0,1295973;-0,2917214;2,463942;-0,1604914;-0,6634887;2,380277;-0,1244008;-0,9107515;2,362642;-0,1737511;-0,9750212;2,352193;0,02409237;-0,3010643;2,485579;0,04220475;-0,6582312;2,383311;0,006622933;-0,9120046;2,359875;0,004647681;-0,9504545;2,271803; 
-0,03499356;0,3499301;2,605983;-0,05474019;-0,2191171;2,492761;-0,05952611;-0,1674127;2,547381;-0,06426875;0,1553084;2,56824;-0,241437;0,0869111;2,562604;-0,5103456;0,07728541;2,556069;-0,72148;0,1138926;2,49289;-0,7586259;0,1311038;2,484864;0,1046861;0,044198;2,577108;0,1227456;-0,2226415;2,529126;0,1355922;-0,4261357;2,433508;0,1398198;-0,4872069;2,394612;-0,1298511;-0,2912906;2,463513;-0,1604708;-0,6635413;2,380228;-0,1245385;-0,9108689;2,36259;-0,175031;-0,9741654;2,352412;0,02408662;-0,3009413;2,485296;0,0420412;-0,6579811;2,383312;0,00682164;-0,9118538;2,359859;0,004870289;-0,9502556;2,271888; 
-0,03383367;0,3507348;2,605045;-0,05473807;-0,2190141;2,492482;-0,05938861;-0,1672375;2,547126;-0,06418651;0,155763;2,567878;-0,2416178;0,08740321;2,561544;-0,5096592;0,07731093;2,554945;-0,7207395;0,1141067;2,490982;-0,7588701;0,1314597;2,482836;0,104387;0,04388692;2,574898;0,1221344;-0,2242305;2,527809;0,1357366;-0,428071;2,432732;0,1399537;-0,4889838;2,393937;-0,129907;-0,2912146;2,463136;-0,1605343;-0,6633559;2,38013;-0,1246431;-0,9105349;2,362506;-0,174496;-0,9740961;2,351613;0,02411895;-0,3008564;2,485165;0,04217149;-0,6578979;2,383262;0,006788938;-0,9118905;2,359825;0,00456852;-0,9502187;2,271951; 
-0,03397818;0,3503793;2,604372;-0,05462015;-0,2186643;2,492193;-0,05930037;-0,1668863;2,546851;-0,06394269;0,1560468;2,567611;-0,2418259;0,0877188;2,560867;-0,5094582;0,07743154;2,554152;-0,7205181;0,1141526;2,489375;-0,7584316;0,1314782;2,481403;0,1046662;0,04437761;2,574719;0,1220604;-0,2244724;2,527553;0,1356881;-0,4284335;2,432353;0,1398955;-0,4891888;2,393657;-0,1299161;-0,2909941;2,462895;-0,1605819;-0,6632965;2,380018;-0,1246165;-0,9098972;2,362102;-0,1737382;-0,9739423;2,351421;0,02432913;-0,300589;2,484886;0,04213327;-0,6579697;2,383182;0,006808115;-0,9118663;2,359785;0,004704006;-0,9501795;2,272021; 
-0,03300917;0,349592;2,602525;-0,05462399;-0,2187167;2,491947;-0,05918469;-0,1668899;2,546631;-0,06373587;0,1561755;2,567263;-0,2418717;0,0878891;2,560407;-0,5087469;0,0776682;2,553486;-0,7200705;0,1140332;2,488842;-0,7581891;0,1314533;2,48079;0,1043464;0,04429592;2,573485;0,1220418;-0,2262678;2,52659;0,1358131;-0,4304588;2,431547;0,1400105;-0,4910627;2,392948;-0,1299372;-0,2910373;2,462653;-0,1606177;-0,6633102;2,379981;-0,1247284;-0,9100838;2,362226;-0,1742714;-0,9738147;2,352377;0,0242957;-0,3006097;2,484747;0,0421371;-0,6578913;2,383114;0,006720641;-0,9116428;2,35951;0,00442954;-0,9498195;2,271815; 
-0,03353977;0,3484499;2,601312;-0,05461253;-0,2185358;2,491757;-0,0591955;-0,1667012;2,546442;-0,06377313;0,1563031;2,566983;-0,242079;0,08818971;2,560103;-0,5086012;0,07785201;2,552829;-0,7198349;0,1141137;2,487127;-0,757522;0,1314726;2,479342;0,104377;0,04423659;2,573243;0,1220217;-0,2262339;2,526586;0,1347543;-0,4411782;2,426233;0,138953;-0,5016228;2,387726;-0,1299619;-0,2909043;2,462469;-0,1605063;-0,6634776;2,379796;-0,1240188;-0,9112331;2,362558;-0,1819429;-0,9659317;2,346214;0,0243629;-0,3005056;2,484621;0,04203479;-0,6580305;2,382987;0,005984774;-0,9121793;2,359829;0,003574101;-0,9504994;2,272191; 
-0,03333474;0,348628;2,600605;-0,05455977;-0,2183551;2,491614;-0,05911996;-0,166521;2,546304;-0,06339867;0,1563613;2,566699;-0,2420343;0,08857443;2,55975;-0,5083868;0,07798574;2,552364;-0,7198117;0,114034;2,486674;-0,7572654;0,1313896;2,478938;0,1050513;0,04410996;2,572949;0,1220924;-0,2263009;2,526481;0,1342431;-0,4311989;2,432149;0,1384334;-0,491496;2,393738;-0,1300129;-0,2908136;2,462326;-0,1605001;-0,6634049;2,379683;-0,1240165;-0,9112206;2,362582;-0,1814711;-0,966358;2,346376;0,02443242;-0,3004359;2,484523;0,04210166;-0,6579812;2,382927;0,005937762;-0,9121805;2,35979;0,003537929;-0,9504815;2,272226; 
-0,0334266;0,348292;2,599157;-0,05420881;-0,2198187;2,490051;-0,05929058;-0,1676472;2,544878;-0,06278359;0,1564003;2,565768;-0,2368183;0,08003759;2,553488;-0,506813;-0,0238419;2,53171;-0,7129371;-0,06161657;2,448035;-0,77134;-0,04996211;2,424464;0,105653;0,04408683;2,572774;0,1225298;-0,2265702;2,526344;0,1359612;-0,4315455;2,431478;0,1401409;-0,4916807;2,393169;-0,1293338;-0,2922664;2,460556;-0,1600986;-0,6646671;2,379246;-0,124058;-0,9110831;2,362583;-0,1812399;-0,9664773;2,346253;0,02432172;-0,3011858;2,483628;0,04216905;-0,6581013;2,382858;0,005904476;-0,9121444;2,359766;0,004575146;-0,950619;2,272246; 
-0,03370211;0,348695;2,59847;-0,05378625;-0,2212598;2,488888;-0,05910478;-0,1687725;2,543923;-0,06272278;0,1564279;2,565595;-0,2348385;0,07654147;2,551732;-0,5098999;-0,03419275;2,52966;-0,7131853;-0,08288401;2,443329;-0,7732909;-0,05017985;2,423692;0,1058608;0,04404331;2,572805;0,1231052;-0,2268239;2,526289;0,1360081;-0,4321054;2,431087;0,1401741;-0,4920434;2,392904;-0,1282796;-0,2936918;2,459287;-0,160118;-0,6653838;2,37882;-0,1239696;-0,9119075;2,36262;-0,1869923;-0,9580718;2,340232;0,02428179;-0,3018579;2,482807;0,04217595;-0,6585861;2,382718;0,005114372;-0,9124174;2,360062;0,003847182;-0,9510652;2,272623; 
-0,03431244;0,3486323;2,597472;-0,05278971;-0,2248199;2,487519;-0,05845917;-0,1716966;2,542672;-0,06279047;0,155987;2,565088;-0,2333303;0,07293388;2,550027;-0,5063461;-0,05261106;2,526268;-0,7033652;-0,1157867;2,433;-0,7414679;-0,1096999;2,417058;0,1056905;0,0433848;2,572376;0,124628;-0,2290748;2,525565;0,1369016;-0,4348473;2,430371;0,1410456;-0,4944669;2,392391;-0,1265108;-0,2969261;2,458118;-0,1599523;-0,6688846;2,378051;-0,1239708;-0,9119083;2,362644;-0,1848535;-0,9618721;2,342588;0,02473328;-0,3037615;2,481935;0,04237;-0,6595487;2,382828;0,005210432;-0,9123264;2,360113;0,004063953;-0,9509878;2,272669; 
-0,03488766;0,3487904;2,597108;-0,0528467;-0,228376;2,485604;-0,0583329;-0,1745511;2,541016;-0,0626575;0,1558751;2,564569;-0,2315386;0,06929624;2,54897;-0,498254;-0,07021362;2,524255;-0,6935504;-0,1395509;2,430194;-0,7369855;-0,135777;2,413083;0,1047069;0,04286323;2,571141;0,1249567;-0,2291839;2,525619;0,1371852;-0,4353209;2,430322;0,1413077;-0,49463;2,39254;-0,1258463;-0,2991762;2,457001;-0,1596158;-0,6693388;2,377794;-0,1241254;-0,911489;2,362675;-0,1879753;-0,9568418;2,34094;0,02373973;-0,3061087;2,480049;0,04205735;-0,6610683;2,382482;0,00485683;-0,9136457;2,360146;0,03210184;-0,9896179;2,350551; 
