;0,05242431;0,7994168;2,668915;0,03646549;0,176676;2,621785;0,0423826;0,2398866;2,681109;0,06186548;0,6086668;2,677376;-0,131912;0,5633522;2,69215;-0,2612457;0,756088;2,597809;-0,3409159;0,9726489;2,519898;-0,3694267;1,056419;2,512539;0,2170889;0,476575;2,668172;0,2826544;0,1943087;2,670812;0,2897997;-0,03887998;2,603018;0,2677858;-0,1522062;2,569783;-0,04853889;0,1023009;2,613216;-0,06235686;-0,4664462;2,651915;-0,03565859;-0,8318849;2,642598;-0,05673939;-0,8986852;2,588287;0,1115059;0,09109208;2,603484;0,1466642;-0,4573902;2,629792;0,1447212;-0,8341642;2,642972;0,1679948;-0,9070928;2,586705; 
0,05247169;0,7995038;2,668959;0,0364983;0,1766096;2,621496;0,04227111;0,2398473;2,680894;0,06186621;0,6087611;2,677392;-0,1318367;0,5630294;2,691324;-0,2605839;0,7555529;2,597137;-0,339377;0,9721824;2,518766;-0,3680909;1,055909;2,511566;0,2167393;0,4764968;2,668152;0,2828206;0,1945127;2,670834;0,2896505;-0,03867553;2,603473;0,2678653;-0,1520097;2,570058;-0,04832951;0,1023015;2,612607;-0,06313623;-0,4668656;2,651436;-0,0335348;-0,8333525;2,641782;-0,05702751;-0,8998845;2,586856;0,1115031;0,09112392;2,603377;0,1464669;-0,457234;2,629438;0,1446757;-0,8341379;2,64301;0,1679895;-0,9070292;2,586592; 
0,0523691;0,8000404;2,669564;0,03634048;0,1767515;2,621204;0,04192523;0,2399221;2,680655;0,06167701;0,6087238;2,677452;-0,1320314;0,5627694;2,69065;-0,2603591;0,7553947;2,596457;-0,338626;0,9721771;2,518366;-0,3670687;1,055948;2,510517;0,2173353;0,4761706;2,668549;0,2828373;0,19465;2,670948;0,2887126;-0,03857198;2,604115;0,2679058;-0,1521567;2,570883;-0,04858021;0,1023926;2,61229;-0,06315659;-0,4667863;2,65111;-0,03351019;-0,8337032;2,641689;-0,05699979;-0,8997891;2,586888;0,1114694;0,09111172;2,602957;0,1463443;-0,4574976;2,629298;0,1446703;-0,8343143;2,642878;0,1679982;-0,906996;2,586546; 
0,0525702;0,8003402;2,670331;0,03618945;0,1770905;2,621375;0,0411407;0,2400229;2,680987;0,06065569;0,609588;2,680709;-0,1332756;0,5616642;2,691548;-0,2660115;0,7486045;2,592245;-0,342603;0,964876;2,510881;-0,3673604;1,050061;2,506664;0,2188962;0,4771349;2,672755;0,2829881;0,1947645;2,672338;0,2890207;-0,0384662;2,606073;0,2685137;-0,1518755;2,57209;-0,04870383;0,1024444;2,612288;-0,0633627;-0,4669611;2,650943;-0,03357654;-0,833429;2,641686;-0,05721731;-0,8998843;2,586601;0,1114744;0,09127606;2,602957;0,1462597;-0,4573973;2,629107;0,1444755;-0,8336759;2,643131;0,1679576;-0,9069771;2,586542; 
0,05223946;0,8003905;2,671957;0,03625625;0,1770889;2,621355;0,04103667;0,2398338;2,680974;0,05992175;0,6094315;2,682332;-0,1344411;0,5598006;2,691809;-0,2675897;0,7448779;2,592187;-0,3426951;0,9609677;2,508975;-0,3670834;1,046218;2,504133;0,2181526;0,4783257;2,674074;0,2827326;0,1950498;2,67324;0,2892523;-0,0380488;2,60695;0,2688924;-0,1513724;2,57263;-0,04842751;0,1022455;2,612081;-0,0633742;-0,4670193;2,650822;-0,03348864;-0,8334498;2,641718;-0,05750184;-0,8999154;2,5867;0,1117547;0,09153336;2,602861;0,1461533;-0,4575664;2,628945;0,1445686;-0,833659;2,643166;0,1676789;-0,9069926;2,5866; 
0,05235727;0,8001475;2,672705;0,03621858;0,1768717;2,621443;0,04089276;0,2395257;2,681141;0,05926094;0,6094379;2,683433;-0,1350212;0,558557;2,692592;-0,2682239;0,7429166;2,591594;-0,3433328;0,9589036;2,508444;-0,3673143;1,044276;2,50394;0,2182605;0,4774365;2,674934;0,2828321;0,1950822;2,673671;0,2891831;-0,03788172;2,607261;0,2696409;-0,151456;2,573348;-0,04824381;0,1015497;2,611999;-0,06338406;-0,466711;2,650564;-0,03328896;-0,833279;2,641567;-0,05737486;-0,899666;2,586621;0,1117113;0,09143466;2,602905;0,1461319;-0,4575475;2,628843;0,1445959;-0,8337088;2,643205;0,1677174;-0,9071731;2,586198; 
0,05218608;0,800076;2,673581;0,03609358;0,1769588;2,62146;0,04076334;0,2395771;2,681212;0,05928731;0,6095615;2,683912;-0,1357382;0,55817;2,693115;-0,2690227;0,7420088;2,59132;-0,3438334;0,9577945;2,507602;-0,3681085;1,042991;2,501862;0,2183249;0,4767455;2,675245;0,2828173;0,1940511;2,674243;0,2891678;-0,03869879;2,607388;0,269793;-0,1521814;2,573159;-0,04854944;0,1015911;2,611834;-0,06345191;-0,4668843;2,650574;-0,03329564;-0,8331661;2,641681;-0,0574544;-0,8996656;2,586576;0,1116661;0,09144221;2,602904;0,1461198;-0,4575836;2,628821;0,1445574;-0,8336942;2,643142;0,1678854;-0,9072291;2,585999; 
0,05119455;0,8003653;2,676443;0,03599132;0,1763171;2,621446;0,04060752;0,2390763;2,681315;0,05862384;0,6099319;2,684946;-0,1360528;0,5574181;2,693396;-0,2694135;0,7409101;2,591213;-0,344067;0,9564574;2,506947;-0,368023;1,041729;2,501308;0,2172599;0,4769171;2,675467;0,2827478;0,1937383;2,674733;0,2893173;-0,03883642;2,607605;0,270207;-0,1523951;2,573583;-0,04820697;0,1009086;2,611662;-0,06343736;-0,4669804;2,650536;-0,03326035;-0,8335392;2,641685;-0,05753155;-0,8995485;2,586841;0,1114493;0,09118398;2,60285;0,1459862;-0,4578016;2,628556;0,1445948;-0,8337097;2,643165;0,1678802;-0,90724;2,58601; 
0,05146389;0,80001;2,676737;0,03599132;0,1763172;2,62143;0,04044866;0,239002;2,681314;0,05800344;0,6097769;2,685581;-0,1360424;0,5554786;2,693622;-0,2692151;0,7395668;2,591281;-0,3442183;0,9548005;2,50677;-0,3675568;1,040259;2,501772;0,2187132;0,4768875;2,67674;0,2830258;0,1931752;2,674934;0,2890604;-0,03932311;2,607864;0,2701026;-0,1527455;2,573417;-0,04823728;0,1008534;2,611551;-0,06351376;-0,4669719;2,650371;-0,03344981;-0,834002;2,641238;-0,05755313;-0,8995619;2,586762;0,1115976;0,09113687;2,602782;0,1459639;-0,4577508;2,628438;0,1445034;-0,8334873;2,643115;0,1677744;-0,9071209;2,585993; 
0,05093689;0,7996254;2,676887;0,03594024;0,1763111;2,621385;0,04034919;0,2389963;2,681279;0,05798243;0,6097719;2,685561;-0,1363849;0,5548503;2,6935;-0,2692768;0,7388523;2,591283;-0,3441727;0,9540174;2,506785;-0,3676655;1,039378;2,501433;0,2182056;0,4776939;2,677109;0,2832121;0,1933567;2,675109;0,2890108;-0,03901519;2,607904;0,2711178;-0,1526005;2,573576;-0,04827903;0,1008237;2,611478;-0,06348513;-0,4664686;2,650058;-0,03340423;-0,834146;2,641187;-0,05662149;-0,8996916;2,587544;0,1115284;0,09119248;2,602728;0,1460037;-0,4577535;2,62841;0,1444955;-0,8333933;2,643188;0,1679862;-0,90707;2,585535; 
0,05008838;0,8000556;2,677876;0,0356457;0,1760776;2,621291;0,04007903;0,2387929;2,681259;0,05784789;0,6097804;2,685691;-0,1366544;0,5547397;2,693474;-0,2695052;0,7386035;2,59135;-0,344265;0,9535192;2,506271;-0,3677248;1,038832;2,500577;0,2165192;0,4775837;2,67689;0,283181;0,1932857;2,675176;0,2890103;-0,03897394;2,607914;0,2710295;-0,1525098;2,573629;-0,0484449;0,1007342;2,611357;-0,06389467;-0,4663809;2,649585;-0,03348383;-0,8344482;2,641248;-0,05811464;-0,9015302;2,586204;0,1111682;0,09104875;2,602598;0,1459654;-0,4578625;2,628276;0,1444502;-0,8335537;2,64316;0,1679857;-0,9071316;2,585786; 
