;0,01792906;0,4289595;2,6439;-0,02466339;-0,1645289;2,525289;-0,02615561;-0,1137608;2,59009;-0,01746331;0,235015;2,637753;-0,1823829;0,1412624;2,638594;-0,4138157;0,145844;2,653793;-0,6709227;0,1725035;2,542968;-0,7596106;0,1745876;2,503732;0,1770522;0,07878283;2,634788;0,1678093;-0,1810689;2,556162;0,180631;-0,3871312;2,429508;0,1779718;-0,4698536;2,378919;-0,1045398;-0,2326556;2,497295;-0,1066565;-0,6468158;2,408191;-0,100006;-0,923471;2,374665;-0,05028037;-0,9834511;2,332134;0,04994805;-0,2475847;2,505206;0,06025401;-0,6218032;2,405524;0,01214501;-0,9208263;2,379654;0,08826132;-0,9633532;2,363012; 
0,0167725;0,4289752;2,643176;-0,02244147;-0,1623776;2,525918;-0,02285127;-0,1117679;2,590567;-0,008893638;0,2338654;2,636882;-0,1830211;0,1405135;2,638707;-0,4297751;0,1547487;2,633107;-0,6698696;0,1727097;2,543083;-0,7589318;0,174476;2,504275;0,1748205;0,08026499;2,633794;0,1680243;-0,1810058;2,555942;0,1756088;-0,4031502;2,420909;0,1721712;-0,4845957;2,368031;-0,1030923;-0,2312029;2,497416;-0,1090096;-0,6434548;2,409221;-0,09995771;-0,9234914;2,374732;-0,04907583;-0,9816507;2,330669;0,05190974;-0,2458778;2,506207;0,06024161;-0,6211148;2,40526;0,01181756;-0,9217338;2,379694;0,08864607;-0,9633149;2,362919; 
0,01573447;0,4291125;2,641975;-0,02101828;-0,1616604;2,526422;-0,02118014;-0,1110551;2,59095;-0,008064577;0,2340034;2,636772;-0,1834082;0,1399741;2,638633;-0,4330638;0,1519302;2,630431;-0,6705228;0,1636599;2,538692;-0,759716;0,1633171;2,500059;0,1725528;0,08099119;2,633162;0,1684815;-0,1806168;2,556527;0,1756366;-0,4047921;2,420027;0,171777;-0,4863274;2,367253;-0,1020746;-0,2304711;2,497415;-0,10978;-0,6412309;2,409571;-0,09976827;-0,9237804;2,374753;-0,09002362;-0,9917679;2,318119;0,05460876;-0,245237;2,507906;0,06066069;-0,6198455;2,405189;0,01163731;-0,9219534;2,379783;0,0886436;-0,9633148;2,362934; 
0,01540092;0,4289514;2,641594;-0,02011034;-0,1622746;2,526491;-0,02027738;-0,1113494;2,590877;-0,007916817;0,2342377;2,636235;-0,1835279;0,1398873;2,638587;-0,4350725;0,1453162;2,62839;-0,6727187;0,1448883;2,527157;-0,7611815;0,1403337;2,487154;0,1704435;0,07974997;2,631872;0,1692479;-0,182668;2,556156;0,1745413;-0,4069338;2,41942;0,1704162;-0,4895439;2,365762;-0,100925;-0,2305837;2,497451;-0,1101617;-0,6395783;2,409926;-0,09971692;-0,9237342;2,374732;-0,08325092;-0,9880036;2,315134;0,05621551;-0,2472212;2,508621;0,05937344;-0,6165574;2,405816;0,01185807;-0,920507;2,379775;0,0882351;-0,9634157;2,363073; 
0,01567075;0,4285138;2,640252;-0,01998958;-0,1622305;2,526445;-0,02033191;-0,1111064;2,590815;-0,001342796;0,2350486;2,636009;-0,1801244;0,1367583;2,636899;-0,4259066;0,03564386;2,602385;-0,6164066;-0,03680537;2,474993;-0,6883461;-0,06845813;2,415434;0,1738512;0,07578917;2,634984;0,1711034;-0,1822747;2,558633;0,1734057;-0,4034313;2,42208;0,1692534;-0,4872567;2,370305;-0,1010235;-0,2299848;2,497393;-0,1112923;-0,638721;2,410063;-0,1000615;-0,9228214;2,374422;-0,07586849;-0,9897293;2,320501;0,05615161;-0,2476311;2,50858;0,05832702;-0,6153566;2,406195;0,01176849;-0,9209425;2,379834;0,08864911;-0,9631202;2,363105; 
-0,07101905;0,428461;2,641372;-0,02515232;-0,1674738;2,525029;-0,02538716;-0,1153748;2,589481;-0,03672415;0,2372553;2,634546;-0,2077606;0,08708538;2,624257;-0,2363431;-0,1810697;2,558498;-0,2291631;-0,387753;2,436065;-0,2213256;-0,4715455;2,383111;0,1305459;0,1106837;2,634513;0,1763942;-0,1774089;2,568748;0,1805533;-0,4137797;2,420589;0,1874897;-0,4916556;2,376778;-0,1047587;-0,2428302;2,499725;-0,1058073;-0,642603;2,407995;-0,0993371;-0,9231978;2,374376;-0,06873201;-0,9956813;2,332074;0,05282662;-0,2462364;2,505857;0,05883937;-0,616661;2,407183;0,01496365;-0,9224229;2,379781;0,09152713;-0,9649926;2,362293; 
-0,07409573;0,4281906;2,645521;-0,0302288;-0,1684645;2,524663;-0,03111307;-0,1162463;2,589092;-0,0388324;0,2367511;2,634554;-0,2073256;0,08753409;2,624801;-0,2358182;-0,1798174;2,558961;-0,2290673;-0,387046;2,437011;-0,2214077;-0,4714676;2,383911;0,1303741;0,1105919;2,634203;0,177145;-0,1778692;2,567006;0,1841814;-0,41706;2,416978;0,1887172;-0,4909292;2,376968;-0,1080339;-0,242188;2,5023;-0,1040985;-0,6452153;2,407302;-0,09899358;-0,9232379;2,374505;-0,02874438;-0,9732723;2,351057;0,04627109;-0,2454206;2,501605;0,0594894;-0,6159464;2,407894;0,015385;-0,9230918;2,379787;0,09205555;-0,9655535;2,362271; 
-0,07689787;0,4292548;2,646611;-0,0324946;-0,1697983;2,523735;-0,03298301;-0,1173264;2,588413;-0,03907639;0,2365543;2,634789;-0,2073693;0,08786021;2,625347;-0,2354346;-0,1794908;2,559267;-0,2290648;-0,3869572;2,43724;-0,2220596;-0,4718617;2,383792;0,1300978;0,1106879;2,633715;0,17734;-0,1774936;2,566072;0,1855289;-0,4187329;2,413638;0,1889009;-0,4904081;2,37574;-0,1102487;-0,2445084;2,502079;-0,1033234;-0,6466715;2,40679;-0,09862803;-0,9234822;2,374324;-0,03555744;-0,984148;2,355973;0,0441758;-0,2443871;2,499769;0,0579676;-0,624505;2,409042;0,01745728;-0,9242057;2,379826;0,09445705;-0,966027;2,362021; 
-0,07730373;0,4290353;2,647784;-0,03423674;-0,1694154;2,523594;-0,0344162;-0,1169443;2,588295;-0,03921011;0,2366799;2,634945;-0,2071915;0,0875047;2,626385;-0,2347405;-0,1801287;2,558773;-0,2293228;-0,3881025;2,437198;-0,2244782;-0,4741945;2,384548;0,1301671;0,1105938;2,633689;0,1775795;-0,1771761;2,565306;0,1856058;-0,4199683;2,411407;0,188577;-0,4894787;2,374197;-0,1116901;-0,2434262;2,503121;-0,1036586;-0,6461868;2,406798;-0,09816098;-0,9234381;2,374357;-0,03740759;-0,9870332;2,358035;0,04149488;-0,2437669;2,498042;0,05796723;-0,6245466;2,409036;0,01740834;-0,9243097;2,37983;0,09417859;-0,9665763;2,361897; 
-0,1146369;0,4282261;2,647258;-0,04130805;-0,1696953;2,524544;-0,04439375;-0,1168248;2,589114;-0,06823397;0,2371179;2,63393;-0,225933;0,08648266;2,626277;-0,2398205;-0,181608;2,558005;-0,2398793;-0,392677;2,443036;-0,2307672;-0,4775096;2,389065;0,1149787;0,1154627;2,633263;0,3197226;-0,04919613;2,596309;0,4965483;-0,1737396;2,471025;0,5628357;-0,2330144;2,42546;-0,116305;-0,2467144;2,503845;-0,1049692;-0,6434481;2,40673;-0,09809636;-0,9235533;2,374896;-0,1359458;-1,002277;2,355385;0,0370549;-0,2407426;2,499721;0,05691271;-0,624534;2,409733;0,01772226;-0,924707;2,380011;0,09419658;-0,9673426;2,361451; 
-0,1257473;0,4272555;2,643677;-0,04610831;-0,1698376;2,525317;-0,04864952;-0,1166549;2,589727;-0,07454599;0,2373492;2,63406;-0,2322319;0,08474611;2,625075;-0,2433942;-0,1828401;2,557601;-0,2508298;-0,3947263;2,445284;-0,2406651;-0,4772041;2,388349;0,08769424;0,121787;2,62456;0,3276033;0,03479412;2,624043;0,5459601;-0,02298781;2,533109;0,6291395;-0,04870928;2,482443;-0,1183016;-0,2466746;2,505021;-0,1049585;-0,6435105;2,406662;-0,09830052;-0,9231208;2,3748;-0,1001377;-0,9630588;2,277523;0,03208292;-0,2384287;2,500882;0,05618685;-0,6242334;2,410534;0,01802314;-0,9248741;2,379901;0,0945636;-0,9673575;2,361776; 
