;0,03250561;0,7893471;2,671565;0,04884452;0,1695513;2,618757;0,05128747;0,2342219;2,678855;0,02257606;0,6129661;2,68497;-0,1348724;0,4746171;2,70205;-0,1672119;0,2081205;2,666336;-0,1797691;-0,01567753;2,582607;-0,1618315;-0,1296972;2,544529;0,2238794;0,5319828;2,667552;0,3674059;0,7330949;2,576641;0,4323311;0,9446884;2,484374;0,446521;1,031445;2,465874;-0,02669472;0,08208877;2,614967;-0,05143829;-0,4579421;2,656836;-0,03128481;-0,8252832;2,640132;-0,04477099;-0,8925582;2,587174;0,1328866;0,094515;2,593425;0,1732539;-0,4564973;2,624894;0,1714466;-0,834377;2,651638;0,1908794;-0,9053168;2,596512; 
0,03252646;0,7889903;2,672307;0,04858644;0,1693593;2,618803;0,05103036;0,2339812;2,678978;0,02217173;0,6128173;2,685586;-0,1350151;0,4746771;2,702202;-0,1673771;0,2080756;2,665854;-0,1802469;-0,01572698;2,582385;-0,1621805;-0,1297306;2,544469;0,2218289;0,5310255;2,667438;0,3673594;0,7331041;2,576661;0,4318553;0,944908;2,484778;0,4459803;1,031575;2,465978;-0,02670604;0,08208933;2,614968;-0,05138249;-0,4579134;2,656813;-0,03105458;-0,8263032;2,639896;-0,04491889;-0,8928908;2,587155;0,1324187;0,09449618;2,593452;0,1732406;-0,4565106;2,624911;0,1712797;-0,8344921;2,651577;0,1908985;-0,9053172;2,596428; 
0,03299487;0,7890602;2,672701;0,04859833;0,169426;2,618842;0,05090768;0,2339727;2,67908;0,02194658;0,6127723;2,686273;-0,1350352;0,4746262;2,702217;-0,1677178;0,2079305;2,665529;-0,1804563;-0,0158802;2,582259;-0,1621719;-0,129617;2,543797;0,2224383;0,5316046;2,668288;0,3671039;0,732953;2,577023;0,4316912;0,9445634;2,484862;0,4451736;1,031381;2,466453;-0,02669368;0,08211142;2,614945;-0,05146532;-0,4579306;2,656829;-0,03120828;-0,8260553;2,640195;-0,04463122;-0,8923076;2,587567;0,1325469;0,09462223;2,593474;0,1732706;-0,4565663;2,625013;0,1712791;-0,8344836;2,651596;0,1909471;-0,9053192;2,596446; 
0,02635384;0,7898692;2,676378;0,04790825;0,1673616;2,618463;0,04844234;0,2318459;2,67924;0,01893965;0,6118246;2,688923;-0,1389652;0,4722082;2,702792;-0,1679521;0,2063359;2,659402;-0,1758595;-0,01698868;2,574213;-0,1578944;-0,1325335;2,541329;0,2166478;0,5175346;2,677751;0,4121461;0,6159854;2,558494;0,4149456;0,8752911;2,450049;0,4133375;0,9594683;2,418868;-0,02714643;0,07970209;2,612683;-0,05084257;-0,4586225;2,656198;-0,03055166;-0,826357;2,63981;-0,04602354;-0,8948705;2,589195;0,1323083;0,09327724;2,593703;0,1737886;-0,4571135;2,624708;0,1711469;-0,8346727;2,651495;0,1910345;-0,905368;2,596382; 
0,0238125;0,7903275;2,677581;0,04716187;0,1652189;2,618184;0,04705363;0,2297224;2,679343;0,01812746;0,6107166;2,690285;-0,1429302;0,4701995;2,703636;-0,1684592;0,2060571;2,657179;-0,175228;-0,01776057;2,573811;-0,1572841;-0,1334598;2,541476;0,214037;0,5099827;2,68145;0,4135818;0,5925125;2,556145;0,4122265;0,8576027;2,424305;0,41716;0,9409918;2,391409;-0,02781648;0,07780346;2,611749;-0,04999878;-0,459397;2,655903;-0,03023547;-0,8267799;2,639832;-0,04603141;-0,8948569;2,589249;0,1317763;0,09115399;2,59349;0,173917;-0,4582691;2,624495;0,1713744;-0,8345955;2,651226;0,1910847;-0,9053441;2,596336; 
0,01865683;0,7903081;2,679546;0,04661182;0,1627643;2,617868;0,0458529;0,2273541;2,679348;0,01740119;0,6095384;2,691213;-0,1466469;0,4676185;2,704453;-0,1687986;0,2059355;2,656238;-0,1645719;-0,04919909;2,559815;-0,153839;-0,1382088;2,540206;0,2098468;0,5005836;2,684798;0,4179661;0,5360945;2,549336;0,420757;0,7546514;2,416231;0,4166955;0,8345694;2,371823;-0,02830525;0,07558188;2,610675;-0,049785;-0,4603058;2,65561;-0,03013658;-0,8267791;2,639894;-0,04599981;-0,8949464;2,589239;0,1314758;0,08919142;2,593521;0,1743538;-0,4581344;2,62422;0,1715522;-0,8345733;2,65118;0,1910729;-0,9052002;2,596293; 
0,01583253;0,7918947;2,680147;0,04558127;0,1594859;2,617614;0,04458239;0,2246694;2,679388;0,01711384;0,6091446;2,691745;-0,1477037;0,4668961;2,704077;-0,1696365;0,2035595;2,653975;-0,170388;-0,02170672;2,568914;-0,1540428;-0,138536;2,540166;0,2074822;0,4913373;2,685181;0,4173769;0,4829726;2,553597;0,4267034;0,678539;2,406612;0,4252328;0,7628765;2,355204;-0,02920824;0,07305457;2,609485;-0,04932478;-0,4608923;2,655081;-0,03013858;-0,826778;2,639949;-0,0461066;-0,8950585;2,589365;0,1303369;0,0862297;2,594094;0,1743459;-0,4584666;2,624282;0,1722045;-0,8340617;2,651242;0,1910841;-0,9052117;2,596317; 
0,01269396;0,7886832;2,681958;0,04441311;0,1549103;2,617648;0,04315624;0,220515;2,679814;0,01545519;0,607711;2,693854;-0,1493212;0,4638351;2,703588;-0,169914;0,2031792;2,653569;-0,1704072;-0,02079272;2,569039;-0,1540417;-0,1374516;2,53965;0,2036144;0,4866588;2,685289;0,40936;0,4368576;2,553293;0,4277026;0,6103652;2,381805;0,4248936;0,6787799;2,334029;-0,02974257;0,06972596;2,609157;-0,04906085;-0,4612289;2,654884;-0,02981636;-0,826776;2,639745;-0,04585416;-0,8950987;2,589319;0,1290517;0,0830714;2,594201;0,1743487;-0,4586275;2,624288;0,1723256;-0,83386;2,651247;0,1912096;-0,9051027;2,595943; 
0,01207974;0,7885081;2,682257;0,04407537;0,1535438;2,617765;0,04264694;0,2191372;2,680099;0,01468268;0,607253;2,695273;-0,1501465;0,4628281;2,703383;-0,1699337;0,2007837;2,651867;-0,1705555;-0,02252719;2,568082;-0,1539066;-0,1391965;2,539109;0,2020234;0,4867042;2,68598;0,3917777;0,3870386;2,561138;0,4317662;0,540105;2,348882;0,4329025;0,5869349;2,299378;-0,0299148;0,06856136;2,608723;-0,04891827;-0,4614263;2,654783;-0,02994573;-0,8262451;2,639756;-0,04559027;-0,8949587;2,588416;0,1286129;0,08214815;2,594678;0,1745199;-0,4587854;2,623999;0,1723443;-0,8338804;2,651709;0,1910379;-0,9049758;2,596221; 
0,01077866;0,7880838;2,682656;0,0440406;0,1517281;2,617807;0,04246842;0,2175808;2,680224;0,01471723;0,6070061;2,695495;-0,1506255;0,4621339;2,703355;-0,1701764;0,1999213;2,650952;-0,1705442;-0,0234929;2,567824;-0,1539422;-0,1401459;2,538704;0,1973694;0,4839309;2,686687;0,3671058;0,3364339;2,578637;0,4308273;0,4281121;2,358844;0,4392673;0,4744391;2,282485;-0,0296369;0,06729451;2,608496;-0,04860498;-0,4626766;2,654625;-0,02995593;-0,8262435;2,639762;-0,04518239;-0,8941392;2,58867;0,1281489;0,08128978;2,595119;0,1748883;-0,4591691;2,624202;0,1728374;-0,8336623;2,652246;0,1909185;-0,9048998;2,596562; 
0,009878223;0,7873312;2,682986;0,04361359;0,1494083;2,617685;0,04212005;0,2155581;2,680225;0,01421554;0,6065303;2,695918;-0,1506809;0,4620631;2,703384;-0,1703421;0,1995334;2,650217;-0,1705561;-0,02396707;2,567805;-0,1538204;-0,1404504;2,53834;0,1939748;0,4830087;2,685755;0,3328131;0,2999764;2,615028;0,4119405;0,3283638;2,38262;0,4272728;0,365108;2,274769;-0,02950993;0,06606202;2,608345;-0,04823555;-0,4630492;2,654647;-0,03080759;-0,8249395;2,639836;-0,04515842;-0,8934471;2,588718;0,1272277;0,07994103;2,595295;0,1749812;-0,4594088;2,624207;0,1727967;-0,8336329;2,652331;0,1909776;-0,9049516;2,596622; 
