;0,03157275;0,8531284;2,617;0,02459228;0,2321333;2,58633;0,01883171;0,292772;2,647747;0,01129274;0,6621768;2,66043;-0,1704001;0,532044;2,650286;-0,2322589;0,2729599;2,636605;-0,2249886;0,04855719;2,565526;-0,2225652;-0,02624372;2,54663;0,2372372;0,5580012;2,682178;0,4615769;0,560231;2,664687;0,2859881;0,7379883;2,573742;0,2084125;0,7668339;2,576986;-0,06270421;0,1436269;2,565507;-0,02426593;-0,4682031;2,578886;-0,002292675;-0,8552909;2,586645;-0,0275348;-0,9084877;2,535553;0,117414;0,1413289;2,570432;0,06973311;-0,4732315;2,590361;0,06760489;-0,8449485;2,58821;0,1131151;-0,8967901;2,535998; 
0,03026231;0,8529239;2,61742;0,02463434;0,2322226;2,586494;0,01884585;0,2928351;2,647857;0,01116384;0,6620063;2,660401;-0,1702006;0,5322419;2,650303;-0,2321289;0,2728874;2,636754;-0,2248941;0,04858569;2,565752;-0,2224825;-0,02618155;2,546881;0,2384197;0,5579396;2,682239;0,4626526;0,5594651;2,664659;0,2865565;0,7386485;2,573538;0,2090032;0,7674859;2,57678;-0,06266049;0,1436425;2,565657;-0,02418762;-0,4681839;2,578878;-0,002588781;-0,8548684;2,586932;-0,03065131;-0,9086224;2,537067;0,1175412;0,1412982;2,57062;0,06988336;-0,4731394;2,590308;0,06755566;-0,8440343;2,588779;0,09268801;-0,899633;2,534722; 
0,02971861;0,8521065;2,616908;0,02481016;0,2326202;2,586743;0,01893192;0,2931057;2,647965;0,01086701;0,6614529;2,659751;-0,1702918;0,532111;2,650381;-0,2321424;0,2725166;2,636796;-0,2246587;0,0486;2,565584;-0,2221641;-0,02603886;2,546643;0,2388169;0,5580757;2,682343;0,4629517;0,5585886;2,664537;0,2870458;0,7391583;2,573478;0,2095149;0,7679872;2,57672;-0,06253261;0,1437754;2,565901;-0,02421566;-0,4681146;2,578861;-0,002605525;-0,8545502;2,586932;-0,02536042;-0,9085507;2,535656;0,1179679;0,1415344;2,570988;0,06991476;-0,4731387;2,590317;0,06755839;-0,843132;2,589051;0,111659;-0,8979399;2,538156; 
0,02902826;0,8523415;2,617928;0,02492565;0,2327187;2,586898;0,01904976;0,2932365;2,648045;0,01098881;0,6612795;2,659268;-0,1701672;0,5324196;2,650729;-0,2314721;0,2714893;2,637848;-0,2244395;0,04899315;2,566323;-0,2220954;-0,02517224;2,547277;0,2389769;0,5576674;2,682307;0,4629975;0,5581158;2,66458;0,2877716;0,7399399;2,573477;0,2102629;0,7687603;2,576717;-0,06240942;0,1438257;2,566043;-0,02418243;-0,4681002;2,578889;-0,002541822;-0,8546358;2,586895;-0,02954824;-0,9080281;2,539021;0,1181654;0,1416049;2,571484;0,07001725;-0,4730813;2,590314;0,06734755;-0,8432324;2,589212;0,1158847;-0,8973877;2,537255; 
0,02909792;0,8517435;2,617701;0,02505604;0,2327026;2,587096;0,01921769;0,2932514;2,648184;0,01121017;0,6610018;2,65906;-0,1701759;0,5323893;2,650758;-0,2309434;0,272137;2,637842;-0,2241835;0,04886498;2,56645;-0,2219302;-0,02555904;2,547449;0,2398573;0,5562596;2,68181;0,4637254;0,5581726;2,664723;0,2887801;0,7400603;2,573444;0,2112933;0,7688726;2,576683;-0,06231086;0,14362;2,566356;-0,02418165;-0,4679594;2,578912;-0,002528322;-0,8545552;2,586859;-0,02684393;-0,9080505;2,538473;0,1183875;0,1414807;2,571779;0,07017492;-0,4730161;2,590371;0,06721722;-0,843523;2,589051;0,1175511;-0,8970706;2,536657; 
0,02954318;0,851354;2,618091;0,02519441;0,2330323;2,587426;0,01932304;0,2935103;2,648338;0,01115908;0,6605101;2,65837;-0,1701874;0,5323597;2,650866;-0,2309544;0,2719253;2,637852;-0,2239845;0,04974662;2,567422;-0,2216611;-0,02431294;2,548741;0,2407444;0,5562057;2,681776;0,4645221;0,5573024;2,664392;0,2887865;0,7399993;2,573408;0,2113213;0,7688035;2,576646;-0,06228123;0,1436697;2,566766;-0,02415974;-0,4679289;2,578917;-0,002210194;-0,8549857;2,586767;-0,02366008;-0,9085532;2,538124;0,1187652;0,1416603;2,572243;0,07029527;-0,4731789;2,590478;0,06735671;-0,8442068;2,588758;0,1180597;-0,8971894;2,536685; 
0,03049161;0,8509282;2,618624;0,02549845;0,2332796;2,587876;0,01953822;0,2936983;2,648624;0,01105078;0,6601997;2,6582;-0,1697603;0,5324967;2,650871;-0,2307379;0,2717094;2,638072;-0,2233651;0,04997759;2,568172;-0,2209075;-0,023933;2,549667;0,2433399;0,5567232;2,681832;0,4670162;0,5567526;2,664243;0,2888907;0,7400349;2,57342;0,2114469;0,7688311;2,576659;-0,0619983;0,1436971;2,567287;-0,02426081;-0,4678622;2,578966;-0,002085104;-0,8550391;2,586771;-0,03894888;-0,9109429;2,539591;0,1193998;0,1416558;2,572838;0,07036847;-0,4730745;2,590542;0,06710871;-0,8446702;2,58864;0,1184761;-0,8971931;2,536857; 
0,03003115;0,8501548;2,61754;0,02567623;0,2328998;2,588156;0,01963649;0,2934957;2,648821;0,01092653;0,6601428;2,658137;-0,1696075;0,5324083;2,650817;-0,2302621;0,2712443;2,637962;-0,2231934;0,05078923;2,568818;-0,2208371;-0,0226958;2,550566;0,2431673;0,5566261;2,681825;0,4667439;0,5564347;2,663968;0,2890905;0,7402838;2,57314;0,2116679;0,7690723;2,576378;-0,06167272;0,143368;2,567646;-0,0240622;-0,4678727;2,579089;-0,00199776;-0,8549939;2,586712;-0,03887013;-0,9099612;2,539455;0,1196257;0,1411772;2,573305;0,07033426;-0,4730873;2,590574;0,0671138;-0,8446777;2,588578;0,1187376;-0,896915;2,536732; 
0,03003154;0,8501675;2,617539;0,02586033;0,2331556;2,588616;0,01977979;0,2937047;2,649175;0,01083618;0,6600122;2,65813;-0,1698431;0,5321175;2,650771;-0,2296619;0,272695;2,638192;-0,2231466;0,05125291;2,5693;-0,2209749;-0,02256113;2,551131;0,2432592;0,556161;2,681645;0,4667214;0,5563409;2,6637;0,2894433;0,7428344;2,570654;0,2039535;0,8149267;2,574226;-0,06146865;0,1436002;2,568706;-0,02397444;-0,4678046;2,579138;-0,001986998;-0,8549562;2,58672;-0,0321423;-0,9090527;2,536564;0,119898;0,1411988;2,573471;0,07049356;-0,4731432;2,590757;0,06712517;-0,844404;2,588533;0,1190427;-0,8967107;2,537172; 
0,0270008;0,849023;2,619941;0,02556873;0,2325998;2,589196;0,01958693;0,2930799;2,649715;0,008510506;0,657473;2,657779;-0,171288;0,5320002;2,651189;-0,2295714;0,2724026;2,638404;-0,222873;0,05089438;2,569491;-0,2206403;-0,02294169;2,551316;0,2385398;0,5552691;2,679874;0,4549378;0,6093013;2,63597;0,3142017;0,7714908;2,559288;0,2439151;0,8384262;2,555728;-0,06148061;0,1428394;2,569937;-0,02393442;-0,467797;2,579225;-0,001823982;-0,8548741;2,586718;-0,02754852;-0,9086875;2,536041;0,1197284;0,1409707;2,573774;0,07049939;-0,4731785;2,590858;0,06700867;-0,8442857;2,58859;0,1191315;-0,8966275;2,537163; 
0,02434911;0,849092;2,619178;0,02543487;0,2317722;2,589819;0,01955093;0,2925893;2,650195;0,008500314;0,6574703;2,657775;-0,1714275;0,5320649;2,65123;-0,2296285;0,2714428;2,638839;-0,2228119;0,05035058;2,569648;-0,2205397;-0,02334683;2,551379;0,2333237;0,5567389;2,67934;0,4970571;0,5573806;2,673624;0,356252;0,8007072;2,547499;0,2807819;0,8320627;2,55953;-0,06111797;0,1417641;2,571817;-0,02381969;-0,4677739;2,579375;-0,001772817;-0,8545722;2,586726;-0,0207569;-0,9090501;2,534296;0,1193847;0,1409056;2,573977;0,07053758;-0,4731899;2,590955;0,0669046;-0,844265;2,588666;0,1211203;-0,8967681;2,535247; 
0,01580336;0,8503047;2,62054;0,02495757;0,2313098;2,590353;0,01934627;0,2923188;2,650689;0,008392883;0,6575313;2,657897;-0,1726099;0,5321016;2,651705;-0,2296396;0,2712133;2,638969;-0,2229103;0,05018499;2,570302;-0,2206673;-0,0234911;2,552208;0,2271201;0,5593096;2,678562;0,4500854;0,5746394;2,647054;0,4453725;0,7924652;2,54355;0,3920509;0,8878786;2,519936;-0,06139077;0,1411083;2,573244;-0,0236196;-0,4682704;2,57985;-0,001671786;-0,8548988;2,586564;-0,02646516;-0,9076648;2,53593;0,1183371;0,1412246;2,57417;0,07066211;-0,4732019;2,591032;0,06681663;-0,8443626;2,588686;0,1214325;-0,8967955;2,535493; 
0,007523511;0,8511274;2,62228;0,02407934;0,2307065;2,591106;0,01875317;0,2918885;2,651442;0,007938502;0,6575556;2,65831;-0,1736194;0,5319666;2,652135;-0,2297823;0,270637;2,639191;-0,2229726;0,04987672;2,570432;-0,2207027;-0,02371004;2,552307;0,2226815;0,5608131;2,677515;0,4497353;0,5799803;2,644996;0,5031503;0,7857371;2,539918;0,476545;0,9209338;2,508548;-0,06200732;0,1404065;2,574962;-0,02372069;-0,4682553;2,579956;-0,001751657;-0,8548017;2,586719;-0,02633912;-0,9065812;2,537232;0,1167832;0,1416479;2,574382;0,0707363;-0,4732141;2,5911;0,0670441;-0,8442935;2,58868;0,1214804;-0,896556;2,536273; 
