;-0,1570761;0,424369;2,646371;-0,0599595;-0,1582748;2,534757;-0,06480089;-0,1063722;2,59731;-0,09881548;0,2368697;2,634892;-0,2561668;0,07602736;2,626247;-0,2592314;-0,1899216;2,56327;-0,2554331;-0,3999589;2,447757;-0,2453458;-0,4877164;2,399027;0,08051067;0,1412762;2,634974;0,372265;0,1434589;2,667737;0,6034929;0,1692764;2,634565;0,6773548;0,1622973;2,642047;-0,1293277;-0,2445401;2,516506;-0,1070596;-0,6324092;2,409833;-0,0979869;-0,923689;2,374658;-0,09873398;-0,9623671;2,277189;0,02344626;-0,2206845;2,510344;0,0531417;-0,6221769;2,415014;0,01921593;-0,9275326;2,381522;0,0959688;-0,9689214;2,363054; 
-0,1530728;0,4246764;2,648457;-0,05939366;-0,1574831;2,536087;-0,06394307;-0,10564;2,598583;-0,09517831;0,2374624;2,636377;-0,254781;0,07539943;2,627559;-0,2574037;-0,1863069;2,565809;-0,2551816;-0,3967881;2,451864;-0,2455287;-0,4846178;2,403375;0,08299571;0,1433325;2,636988;0,3269261;0,1224682;2,664751;0,5653607;0,1346281;2,626714;0,6342012;0,1224526;2,600976;-0,1291289;-0,2435556;2,518066;-0,1065138;-0,6324841;2,410451;-0,09778845;-0,9237378;2,374707;-0,09863936;-0,9622226;2,277162;0,02377589;-0,2203367;2,511322;0,0527664;-0,6214908;2,41552;0,0192279;-0,9275575;2,381524;0,09598809;-0,9689646;2,363124; 
-0,1500675;0,4253479;2,649546;-0,05910095;-0,1577227;2,536558;-0,06297729;-0,105774;2,599023;-0,09269483;0,2375408;2,636768;-0,2545435;0,07505163;2,630661;-0,2574669;-0,1860514;2,566227;-0,2548535;-0,3966461;2,453212;-0,2451352;-0,4841371;2,404319;0,08298533;0,1430786;2,636717;0,3270295;0,1206688;2,664782;0,5700088;0,1226453;2,619363;0,6450789;0,1144507;2,584204;-0,1290177;-0,2433099;2,519275;-0,1058216;-0,6324522;2,410989;-0,09781916;-0,9237509;2,374701;-0,09978105;-0,9620801;2,277112;0,02393087;-0,2209945;2,511579;0,05269127;-0,620989;2,415911;0,01926219;-0,9276303;2,381668;0,09599785;-0,9690398;2,363173; 
-0,1472319;0,4260772;2,650099;-0,05903069;-0,1575305;2,537004;-0,06243356;-0,1055103;2,599452;-0,09170888;0,2379864;2,637303;-0,2549569;0,07584213;2,633569;-0,2571164;-0,1853448;2,566701;-0,2539902;-0,3963751;2,454629;-0,2445815;-0,4835428;2,405277;0,08352005;0,1428203;2,636828;0,3581513;0,08941629;2,659283;0,5854505;0,09024209;2,594924;0,6793707;0,092822;2,558942;-0,1292746;-0,2427343;2,520061;-0,1054043;-0,6335379;2,411344;-0,09742795;-0,9237127;2,374643;-0,100076;-0,9619106;2,277014;0,02398701;-0,2211927;2,511779;0,05232344;-0,6206282;2,416195;0,01915981;-0,9277196;2,381686;0,09561564;-0,9695383;2,362943; 
-0,1445876;0,425442;2,650649;-0,0583798;-0,1600217;2,537214;-0,06122632;-0,1076951;2,599756;-0,08682828;0,2371369;2,638947;-0,2527569;0,07742123;2,634428;-0,2566718;-0,1843233;2,568065;-0,2522272;-0,3951166;2,455539;-0,243093;-0,4819384;2,405735;0,08363567;0,1424527;2,636777;0,3564501;0,0821268;2,658059;0,5795758;0,05682947;2,582678;0,666643;0,0413086;2,534926;-0,1290105;-0,2453763;2,519861;-0,1050848;-0,6342192;2,41173;-0,09751875;-0,9238089;2,374841;-0,1004289;-0,9619238;2,277208;0,02386622;-0,2220751;2,512127;0,05216139;-0,6207897;2,416321;0,019274;-0,9278489;2,381902;0,0951973;-0,9703946;2,362712; 
-0,1017337;0,429663;2,652205;-0,05735147;-0,1616369;2,53674;-0,06157014;-0,1091956;2,599387;-0,07871247;0,2381343;2,639287;-0,2304225;0,0925186;2,627509;-0,2563863;-0,1842146;2,568095;-0,2518803;-0,3951904;2,455617;-0,2406204;-0,4815473;2,405764;0,09120271;0,1307571;2,63657;0,31837;-0,03984727;2,624397;0,5020813;-0,1478986;2,50568;0,5694891;-0,1901063;2,444489;-0,1285791;-0,2449395;2,519556;-0,105151;-0,6342721;2,411843;-0,09770657;-0,9238448;2,374927;-0,09662209;-0,9618031;2,277291;0,02378653;-0,2247899;2,512084;0,05169195;-0,6197717;2,416853;0,0190781;-0,9278789;2,381985;0,09478385;-0,970544;2,36255; 
-0,09281024;0,4313249;2,655115;-0,05686062;-0,1617486;2,53648;-0,0594795;-0,109454;2,599043;-0,05652794;0,2399193;2,641226;-0,2249879;0,09470411;2,628253;-0,255306;-0,1840837;2,568645;-0,2517776;-0,3950878;2,455439;-0,2419715;-0,4807945;2,404361;0,1033888;0,1165419;2,633194;0,2755447;-0,1254671;2,592974;0,4118106;-0,3190632;2,439697;0,4405214;-0,3767833;2,40316;-0,1286572;-0,2431778;2,518792;-0,1081161;-0,6330353;2,413152;-0,09849317;-0,9240141;2,374968;-0,09675753;-0,9615324;2,27719;0,02348332;-0,2253867;2,511952;0,05051396;-0,6194949;2,417084;0,01815962;-0,9281037;2,382121;0,09417018;-0,9701218;2,362538; 
-0,06323539;0,4363752;2,661547;-0,05500021;-0,1624184;2,535844;-0,05574765;-0,1099441;2,59855;-0,04815061;0,2423152;2,642449;-0,2149599;0,09771898;2,628809;-0,2534953;-0,1830531;2,569201;-0,2523524;-0,394046;2,455082;-0,2448975;-0,4793687;2,403177;0,1074348;0,1159624;2,633671;0,2303281;-0,155408;2,582758;0,3239354;-0,3714521;2,432734;0,3356255;-0,4402481;2,388605;-0,127149;-0,2423576;2,517388;-0,1098733;-0,6348404;2,41409;-0,09855836;-0,9241161;2,374991;-0,1089285;-0,9991455;2,32825;0,02339047;-0,225658;2,512016;0,04782277;-0,6205266;2,416763;0,01642646;-0,9284595;2,38316;0,0938857;-0,9682441;2,36475; 
-0,04029638;0,4325209;2,668437;-0,04294707;-0,1673212;2,532385;-0,04356219;-0,1143169;2,596313;-0,03152793;0,2433022;2,64673;-0,2056889;0,09813873;2,629951;-0,2531932;-0,1830332;2,569206;-0,2505267;-0,3902805;2,447346;-0,250017;-0,4341761;2,415371;0,1397692;0,09244871;2,641908;0,1686003;-0,1805376;2,585773;0,1798363;-0,3887484;2,454193;0,1805129;-0,4754196;2,403192;-0,1174353;-0,2411548;2,508027;-0,1115762;-0,6408858;2,413188;-0,09858275;-0,9241117;2,375041;-0,0917486;-0,9613265;2,277323;0,03338008;-0,2388266;2,512119;0,05260048;-0,6151985;2,413959;0,01420958;-0,9283823;2,38314;0,0914842;-0,96943;2,366494; 
-0,04009964;0,4328894;2,668964;-0,04184799;-0,1671433;2,532256;-0,04189992;-0,1141152;2,596331;-0,02874095;0,2436049;2,647589;-0,2026074;0,09933501;2,631251;-0,2524998;-0,1825199;2,569161;-0,2490694;-0,3892795;2,44612;-0,2481283;-0,4415009;2,411968;0,1392705;0,09390487;2,642126;0,1685487;-0,1795825;2,58589;0,1797634;-0,3888394;2,454206;0,1802433;-0,4759312;2,402756;-0,1159515;-0,239434;2,506763;-0,1123624;-0,6439682;2,412474;-0,09878232;-0,9242052;2,375235;-0,09202524;-0,9617167;2,277569;0,033439;-0,2389682;2,512297;0,05458427;-0,6132121;2,412766;0,01278078;-0,9282104;2,383102;0,09085336;-0,9678625;2,366558; 
-0,05964443;0,4380548;2,681713;-0,03632547;-0,1442649;2,545301;-0,03781912;-0,09621841;2,60756;-0,04511336;0,2477506;2,654706;-0,2320897;0,1331549;2,659526;-0,4705651;0,1271658;2,672264;-0,7182318;0,1349292;2,619669;-0,7906157;0,1430537;2,604218;0,1272226;0,1381624;2,654689;0,4231203;0,1237388;2,682142;0,6563089;0,1289587;2,651093;0,7340384;0,1306987;2,645265;-0,1119262;-0,2243292;2,516579;-0,1090841;-0,6407256;2,414203;-0,09846045;-0,9244639;2,375385;-0,1343554;-0,9863248;2,322395;0,04471757;-0,2191217;2,523673;0,05416194;-0,6119748;2,413541;0,01278207;-0,9282091;2,382995;0,09036085;-0,9683899;2,365959; 
-0,06783983;0,4393598;2,682936;-0,0352276;-0,1397471;2,547149;-0,03672086;-0,09129067;2,609882;-0,04525718;0,2482104;2,6553;-0,232146;0,133171;2,659243;-0,4705733;0,1271662;2,672219;-0,7019253;0,1377129;2,627943;-0,7350941;0,144049;2,617699;0,1272697;0,1402801;2,655816;0,3997021;0,1212295;2,680261;0,6328716;0,1287199;2,654276;0,7105948;0,1312167;2,650133;-0,1110836;-0,2196558;2,518273;-0,1088971;-0,6381933;2,415165;-0,09845541;-0,924482;2,375381;-0,113447;-0,9861638;2,313271;0,04611581;-0,2145402;2,526028;0,05364436;-0,6104629;2,41419;0,01273404;-0,9282431;2,382918;0,09001807;-0,9685959;2,366012; 
