;-0,1551173;0,7831098;2,692785;-0,07029969;0,2059173;2,695554;-0,08050817;0,2664668;2,749761;-0,1215117;0,6106625;2,735804;-0,2974525;0,448938;2,735403;-0,290985;0,2286628;2,712336;-0,291924;0,01332174;2,65169;-0,2923819;-0,06525476;2,620302;0,06419633;0,5719473;2,765061;0,3043777;0,7482136;2,750906;0,4935291;0,8789744;2,707543;0,5598814;0,9300233;2,695254;-0,13849;0,1058725;2,682339;-0,07343248;-0,5241145;2,696622;-0,08824915;-0,8680736;2,628712;-0,06228499;-0,9189292;2,563989;0,01928453;0,136308;2,685745;-0,002252927;-0,5389723;2,686098;-0,06525543;-0,7889365;2,596229;-0,06136398;-0,8203471;2,514456; 
-0,1549371;0,7836177;2,693033;-0,07021113;0,2060235;2,6956;-0,08042385;0,2665385;2,749781;-0,1215188;0,610652;2,73579;-0,2975288;0,448923;2,735641;-0,2909776;0,228619;2,71242;-0,2687113;0,004891097;2,655631;-0,2561927;-0,1003766;2,612572;0,06420756;0,5719185;2,765022;0,3044218;0,7482054;2,750868;0,4937158;0,878859;2,706809;0,5600141;0,9300935;2,695322;-0,1384351;0,1058964;2,682376;-0,0733643;-0,5240952;2,696691;-0,08829929;-0,8681132;2,628747;-0,06612523;-0,9185787;2,563771;0,0195551;0,1366157;2,685898;-0,00218107;-0,5382044;2,686828;-0,06530701;-0,7877671;2,594543;-0,06147319;-0,8191673;2,512811; 
-0,1548233;0,7849144;2,693466;-0,07038309;0,2057651;2,695528;-0,08056428;0,2663413;2,74968;-0,1214695;0,6105072;2,735526;-0,2974931;0,4489305;2,735638;-0,2914505;0,228593;2,712551;-0,2799248;0,01315357;2,653558;-0,2626915;-0,09376212;2,616798;0,0641708;0,5719389;2,765023;0,3046702;0,7479201;2,750379;0,4846727;0,8718547;2,707729;0,5585279;0,9289597;2,694849;-0,1385824;0,1058399;2,6824;-0,0731011;-0,5262961;2,696963;-0,08835434;-0,8680419;2,628814;-0,0705303;-0,9174306;2,562848;0,0192159;0,1361363;2,685829;-0,007189909;-0,5379697;2,691506;-0,06570876;-0,7813886;2,575217;-0,05696072;-0,8817347;2,574245; 
-0,1551629;0,7848573;2,693448;-0,07093626;0,2022707;2,694864;-0,08136759;0,2636921;2,749006;-0,1225401;0,6101202;2,734825;-0,2972788;0,4486868;2,734919;-0,2914754;0,2283429;2,71274;-0,2985094;0,01302391;2,652193;-0,2776833;-0,09402166;2,61786;0,06337348;0,5715223;2,764972;0,303974;0,7473684;2,750842;0,483643;0,8716531;2,707493;0,5585938;0,9289185;2,694866;-0,137879;0,1013762;2,682032;-0,07300522;-0,5278515;2,697128;-0,08831427;-0,868055;2,628829;-0,06881161;-0,9178759;2,56191;0,01813109;0,1347052;2,685528;-0,007496068;-0,5391129;2,691516;-0,0660188;-0,7827113;2,574833;-0,06199714;-0,8141113;2,493206; 
-0,1551765;0,7841847;2,69309;-0,07093796;0,2022662;2,69486;-0,08142477;0,2636359;2,74898;-0,123711;0,6091714;2,734591;-0,2972206;0,4487503;2,734959;-0,2917833;0,2283696;2,712097;-0,2990399;0,01265101;2,653392;-0,2978865;-0,06969982;2,634634;0,06325369;0,5713913;2,764999;0,3039672;0,7470664;2,751519;0,4833365;0,8719444;2,70875;0,5741061;0,9394732;2,692603;-0,137856;0,1014038;2,681999;-0,07299384;-0,5281296;2,697096;-0,08831641;-0,8680498;2,628827;-0,0265503;-0,913151;2,56316;0,01815107;0,1347103;2,685542;-0,00721333;-0,5386905;2,691457;-0,06579845;-0,783053;2,576217;-0,06176437;-0,8144938;2,494494; 
-0,1552635;0,7841589;2,693051;-0,07116269;0,2022789;2,694845;-0,08180395;0,2635504;2,748957;-0,124958;0,6086584;2,734623;-0,2973197;0,4486786;2,73483;-0,291768;0,2282878;2,712095;-0,2992425;0,01252036;2,653585;-0,2978093;-0,06967089;2,634282;0,06271304;0,5715036;2,765052;0,3036824;0,7468681;2,751504;0,4833148;0,8714685;2,709054;0,5742279;0,9388795;2,693505;-0,1380364;0,1015941;2,682021;-0,07291399;-0,5285512;2,697073;-0,08815369;-0,8682047;2,62862;-0,02600724;-0,9149649;2,564316;0,01798248;0,1346493;2,685489;-0,006813105;-0,5383466;2,691936;-0,06864241;-0,7811236;2,573866;-0,05811511;-0,8814719;2,57208; 
-0,1553564;0,7841306;2,693096;-0,0714076;0,201992;2,694805;-0,08216345;0,2632759;2,748909;-0,1250559;0,6086741;2,73461;-0,2969334;0,4477527;2,733731;-0,2920573;0,2273521;2,711908;-0,2993591;0,01159045;2,653278;-0,2978896;-0,07052846;2,633789;0,06187867;0,5711145;2,764807;0,3027223;0,746654;2,751611;0,4823503;0,8713393;2,709403;0,573601;0,9380823;2,69323;-0,1381967;0,101432;2,682111;-0,07290246;-0,5286161;2,697022;-0,08842023;-0,8683089;2,628598;-0,04320932;-0,9222987;2,556298;0,01759451;0,1345326;2,685337;-0,006497474;-0,5381036;2,691863;-0,06906682;-0,7814242;2,575032;-0,0533227;-0,8810505;2,571429; 
-0,1560004;0,7834042;2,693001;-0,07148109;0,1996705;2,694693;-0,08270929;0,2611652;2,748818;-0,1265615;0,6078104;2,73471;-0,2967712;0,4472546;2,732384;-0,297253;0,2268484;2,711929;-0,296859;0,0108999;2,653663;-0,2950387;-0,07107543;2,633846;0,06185853;0,5710803;2,764849;0,3025824;0,746767;2,751512;0,4817953;0,8720593;2,709443;0,5590696;0,9281123;2,695513;-0,1372559;0,09795814;2,682022;-0,07278062;-0,5272377;2,696891;-0,08833585;-0,8684198;2,628383;-0,04391875;-0,9223095;2,555512;0,01735042;0,1333175;2,685239;-0,006753452;-0,5387564;2,692165;-0,07087035;-0,7814194;2,574174;-0,05457012;-0,8809862;2,571357; 
-0,1562622;0,7832253;2,692827;-0,07172045;0,1998037;2,694645;-0,08298584;0,2612248;2,748744;-0,126607;0,6076733;2,734473;-0,295747;0,447858;2,731832;-0,2970447;0,2274914;2,712338;-0,2963517;0,01172993;2,653209;-0,2941245;-0,07008332;2,632949;0,06155346;0,5711936;2,764809;0,3022751;0,7468555;2,751647;0,4816031;0,8719505;2,709484;0,5633832;0,9292283;2,698936;-0,1378053;0,09888527;2,682114;-0,07290002;-0,5269172;2,696714;-0,08829086;-0,8685262;2,628307;-0,04621151;-0,9224859;2,558521;0,01690643;0,1334953;2,685197;-0,00654218;-0,5381097;2,69191;-0,07083422;-0,7816336;2,575829;-0,05169977;-0,8806906;2,573233; 
-0,1558896;0,7829995;2,692619;-0,07165392;0,200073;2,694668;-0,08302338;0,2613652;2,748769;-0,1270495;0,6078012;2,734666;-0,2956221;0,4474396;2,731412;-0,2957665;0,2270693;2,711912;-0,2977337;0,01130308;2,652845;-0,2953639;-0,07044481;2,632505;0,06151721;0,5711664;2,764725;0,3022088;0,7468591;2,751687;0,4817023;0,8720415;2,710993;0,5629633;0,9288544;2,698518;-0,1376801;0,09938088;2,681963;-0,07280643;-0,5264492;2,696716;-0,08828019;-0,8686844;2,628236;-0,05401988;-0,9205071;2,557397;0,01714556;0,1337541;2,685319;-0,006256929;-0,5374147;2,691707;-0,0711768;-0,7818345;2,577952;-0,0506525;-0,8804882;2,572682; 
-0,1558185;0,7829688;2,692461;-0,07161222;0,1999957;2,694581;-0,08303835;0,2612633;2,748698;-0,1270329;0,6077581;2,734679;-0,2953333;0,4467407;2,730885;-0,2950294;0,2263705;2,711601;-0,2929014;0,01089285;2,651155;-0,2725045;-0,09555835;2,615932;0,06106393;0,5709296;2,764595;0,3017501;0,7466323;2,751741;0,481877;0,8712029;2,712408;0,5629315;0,9291043;2,699578;-0,137635;0,09942944;2,681922;-0,07291084;-0,5269319;2,69669;-0,08832908;-0,8687621;2,628239;-0,0377917;-0,9153468;2,55428;0,01716443;0,1336033;2,685105;-0,006537575;-0,5371526;2,692063;-0,07129169;-0,7810216;2,575954;-0,05681039;-0,8808946;2,572836; 
