;0,1308261;0,9208734;2,615377;0,1629067;0,2670944;2,552086;0,1470575;0,3304621;2,619264;0,1297394;0,7308921;2,648986;-0,03986653;0,5807961;2,581869;-0,06744748;0,2984535;2,554116;-0,06550419;0,06868526;2,490595;-0,05025836;-0,03869447;2,467084;0,3490774;0,637463;2,668897;0,5768325;0,8083035;2,681134;0,7295603;0,98624;2,654802;0,7833326;1,042212;2,654212;0,08332476;0,1799847;2,519727;0,1137767;-0,4650322;2,569754;0,1567153;-0,833114;2,558512;0,1479525;-0,9037242;2,471823;0,2556322;0,181865;2,54344;0,2585708;-0,4601527;2,574378;0,2482529;-0,8280964;2,555407;0,2508562;-0,8987238;2,463443; 
0,1307087;0,9207132;2,615741;0,162834;0,2671742;2,552155;0,147153;0,3304779;2,619406;0,1301015;0,7307984;2,64953;-0,04016471;0,5808874;2,582753;-0,06818046;0,3004992;2,556545;-0,06590672;0,07101758;2,491539;-0,04937244;-0,03621248;2,468141;0,3490218;0,6374377;2,668933;0,5774791;0,8071846;2,681342;0,7295661;0,9857172;2,655129;0,7829847;1,041116;2,654788;0,08301614;0,1801074;2,520104;0,1136959;-0,4649613;2,569751;0,156646;-0,8328506;2,558703;0,1472954;-0,902661;2,473877;0,2554328;0,18202;2,543145;0,2586458;-0,4601447;2,574355;0,2480535;-0,8269613;2,557052;0,2514224;-0,8984875;2,463894; 
0,1438017;0,9191115;2,597481;0,165641;0,263306;2,545606;0,1547117;0,3275125;2,61331;0,142836;0,7272786;2,637909;-0,03780878;0,5829579;2,580727;-0,0670763;0,301547;2,556644;-0,06087061;0,07170588;2,493522;-0,04550981;-0,03548027;2,469125;0,3466027;0,596865;2,629198;0,3923326;0,3136995;2,609247;0,3996254;0,04937885;2,516498;0,4020563;-0,03872802;2,490743;0,08460253;0,1779333;2,515007;0,1144519;-0,4650066;2,569462;0,1567425;-0,8330403;2,558412;0,1455405;-0,9040169;2,474931;0,2564916;0,1793442;2,537649;0,2601237;-0,4610965;2,573145;0,2491911;-0,8268251;2,557022;0,2510419;-0,8992227;2,46385; 
0,1445498;0,9191986;2,5967;0,1665734;0,2613405;2,542548;0,1558868;0,3257337;2,610224;0,1449076;0,7264357;2,634948;-0,03675596;0,5843029;2,57971;-0,065548;0,3035848;2,556411;-0,05977156;0,0733512;2,49493;-0,04393191;-0,03376441;2,470519;0,3459484;0,5964927;2,628447;0,3931162;0,3047515;2,606736;0,4000998;0,05025668;2,516732;0,4024277;-0,03457493;2,491891;0,0853909;0,1766939;2,51247;0,115246;-0,4649112;2,56891;0,1565962;-0,8332833;2,558094;0,144929;-0,9042315;2,474733;0,2565717;0,1779881;2,534734;0,2615125;-0,4606753;2,571547;0,2494395;-0,8255217;2,557826;0,2509986;-0,8987311;2,464746; 
0,1459038;0,9190592;2,596258;0,1669715;0,2602398;2,540792;0,1562225;0,3248534;2,608497;0,1451574;0,7264925;2,633376;-0,03564571;0,5846469;2,579168;-0,06498397;0,3053706;2,556932;-0,05841797;0,07504402;2,495788;-0,04257317;-0,03192753;2,470752;0,3457704;0,5966207;2,628531;0,3930412;0,3039183;2,60647;0,4001734;0,05048732;2,516478;0,4025508;-0,03398969;2,491642;0,08588737;0,1759174;2,51098;0,1161433;-0,4646699;2,568587;0,1564184;-0,8328241;2,558103;0,1447942;-0,9040866;2,474591;0,2566076;0,1773159;2,533014;0,2619211;-0,4608098;2,570687;0,2495002;-0,8254216;2,558219;0,2506449;-0,8986843;2,464411; 
0,1466078;0,9187701;2,595527;0,1670725;0,2598057;2,540011;0,1563957;0,3244305;2,607735;0,1457578;0,7262105;2,632756;-0,03524924;0,5851212;2,578844;-0,06444671;0,3065107;2,557251;-0,0584239;0,07612625;2,496083;-0,04441076;-0,01106294;2,466416;0,3457397;0,5966132;2,628444;0,3933849;0,3023185;2,606032;0,4001943;0,05070143;2,516362;0,4024641;-0,03317094;2,491633;0,08591018;0,1756665;2,510507;0,1166209;-0,4646549;2,568275;0,1563323;-0,8329121;2,557886;0,1446427;-0,9043312;2,474541;0,2564608;0,1767803;2,531529;0,2624402;-0,4615895;2,570137;0,2507619;-0,8263395;2,557648;0,2519997;-0,8994419;2,463859; 
0,146675;0,9190779;2,59485;0,1672278;0,2596267;2,539389;0,1566298;0,3243546;2,607075;0,1462842;0,7264655;2,631818;-0,03503039;0,585374;2,578776;-0,0639608;0,3076968;2,556664;-0,05814067;0,07703704;2,496645;-0,04115327;-0,02843219;2,465871;0,3455838;0,5966012;2,62831;0,3932464;0,3022265;2,605684;0,4002627;0,050425;2,515931;0,4026015;-0,03350885;2,491174;0,08605143;0,1754884;2,509692;0,1171205;-0,4640827;2,567688;0,1559042;-0,8328633;2,557369;0,1445763;-0,9043301;2,47452;0,2564747;0,1767024;2,531112;0,2626467;-0,4616961;2,569724;0,2512687;-0,8260711;2,557837;0,2504278;-0,8992723;2,463831; 
0,1472413;0,9189154;2,59478;0,1672541;0,2590473;2,538954;0,1566382;0,3239598;2,606702;0,1460148;0,7266065;2,631517;-0,03450843;0,5854247;2,578653;-0,06386956;0,3086787;2,556982;-0,05816008;0,07799774;2,496833;-0,04116121;-0,02765295;2,46598;0,345574;0,5962863;2,627962;0,393355;0,3021565;2,605647;0,4003036;0,05033493;2,515594;0,4026198;-0,03360561;2,490737;0,08609702;0,1752129;2,509501;0,1172737;-0,4639404;2,567567;0,1560834;-0,8328474;2,557418;0,1443214;-0,9036678;2,476673;0,2565065;0,1760594;2,530462;0,2629793;-0,4619935;2,56929;0,2514118;-0,827242;2,557117;0,25137;-0,8993622;2,463995; 
0,1473161;0,9185978;2,593688;0,1672397;0,2581481;2,538415;0,1567549;0,3232348;2,606237;0,1461363;0,7265472;2,631359;-0,03434649;0,5855027;2,57848;-0,0638537;0,3086467;2,557063;-0,05707199;0,07793295;2,497004;-0,05189652;-0,01484385;2,464422;0,3451391;0,5955982;2,627178;0,3931766;0,3008664;2,604749;0,4001413;0,05037975;2,515282;0,4024628;-0,03311581;2,49062;0,08600971;0,1746206;2,509232;0,1173098;-0,4640764;2,567477;0,1560433;-0,8328608;2,557506;0,142928;-0,9038156;2,475887;0,256381;0,1751984;2,529637;0,2630284;-0,4618321;2,569053;0,2522907;-0,8259635;2,55779;0,2514393;-0,8993121;2,463723; 
0,1474105;0,9185781;2,593277;0,1672797;0,2576771;2,53803;0,1568949;0,3228113;2,605815;0,146388;0,7262946;2,630742;-0,03416396;0,5857313;2,578456;-0,06435227;0,3106912;2,558977;-0,05763751;0,08015431;2,49739;-0,04336773;-0,02339761;2,458907;0,3446677;0,595273;2,626634;0,3932067;0,2998459;2,604634;0,4002086;0,05042406;2,515182;0,4025426;-0,03271654;2,490524;0,08605646;0,1743185;2,509119;0,1175265;-0,4641232;2,567327;0,1549789;-0,8313399;2,558253;0,1429496;-0,9037861;2,475697;0,2562659;0,1748755;2,529068;0,2632687;-0,4617684;2,56878;0,2518038;-0,826119;2,557885;0,2516973;-0,8992795;2,463601; 
0,1478681;0,9180943;2,592541;0,167399;0,2573229;2,537791;0,1570024;0,3224944;2,605532;0,1463575;0,7260711;2,630228;-0,03409197;0,5857084;2,578425;-0,06515631;0,3116256;2,560272;-0,05802252;0,0799865;2,497113;-0,04390551;-0,02315194;2,457335;0,3445994;0,595215;2,626619;0,393212;0,2995332;2,604479;0,400254;0,05001077;2,515183;0,4026014;-0,03316338;2,490578;0,08618666;0,1739256;2,509023;0,1175424;-0,4641619;2,567257;0,1548959;-0,8315605;2,55839;0,1429431;-0,9037856;2,475738;0,2563792;0,1746384;2,528761;0,2633314;-0,461828;2,568578;0,252155;-0,8258489;2,558602;0,251817;-0,8992269;2,463354; 
0,147813;0,9179965;2,592246;0,1675192;0,256927;2,537717;0,1571153;0,3221798;2,605424;0,1464434;0,7259794;2,62998;-0,03389926;0,5855367;2,578187;-0,06548849;0,3099671;2,562437;-0,05841424;0,0773465;2,49605;-0,04860007;-0,02618015;2,455923;0,3445927;0,59521;2,626481;0,3932603;0,2989153;2,604006;0,4008129;0,04953641;2,515481;0,4033304;-0,0335899;2,491133;0,08627975;0,1734594;2,509098;0,1175559;-0,4641762;2,567221;0,154894;-0,8315827;2,558457;0,1425792;-0,9037763;2,474429;0,2564984;0,1743055;2,528616;0,2633756;-0,4618407;2,56844;0,2526551;-0,825287;2,558638;0,2517754;-0,8991898;2,46337; 
0,1479804;0,9182682;2,591625;0,1674259;0,2567113;2,537587;0,157055;0,3220479;2,605265;0,146567;0,7259737;2,629468;-0,03377565;0,5855401;2,578152;-0,06668265;0,3101394;2,567276;-0,06078721;0,07298075;2,495621;-0,04719028;-0,03323913;2,464705;0,3444718;0,5953592;2,6265;0,3936904;0,2959375;2,603554;0,4027276;0,04818822;2,516514;0,40574;-0,03439488;2,492661;0,08616858;0,1732252;2,509158;0,117619;-0,4641762;2,567195;0,1546743;-0,8315762;2,558261;0,1426332;-0,9037691;2,474302;0,2563068;0,1741685;2,528345;0,2635645;-0,461822;2,568345;0,2531095;-0,8251512;2,558637;0,2517752;-0,8991249;2,463371; 
0,1479113;0,9182771;2,591376;0,1674319;0,2560296;2,53739;0,1572807;0,3216215;2,605063;0,1470792;0,7260961;2,628907;-0,03351803;0,585471;2,578155;-0,0678805;0,3091457;2,571107;-0,06504225;0,0694276;2,496291;-0,04860024;-0,03623812;2,464218;0,3440785;0,5948745;2,625379;0,3945919;0,2936085;2,602923;0,4081986;0,04312525;2,518906;0,4200444;-0,03716066;2,499919;0,08608528;0,1723221;2,509352;0,1176904;-0,4642381;2,567189;0,1546608;-0,8316202;2,558244;0,142649;-0,9038234;2,474183;0,2562075;0,1739084;2,528071;0,2636086;-0,461844;2,568335;0,2516419;-0,8260697;2,557704;0,2516669;-0,8992346;2,46325; 
0,1479322;0,9184055;2,591347;0,1673314;0,2556859;2,537282;0,1572241;0,3213517;2,604929;0,1471775;0,7260204;2,628654;-0,03302348;0,5856622;2,578057;-0,07163525;0,3091541;2,577637;-0,07337363;0,06186479;2,494323;-0,05265487;-0,04301596;2,462173;0,3439284;0,5948838;2,625204;0,3980716;0,2910752;2,603799;0,4169045;0,04187864;2,523493;0,4161871;-0,06894834;2,510085;0,08605792;0,1721715;2,50951;0,1178231;-0,4642169;2,567195;0,1548705;-0,8325143;2,557271;0,1432788;-0,9046263;2,472821;0,2558424;0,173556;2,527645;0,2640387;-0,4618766;2,568297;0,2511551;-0,8266011;2,556495;0,2519722;-0,8994766;2,463303; 
