;0,297305;0,7344954;2,804719;0,2671229;0,1376887;2,742445;0,2692424;0,1953749;2,803124;0,2706518;0,557529;2,81882;0,1104085;0,4157838;2,806874;0,03325087;0,1558072;2,806316;0,04364791;-0,04758912;2,733252;0,02954313;-0,1468871;2,710625;0,4566172;0,5027857;2,815636;0,5718832;0,6878864;2,789214;0,4355375;0,8489241;2,754194;0,4167255;0,9212317;2,740309;0,1864527;0,05417073;2,733813;0,1560696;-0,4947549;2,764661;0,1526513;-0,8598053;2,737662;0,1209293;-0,9174523;2,650657;0,3477316;0,06052189;2,715039;0,389527;-0,4890914;2,72286;0,4061786;-0,8497541;2,706643;0,4087459;-0,9138258;2,61598; 
0,2925249;0,7368715;2,801717;0,2675584;0,1395226;2,742831;0,2694191;0,1969683;2,80356;0,2641162;0,5579368;2,821095;0,1046942;0,4101722;2,808351;0,03337421;0,1556586;2,806682;0,03742561;-0,04896032;2,730867;0,02653559;-0,1484635;2,707164;0,4570922;0,503009;2,815835;0,571879;0,6880921;2,789252;0,4388648;0,8519192;2,754918;0,4200437;0,924262;2,741025;0,1876099;0,05515898;2,734341;0,1560666;-0,4942383;2,764341;0,1517656;-0,8580627;2,736998;0,1208971;-0,9172834;2,650553;0,3485134;0,06168232;2,714816;0,3899332;-0,4879642;2,721503;0,4060995;-0,8494084;2,706435;0,4089713;-0,9137325;2,615271; 
0,2917464;0,7355462;2,801726;0,2663584;0,1425089;2,743265;0,2678869;0,1997301;2,804014;0,2623579;0,5581279;2,821454;0,1037361;0,4091979;2,808465;0,03306708;0,1549727;2,806792;0,02068123;-0,06100799;2,716313;0,01885559;-0,1595579;2,687014;0,4577216;0,5028265;2,816131;0,5725543;0,688028;2,789771;0,4401075;0,8520837;2,754097;0,4212931;0,9244009;2,740209;0,1860025;0,05833624;2,73535;0,156245;-0,4948717;2,764302;0,1509601;-0,8585997;2,736926;0,1208768;-0,9174336;2,65133;0,3483031;0,06302077;2,714572;0,3897373;-0,4874617;2,721086;0,4056436;-0,8487004;2,705784;0,4092608;-0,9133245;2,615496; 
0,2993593;0,7311558;2,802649;0,2677798;0,1436522;2,743118;0,2689636;0,2005056;2,804047;0,2623841;0,5579408;2,822217;0,1034654;0,4079252;2,808604;0,03008378;0,156407;2,805607;0,002199013;-0,06567765;2,696978;0,001730152;-0,1593696;2,654822;0,4579227;0,5028269;2,815972;0,5726672;0,6878632;2,789783;0,4419153;0,8529385;2,752193;0,4177438;0,9239751;2,740524;0,1875647;0,05926252;2,735375;0,1562656;-0,4947524;2,764346;0,1501633;-0,8581545;2,736773;0,1203299;-0,9174615;2,651868;0,3507384;0,06476395;2,713356;0,3895288;-0,4873294;2,720845;0,405827;-0,8481491;2,705538;0,4092692;-0,9131624;2,615702; 
0,2947627;0,7291131;2,798693;0,2687277;0,1436567;2,743412;0,2696946;0,200338;2,804412;0,2623505;0,5570939;2,823987;0,1035526;0,4078614;2,808695;0,02055888;0,1758648;2,796472;-0,02886073;-0,0385406;2,663417;-0,02034238;-0,1246396;2,608116;0,4584353;0,5021985;2,816039;0,5732275;0,6873266;2,7889;0,4424347;0,8521967;2,751034;0,4161797;0,9224733;2,73954;0,1901727;0,05957361;2,735668;0,1562409;-0,4948077;2,764405;0,1502957;-0,8584591;2,736905;0,1203341;-0,9174733;2,65185;0,3511033;0,06478001;2,71344;0,3895999;-0,4876313;2,720443;0,4058287;-0,8481943;2,704997;0,4093698;-0,9135764;2,614643; 
0,2893351;0,7286205;2,798401;0,2689373;0,1440393;2,743661;0,2702476;0,2006826;2,804772;0,2635067;0,5572455;2,825305;0,103898;0,4082872;2,809836;0,01221702;0,1902296;2,789735;-0,03992238;-0,005132827;2,646676;-0,03891644;-0,08277718;2,579441;0,4589923;0,502192;2,815726;0,5738015;0,6865532;2,787344;0,4437383;0,8520265;2,750869;0,4162883;0,921972;2,740012;0,19054;0,06041025;2,736115;0,1564454;-0,4937093;2,764669;0,1503104;-0,8581858;2,736741;0,1204187;-0,9170443;2,652357;0,3510364;0,06488918;2,713452;0,389431;-0,4877264;2,720324;0,4057225;-0,8484321;2,704912;0,4088701;-0,9128945;2,61691; 
0,2892753;0,7285864;2,798297;0,2699731;0,1441234;2,74343;0,2716081;0,2005691;2,804695;0,2648976;0,5566242;2,826595;0,1047063;0,4091716;2,811825;0,003964621;0,20333;2,784579;-0,06657572;0,03006315;2,608658;-0,06817247;-0,04494356;2,538501;0,4590385;0,5019877;2,81543;0,5747567;0,6860871;2,786373;0,4473161;0,8531898;2,748416;0,417666;0,9223263;2,738173;0,1911927;0,06069176;2,736081;0,1566658;-0,4938162;2,765355;0,1504427;-0,8579385;2,736894;0,120496;-0,9170637;2,652163;0,3523749;0,06527881;2,712438;0,3893372;-0,4883206;2,719204;0,4053512;-0,8486752;2,704589;0,4085858;-0,9129117;2,616997; 
0,2776737;0,746394;2,7918;0,2586999;0,1546423;2,742406;0,2631865;0,208114;2,803998;0,2644166;0,5568578;2,826688;0,07056148;0,5007835;2,833827;-0,05944402;0,6876113;2,795289;0,07100631;0,8454696;2,7287;0,1144897;0,8980891;2,711171;0,4464403;0,4819489;2,809324;0,5925293;0,6736642;2,791647;0,4687039;0,8439771;2,7586;0,4357332;0,9116122;2,748426;0,1745386;0,07517696;2,729749;0,1563926;-0,4915422;2,764101;0,1502639;-0,8579974;2,736193;0,1205143;-0,9173523;2,652002;0,3384472;0,07469968;2,714144;0,3891428;-0,4872448;2,718317;0,4058594;-0,8496581;2,704199;0,4086522;-0,9129798;2,617016; 
0,274674;0,7422644;2,792743;0,2578876;0,1564109;2,742403;0,2622075;0,2097897;2,80395;0,2639804;0,5568111;2,82664;0,07059761;0,5007399;2,833903;-0,05924002;0,6869999;2,795466;0,06524868;0,847118;2,722034;0,1067449;0,9004908;2,702223;0,4461887;0,4807478;2,808828;0,5957299;0,6721154;2,791818;0,4723911;0,8428541;2,7604;0,4254081;0,898212;2,757908;0,1741804;0,07590133;2,729389;0,156216;-0,4910499;2,763134;0,1513682;-0,8622069;2,740552;0,1213376;-0,9180804;2,654092;0,3378539;0,07614064;2,714631;0,3892563;-0,4864236;2,717446;0,405299;-0,8492655;2,704223;0,4082989;-0,9126728;2,617368; 
0,2641916;0,7331223;2,795031;0,2575031;0,1602099;2,741927;0,261322;0,2126713;2,80339;0,263725;0,5566182;2,82621;0,07181905;0,4999868;2,832921;-0,05916195;0,6862456;2,795549;0,06608675;0,8467286;2,725124;0,1078363;0,9002229;2,706312;0,4494307;0,4856157;2,811651;0,5973818;0,6710078;2,791735;0,4751265;0,8425056;2,761344;0,4453476;0,8937504;2,755711;0,1734333;0,0776581;2,728884;0,1561891;-0,4874242;2,761116;0,151188;-0,8602982;2,738667;0,1213738;-0,9178886;2,65362;0,3385865;0,08000122;2,714232;0,3890168;-0,4846274;2,716345;0,4052676;-0,8484968;2,703445;0,4082941;-0,9124628;2,617143; 
0,2605951;0,733528;2,793726;0,2570251;0,1642472;2,741583;0,2605554;0,2168436;2,802881;0,2628741;0,5583395;2,825273;0,07193738;0,4999501;2,832768;-0,05882285;0,6856922;2,795066;0,06469928;0,8481141;2,726796;0,1058733;0,9022547;2,708701;0,4500477;0,4867573;2,812029;0,59845;0,6712991;2,792535;0,5019605;0,8587701;2,767154;0,4964718;0,8579152;2,759628;0,1727585;0,0809798;2,727949;0,1561481;-0,4873495;2,761065;0,1511355;-0,8599521;2,737674;0,1216433;-0,9182014;2,652852;0,3387312;0,08305141;2,714588;0,3888936;-0,4841897;2,716094;0,4050147;-0,8489636;2,703127;0,4078744;-0,9126632;2,616341; 
