;0,2594484;0,6949497;2,60716;0,3356841;0,1063434;2,539441;0,336683;0,1636984;2,599804;0,3088412;0,5161318;2,616168;0,1446075;0,3835996;2,626321;0,1129433;0,1129492;2,610819;0,0896143;-0,1118375;2,526462;0,08658927;-0,1656074;2,507444;0,4862881;0,4898986;2,61112;0,6881821;0,7194178;2,625739;0,7827976;0,944137;2,602356;0,801778;1,013932;2,605799;0,2631338;0,01516392;2,533796;0,2470101;-0,4730272;2,537288;0,2312484;-0,8368767;2,529401;0,1818906;-0,8999721;2,474428;0,419228;0,0388489;2,510581;0,477794;-0,4909723;2,532119;0,516134;-0,8359855;2,528412;0,5610989;-0,8954433;2,467103; 
0,2605119;0,6951333;2,607257;0,3361782;0,1064695;2,53963;0,3372152;0,1638549;2,599993;0,3095118;0,5162464;2,616186;0,144988;0,3834069;2,626406;0,1131701;0,112654;2,610957;0,08991076;-0,1121141;2,526386;0,08697705;-0,1652302;2,507623;0,4870715;0,4895979;2,611257;0,6885851;0,7195187;2,625249;0,7832636;0,9438527;2,601494;0,8025357;1,013791;2,604587;0,2635738;0,01532588;2,533838;0,2470037;-0,4738476;2,537506;0,2312633;-0,8368076;2,529225;0,1822057;-0,8998603;2,474268;0,419633;0,03892707;2,510908;0,4778137;-0,4909121;2,532123;0,5161819;-0,8360656;2,528195;0,5612812;-0,8949904;2,467503; 
0,2612014;0,6955926;2,607516;0,3369515;0,1063507;2,540067;0,3379619;0,1638501;2,600379;0,3098879;0,5163319;2,616243;0,1453328;0,3830607;2,6267;0,113427;0,1128456;2,611216;0,09070879;-0,1117474;2,525788;0,08751877;-0,1630525;2,50779;0,4877731;0,4891748;2,611207;0,6888893;0,7196194;2,624581;0,7839421;0,943821;2,600037;0,8032959;1,014471;2,603808;0,2645593;0,0152056;2,534353;0,2469542;-0,4756;2,53792;0,2310091;-0,8369763;2,528949;0,182133;-0,9001238;2,47429;0,4202712;0,03871999;2,511357;0,4777936;-0,4907067;2,532117;0,516235;-0,8360233;2,528249;0,5612905;-0,8949242;2,467869; 
0,2626913;0,6965568;2,608508;0,3372431;0,1060077;2,540506;0,3385736;0,1636426;2,600777;0,3103549;0,516421;2,616563;0,1458517;0,3845009;2,629201;0,1150119;0,1210084;2,612949;0,09187302;-0,1038817;2,528507;0,08826916;-0,1607658;2,509735;0,488241;0,4887326;2,611279;0,6896378;0,7193711;2,623623;0,7861576;0,9423162;2,593715;0,8096739;1,011187;2,594928;0,2646377;0,01495346;2,534831;0,2476722;-0,4776249;2,538888;0,2311797;-0,8381085;2,52929;0,1842652;-0,9013196;2,476214;0,4206389;0,03834854;2,511763;0,4777342;-0,4911613;2,532238;0,5156005;-0,8374754;2,53018;0,5608727;-0,8950217;2,467207; 
0,2630594;0,6964506;2,608565;0,3373445;0,1058584;2,540781;0,3387885;0,1634124;2,601101;0,3116008;0,5161727;2,617274;0,147102;0,3838581;2,629091;0,115265;0,1203726;2,613373;0,09271715;-0,104636;2,529024;0,08815841;-0,1598048;2,509984;0,4889468;0,4883861;2,611473;0,6905137;0,7196991;2,622787;0,7864566;0,9419414;2,591619;0,8101523;1,010756;2,59283;0,2646366;0,01491049;2,535053;0,2476867;-0,4777933;2,538963;0,2310926;-0,8384382;2,529265;0,1840166;-0,901403;2,475508;0,4206164;0,03821632;2,511982;0,4778827;-0,4907995;2,532231;0,515571;-0,8373142;2,52909;0,5609514;-0,8950173;2,467146; 
0,2638007;0,6965587;2,60879;0,3375287;0,1061184;2,541195;0,3392015;0,1636759;2,601431;0,3117079;0,5161744;2,617318;0,1462228;0,3848766;2,631305;0,1155303;0,1189703;2,613936;0,09317064;-0,1058003;2,528657;0,08892768;-0,1601091;2,510106;0,4894031;0,4881043;2,611637;0,6919413;0,7203939;2,621361;0,7871042;0,9409482;2,589937;0,8113263;1,009104;2,591197;0,2646275;0,01501455;2,53529;0,2477414;-0,4779013;2,539068;0,2312937;-0,8382378;2,529351;0,1839622;-0,9011794;2,475277;0,4209952;0,03842176;2,512575;0,4781424;-0,4909945;2,532384;0,5154495;-0,8373085;2,528875;0,56088;-0,8952242;2,46702; 
0,2640764;0,6967953;2,608657;0,3377018;0,1058366;2,541653;0,3395118;0,1634989;2,601853;0,3117827;0,5161422;2,617523;0,1460564;0,3860416;2,632832;0,1156358;0,1186087;2,614135;0,09330266;-0,1061718;2,528757;0,08909971;-0,1602473;2,510246;0,4896663;0,487231;2,611636;0,6921658;0,7197509;2,620488;0,7877333;0,9409163;2,58796;0,8115044;1,008312;2,58981;0,2647427;0,01475527;2,535966;0,2481006;-0,4725901;2,538562;0,2312713;-0,8378801;2,529468;0,1838949;-0,9009573;2,475025;0,4211736;0,03814707;2,512898;0,4783005;-0,4913507;2,532525;0,5154324;-0,8373342;2,528861;0,560891;-0,8952296;2,467051; 
0,2648072;0,6965978;2,609154;0,3379931;0,1059678;2,541907;0,3397668;0,1636043;2,602101;0,3121887;0,5160536;2,617627;0,1468995;0,3853485;2,63242;0,1156491;0,1179164;2,614226;0,0935568;-0,1069269;2,528853;0,08975375;-0,1610656;2,510463;0,4901432;0,4869652;2,611821;0,692404;0,7196383;2,620103;0,7878444;0,9404309;2,587599;0,8117803;1,008103;2,589585;0,2652259;0,01472544;2,53728;0,2477078;-0,4748504;2,539244;0,2312815;-0,8378784;2,529407;0,1839674;-0,9009381;2,474766;0,4213937;0,03831743;2,512709;0,4783907;-0,4911253;2,532513;0,5154533;-0,8372377;2,528781;0,5610191;-0,8950732;2,467144; 
0,2649382;0,6966231;2,60914;0,3385264;0,1057522;2,542305;0,3401869;0,1634777;2,602469;0,3122549;0,5160307;2,617743;0,1474054;0,3852073;2,632406;0,1158419;0,1175618;2,614358;0,09374427;-0,1073366;2,52904;0,08995309;-0,1612048;2,510676;0,4903618;0,4866735;2,611911;0,6930954;0,7197019;2,619345;0,7879866;0,9402809;2,587214;0,8106844;1,006764;2,587114;0,2660645;0,01468739;2,537496;0,2479335;-0,4692305;2,53882;0,231416;-0,8377429;2,529399;0,1840248;-0,9008563;2,474618;0,4217715;0,03816115;2,51334;0,4786189;-0,4911289;2,532564;0,5157183;-0,8365321;2,529207;0,560754;-0,895033;2,46682; 
0,2653867;0,6962371;2,608989;0,3385197;0,1059897;2,542512;0,3404221;0,1635966;2,602637;0,3128132;0,5156859;2,618132;0,147324;0,3859426;2,633788;0,116155;0,1198127;2,614988;0,09404945;-0,1051621;2,529806;0,08990479;-0,1614165;2,510884;0,490594;0,486333;2,611869;0,6934717;0,7190664;2,618511;0,7883069;0,9400949;2,586425;0,8106686;1,005652;2,585896;0,265993;0,01494801;2,537862;0,2476295;-0,4727045;2,539489;0,2313337;-0,8374839;2,529464;0,184006;-0,9008405;2,47462;0,4216651;0,03833257;2,513322;0,4788122;-0,4911915;2,532615;0,515725;-0,836531;2,52919;0,560657;-0,8951146;2,466751; 
0,2666148;0,6960461;2,610031;0,3385873;0,1059439;2,542633;0,3404729;0,1635737;2,602775;0,3131066;0,5159048;2,61831;0,1478423;0,3856813;2,633335;0,1163178;0,1197333;2,615431;0,09398856;-0,1052379;2,530198;0,08989581;-0,1620414;2,511065;0,4908926;0,4861968;2,611834;0,6938459;0,7187323;2,618172;0,7890038;0,9401399;2,58499;0,8107504;1,005327;2,584844;0,2659883;0,01495548;2,537867;0,247647;-0,4733038;2,539464;0,2313607;-0,8372589;2,52976;0,1839845;-0,9007342;2,474544;0,4217558;0,03823866;2,513602;0,4789897;-0,4913461;2,532749;0,5156916;-0,8364493;2,529204;0,560602;-0,8951064;2,465426; 
