;0,1766962;0,7154088;2,336918;0,2018417;0,1391518;2,272534;0,2050573;0,1868199;2,333745;0,197587;0,5238129;2,351863;0,0002268156;0,4301732;2,366749;-0,1950994;0,532391;2,356988;-0,01984647;0,6670638;2,333826;0,03857117;0,7119547;2,330845;0,4147372;0,4548229;2,344565;0,6154587;0,5393181;2,355404;0,4328689;0,6624688;2,320564;0,3793921;0,6981389;2,323787;0,1123153;0,03936305;2,26215;0,1066149;-0,4718572;2,283336;0,09642772;-0,8145691;2,288611;0,0660085;-0,8789104;2,239983;0,2914456;0,04549252;2,245235;0,3250929;-0,465948;2,273028;0,3414932;-0,8102351;2,270396;0,3675506;-0,865976;2,214715; 
0,178257;0,7161531;2,335124;0,2018059;0,1391705;2,272381;0,2052281;0,1875418;2,333404;0,1993442;0,5239066;2,349724;-9,814904E-05;0,4314362;2,366495;-0,1956993;0,5325355;2,356992;-0,02015783;0,6664038;2,333627;0,038356;0,7110266;2,330577;0,4126545;0,4537793;2,342566;0,6134201;0,5386442;2,350866;0,4398911;0,6725462;2,308775;0,3856717;0,706094;2,317328;0,1116638;0,04060496;2,261721;0,1063877;-0,4705019;2,281719;0,09623064;-0,8148689;2,288138;0,06381343;-0,8817638;2,242476;0,291513;0,04663162;2,24429;0,325391;-0,465711;2,27211;0,3413478;-0,8108761;2,269707;0,3676438;-0,8664687;2,214098; 
0,1809404;0,716856;2,333918;0,2019604;0,1403933;2,272365;0,2056216;0,1896842;2,333322;0,2001996;0,5240436;2,349307;-0,0004123379;0,4320407;2,366475;-0,1971394;0,5301403;2,358114;-0,02260032;0,6648004;2,333468;0,03557938;0,7096871;2,329988;0,4135849;0,4563746;2,342505;0,6153287;0,5394081;2,347955;0,4359013;0,6663755;2,313965;0,3820209;0,7001606;2,323375;0,1110574;0,0430221;2,261285;0,1063805;-0,4691138;2,280357;0,09654813;-0,8152754;2,287518;0,06440773;-0,8817804;2,241444;0,2924027;0,04924219;2,24365;0,3256413;-0,4653966;2,271178;0,341399;-0,811002;2,269499;0,3681514;-0,8674147;2,214996; 
0,1816329;0,7178281;2,333578;0,2021336;0,1411012;2,272261;0,2060598;0,1910173;2,333109;0,2010452;0,5244321;2,348573;-0,0004810651;0,4320639;2,366432;-0,1983322;0,5270433;2,359122;-0,02533479;0,6631615;2,333407;0,03233102;0,7085342;2,329568;0,4141428;0,4612764;2,34239;0,6176748;0,5396996;2,346354;0,4375857;0,6656076;2,314721;0,3838011;0,6994859;2,324069;0,1109026;0,04389823;2,261157;0,1062469;-0,4686121;2,27984;0,09656554;-0,8152334;2,287381;0,06329583;-0,8831325;2,242402;0,2930612;0,0509798;2,243037;0,3257387;-0,4648269;2,270551;0,3413474;-0,8109459;2,269154;0,36801;-0,8672631;2,214911; 
0,1820747;0,7190446;2,332734;0,2021473;0,1410778;2,272098;0,206277;0,191236;2,332869;0,2018615;0,5244617;2,347511;-0,0007689761;0,4324523;2,366345;-0,19833;0,5274831;2,35885;-0,02529739;0,6631585;2,333361;0,03238016;0,7083837;2,329595;0,412309;0,4597148;2,340568;0,6151324;0,5389361;2,345308;0,4365967;0,6667776;2,315076;0,3828214;0,7006211;2,324341;0,1107751;0,04412979;2,260975;0,106214;-0,4684368;2,279519;0,09635807;-0,8159145;2,286855;0,06346279;-0,882694;2,240294;0,2931272;0,05116435;2,242689;0,3260481;-0,4643478;2,269876;0,3414788;-0,8109218;2,268786;0,3678514;-0,8671578;2,214821; 
0,1831649;0,7204924;2,332328;0,2025785;0,141965;2,272079;0,2068528;0,1924917;2,332785;0,2026246;0,524816;2,347136;-0,0008318222;0,4325167;2,366341;-0,1986263;0,5263265;2,359358;-0,02631755;0,6624364;2,333268;0,03111871;0,7078063;2,329299;0,4134093;0,4649114;2,341365;0,6178492;0,5396351;2,344808;0,4379541;0,6652279;2,315719;0,3841993;0,6990482;2,324929;0,1108727;0,04489006;2,260919;0,1061425;-0,4681854;2,27924;0,09570383;-0,8159869;2,286016;0,06381044;-0,8825269;2,239308;0,2940142;0,05276141;2,242383;0,32618;-0,4640149;2,269387;0,3415328;-0,8109099;2,268728;0,3677365;-0,8668449;2,214923; 
0,1833028;0,720506;2,332058;0,2025821;0,1419538;2,271978;0,2069832;0,1925462;2,332652;0,2026665;0,5248303;2,347026;-0,0009956888;0,4332205;2,366409;-0,1990609;0,5258389;2,35946;-0,02954543;0,6645382;2,328825;0,02695972;0,7107713;2,323338;0,4117136;0,4639908;2,340105;0,6156999;0,5390459;2,343904;0,437034;0,6660323;2,315698;0,3832938;0,6998111;2,324886;0,1108872;0,04513465;2,260759;0,106139;-0,468121;2,279083;0,09572447;-0,8159429;2,28597;0,06394796;-0,882352;2,238806;0,2940021;0,05293547;2,242137;0,3263253;-0,4635318;2,268801;0,3418482;-0,8112209;2,268192;0,3674747;-0,8669788;2,214607; 
0,1830286;0,7204219;2,331473;0,2027223;0,142546;2,271966;0,2070582;0,193306;2,332577;0,2028407;0,5249416;2,346726;-0,0008564568;0,4334998;2,366313;-0,1963058;0,5312746;2,357743;-0,02502339;0,6673936;2,327308;0,03207075;0,7127666;2,321886;0,4133469;0,4653494;2,340674;0,617487;0,5397711;2,343174;0,4378858;0,665076;2,315863;0,38416;0,6988178;2,325017;0,1108252;0,04588892;2,26085;0,1062375;-0,4677674;2,278697;0,0956634;-0,8155941;2,285862;0,06447438;-0,8821894;2,239469;0,294344;0,05354413;2,241927;0,3263398;-0,4634909;2,268596;0,3418457;-0,8111529;2,268223;0,3674462;-0,866968;2,214562; 
0,183711;0,7209535;2,330997;0,2030441;0,1436704;2,272011;0,2073656;0,1945053;2,332603;0,2032074;0,5251759;2,346676;-0,001237063;0,4336887;2,366429;-0,1977417;0,5285686;2,358629;-0,0277019;0,6657978;2,328012;0,02897804;0,7115408;2,322527;0,4142316;0,4666205;2,341238;0,6187266;0,5397452;2,342606;0,4388004;0,6642405;2,31646;0,3987338;0,6834539;2,335916;0,1107964;0,04666669;2,260708;0,1062253;-0,4676318;2,278455;0,09565818;-0,8155742;2,285842;0,06390275;-0,8830431;2,24079;0,2949571;0,05473386;2,241791;0,3264122;-0,4635729;2,268507;0,3418351;-0,8118369;2,267778;0,3674672;-0,867137;2,214434; 
0,1839505;0,7211959;2,330974;0,2028929;0,1433798;2,271846;0,2074122;0,1944494;2,332444;0,2033583;0,5253572;2,346333;-0,001312326;0,4337998;2,366377;-0,1985964;0,5262714;2,359418;-0,02921531;0,6638983;2,32869;0,02724506;0,709774;2,323166;0,4122046;0,4645787;2,339744;0,6159669;0,5387241;2,341777;0,4378509;0,665481;2,316985;0,3961416;0,6847768;2,337833;0,1107192;0,04666681;2,260647;0,106145;-0,4676186;2,278295;0,0956744;-0,8155906;2,285829;0,06404288;-0,882795;2,240148;0,2947206;0,0545944;2,241638;0,3265253;-0,4631466;2,268215;0,3417513;-0,8117605;2,267696;0,3674223;-0,867193;2,214318; 
0,1840752;0,7211173;2,330747;0,2027944;0,1432295;2,271817;0,2073677;0,1943539;2,332413;0,2026507;0,5256498;2,346826;-0,001299744;0,4339104;2,366379;-0,2008454;0,5200368;2,362217;-0,03383619;0,6598524;2,329276;0,01498821;0,7002954;2,320207;0,4111418;0,463212;2,338714;0,6143687;0,5378591;2,341278;0,4375209;0,6659827;2,316988;0,3955513;0,6848145;2,337944;0,1107119;0,04671931;2,260587;0,1061778;-0,4675032;2,278111;0,09565806;-0,8156596;2,285782;0,06477067;-0,8821192;2,239533;0,2946798;0,05457012;2,241581;0,3265848;-0,4630327;2,267948;0,3416121;-0,8112828;2,267956;0,3675489;-0,867335;2,214273; 
