;0,02941183;0,6925664;2,741478;0,07894881;0,06571126;2,649942;0,07916175;0,125379;2,716697;0,0600942;0,504443;2,747506;-0,1142861;0,3631834;2,735999;-0,1562991;0,09572603;2,689114;-0,1740772;-0,125184;2,598819;-0,1768795;-0,179136;2,588807;0,2485869;0,4054179;2,725494;0,5037539;0,3648556;2,710564;0,744123;0,3496825;2,69393;0,8312323;0,3406074;2,699752;0,001081475;-0,01869975;2,631197;-0,02112396;-0,5008675;2,655174;-0,03650205;-0,8493431;2,647677;-0,06964926;-0,9160982;2,590505;0,163354;-0,009109959;2,627534;0,2028136;-0,5188279;2,650386;0,2286094;-0,8520815;2,64441;0,2710485;-0,9163446;2,583208; 
0,02887238;0,6928958;2,741769;0,07888833;0,0658032;2,649861;0,07912026;0,1254282;2,716627;0,06001063;0,5044314;2,747536;-0,1144685;0,3630799;2,735969;-0,1561756;0,09567598;2,688938;-0,1740581;-0,1252328;2,598767;-0,1771319;-0,1790513;2,58853;0,2484955;0,4055149;2,725316;0,4986109;0,365381;2,70991;0,7321669;0,3502493;2,692008;0,8193069;0,3412679;2,697844;0,001006145;-0,01866499;2,631119;-0,02097128;-0,5019568;2,655444;-0,03630978;-0,8489684;2,647594;-0,06960025;-0,9158573;2,590755;0,1633475;-0,008953939;2,627388;0,2029267;-0,5188473;2,650223;0,2285352;-0,8521582;2,644479;0,2708021;-0,9162562;2,583287; 
0,02847498;0,6928858;2,741695;0,07875665;0,0658788;2,64977;0,07894567;0,1255465;2,716506;0,05935363;0,5046311;2,747295;-0,1146309;0,3630052;2,736005;-0,1562415;0,09549111;2,688776;-0,1742517;-0,1254144;2,598665;-0,1772543;-0,1796331;2,588451;0,2483801;0,4056399;2,725093;0,5146145;0,3655261;2,708873;0,7481117;0,3495416;2,691928;0,835831;0,3472992;2,695534;0,0009074493;-0,01864394;2,63109;-0,02137817;-0,4977938;2,654007;-0,036484;-0,8485463;2,647631;-0,06968034;-0,9154651;2,590869;0,1633042;-0,008876537;2,627281;0,2030685;-0,5189158;2,650184;0,2285576;-0,8522456;2,644486;0,2708059;-0,9162452;2,583284; 
0,02814637;0,6925629;2,741564;0,0786714;0,06596378;2,649643;0,07886582;0,1256242;2,716356;0,05928956;0,5046474;2,747107;-0,1147032;0,3630064;2,736025;-0,1563062;0,09535179;2,688601;-0,1741564;-0,1256124;2,598653;-0,1770221;-0,1795536;2,588345;0,2483373;0,4057155;2,725002;0,5172442;0,365227;2,708655;0,7509796;0,3532889;2,692438;0,8387601;0,3564532;2,694222;0,0008313304;-0,01862781;2,631073;-0,02141882;-0,496172;2,653606;-0,03690099;-0,8483804;2,647254;-0,06982958;-0,9155409;2,590717;0,1632418;-0,008718684;2,626995;0,2030007;-0,5188025;2,650125;0,2287735;-0,8520129;2,644484;0,2711829;-0,9164641;2,582881; 
0,02799073;0,6926306;2,741521;0,07859772;0,06595632;2,649517;0,07881749;0,1255927;2,716226;0,05920419;0,5045702;2,747051;-0,1147733;0,3629664;2,735939;-0,1564409;0,0949791;2,688464;-0,1742393;-0,1259777;2,598573;-0,1768419;-0,1804701;2,588382;0,2481226;0,4058733;2,724695;0,5005226;0,3659605;2,706722;0,7342054;0,3535129;2,692478;0,8220178;0,356896;2,694;0,0007942626;-0,01864756;2,63105;-0,02020038;-0,5011674;2,654428;-0,03703192;-0,848855;2,646758;-0,06983592;-0,9160715;2,590306;0,1631465;-0,008655842;2,626642;0,2030247;-0,5190459;2,649951;0,2286722;-0,851981;2,644482;0,2713041;-0,9164464;2,582851; 
0,02796358;0,6927084;2,740102;0,07853585;0,06595842;2,648927;0,07905517;0,1257795;2,715461;0,0603316;0,5044051;2,744626;-0,114689;0,3629937;2,735618;-0,1565331;0,09481819;2,68817;-0,1739409;-0,126071;2,598086;-0,1763703;-0,1796462;2,588448;0,2482611;0,4057465;2,722678;0,4989027;0,3658841;2,706595;0,7380648;0,3519736;2,691729;0,8259;0,3557197;2,692918;0,0006554549;-0,01867735;2,630791;-0,02073509;-0,4968261;2,652784;-0,03710674;-0,848608;2,646999;-0,06966378;-0,9157145;2,590368;0,1630422;-0,008641234;2,626082;0,2030179;-0,5189884;2,649877;0,2288698;-0,8521026;2,644241;0,2713311;-0,9165817;2,582852; 
0,02830604;0,6924577;2,738534;0,07848477;0,06598148;2,648534;0,07894219;0,1258078;2,715043;0,06100149;0,5044115;2,743994;-0,1141872;0,3630059;2,734025;-0,1566282;0,09414654;2,687476;-0,1736847;-0,1268305;2,597595;-0,1763739;-0,1796137;2,588432;0,2484692;0,4058231;2,722042;0,5158017;0,3601943;2,703864;0,7517939;0,3482735;2,6876;0,8396486;0,3523981;2,688349;0,0005163638;-0,01864816;2,630486;-0,02069839;-0,498979;2,653403;-0,03712084;-0,8486661;2,647144;-0,06962315;-0,9155961;2,590366;0,1629127;-0,008613013;2,625708;0,2030668;-0,5190859;2,649685;0,2288744;-0,8520752;2,644237;0,2712191;-0,9166473;2,583093; 
0,02872343;0,6924339;2,738237;0,0785584;0,06613542;2,648185;0,07908084;0,1260284;2,714608;0,06235974;0,5044374;2,742838;-0,1138049;0,3637134;2,73366;-0,156345;0,09435649;2,686294;-0,1739117;-0,1269533;2,597529;-0,176376;-0,1794468;2,588398;0,248653;0,4058491;2,721795;0,5196294;0,3595684;2,704243;0,7533108;0,3481835;2,686693;0,8411955;0,3523828;2,687343;0,0005040937;-0,01846616;2,63017;-0,02135851;-0,494927;2,652261;-0,03731884;-0,8480004;2,647456;-0,06946169;-0,9149507;2,590591;0,1628761;-0,008513009;2,625532;0,2030333;-0,5190375;2,649561;0,229557;-0,8513592;2,644496;0,2712086;-0,916563;2,583141; 
0,02926677;0,692258;2,737247;0,07864528;0,0662042;2,647785;0,07925318;0,1261697;2,714134;0,06340428;0,5047737;2,742003;-0,113562;0,3638859;2,73298;-0,1566535;0,09377267;2,685496;-0,1739274;-0,1276619;2,597038;-0,1763879;-0,1794265;2,58831;0,2488671;0,4057988;2,721184;0,5212453;0,3593196;2,704034;0,7549232;0,3478477;2,686521;0,8428404;0,3520792;2,687136;0,0004642065;-0,01837395;2,62968;-0,02125103;-0,496789;2,652563;-0,037256;-0,8479818;2,647586;-0,06951754;-0,9144533;2,590319;0,1628759;-0,008478692;2,625385;0,202867;-0,5188197;2,649235;0,2295052;-0,8512176;2,644883;0,2710708;-0,9165042;2,583182; 
0,03043165;0,6926547;2,734856;0,07870387;0,06630725;2,647457;0,07940311;0,1262832;2,713796;0,06507621;0,5052185;2,741733;-0,1130857;0,3642104;2,732371;-0,156787;0,0936538;2,685112;-0,1738898;-0,1278467;2,596811;-0,1766905;-0,1792356;2,587862;0,2492876;0,4057487;2,720811;0,5218033;0,3592347;2,703812;0,75538;0,3464465;2,684162;0,8433287;0,3507299;2,684695;0,0003362205;-0,0181337;2,629144;-0,02123297;-0,4981883;2,652839;-0,03729094;-0,847905;2,647581;-0,06957652;-0,9143041;2,590329;0,1628212;-0,008451943;2,625213;0,2027912;-0,5188702;2,649149;0,229405;-0,8512489;2,644817;0,2709774;-0,9164273;2,583071; 
0,0312318;0,6917523;2,734157;0,07869955;0,06640916;2,647156;0,07951916;0,1264047;2,713433;0,06576558;0,5050905;2,740982;-0,113118;0,3643139;2,73229;-0,1568994;0,09376228;2,684394;-0,1742855;-0,1279534;2,59681;-0,1772112;-0,1789777;2,587597;0,24947;0,4056794;2,72045;0,5220315;0,3590431;2,70379;0,7554883;0,345023;2,682101;0,8434695;0,3493397;2,68259;0,0001404501;-0,01803436;2,628754;-0,02179095;-0,4949355;2,651682;-0,03719404;-0,8477011;2,647515;-0,06987296;-0,9139758;2,590426;0,1627939;-0,008433663;2,62509;0,2027463;-0,5187138;2,648966;0,2293836;-0,8510207;2,644735;0,2710375;-0,9163152;2,582977; 
