;-0,09998114;0,7078161;3,116924;-0,07340547;0,1093322;2,98425;-0,07916747;0,1654563;3,050778;-0,09741117;0,5368525;3,096463;-0,2610455;0,4375637;3,067927;-0,4213527;0,6732777;2,96886;-0,4510226;0,9076772;2,945501;-0,4614576;1,006057;2,960487;0,08537053;0,4436049;3,080247;0,2104826;0,6382491;3,054729;0,20528;0,9488418;3,026569;0,206326;1,022172;3,036125;-0,1441599;0,0325859;2,957242;-0,1716675;-0,5116113;2,929413;-0,1597035;-0,8904345;2,952973;-0,1685615;-0,9466317;2,908586;0,005889682;0,03752161;2,966815;0,04569115;-0,5062715;2,918983;0,03471722;-0,8889234;2,942416;0,06809726;-0,9437315;2,881619; 
-0,09876657;0,7082348;3,115586;-0,07304245;0,1094611;2,98577;-0,07883915;0,1653802;3,052195;-0,09697141;0,5356738;3,097406;-0,2609194;0,4375175;3,068144;-0,421405;0,6734324;2,969021;-0,4527824;0,9086363;2,945453;-0,4632952;1,007012;2,960796;0,08633356;0,4435174;3,080965;0,2104722;0,6381926;3,054765;0,2055424;0,9487095;3,025591;0,2069551;1,02203;3,035507;-0,1440403;0,03220445;2,959325;-0,1720371;-0,5119417;2,930819;-0,1597318;-0,8907509;2,953102;-0,1711204;-0,9476934;2,905475;0,006437202;0,03759313;2,967927;0,04614593;-0,5049568;2,919979;0,03484024;-0,887819;2,942371;0,04867397;-0,9489192;2,910155; 
-0,1015472;0,7078307;3,115901;-0,07336527;0,107118;2,987257;-0,07888652;0,1637436;3,053484;-0,09806499;0,5352852;3,097635;-0,2604213;0,4371545;3,068293;-0,4217219;0,673515;2,969078;-0,454459;0,908555;2,944967;-0,4644922;1,00695;2,960912;0,07708661;0,440816;3,077388;0,2105191;0,6383823;3,054343;0,20549;0,9488961;3,025435;0,2079182;1,076399;3,032195;-0,1434325;0,03106695;2,961208;-0,1717865;-0,513046;2,932563;-0,1601479;-0,890674;2,953187;-0,171144;-0,9481234;2,904967;0,005422851;0,03645593;2,96996;0,04636067;-0,5052898;2,92042;0,03491243;-0,8878454;2,942435;0,06282377;-0,9427456;2,885422; 
-0,09999378;0,7099346;3,115685;-0,07288879;0,110089;2,990124;-0,07857389;0,1662518;3,056234;-0,09789102;0,5360628;3,099396;-0,2603525;0,4385701;3,069977;-0,4212164;0,6612668;2,973126;-0,4551862;0,9084898;2,944624;-0,4647384;1,007008;2,96049;0,08361486;0,4426126;3,080378;0,2206382;0,7195794;3,046744;0,2037659;1,001845;3,021939;0,2052625;1,076515;3,028362;-0,1433734;0,03330381;2,962923;-0,1718957;-0,5122997;2,934334;-0,1602289;-0,8906054;2,953058;-0,1714855;-0,9488878;2,90184;0,006323087;0,03764753;2,972743;0,04655187;-0,5050898;2,921535;0,03494622;-0,8876886;2,9424;0,06007281;-0,9410264;2,890746; 
-0,09981199;0,7100796;3,115772;-0,07276223;0,1096179;2,990866;-0,07833528;0,1657886;3,057026;-0,09979978;0,5360065;3,100836;-0,2604589;0,4387493;3,070488;-0,4224407;0,6635432;2,972476;-0,4557806;0,9084238;2,944505;-0,4648369;1,007092;2,960149;0,08035579;0,4414147;3,078354;0,2203142;0,7192422;3,046767;0,2032899;1,001448;3,02102;0,205095;1,077921;3,027494;-0,1426266;0,03317481;2,964318;-0,1721158;-0,5142959;2,937069;-0,1602634;-0,8916391;2,953286;-0,171506;-0,9494777;2,901748;0,006398065;0,03752661;2,973504;0,04669369;-0,5050568;2,921966;0,03344826;-0,8875649;2,942711;0,06544062;-0,945659;2,87848; 
-0,09929403;0,7110669;3,114487;-0,07290436;0,1092238;2,991471;-0,07815011;0,1656732;3,057503;-0,1000073;0,5362659;3,100781;-0,2608263;0,4389146;3,070931;-0,4230642;0,6652014;2,972912;-0,4565614;0,9085283;2,944323;-0,4659821;1,007236;2,959927;0,07830266;0,4396931;3,076038;0,2191343;0,7172266;3,04672;0,2032391;1,001863;3,02087;0,2057417;1,07889;3,026829;-0,1426681;0,03269308;2,965537;-0,1721516;-0,5144521;2,937962;-0,1607203;-0,8913683;2,953312;-0,1712947;-0,9490975;2,90123;0,006156572;0,03740988;2,974349;0,04647531;-0,5052905;2,922317;0,03365054;-0,8875713;2,942791;0,06583357;-0,9455786;2,877789; 
-0,09779786;0,7110939;3,114443;-0,07264286;0,1113457;2,993093;-0,07770509;0,1673855;3,059012;-0,09996966;0,5364507;3,101352;-0,2598753;0,4399954;3,072998;-0,4227348;0,6606927;2,975712;-0,4574006;0,9083361;2,943898;-0,4668256;1,007242;2,958614;0,08375779;0,4441562;3,077558;0,2201468;0,7192026;3,046389;0,2018105;1,001931;3,019756;0,2036597;1,078337;3,020638;-0,1426405;0,03536714;2,96733;-0,1720963;-0,5100635;2,9388;-0,1597793;-0,8898063;2,954223;-0,1674462;-0,9467168;2,913223;0,006651623;0,03831192;2,975409;0,04651864;-0,504702;2,923829;0,03377698;-0,8878031;2,94355;0,05710362;-0,9407074;2,900262; 
-0,1082271;0,7060429;3,119328;-0,07261461;0,1105754;2,993789;-0,07746547;0,1669267;3,059572;-0,09995312;0,5364193;3,101332;-0,2598845;0,4399276;3,073409;-0,422581;0,6568356;2,977477;-0,4581272;0,9077812;2,94306;-0,4676155;1,006745;2,957755;0,08214102;0,4440929;3,076563;0,2200735;0,7190861;3,046544;0,2015486;1,001579;3,019292;0,2027982;1,078643;3,019609;-0,1425311;0,03481838;2,968608;-0,1722912;-0,5100403;2,939562;-0,1596127;-0,8897949;2,954364;-0,1690895;-0,9466389;2,913559;0,006591706;0,0377704;2,976214;0,04676744;-0,503843;2,925096;0,03407157;-0,8867144;2,943408;0,06379743;-0,939455;2,891659; 
-0,1079015;0,707472;3,117291;-0,07266935;0,1104839;2,994434;-0,07737675;0,1670119;3,060291;-0,09966882;0,5379434;3,102384;-0,260385;0,4401218;3,074124;-0,4244081;0,6636397;2,975653;-0,4582832;0,9076226;2,943037;-0,4676879;1,006644;2,957737;0,08056221;0,4436234;3,076366;0,2196667;0,7186098;3,046465;0,2004009;1,006627;3,01711;0,2016185;1,080922;3,018495;-0,1424749;0,03459719;2,969771;-0,1722654;-0,5089875;2,940541;-0,159674;-0,8890134;2,954473;-0,1687599;-0,9458703;2,913507;0,006321257;0,03809242;2,976943;0,047201;-0,5039651;2,926155;0,03453737;-0,8870998;2,943132;0,0654288;-0,9422171;2,886223; 
-0,1059303;0,7074366;3,116994;-0,07253176;0,1131411;2,996453;-0,07772742;0,1690695;3,06219;-0,09977736;0,5379781;3,103389;-0,2605207;0,4399799;3,074523;-0,4247665;0,666095;2,974787;-0,4585598;0,9077572;2,942835;-0,4675497;1,006893;2,957399;0,08862104;0,4467231;3,080663;0,219722;0,7185154;3,046447;0,19825;1,003743;3,015008;0,2012781;1,077994;3,017614;-0,1428352;0,03620292;2,970805;-0,1724499;-0,5078377;2,941704;-0,1604127;-0,8881436;2,954289;-0,166465;-0,9487721;2,918394;0,007141297;0,03900954;2,97831;0,04739916;-0,5058584;2,92759;0,03453876;-0,8873414;2,943036;0,06633354;-0,94364;2,880089; 
-0,1083007;0,7084582;3,116553;-0,07294323;0,1121029;2,9968;-0,07737066;0,16851;3,062512;-0,09978571;0,5379868;3,103401;-0,2605126;0,4399074;3,075112;-0,4244616;0,6673833;2,974786;-0,4586791;0,9076745;2,942758;-0,4674504;1,006784;2,957968;0,07868337;0,4436887;3,076021;0,219214;0,7179413;3,045847;0,1979072;1,006981;3,013689;0,2009351;1,081204;3,017758;-0,1428612;0,03570955;2,971648;-0,1727558;-0,5079575;2,942569;-0,1600699;-0,8881713;2,954534;-0,1734056;-0,9464856;2,916721;0,006245618;0,03884706;2,978725;0,04727297;-0,5057037;2,928122;0,03467175;-0,8875341;2,943187;0,06778163;-0,9425766;2,882628; 
