;0,01257391;0,8829367;2,005769;-0,006256054;0,2886398;1,959046;-0,01145837;0,344317;2,022084;-0,01175206;0,698125;2,044213;-0,2156837;0,6061398;2,040342;-0,4450115;0,7207363;2,036681;-0,6260023;0,8683465;2,005293;-0,7023878;0,8824805;1,997478;0,1977364;0,6165851;2,077665;0,4220695;0,7340607;2,066468;0,6173029;0,8597405;2,021677;0,6864838;0,895826;2,01895;-0,09507827;0,1987362;1,930162;-0,07288283;-0,368814;1,979666;-0,06195324;-0,7320302;2,000212;-0,05273291;-0,7665654;1,901269;0,08450656;0,1974597;1,943952;0,09616179;-0,3744129;1,938277;0,1160312;-0,732965;1,978951;0,1252515;-0,7675003;1,880008; 
0,01294859;0,8823339;2,005635;-0,006503371;0,2886154;1,959273;-0,01170097;0,3442139;2,022329;-0,012362;0,6978227;2,044692;-0,2164807;0,60611;2,040891;-0,4450049;0,7207181;2,036695;-0,6259726;0,8682296;2,005033;-0,7023763;0,8823181;1,997403;0,1975079;0,6165193;2,077813;0,4216235;0,7336931;2,06639;0,6168969;0,8591673;2,021468;0,6859885;0,895417;2,018915;-0,09531172;0,19859;1,930413;-0,07295536;-0,3687994;1,979695;-0,06195876;-0,7320259;2,000216;-0,05283732;-0,7665521;1,901245;0,08440059;0,1974518;1,944036;0,09603198;-0,3745241;1,938307;0,1160108;-0,7330014;1,978999;0,1251323;-0,7675276;1,880029; 
0,01335124;0,8820207;2,006819;-0,006726633;0,2885461;1,959481;-0,01202015;0,3440398;2,022549;-0,01340029;0,697289;2,045144;-0,2165931;0,6060258;2,0411;-0,4449201;0,7206033;2,03674;-0,6258862;0,8679938;2,004843;-0,7022886;0,8821276;1,997377;0,1972688;0,616318;2,077984;0,4215818;0,733703;2,066384;0,6169473;0,8589218;2,021463;0,6861295;0,8949743;2,018845;-0,0954085;0,198523;1,930595;-0,07325171;-0,3689481;1,979872;-0,06196544;-0,7320058;2,000207;-0,05284303;-0,7665185;1,901217;0,08428353;0,1974253;1,944156;0,09606495;-0,3745517;1,93829;0,115945;-0,7329732;1,979017;0,1250674;-0,767486;1,880026; 
0,005458208;0,8800564;2,013141;-0,007590547;0,287913;1,963013;-0,01288019;0,3423936;2,026851;-0,0148561;0,6969517;2,057059;-0,2185704;0,6054138;2,046937;-0,4457794;0,7169223;2,038966;-0,6248058;0,8660535;2,003186;-0,7014462;0,8766472;1,993587;0,1955226;0,6170644;2,083471;0,4210296;0,7327057;2,071823;0,6154719;0,8569364;2,018607;0,6851293;0,8918758;2,016328;-0,09565984;0,1979522;1,933012;-0,07327376;-0,3692304;1,980811;-0,06191351;-0,7319549;2,000263;-0,0529686;-0,7661514;1,901132;0,083198;0,1970599;1,946544;0,09633989;-0,3751584;1,939564;0,1159085;-0,7331925;1,979183;0,1248534;-0,7673889;1,880052; 
0,001015158;0,8812158;2,018896;-0,008302975;0,2875018;1,964988;-0,01376708;0,3418013;2,029125;-0,01643772;0,6966419;2,060491;-0,2191973;0,6051246;2,049353;-0,4466195;0,7137318;2,040148;-0,6241766;0,8643626;2,003408;-0,7007669;0,874406;1,993594;0,1944688;0,617573;2,086237;0,4204503;0,7314523;2,074601;0,6142758;0,8554735;2,01818;0,6837182;0,8905748;2,015192;-0,09590609;0,1975037;1,934724;-0,07289673;-0,3711014;1,98233;-0,06183628;-0,7320168;2,000442;-0,05285569;-0,7661662;1,901284;0,08248088;0,1969657;1,947883;0,09639075;-0,3754185;1,940359;0,1159946;-0,733595;1,979498;0,1249752;-0,7677444;1,88034; 
-0,001276255;0,8816479;2,021582;-0,008611669;0,2875537;1,966334;-0,01406557;0,3417445;2,030617;-0,01663278;0,6964708;2,062466;-0,2196852;0,6049531;2,051082;-0,4473858;0,712641;2,041001;-0,6250176;0,8630221;2,003922;-0,7014012;0,8730922;1,993309;0,1940976;0,6180593;2,088095;0,4197431;0,7292138;2,07694;0,6122159;0,8547071;2,019092;0,6820893;0,8887447;2,016326;-0,09598187;0,1974607;1,935749;-0,07293063;-0,3714281;1,982907;-0,06187204;-0,7319632;2,000481;-0,05290577;-0,7660947;1,901302;0,08199356;0,1971084;1,948962;0,09628226;-0,3756691;1,941097;0,1159922;-0,7335937;1,979541;0,1249585;-0,7677252;1,880361; 
0,0007977225;0,8810232;2,02257;-0,008494357;0,2874355;1,967709;-0,01398083;0,3415776;2,032046;-0,01698577;0,6961979;2,063961;-0,2199863;0,604506;2,05241;-0,4474141;0,7116611;2,04169;-0,6257279;0,861126;2,004655;-0,7020996;0,8703482;1,993852;0,1938947;0,6180064;2,089166;0,41938;0,7276438;2,078534;0,6106766;0,8545135;2,019888;0,680747;0,8879389;2,017191;-0,09572397;0,197291;1,936557;-0,07290263;-0,3714025;1,983112;-0,06188291;-0,7319701;2,0006;-0,05300029;-0,7661005;1,901398;0,08217388;0,1970296;1,950689;0,09634434;-0,3757721;1,94162;0,1160251;-0,73369;1,979571;0,1249077;-0,7678204;1,880369; 
-0,000907531;0,8810976;2,023849;-0,008537787;0,2877039;1,9689;-0,0139684;0,3417526;2,033293;-0,01722108;0,6960973;2,065363;-0,2206254;0,6047603;2,054114;-0,448272;0,7099104;2,042495;-0,6248159;0,8611513;2,0042;-0,7010587;0,8702614;1,992989;0,1938127;0,6178906;2,090089;0,4195905;0,7254885;2,080089;0,6090413;0,8543669;2,019739;0,6798046;0,886189;2,0185;-0,09575833;0,1974857;1,937392;-0,07298324;-0,3718;1,983734;-0,06187076;-0,7319443;2,000816;-0,0531522;-0,7660707;1,901584;0,08225664;0,1971644;1,951766;0,09626169;-0,3757746;1,942174;0,1159668;-0,7338739;1,979702;0,1246854;-0,7680003;1,880471; 
-0,0004937872;0,8799882;2,023008;-0,008768895;0,2875499;1,969766;-0,01406123;0,3415237;2,034296;-0,01784267;0,6962157;2,067171;-0,2209025;0,604247;2,056109;-0,4493079;0,7095869;2,042755;-0,6259506;0,8604853;2,003787;-0,7020813;0,8687801;1,991789;0,1937088;0,6176318;2,090611;0,4195265;0,7226341;2,081495;0,6140053;0,8683836;2,005264;0,6724848;0,9144047;1,983566;-0,09587054;0,1973818;1,938183;-0,07304485;-0,3718008;1,98396;-0,06187565;-0,7318948;2,000841;-0,05351097;-0,7660021;1,901558;0,08207148;0,1970239;1,952349;0,09643321;-0,3758782;1,942645;0,1158306;-0,7340781;1,979956;0,1241953;-0,7681854;1,880674; 
-0,000570694;0,8797268;2,024207;-0,00913641;0,2872088;1,970578;-0,01420671;0,341145;2,035154;-0,01806891;0,6957395;2,068084;-0,2214833;0,6034538;2,058849;-0,452194;0,6997093;2,044805;-0,6209785;0,8582336;2,000072;-0,696694;0,8656646;1,985692;0,1935004;0,6159933;2,091464;0,4208003;0,7172864;2,082951;0,616953;0,8607936;2,006673;0,6758578;0,906112;1,984964;-0,09626463;0,1970338;1,939043;-0,07309558;-0,3717802;1,984227;-0,06190648;-0,7317342;2,000964;-0,05392176;-0,7658471;1,901638;0,08172707;0,1966724;1,952964;0,09646726;-0,3759335;1,943319;0,1159366;-0,7341511;1,979912;0,1239213;-0,7682641;1,880586; 
-0,001870742;0,8782749;2,024894;-0,00998735;0,2864841;1,971603;-0,01482019;0,3402745;2,036271;-0,0184972;0,6945773;2,069757;-0,2219175;0,6024191;2,062578;-0,4604355;0,6894149;2,044628;-0,6194285;0,8564908;1,994061;-0,6929493;0,8654913;1,971806;0,1937194;0,6122376;2,093064;0,4231543;0,7040731;2,084131;0,6134022;0,8303245;2,021073;0,6797585;0,8697383;2,016074;-0,09716579;0,1964356;1,940098;-0,07317798;-0,3723844;1,984999;-0,06188353;-0,7317273;2,000997;-0,05422096;-0,765827;1,901626;0,08075066;0,1957285;1,953661;0,09628721;-0,375888;1,944167;0,1159757;-0,7343314;1,979888;0,1236383;-0,7684311;1,880516; 
