;-0,03499837;0,7159333;2,369796;-0,03825716;0,1260744;2,299201;-0,0494068;0,181653;2,357127;-0,0571427;0,5207823;2,363316;-0,2664915;0,4101683;2,35876;-0,5043569;0,4298106;2,249835;-0,7028916;0,502754;2,140278;-0,7730736;0,5092862;2,108804;0,1626443;0,4297542;2,4294;0,4018616;0,4284316;2,398351;0,6273188;0,4789346;2,36209;0,7277336;0,4958471;2,338893;-0,1260389;0,02884319;2,259152;-0,1564689;-0,4768033;2,285657;-0,1559987;-0,8276579;2,259039;-0,1808089;-0,8917356;2,224591;0,05939806;0,0290361;2,300254;0,07380981;-0,490175;2,305246;0,1024658;-0,8430951;2,286988;0,1455395;-0,8923202;2,246618; 
-0,0348356;0,7153343;2,366395;-0,03802342;0,1260975;2,298973;-0,0491617;0,1816196;2,35691;-0,05707274;0,5206468;2,363198;-0,2661848;0,4099675;2,358443;-0,5042126;0,4287638;2,249894;-0,702475;0,5018954;2,140246;-0,7413427;0,4994465;2,124509;0,1627716;0,4298227;2,428926;0,4018041;0,4282232;2,397829;0,627076;0,4788041;2,36128;0,7276245;0,4952172;2,338229;-0,1257917;0,02884871;2,258917;-0,156425;-0,4766656;2,285352;-0,1557956;-0,8276884;2,258694;-0,1812342;-0,89174;2,224499;0,05966898;0,02915087;2,300014;0,07399546;-0,4898414;2,30482;0,1024781;-0,8430964;2,287116;0,1455683;-0,892214;2,246499; 
-0,03495786;0,7153337;2,366302;-0,03791379;0,1260865;2,298615;-0,04890611;0,1815677;2,356557;-0,05689937;0,5204008;2,362835;-0,2661093;0,4099827;2,358375;-0,5037374;0,4279211;2,249964;-0,7017266;0,500959;2,140008;-0,7720175;0,5093539;2,109164;0,1627269;0,4300953;2,427881;0,4017912;0,4281775;2,397417;0,6268043;0,4786642;2,359511;0,7276285;0,4952128;2,337718;-0,1257324;0,0288662;2,25866;-0,1562687;-0,4764478;2,285236;-0,1559055;-0,8273965;2,258555;-0,1811189;-0,8918105;2,224718;0,05975383;0,02919807;2,299612;0,07404447;-0,4898097;2,304535;0,1025604;-0,843039;2,287051;0,1446135;-0,8936375;2,247037; 
-0,03587566;0,7155112;2,365131;-0,03780775;0,1260875;2,298202;-0,04899978;0,1815524;2,356188;-0,0573642;0,5205643;2,362636;-0,2662765;0,4095522;2,357096;-0,5024795;0,4162752;2,245532;-0,6999551;0,4818502;2,12965;-0,7450591;0,4957167;2,111234;0,1624944;0,4301039;2,427832;0,4018957;0,4276963;2,397781;0,6267312;0,4788175;2,360906;0,7285306;0,4939578;2,342791;-0,125495;0,02887125;2,257994;-0,1562774;-0,4764811;2,285052;-0,1558668;-0,8274515;2,258475;-0,1820493;-0,8914281;2,224391;0,05998247;0,02927418;2,299261;0,07398091;-0,4890368;2,3036;0,1023404;-0,8427589;2,286704;0,1444;-0,8935268;2,246781; 
-0,03623172;0,7148339;2,364527;-0,0377533;0,1259523;2,298037;-0,04911096;0,1813637;2,355931;-0,05734959;0,5196961;2,362034;-0,2666823;0,4089583;2,355451;-0,5024374;0,4137957;2,244321;-0,6996275;0,4791191;2,128042;-0,7461081;0,495308;2,109405;0,1623342;0,4301466;2,427946;0,401483;0,4267965;2,398392;0,6276261;0,4735999;2,36729;0,670882;0,4786963;2,3535;-0,1253767;0,02867875;2,257845;-0,1562002;-0,4765069;2,284959;-0,1558688;-0,827465;2,258435;-0,1820363;-0,8915435;2,22438;0,05998365;0,02918364;2,299158;0,07400033;-0,4890779;2,303192;0,102476;-0,8428594;2,286765;0,1447452;-0,8932;2,246396; 
-0,03631205;0,7148476;2,363889;-0,0374917;0,125811;2,297694;-0,04902319;0,1812363;2,355586;-0,05770899;0,5196296;2,36163;-0,2667008;0,4087733;2,354739;-0,5027971;0,4113546;2,243134;-0,6991708;0,4774377;2,126086;-0,7461011;0,4938288;2,104137;0,1622651;0,4301807;2,427954;0,4015051;0,4266301;2,398626;0,6273395;0,4746394;2,368665;0,7289771;0,4913758;2,350782;-0,1248776;0,02841814;2,257301;-0,1559665;-0,4767118;2,284924;-0,1551475;-0,829192;2,259096;-0,1827684;-0,8922577;2,224154;0,06036873;0,0290857;2,298972;0,0741967;-0,4888143;2,302398;0,102512;-0,8427445;2,286184;0,1448484;-0,893419;2,246173; 
-0,03668649;0,7143857;2,362771;-0,03722522;0,1254945;2,297317;-0,04886154;0,1808621;2,35519;-0,05776988;0,5191482;2,361341;-0,266596;0,4085221;2,354134;-0,5027929;0,410577;2,242468;-0,6989697;0,4763418;2,125139;-0,7460737;0,4934072;2,102465;0,1619912;0,4301256;2,427941;0,4011647;0,4260979;2,399254;0,6275284;0,4712271;2,370322;0,7293144;0,490349;2,355495;-0,124517;0,02806317;2,256765;-0,1559475;-0,4765849;2,284816;-0,1551326;-0,82918;2,259016;-0,1825736;-0,8923392;2,223953;0,06062306;0,02894307;2,298781;0,07431221;-0,4884635;2,301983;0,1023603;-0,8423342;2,28602;0,1447405;-0,8927878;2,245649; 
-0,03675244;0,7142181;2,362175;-0,03713073;0,1254536;2,297158;-0,04885401;0,1807787;2,355009;-0,0577329;0,5189131;2,361216;-0,2669038;0,4083496;2,35332;-0,502359;0,4098131;2,242146;-0,6982549;0,4753402;2,124438;-0,7463641;0,4933089;2,101233;0,1618695;0,43015;2,427983;0,4010435;0,425659;2,399767;0,6269242;0,4727281;2,371624;0,7290384;0,4907727;2,357106;-0,1244183;0,02797347;2,256459;-0,1559368;-0,4765365;2,284762;-0,1550928;-0,8291127;2,259004;-0,1823743;-0,8924052;2,223909;0,06073948;0,0288881;2,298693;0,07430167;-0,4885577;2,301826;0,1026452;-0,8420888;2,285848;0,1448348;-0,8928326;2,245512; 
-0,03673866;0,7142013;2,362159;-0,03699425;0,1253769;2,296965;-0,04879668;0,1806576;2,354816;-0,05771255;0,5187371;2,361163;-0,2667147;0,4081195;2,352895;-0,5022554;0,4097403;2,241657;-0,6980089;0,4743877;2,123428;-0,746316;0,4932953;2,100352;0,1617353;0,4301572;2,428152;0,4009934;0,4253844;2,400277;0,6272608;0,4701858;2,373153;0,7290089;0,4895574;2,357288;-0,1242461;0,02794861;2,256256;-0,1558563;-0,4763642;2,284721;-0,1550558;-0,82906;2,258967;-0,1830281;-0,8921625;2,223929;0,06086572;0,02886085;2,298501;0,07428068;-0,4884053;2,301422;0,1024267;-0,8420288;2,286022;0,1446002;-0,8927637;2,245532; 
-0,03667721;0,7139076;2,362189;-0,03693628;0,1252893;2,296794;-0,0488238;0,1805273;2,354623;-0,0581279;0,5182907;2,360909;-0,2666891;0,4080013;2,352574;-0,5022979;0,4094403;2,241283;-0,6974429;0,4742346;2,122291;-0,7464882;0,4928061;2,098274;0,161609;0,4300654;2,428234;0,4009454;0,4252102;2,400458;0,6272864;0,4690239;2,373507;0,7290412;0,4887179;2,357546;-0,1241178;0,02784161;2,255976;-0,1558639;-0,4764205;2,284681;-0,1551062;-0,8290597;2,259001;-0,1830311;-0,8922767;2,223989;0,06098824;0,02880285;2,298405;0,07432617;-0,4883769;2,301188;0,1023618;-0,8420223;2,286074;0,1445952;-0,8927603;2,245528; 
-0,03665837;0,7140252;2,362138;-0,03684255;0,1252779;2,296702;-0,04879118;0,1804982;2,354537;-0,05814551;0,5182744;2,360901;-0,2666683;0,4079745;2,352389;-0,5021245;0,4093264;2,240844;-0,6970624;0,4739113;2,121629;-0,7465847;0,4927501;2,097299;0,1615832;0,4301006;2,42835;0,4010082;0,424943;2,400955;0,6266332;0,4716229;2,373866;0,7288249;0,4894754;2,357948;-0,1239197;0,02781356;2,255609;-0,1556838;-0,4763812;2,284562;-0,1549728;-0,8290938;2,25899;-0,1829511;-0,8923966;2,224033;0,06114154;0,02874425;2,298412;0,07435761;-0,4883729;2,301051;0,1024071;-0,842022;2,286011;0,1442095;-0,8932837;2,245554; 
