;0,04272387;0,6786088;3,29684;0,04853604;0,1002489;3,219619;0,05202595;0,1552034;3,279234;0,04235083;0,4991152;3,305498;-0,1145115;0,402019;3,31316;-0,2195002;0,6539761;3,16381;-0,2433284;0,8703244;3,08087;-0,2512711;0,9424406;3,05772;0,2046111;0,4473738;3,293265;0,3655527;0,6358213;3,182367;0,3844635;0,9205882;3,078591;0,389271;1,014687;3,046736;-0,02438399;0,01969041;3,208627;-0,06544723;-0,5023596;3,241241;-0,0636376;-0,8869575;3,226555;-0,07477126;-0,9557016;3,165531;0,1245936;0,03256231;3,195351;0,1735748;-0,4846767;3,188478;0,1787387;-0,8475816;3,186641;0,2045834;-0,9421841;3,135938; 
0,04547729;0,6767807;3,293673;0,05040209;0,09817509;3,219904;0,05482569;0,1523582;3,279488;0,04912022;0,4929909;3,304641;-0,1150217;0,4017076;3,314143;-0,1307769;0,153253;3,265017;-0,1522915;0,3640491;3,184793;-0,159463;0,4343145;3,162545;0,2090008;0,4436321;3,291651;0,3654127;0,6393509;3,181541;0,3842661;0,923911;3,077237;0,3892432;1,014658;3,046723;-0,02399725;0,01761331;3,208786;-0,06471175;-0,5035132;3,241732;-0,06388997;-0,8913612;3,231369;-0,07467808;-0,9561929;3,166021;0,1270636;0,03086234;3,195544;0,1747088;-0,4848383;3,18926;0,1790459;-0,8479499;3,187777;0,204411;-0,9421852;3,136312; 
0,04589835;0,6784548;3,290487;0,05126679;0,09633618;3,220953;0,05583874;0,1505873;3,28058;0,05046168;0,4920958;3,305531;-0,1154194;0,4017369;3,315034;-0,1317472;0,1547348;3,266171;-0,1532618;0,3655309;3,185949;-0,1604334;0,4357963;3,163701;0,210269;0,4420123;3,292148;0,3658361;0,6417961;3,180786;0,3844422;0,9264299;3,076757;0,3898487;1,015147;3,047299;-0,0232407;0,01570699;3,209995;-0,06422099;-0,5034951;3,241978;-0,0638318;-0,8899516;3,23163;-0,07462058;-0,9561746;3,166134;0,1273599;0,02959394;3,196163;0,1757265;-0,484152;3,189559;0,1794263;-0,8480931;3,188045;0,2044789;-0,9422252;3,136603; 
0,04661981;0,678871;3,284564;0,05136836;0,09616173;3,220988;0,05643845;0,1504333;3,280576;0,05418868;0,4924213;3,305006;-0,1151939;0,4026715;3,317034;-0,1319469;0,1552998;3,266613;-0,1534615;0,3660959;3,1864;-0,1606331;0,4363613;3,164153;0,2110496;0,4402444;3,291546;0,3653533;0,6400787;3,180897;0,3837798;0,9236563;3,073684;0,3895722;1,01369;3,045892;-0,02362237;0,01544154;3,210801;-0,0634511;-0,5046099;3,242754;-0,06343782;-0,8893746;3,23107;-0,0746443;-0,9561174;3,165883;0,1273659;0,02949937;3,195975;0,1763169;-0,4848116;3,19131;0,1790287;-0,8474262;3,187871;0,2044082;-0,9418609;3,137016; 
0,04698316;0,6782158;3,284363;0,05233665;0,09516267;3,221345;0,05735303;0,1495594;3,280887;0,05421825;0,4920482;3,305097;-0,1152694;0,4024383;3,317605;-0,132064;0,1537532;3,265996;-0,1535786;0,3645493;3,185786;-0,1607502;0,4348147;3,163538;0,212;0,439283;3,29149;0,3656473;0,6504154;3,174437;0,3849455;0,9344276;3,068612;0,3901917;1,012525;3,044139;-0,02227642;0,01442584;3,210946;-0,06253386;-0,5054927;3,242435;-0,06332523;-0,8894296;3,231199;-0,07392372;-0,9569659;3,166945;0,1279733;0,02866796;3,196439;0,1769351;-0,4843454;3,191051;0,1790627;-0,8474344;3,187726;0,2044344;-0,9419317;3,136951; 
0,04704166;0,6786073;3,284255;0,05221214;0,09495825;3,221296;0,05741484;0,1493313;3,280785;0,05500358;0,4910536;3,304555;-0,11466;0,4027056;3,317401;-0,132262;0,1535029;3,266077;-0,1537766;0,364299;3,185876;-0,1609482;0,4345644;3,163629;0,2129291;0,4378713;3,290282;0,3638134;0,6410685;3,17606;0,384415;0,9248314;3,069788;0,3883619;0,9922756;3,049056;-0,02311711;0,01423005;3,211551;-0,06189405;-0,504505;3,242294;-0,06327511;-0,8893631;3,230669;-0,07390835;-0,9569904;3,166934;0,127786;0,02846762;3,196054;0,1772531;-0,4837926;3,190725;0,1790804;-0,8470345;3,187382;0,2043805;-0,9417539;3,136725; 
0,04807012;0,6789769;3,282955;0,05229577;0,09483796;3,221154;0,05784848;0,1492756;3,28055;0,05516388;0,4911357;3,303986;-0,1144067;0,4027886;3,317462;-0,1322277;0,1540075;3,266316;-0,13482;-0,07321827;3,143641;-0,1145361;-0,1615371;3,112574;0,2138127;0,4376876;3,288109;0,364965;0,6401272;3,176261;0,3847607;0,9235864;3,068958;0,3888018;0,9910825;3,04795;-0,02314473;0,01417404;3,211519;-0,06162657;-0,5054595;3,242508;-0,06338862;-0,8895267;3,230256;-0,07382954;-0,9570441;3,166851;0,1279534;0,02840883;3,19581;0,1773145;-0,4840074;3,190653;0,1790542;-0,8470439;3,187343;0,2041874;-0,9416274;3,13672; 
0,05033236;0,679221;3,283591;0,05257196;0,09470855;3,220957;0,05862504;0,1493204;3,280135;0,05638446;0,4905038;3,301411;-0,1141639;0,401913;3,317338;-0,1324729;0,1541376;3,266599;-0,1349994;-0,07320096;3,145046;-0,1148735;-0,161294;3,112771;0,2159884;0,4358187;3,285211;0,3658327;0,64021;3,175111;0,3863733;0,9233364;3,067045;0,3889686;0,9911184;3,046337;-0,02317139;0,0140742;3,211473;-0,06134344;-0,5068924;3,242196;-0,0638633;-0,8887215;3,232413;-0,07386011;-0,9569784;3,167814;0,1285966;0,02814933;3,195573;0,1775977;-0,483641;3,188651;0,1790556;-0,8474406;3,186722;0,2043212;-0,9424107;3,136578; 
0,05262042;0,6802214;3,284321;0,05352445;0,09495477;3,221209;0,05953326;0,149428;3,280432;0,05697431;0,4904944;3,302347;-0,1127465;0,4026406;3,317596;-0,1318604;0,1555202;3,267892;-0,1348928;-0,07311667;3,145025;-0,1150728;-0,1606542;3,1107;0,2193723;0,4358964;3,285485;0,3706774;0,6430153;3,172373;0,3895486;0,9248056;3,060088;0,3885675;0,9923342;3,038099;-0,02273399;0,0142833;3,211463;-0,06098603;-0,5054332;3,240259;-0,06325567;-0,8885694;3,231704;-0,07419196;-0,9571626;3,167152;0,1299739;0,02832543;3,195846;0,1778774;-0,4827563;3,186764;0,1790971;-0,8478327;3,185975;0,2043318;-0,9423109;3,136619; 
0,05553229;0,6811454;3,282161;0,05527337;0,09544384;3,221286;0,06080065;0,1498915;3,280547;0,05750831;0,4909312;3,302642;-0,1097404;0,4028158;3,315371;-0,1316429;0,1546628;3,267477;-0,133668;-0,07269491;3,14624;-0,1155631;-0,1605218;3,111357;0,222533;0,4374957;3,285904;0,3792328;0,640537;3,17119;0,3931281;0,9225758;3,058781;0,3949941;0,9906631;3,038323;-0,02101624;0,0156365;3,211207;-0,06037626;-0,5050654;3,239345;-0,06208099;-0,8913264;3,22822;-0,07461675;-0,9574485;3,166529;0,1321987;0,02813627;3,196142;0,1793717;-0,4823049;3,18374;0,1786975;-0,8480898;3,184792;0,204622;-0,9425389;3,134544; 
0,05729998;0,6811589;3,275925;0,05849447;0,0957681;3,222359;0,06394328;0,1506425;3,281081;0,06029385;0,4916959;3,300431;-0,1077272;0,403998;3,315079;-0,1312758;0,1543847;3,267036;-0,1325065;-0,07375912;3,146662;-0,1172494;-0,1374156;3,118617;0,2264212;0,4393969;3,284979;0,3813063;0,6416683;3,169734;0,3998144;0,9229387;3,055895;0,4035614;0,9904552;3,034257;-0,01861817;0,01563373;3,212263;-0,05953571;-0,5051618;3,231844;-0,06196692;-0,8897458;3,225503;-0,07418872;-0,9576491;3,16654;0,1364002;0,02825607;3,198603;0,182042;-0,4828119;3,178967;0,1793223;-0,8502126;3,181466;0,2048299;-0,9432387;3,131464; 
0,06114694;0,6815771;3,276194;0,0643988;0,09563903;3,224596;0,07097441;0,1512277;3,282872;0,07548059;0,4937239;3,29785;-0,1051913;0,4046175;3,313796;-0,1299697;0,155483;3,267282;-0,1283507;-0,07645819;3,146688;-0,1156179;-0,1397665;3,117465;0,2305993;0,4398997;3,284611;0,3891692;0,6335409;3,170584;0,4074306;0,9142261;3,055147;0,4126773;0,9990519;3,03163;-0,01325434;0,01571126;3,214149;-0,05519816;-0,5041889;3,211396;-0,05959603;-0,8894293;3,220882;-0,07402168;-0,9572317;3,165876;0,1402643;0,02718616;3,202069;0,1844;-0,4831283;3,175498;0,1790345;-0,8508033;3,180169;0,2039772;-0,9437304;3,130759; 
0,06923878;0,6792735;3,269713;0,06878853;0,09662231;3,225803;0,07380237;0,1520242;3,28343;0,07612189;0,4926247;3,296372;-0,09862188;0,4058767;3,311345;-0,1273897;0,1584714;3,268678;-0,1257477;-0,07253288;3,14958;-0,1133233;-0,1353567;3,119488;0,2409263;0,440542;3,286212;0,3917964;0,6349958;3,169364;0,4133473;0,9151735;3,053325;0,4188497;0,9968656;3,029261;-0,009939271;0,01728625;3,214766;-0,04867801;-0,5038335;3,192288;-0,05723603;-0,8890747;3,216037;-0,07286657;-0,957297;3,161128;0,1479161;0,02621815;3,205979;0,1868201;-0,4825116;3,173759;0,1790342;-0,850894;3,179489;0,2020606;-0,942839;3,130108; 
0,07487473;0,6771439;3,26459;0,07850481;0,09625124;3,227822;0,08306845;0,1520595;3,284608;0,08173743;0,4909409;3,293597;-0,09301221;0,4037662;3,310057;-0,1164382;0,15226;3,272459;-0,1180751;-0,07071074;3,15202;-0,1069068;-0,1332961;3,121063;0,2496164;0,4385296;3,285455;0,4027518;0,6329293;3,163733;0,4291305;0,9076325;3,053701;0,4250371;0,9933423;3,026626;0,0008763168;0,01694054;3,21675;-0,04294128;-0,5051531;3,165534;-0,05410399;-0,8884327;3,197736;-0,074683;-0,9603005;3,157485;0,156425;0,02433838;3,209294;0,1908979;-0,4823783;3,172624;0,1801946;-0,8509532;3,179077;0,2012255;-0,9424111;3,129714; 
0,0825731;0,676012;3,265849;0,08646141;0,09730217;3,231072;0,09269802;0,1537788;3,287274;0,09493763;0,4923765;3,292012;-0,08208677;0,4026539;3,311623;-0,1077063;0,1472454;3,27698;-0,1131625;-0,06842206;3,156424;-0,1022604;-0,130736;3,125075;0,2594111;0,439615;3,282513;0,4184577;0,6446865;3,157039;0,4365357;0,917883;3,048033;0,4302486;0,991872;3,025542;0,01153206;0,01747183;3,2262;-0,04125426;-0,4948642;3,11409;-0,05549838;-0,8881627;3,191639;-0,0763657;-0,9588141;3,149514;0,1605033;0,02475654;3,209557;0,1947003;-0,4824769;3,173502;0,1812559;-0,8510054;3,177963;0,2011377;-0,942803;3,129767; 
