;0,1252977;0,5314431;2,726315;0,1813917;0,02909206;2,737408;0,1723978;0,07620535;2,793015;0,1412707;0,3819377;2,812691;-0,02115119;0,3421481;2,759767;-0,1185683;0,5160137;2,628419;-0,08871727;0,7734286;2,529928;-0,07106343;0,8425318;2,536018;0,3035409;0,3654609;2,780604;0,383801;0,6174271;2,652305;0,3220208;0,8260136;2,609189;0,2762675;0,8837702;2,620939;0,11386;-0,04947596;2,711292;0,04712787;-0,4865882;2,678997;-0,02509008;-0,8604904;2,659376;-0,09346508;-0,9131805;2,591658;0,2656878;-0,03542724;2,728391;0,3592208;-0,4756415;2,700217;0,4716651;-0,846835;2,717371;0,5455618;-0,902642;2,664648; 
0,1250992;0,5315934;2,727732;0,1827821;0,02792959;2,737037;0,1736271;0,07535452;2,792825;0,141445;0,3819546;2,812855;-0,01854081;0,3399624;2,759827;-0,1178919;0,5262313;2,625727;-0,08865375;0,7729952;2,53104;-0,07096148;0,8420544;2,537375;0,3047198;0,3656432;2,780378;0,3841788;0,6178352;2,652321;0,3264842;0,8269973;2,60533;0,2708363;0,9054134;2,616748;0,1154194;-0,05057492;2,711386;0,04777083;-0,4866398;2,679517;-0,02506912;-0,8594064;2,659808;-0,09372441;-0,9129007;2,59269;0,2671213;-0,03619725;2,727339;0,3596719;-0,4746499;2,699473;0,4710938;-0,8466137;2,716953;0,5442902;-0,9002565;2,665406; 
0,1245174;0,5331255;2,727939;0,1835907;0,02769259;2,736796;0,1749954;0,07499265;2,792691;0,1443134;0,3820009;2,814063;-0,0169898;0,3394224;2,761339;-0,1175369;0,5284432;2,625584;-0,08790854;0,7732742;2,531809;-0,07060402;0,842445;2,537822;0,305123;0,3653229;2,78005;0,384612;0,617837;2,652002;0,3257085;0,8267545;2,6055;0,2699957;0,9051036;2,616891;0,1161253;-0,05058192;2,711413;0,04812288;-0,4866423;2,67992;-0,02519476;-0,8577365;2,66036;-0,09363994;-0,9121642;2,592579;0,2675618;-0,0361857;2,726599;0,3601211;-0,4741472;2,698974;0,4705086;-0,8460296;2,716558;0,5438091;-0,8999969;2,665084; 
0,1394349;0,5771627;2,705694;0,1913703;-0,03099024;2,688975;0,1876679;0,02494053;2,740366;0,1719222;0,3463846;2,732251;0,004136974;0,2635332;2,713868;-0,03218059;0,02111917;2,68393;0,0003804229;0,2593135;2,595075;0,0163323;0,328802;2,600709;0,3359001;0,2839395;2,720177;0,4070014;0,0002526578;2,682145;0,4204262;-0,2078689;2,600277;0,4347776;-0,2835425;2,571628;0,1209198;-0,1092261;2,6787;0,04575502;-0,551231;2,699283;-0,02653539;-0,8597089;2,660193;-0,09431783;-0,9128336;2,592281;0,2694363;-0,1005273;2,67732;0,3685406;-0,4969553;2,699334;0,4712151;-0,8456184;2,717038;0,5464584;-0,90013;2,663188; 
0,1400371;0,5778263;2,706566;0,1911752;-0,03074806;2,688914;0,1875299;0,02512204;2,740326;0,1716435;0,3464826;2,732424;0,004115181;0,2649107;2,714559;-0,03227386;0,02116561;2,683744;0,000287148;0,2593599;2,594891;0,01622984;0,3288084;2,600522;0,3361165;0,2837269;2,720226;0,4059756;0,002952903;2,682992;0,4203142;-0,2051424;2,60111;0,4346177;-0,2808321;2,572807;0,1206838;-0,1088927;2,678548;0,04541527;-0,5518361;2,699202;-0,02659963;-0,859719;2,660198;-0,09481379;-0,9132603;2,591437;0,2693282;-0,1004353;2,677248;0,3698558;-0,499023;2,699347;0,4716312;-0,8453136;2,716663;0,546441;-0,9000216;2,663142; 
0,1400761;0,5783612;2,706379;0,1911098;-0,03044324;2,688729;0,1873604;0,02541462;2,740123;0,1712715;0,346713;2,732165;0,00396163;0,2648624;2,71455;-0,03238459;0,02122039;2,683678;0,000176418;0,2594147;2,594826;0,01611017;0,3288243;2,600455;0,3364729;0,2838625;2,72069;0,405004;0,005262884;2,68346;0,4200681;-0,2026389;2,601051;0,4324933;-0,2812413;2,570637;0,1206222;-0,1088052;2,678441;0,0454848;-0,5517825;2,699086;-0,02682077;-0,8598474;2,660054;-0,09487702;-0,9133938;2,591254;0,2694036;-0,1001958;2,677024;0,3698417;-0,4999956;2,699494;0,4713904;-0,8452538;2,71649;0,5462978;-0,9000277;2,663789; 
0,1408096;0,5790303;2,706508;0,1909548;-0,03031304;2,688507;0,1872501;0,02557341;2,739875;0,1711809;0,3469112;2,731847;0,004320187;0,2657828;2,71491;-0,03246917;0,02147119;2,683432;9,184246E-05;0,2596655;2,594582;0,01601668;0,3290362;2,600207;0,3363702;0,284034;2,720666;0,4047031;0,006346383;2,683646;0,4193787;-0,2013363;2,600405;0,4301667;-0,2790832;2,56719;0,1204942;-0,1084826;2,678167;0,04550461;-0,5517111;2,699007;-0,02730619;-0,8603076;2,659208;-0,09516253;-0,9134026;2,590656;0,2691318;-0,1000382;2,67683;0,3716527;-0,5052453;2,700994;0,4704063;-0,8438665;2,716905;0,5453634;-0,8995867;2,664758; 
0,1417234;0,5796312;2,707038;0,1909358;-0,03022653;2,688411;0,1872057;0,02566156;2,739764;0,1710595;0,3469808;2,731722;0,004258402;0,2658572;2,714836;-0,03265107;0,02187889;2,683087;-9,006158E-05;0,2600732;2,594238;0,01582577;0,3294047;2,59986;0,3366731;0,2838014;2,720625;0,4041383;0,007212404;2,683929;0,4201888;-0,1993928;2,597793;0,4285915;-0,280443;2,565611;0,1204501;-0,1084468;2,678013;0,04564595;-0,5515323;2,698846;-0,02827113;-0,8609857;2,658826;-0,09557305;-0,9143322;2,590433;0,2691591;-0,1000079;2,676784;0,3734856;-0,5100802;2,703108;0,4705593;-0,8437573;2,716453;0,5463808;-0,899721;2,664697; 
0,1419202;0,5799983;2,70653;0,1910479;-0,03008892;2,688189;0,1872415;0,02578636;2,73957;0,170947;0,3472116;2,731661;0,004299997;0,2654804;2,714543;-0,03251743;0,0217066;2,682439;4,357457E-05;0,2599009;2,593592;0,01594997;0,3291913;2,599211;0,3367342;0,2839068;2,720632;0,4029995;0,0104156;2,683484;0,4185941;-0,1959717;2,596579;0,4251242;-0,2767263;2,561006;0,1205877;-0,1084194;2,67773;0,04591528;-0,5513149;2,698806;-0,02844957;-0,8606944;2,658782;-0,0952653;-0,9143558;2,59034;0,2694066;-0,09970976;2,676481;0,3732976;-0,5092236;2,702643;0,4703797;-0,8433311;2,716841;0,5440773;-0,89489;2,671813; 
0,1423267;0,5807887;2,706579;0,190912;-0,02976047;2,687922;0,1870132;0,02611885;2,739305;0,1706729;0,3476498;2,731516;0,004677183;0,2669301;2,714552;-0,0323065;0,02244571;2,680837;0,0002545089;0,26064;2,591992;0,01615097;0,3298871;2,597607;0,3368268;0,284083;2,720956;0,4031548;0,01152422;2,683969;0,4175469;-0,1944208;2,595547;0,4237944;-0,2700764;2,558115;0,1204668;-0,1078823;2,677195;0,04599684;-0,5509914;2,698702;-0,02844684;-0,8606871;2,658787;-0,09594116;-0,9148295;2,589287;0,2692854;-0,09944314;2,676351;0,3733203;-0,5087861;2,702035;0,4704497;-0,8423788;2,715725;0,5470011;-0,8963325;2,669144; 
0,1426733;0,5812156;2,706632;0,1909711;-0,02970872;2,687736;0,1870414;0,02616971;2,739141;0,1707697;0,3478133;2,731485;0,004610957;0,2666793;2,714139;-0,03255309;0,02251883;2,678954;7,920913E-06;0,2607131;2,59011;0,01589484;0,3299187;2,595722;0,3368855;0,2839647;2,720801;0,4024581;0,01239234;2,683514;0,4149877;-0,1934038;2,594311;0,42315;-0,2686104;2,557027;0,1204939;-0,1078648;2,676804;0,04687243;-0,5497361;2,698149;-0,02815015;-0,8604679;2,658633;-0,09598624;-0,9147478;2,589432;0,2693546;-0,09940053;2,676237;0,3735857;-0,5108415;2,702669;0,4702624;-0,8427371;2,715441;0,5494772;-0,8977581;2,666336; 
