;0,232424;0,792399;2,488647;0,2464473;0,1909507;2,426178;0,2436652;0,2490957;2,486729;0,2391247;0,6061166;2,500156;0,06088989;0,5084548;2,499414;-0,1752458;0,4907897;2,481329;-0,388437;0,5245471;2,369388;-0,5633117;0,5028394;2,256888;0,4259494;0,5315773;2,515463;0,6871899;0,504967;2,488577;0,8973833;0,5330697;2,368687;0,9609561;0,5180748;2,322993;0,165435;0,1090054;2,404938;0,1418084;-0,4561572;2,401465;0,1444938;-0,8253182;2,393786;0,1309256;-0,884964;2,345608;0,3303097;0,1119197;2,413015;0,3479722;-0,4524428;2,418024;0,3413941;-0,8243709;2,421896;0,3527787;-0,8804213;2,368575; 
0,232369;0,7924619;2,488605;0,2465202;0,1911335;2,426144;0,2436787;0,2492362;2,486672;0,2390001;0,6059949;2,499897;0,06089271;0,5087438;2,499372;-0,1751286;0,4908415;2,481356;-0,3881773;0,5248407;2,369416;-0,5631916;0,5030041;2,256685;0,4261541;0,5315369;2,515513;0,6871265;0,5048701;2,488567;0,897101;0,5324847;2,368324;0,9630914;0,521926;2,324905;0,1654996;0,1091425;2,404893;0,1418089;-0,4561421;2,401459;0,1445221;-0,8254239;2,394012;0,1309004;-0,885033;2,345577;0,330442;0,1120147;2,413034;0,3479028;-0,4517501;2,417908;0,3413869;-0,8243979;2,421976;0,3520667;-0,8799646;2,36942; 
0,1836126;0,7603872;2,44504;0,1992342;0,1564516;2,408993;0,1993238;0,2192872;2,468588;0,1911483;0,5906312;2,475686;0,01334996;0,4731417;2,479578;-0,04588797;0,2060694;2,461498;-0,04152197;-0,02094239;2,379834;-0,08868349;-0,05011518;2,322706;0,3658984;0,484533;2,471824;0,4301746;0,2089084;2,454509;0,4421393;-0,036463;2,352313;0,4140862;-0,1333096;2,315727;0,1209296;0,07630536;2,395231;0,1285632;-0,4583043;2,401562;0,144551;-0,8252421;2,394072;0,1308113;-0,8849068;2,345549;0,2804446;0,08056555;2,393723;0,3322276;-0,4563994;2,415889;0,3407413;-0,8252462;2,421715;0,3516442;-0,8804865;2,369389; 
0,1813015;0,7687929;2,443774;0,1991986;0,1564397;2,408989;0,1992754;0,2193032;2,468571;0,1907609;0,5907104;2,475511;0,01327674;0,473077;2,479565;-0,04591066;0,2059275;2,461516;-0,04156823;-0,02113862;2,380033;-0,0240943;-0,1251771;2,358346;0,3655512;0,4847926;2,471758;0,4301803;0,2088351;2,45448;0,4422987;-0,03622318;2,352544;0,4139697;-0,1329235;2,315632;0,1209254;0,07627565;2,395241;0,1252319;-0,4588127;2,401438;0,1439612;-0,8246654;2,394;0,1308204;-0,8848501;2,345577;0,2803941;0,08060262;2,39373;0,3294101;-0,4594567;2,415873;0,3400785;-0,8262293;2,421604;0,3519831;-0,8809872;2,368693; 
0,1799148;0,7719595;2,443671;0,1990719;0,1564712;2,409009;0,1991616;0,2193724;2,468556;0,1903077;0,5905745;2,475077;0,01310039;0,4730895;2,479617;-0,04589556;0,2050378;2,461477;-0,04156994;-0,02192242;2,379633;-0,02488144;-0,1260953;2,358049;0,3651074;0,4849309;2,471561;0,4301181;0,2088407;2,454406;0,4431381;-0,03544104;2,353224;0,4133899;-0,1305157;2,316182;0,1208216;0,07629675;2,395379;0,1235595;-0,4595115;2,40197;0,144063;-0,8240406;2,393965;0,1311341;-0,8838487;2,345723;0,2802518;0,08067758;2,393729;0,3271521;-0,4580324;2,415083;0,3398827;-0,826544;2,421278;0,3519088;-0,881054;2,368651; 
0,1785555;0,7746323;2,442366;0,1990009;0,1564807;2,409101;0,1991628;0,2194141;2,468619;0,1901976;0,5907041;2,475062;0,01301964;0,4728921;2,479505;-0,04602001;0,2046785;2,461621;-0,04153182;-0,02218512;2,379456;-0,02371028;-0,1259995;2,357143;0,3644493;0,4853221;2,47107;0,4300662;0,2088438;2,454414;0,4429819;-0,03540088;2,353178;0,4120004;-0,129926;2,316964;0,1207615;0,0762114;2,395788;0,1220253;-0,459982;2,401912;0,1439616;-0,8240358;2,394021;0,1311565;-0,883522;2,345377;0,2801194;0,08086617;2,393775;0,3258425;-0,4577996;2,414924;0,3396827;-0,8265305;2,421237;0,3519439;-0,8810371;2,368515; 
0,1765151;0,7779012;2,440805;0,1987752;0,1566728;2,409247;0,199053;0,2196836;2,468703;0,1896619;0,5910828;2,474722;0,01219569;0,4734943;2,480266;-0,04627094;0,2038797;2,461947;-0,04128787;-0,02278657;2,379147;-0,023128;-0,1264536;2,356497;0,3636957;0,485495;2,47074;0,4301737;0,2089685;2,454409;0,4431588;-0,03520632;2,353402;0,4119288;-0,1297437;2,316825;0,1206325;0,07628108;2,396063;0,1210457;-0,4608285;2,402282;0,1434384;-0,8239772;2,394149;0,1309477;-0,8836488;2,345331;0,279787;0,08131463;2,393969;0,3248954;-0,458674;2,414746;0,3394578;-0,8263267;2,421088;0,3520482;-0,8812234;2,36806; 
0,1743349;0,7795276;2,439403;0,1980169;0,1573333;2,409387;0,1984798;0,2203363;2,468681;0,1888589;0,5911854;2,473767;0,01084731;0,4741095;2,481122;-0,04631573;0,2031092;2,461983;-0,04151389;-0,02339935;2,37863;-0,02310282;-0,1270659;2,356252;0,3632104;0,485773;2,470487;0,4299813;0,2093118;2,454443;0,4432871;-0,03522769;2,353627;0,4120449;-0,1294315;2,317015;0,119864;0,07659286;2,396719;0,12031;-0,4616755;2,402492;0,1428938;-0,8236867;2,394185;0,1308539;-0,8839147;2,34498;0,2790525;0,08210881;2,393876;0,3234144;-0,456677;2,414232;0,3393874;-0,8262031;2,420776;0,3519182;-0,8812515;2,368; 
0,1722787;0,7794649;2,438977;0,1976766;0,1574758;2,40963;0,1983074;0,2204945;2,468818;0,1883145;0,5909752;2,473392;0,009731079;0,4738378;2,48143;-0,04659697;0,2028818;2,46203;-0,04179255;-0,02348062;2,378175;-0,02279147;-0,1268858;2,355158;0,3618178;0,4867843;2,469871;0,4303153;0,2092838;2,454642;0,443621;-0,03575855;2,352794;0,4124382;-0,1291578;2,316993;0,1193508;0,07648535;2,397485;0,119487;-0,4618954;2,402624;0,1429204;-0,8236168;2,394173;0,1307153;-0,8839215;2,344572;0,2788258;0,0823753;2,393987;0,3228191;-0,455966;2,413988;0,3388827;-0,8258078;2,420161;0,3526494;-0,881032;2,367028; 
0,1709151;0,7805115;2,438413;0,1964532;0,1580679;2,410054;0,1974165;0,2210498;2,469044;0,1878353;0,5910275;2,472998;0,008134481;0,474239;2,482233;-0,04701446;0,2028037;2,462119;-0,04197975;-0,02348286;2,378002;-0,02289674;-0,1268544;2,354953;0,3601215;0,4877254;2,469546;0,4323628;0,2100777;2,454685;0,4457244;-0,03901716;2,349602;0,4189898;-0,120095;2,317108;0,1180723;0,07677501;2,398364;0,1188931;-0,4619755;2,402847;0,1430029;-0,8233784;2,394294;0,1307822;-0,8838853;2,344619;0,277355;0,08332118;2,394322;0,3225641;-0,4561525;2,413938;0,3386112;-0,8265352;2,41987;0,3526714;-0,8812545;2,366662; 
0,1689259;0,7816916;2,438075;0,1944188;0,1585456;2,410459;0,1955329;0,2215204;2,469287;0,1862887;0,5908732;2,472486;0,006862339;0,4742956;2,482876;-0,04791057;0,2029451;2,46189;-0,04236536;-0,0233175;2,37769;-0,02310652;-0,1266712;2,354777;0,3590376;0,4883719;2,469568;0,4384925;0,2102104;2,45507;0,4599222;-0,01326441;2,349501;0,4295984;-0,1104754;2,314739;0,1158872;0,07712203;2,399377;0,1183405;-0,4621732;2,40325;0,1429897;-0,8232699;2,394336;0,1306793;-0,8837431;2,344798;0,275436;0,08375938;2,394398;0,3204626;-0,4458731;2,413076;0,3387199;-0,8268855;2,420005;0,3530109;-0,881146;2,366613; 
