;-0,1038524;0,7782425;3,202215;-0,04866334;0,1709867;3,076404;-0,04745107;0,2237418;3,145265;-0,07948863;0,5869968;3,197324;-0,2639783;0,5114983;3,194326;-0,3672696;0,7548843;3,070919;-0,3657087;1,025532;2,998914;-0,3614024;1,106883;3,00239;0,09845084;0,5122201;3,150826;0,2156788;0,7600843;3,076231;0,2511662;1,067176;2,989857;0,2486985;1,139279;2,95186;-0,1197228;0,08944598;3,054782;-0,08341859;-0,4795418;3,012251;-0,02937907;-0,8660908;2,971356;-0,05904257;-0,9359899;2,90556;0,03349172;0,09758532;3,048345;0,1251882;-0,4592238;2,931269;0,2148691;-0,8675423;2,953771;0,2633497;-0,928463;2,935873; 
-0,1039755;0,7790413;3,201977;-0,04808974;0,1725555;3,07866;-0,04760713;0,2252794;3,147385;-0,08018032;0,5878525;3,198293;-0,2640215;0,5125225;3,196075;-0,3672382;0,7544431;3,071435;-0,3657303;1,025041;2,998783;-0,3613533;1,106364;3,001528;0,1011373;0,5197545;3,157445;0,2152826;0,7613919;3,076112;0,2504871;1,066461;2,989175;0,2478603;1,137965;2,950184;-0,1188664;0,09075593;3,057261;-0,08346907;-0,4796721;3,012533;-0,02947148;-0,8661834;2,971364;-0,05896757;-0,9360114;2,905703;0,03442373;0,09862065;3,050086;0,1256049;-0,4588048;2,932239;0,2144047;-0,8641387;2,954665;0,2627288;-0,9266832;2,936728; 
-0,1044201;0,778771;3,202653;-0,04785703;0,1722642;3,079734;-0,04744682;0,2250119;3,148493;-0,0806898;0,5875421;3,199394;-0,2637572;0,5118243;3,197147;-0,3678682;0,7570969;3,070988;-0,3612861;1,038364;2,998153;-0,3638977;1,11964;3,001287;0,1003223;0,5186387;3,158173;0,21505;0,7617335;3,076619;0,2462374;1,068597;2,983787;0,2434268;1,139209;2,943431;-0,1183582;0,09069171;3,058255;-0,08344273;-0,4798259;3,012958;-0,0301385;-0,866553;2,971553;-0,05926474;-0,9363071;2,905549;0,03467978;0,09844765;3,051398;0,1257642;-0,4591861;2,933978;0,2161916;-0,8647091;2,954916;0,2628715;-0,9270177;2,937101; 
-0,1136531;0,7766084;3,189406;-0,05317667;0,1702265;3,073364;-0,05224738;0,2233879;3,142468;-0,08642314;0,5877037;3,194507;-0,2662172;0,5099388;3,191867;-0,3783386;0,7534363;3,06385;-0,387674;1,031234;2,982647;-0,3702924;1,110477;2,987351;0,09515995;0,5171565;3,149632;0,2130742;0,761217;3,071027;0,2497335;1,066826;2,981284;0,248699;1,138289;2,942611;-0,1230192;0,08799523;3,052776;-0,08357457;-0,4809681;3,012063;-0,02953514;-0,8662356;2,970821;-0,05917088;-0,9363645;2,905645;0,02894571;0,09777304;3,043871;0,1157272;-0,4654605;2,924594;0,203872;-0,8654283;2,943938;0,238322;-0,934026;2,921991; 
-0,1177548;0,7755885;3,185204;-0,05479823;0,1695292;3,07111;-0,05337079;0,2227939;3,140424;-0,08798608;0,5878459;3,19362;-0,2667021;0,5097057;3,190497;-0,3806401;0,7517214;3,061451;-0,3886319;1,030833;2,981999;-0,3720733;1,110267;2,983077;0,09209397;0,5178297;3,14541;0,212834;0,7613319;3,06942;0,2526042;1,065003;2,978618;0,2513561;1,13722;2,941628;-0,1243618;0,08792911;3,049911;-0,08339171;-0,4817275;3,011308;-0,03015837;-0,8659245;2,97061;-0,05914977;-0,9363901;2,905624;0,02710589;0,09730327;3,04207;0,1141218;-0,4683696;2,92199;0,2033755;-0,8653482;2,943561;0,23808;-0,9337934;2,921644; 
-0,1163445;0,7756389;3,181525;-0,05536436;0,1699103;3,069966;-0,05405127;0,2231626;3,139262;-0,08879831;0,5881456;3,192395;-0,2674969;0,5097309;3,188785;-0,3830982;0,7503431;3,058233;-0,3897385;1,030377;2,979679;-0,372379;1,109528;2,979994;0,09154278;0,5198359;3,144719;0,211881;0,7615744;3,066649;0,2537682;1,06539;2,978365;0,2525614;1,136944;2,940353;-0,1248683;0,08823775;3,048766;-0,08357246;-0,4816952;3,010702;-0,03034467;-0,8658581;2,970599;-0,05912499;-0,9362785;2,906464;0,02652646;0,09773634;3,040845;0,1133961;-0,4718378;2,920021;0,2027156;-0,8656458;2,9432;0,2379401;-0,9338045;2,921334; 
-0,1183002;0,7756965;3,178536;-0,0558445;0,1699086;3,068674;-0,05475875;0,2232585;3,138005;-0,08960643;0,5887773;3,191134;-0,2679309;0,5088688;3,18676;-0,3843729;0,7488266;3,055867;-0,3909152;1,02945;2,976827;-0,3738407;1,108552;2,976593;0,09156946;0,5202578;3,144249;0,2115207;0,7614728;3,064865;0,2549628;1,064126;2,976198;0,2541834;1,134694;2,936598;-0,1254128;0,08771672;3,047325;-0,08360524;-0,4819469;3,010458;-0,03032913;-0,8658373;2,970513;-0,05923051;-0,9363549;2,906198;0,02613561;0,09810018;3,039518;0,1125929;-0,471639;2,919213;0,2016518;-0,8660522;2,941649;0,2377883;-0,9337624;2,919991; 
-0,1195739;0,7758139;3,177152;-0,05620462;0,1692898;3,06745;-0,05517091;0,2227982;3,136881;-0,0906774;0,5889758;3,190279;-0,268511;0,5081094;3,185774;-0,3845299;0,7483476;3,055375;-0,3911237;1,029284;2,975781;-0,3744855;1,107815;2,96561;0,09115606;0,5207461;3,143239;0,2118244;0,7617936;3,063693;0,2543838;1,066387;2,955199;0,204783;1,130175;2,959479;-0,1257367;0,08718386;3,046188;-0,08350299;-0,4820955;3,00986;-0,03028699;-0,8651922;2,970906;-0,05868066;-0,9357845;2,907179;0,02598882;0,09740399;3,038198;0,1121916;-0,4715005;2,918873;0,2006821;-0,8663036;2,941808;0,2379823;-0,9333526;2,920181; 
-0,1208412;0,7755895;3,17373;-0,05648737;0,1695227;3,066811;-0,05564194;0,2232192;3,136082;-0,09102048;0,5890361;3,187666;-0,269145;0,5079291;3,184163;-0,3852537;0,7470129;3,052862;-0,3914463;1,027265;2,971142;-0,3730079;1,105571;2,962517;0,09110521;0,5208429;3,142759;0,2118744;0,7615699;3,063555;0,2542936;1,06617;2,95502;0,2063594;1,131327;2,953289;-0,1260349;0,08717476;3,045509;-0,08380391;-0,4825589;3,009635;-0,03040612;-0,8652494;2,97097;-0,05869949;-0,9356868;2,907259;0,0257642;0,0976322;3,037878;0,1118862;-0,4719087;2,918641;0,1996469;-0,8661644;2,941093;0,2375156;-0,9329827;2,919853; 
-0,1203283;0,7756636;3,172843;-0,05655358;0,1693231;3,066133;-0,05585185;0,2230159;3,135424;-0,09137914;0,5889982;3,187208;-0,2689923;0,506857;3,182386;-0,3856378;0,7464043;3,052184;-0,3917645;1,026544;2,969889;-0,3734442;1,10485;2,961992;0,09208041;0,5239014;3,142772;0,212182;0,7617524;3,062834;0,2599163;1,052587;2,972184;0,2566725;1,126142;2,93745;-0,1260638;0,08630158;3,044454;-0,08391253;-0,4822258;3,009246;-0,03033729;-0,8653649;2,970801;-0,05889217;-0,9357556;2,90735;0,0257813;0,09769288;3,037272;0,1108783;-0,4734049;2,919022;0,1979266;-0,8661047;2,940094;0,2361765;-0,9328752;2,919507; 
-0,1185945;0,7770096;3,174529;-0,05687497;0,169838;3,065661;-0,056273;0,2234789;3,13491;-0,09167816;0,5891843;3,186435;-0,2692297;0,5070661;3,181381;-0,3859584;0,7463088;3,050722;-0,3914879;1,026847;2,968115;-0,3731132;1,105094;2,960828;0,09235752;0,5248638;3,142657;0,2122261;0,7610876;3,062432;0,2599876;1,052715;2,972363;0,2569987;1,125564;2,936745;-0,1264079;0,08658478;3,04393;-0,08389167;-0,4823579;3,009172;-0,03004554;-0,8655588;2,970847;-0,05902783;-0,9356658;2,907692;0,02554395;0,09817242;3,036971;0,1108969;-0,4738775;2,918604;0,1982702;-0,8661286;2,939821;0,2362058;-0,9330996;2,919424; 
-0,1199024;0,7756983;3,168763;-0,05716801;0,1698389;3,06524;-0,05650889;0,2235735;3,134464;-0,0911166;0,5895183;3,185408;-0,269378;0,5071929;3,181168;-0,3865114;0,7468055;3,048768;-0,391353;1,026553;2,967317;-0,3730235;1,104756;2,960525;0,09235554;0,5260311;3,143097;0,2124848;0,7603576;3,061543;0,2602586;1,05276;2,972483;0,2580451;1,12528;2,936496;-0,1269452;0,08659056;3,043766;-0,08378132;-0,4830524;3,009078;-0,02970428;-0,865476;2,970284;-0,05852141;-0,9350975;2,90784;0,02512949;0,0979628;3,036192;0,1102561;-0,4718837;2,917946;0,1977838;-0,8660113;2,939559;0,2343607;-0,9335507;2,918689; 
-0,1182455;0,7770185;3,169833;-0,05735882;0,1698479;3,064786;-0,05664346;0,2237283;3,133899;-0,09053238;0,5897017;3,18374;-0,2697037;0,5074278;3,180424;-0,3862292;0,7451935;3,047996;-0,3914581;1,025818;2,966193;-0,3731337;1,103869;2,958853;0,09211636;0,5253785;3,142154;0,2124169;0,7601011;3,060851;0,2605447;1,052967;2,970908;0,2584622;1,125063;2,935137;-0,1272269;0,08669685;3,043403;-0,08397511;-0,4835445;3,008884;-0,03074818;-0,8653936;2,96979;-0,05854281;-0,9351149;2,907833;0,0248764;0,09781141;3,035887;0,1097845;-0,4731001;2,918315;0,1976176;-0,8659201;2,939579;0,2346397;-0,9331161;2,918519; 
-0,1177165;0,7772495;3,169254;-0,05803369;0,1691695;3,06396;-0,05666761;0,2232622;3,133088;-0,09062012;0,5898024;3,183372;-0,2700507;0,5085104;3,17987;-0,3865812;0,745167;3,046955;-0,390523;1,025346;2,964952;-0,3722985;1,103388;2,958366;0,08698985;0,5171452;3,135814;0,2124169;0,7598995;3,059814;0,2624601;1,054197;2,970548;0,2618076;1,126493;2,935349;-0,1277794;0,08646683;3,042962;-0,08398494;-0,4835517;3,008856;-0,03038433;-0,8654444;2,969831;-0,05851204;-0,935124;2,907769;0,02397883;0,09730688;3,035161;0,1100143;-0,4741975;2,918031;0,1976614;-0,8660775;2,940135;0,2351078;-0,9332464;2,919883; 
-0,1175603;0,7772916;3,168595;-0,05881938;0,1690419;3,063504;-0,05753447;0,2231075;3,132631;-0,09106028;0,5897614;3,183058;-0,2703981;0,5085024;3,178816;-0,3866615;0,7442681;3,04618;-0,3902598;1,025378;2,963117;-0,3716966;1,103121;2,955302;0,08754108;0,5171505;3,135592;0,2128949;0,7597013;3,058849;0,2643518;1,055644;2,968843;0,2633728;1,127141;2,932281;-0,1292805;0,08608191;3,042545;-0,08396789;-0,4835554;3,008855;-0,03039318;-0,8654122;2,969824;-0,05072013;-0,9301401;2,926183;0,0234819;0,09711705;3,034587;0,1101486;-0,4747177;2,917785;0,1973694;-0,8657398;2,940748;0,2350208;-0,932556;2,919607; 
-0,117697;0,7772031;3,169324;-0,05910601;0,1689899;3,063178;-0,0578526;0,2230134;3,132235;-0,09125759;0,5890588;3,182148;-0,2704504;0,5094477;3,178691;-0,3865384;0,7439591;3,045942;-0,3900721;1,024891;2,962072;-0,3713695;1,102569;2,955047;0,08740564;0,517116;3,135445;0,2136132;0,7596402;3,058255;0,2654995;1,056089;2,968371;0,2643295;1,1267;2,930349;-0,1294201;0,08621223;3,042321;-0,08398133;-0,4836275;3,008834;-0,03040433;-0,8653913;2,969834;-0,05399063;-0,9328627;2,917086;0,02292242;0,09703856;3,034303;0,1100032;-0,4746096;2,917706;0,1980296;-0,8656117;2,939962;0,2339878;-0,93291;2,917606; 
-0,1170853;0,7775296;3,170093;-0,05959208;0,1687959;3,062728;-0,05836602;0,2228143;3,1317;-0,0920058;0,5885974;3,181236;-0,2704401;0,5093946;3,178501;-0,3864029;0,7433588;3,045241;-0,3899204;1,024837;2,961987;-0,3708394;1,102189;2,953752;0,08789467;0,5173816;3,135155;0,2138313;0,7599779;3,057827;0,266728;1,056921;2,966567;0,2655312;1,126995;2,927792;-0,1298578;0,08609997;3,041952;-0,0839972;-0,4834541;3,008873;-0,03020582;-0,8659635;2,969807;-0,05507278;-0,9335234;2,91575;0,02247613;0,09670071;3,033899;0,1098678;-0,4740968;2,917584;0,1985287;-0,8656309;2,939798;0,2386838;-0,9297559;2,915104; 
