;0,02788594;0,7881525;2,667806;0,038529;0,2006468;2,624217;0,038334;0,2613252;2,682457;0,02755872;0,6163467;2,674223;-0,1526768;0,5601623;2,692746;-0,2836945;0,7501729;2,583636;-0,3518856;0,9569247;2,492052;-0,3765255;1,039353;2,480661;0,2078232;0,5549189;2,682209;0,3427625;0,7413269;2,604417;0,385501;0,9595014;2,527362;0,3845444;1,044952;2,512243;-0,04145708;0,1188735;2,617892;-0,05349376;-0,4518012;2,658651;-0,03012043;-0,8267418;2,640025;-0,04577969;-0,8907145;2,590829;0,1226969;0,1216781;2,605862;0,1721955;-0,452757;2,629807;0,1713022;-0,8333029;2,651555;0,1911602;-0,9052312;2,594792; 
0,02793962;0,7883021;2,667752;0,03812296;0,2012314;2,624345;0,03796669;0,2619244;2,682548;0,02714812;0,6164809;2,67412;-0,1527367;0,5622189;2,693924;-0,2835695;0,7514664;2,584186;-0,3514375;0,9585936;2,493652;-0,3766204;1,040746;2,482135;0,20795;0,5552256;2,682511;0,3424989;0,7415229;2,605919;0,3857761;0,9593296;2,52835;0,3849962;1,04471;2,513338;-0,04165792;0,1193786;2,617949;-0,05365334;-0,4517543;2,658638;-0,0303555;-0,8262108;2,639891;-0,04608369;-0,8907757;2,590869;0,122158;0,1221886;2,606091;0,1721595;-0,4534253;2,629865;0,1710597;-0,8335771;2,6513;0,1907075;-0,9052073;2,592734; 
0,02794697;0,7883683;2,667669;0,03832107;0,2020476;2,624465;0,03814397;0,2627094;2,682703;0,02701913;0,6168852;2,674407;-0,1527417;0,5629954;2,69486;-0,2836782;0,7530674;2,584838;-0,3517632;0,9597341;2,493579;-0,3769338;1,041799;2,482079;0,208285;0,555795;2,682984;0,3428154;0,741356;2,607285;0,385994;0,9589465;2,5293;0,3851473;1,044239;2,514304;-0,04149745;0,1198614;2,617968;-0,05380062;-0,4517034;2,658451;-0,03042991;-0,8259567;2,640366;-0,04604214;-0,890785;2,59083;0,1225326;0,1231691;2,606141;0,1719926;-0,4532232;2,629862;0,1710536;-0,8335851;2,651293;0,1907145;-0,9052186;2,592724; 
0,02844975;0,7924374;2,667799;0,03802281;0,2024819;2,62464;0,03774391;0,2631411;2,682894;0,02677938;0,6170697;2,674619;-0,1527995;0,5632067;2,694957;-0,283733;0,7536834;2,585468;-0,3515247;0,9601498;2,493732;-0,3769975;1,042028;2,482193;0,2090007;0,5563604;2,683671;0,34305;0,741842;2,60791;0,3862658;0,9595839;2,530863;0,3850117;1,044929;2,516692;-0,04162313;0,1200944;2,618062;-0,0538224;-0,4520328;2,658397;-0,03090591;-0,8263395;2,640043;-0,04582499;-0,891369;2,59063;0,1221449;0,1234444;2,606242;0,1718358;-0,4537168;2,630002;0,170772;-0,8337613;2,651248;0,1905787;-0,9052029;2,592706; 
0,02831656;0,7920296;2,667758;0,03775299;0,2029234;2,624802;0,03741932;0,2634798;2,683136;0,0263754;0,6172878;2,675598;-0,1527039;0,5636287;2,695097;-0,2834676;0,7538384;2,585766;-0,351461;0,9602812;2,494462;-0,3770254;1,042013;2,482716;0,2091431;0,5567685;2,683973;0,3431505;0,7422295;2,608375;0,3863582;0,9598279;2,531211;0,3852751;1,045024;2,516653;-0,04202214;0,1206517;2,618077;-0,05409792;-0,4522935;2,658304;-0,0317024;-0,827765;2,639235;-0,04590714;-0,8925517;2,589442;0,1219873;0,1238026;2,606313;0,1718192;-0,4543253;2,630247;0,1707074;-0,8337929;2,651234;0,1904852;-0,9052954;2,592798; 
0,02815421;0,7913367;2,668181;0,03790209;0,2036582;2,625068;0,03749102;0,2641277;2,683406;0,02645851;0,6174558;2,675833;-0,152934;0,5635843;2,695752;-0,2831816;0,7541419;2,586161;-0,3515114;0,9602281;2,49452;-0,3770437;1,04188;2,482756;0,2108473;0,5579876;2,685158;0,3432146;0,7426282;2,609083;0,3867515;0,959968;2,531645;0,3854038;1,045018;2,516745;-0,04213737;0,1209791;2,618135;-0,05420535;-0,4520954;2,658164;-0,03198456;-0,8272925;2,63967;-0,04568936;-0,8918737;2,589552;0,1224418;0,1242427;2,606543;0,1718084;-0,4539126;2,629993;0,1705664;-0,8335434;2,651371;0,1905355;-0,9050801;2,593194; 
0,02843506;0,7904406;2,668021;0,03774496;0,2039005;2,625099;0,0373326;0,2643436;2,683454;0,02641107;0,6175561;2,676009;-0,1528661;0,5637456;2,695858;-0,2829214;0,7541888;2,586298;-0,3514596;0,9600908;2,494672;-0,3769903;1,041652;2,482866;0,2111136;0,55796;2,685315;0,3427109;0,7426484;2,609778;0,386644;0,9596088;2,531703;0,3851259;1,044586;2,516871;-0,04234193;0,1213069;2,618037;-0,05432479;-0,4520556;2,658002;-0,03207181;-0,8272721;2,63967;-0,04578722;-0,8919581;2,589464;0,1222977;0,1243577;2,606586;0,1717139;-0,4532545;2,629781;0,1707659;-0,8331867;2,651501;0,190533;-0,9050707;2,593225; 
0,02900804;0,790253;2,668098;0,03768748;0,2039251;2,625076;0,03730233;0,264351;2,683434;0,02643667;0,6175768;2,676178;-0,152657;0,5643972;2,696096;-0,2826829;0,754231;2,586412;-0,3514316;0,9600387;2,495028;-0,3769639;1,041551;2,483485;0,2107223;0,557786;2,685317;0,3426885;0,7426913;2,609928;0,3868183;0,9597912;2,532842;0,3853284;1,044574;2,517382;-0,04245984;0,1214623;2,617972;-0,0544885;-0,452326;2,657841;-0,03232286;-0,8276995;2,63944;-0,0450361;-0,8925637;2,58885;0,1221718;0,124449;2,606564;0,1713956;-0,4525162;2,629666;0,1708684;-0,8330583;2,651621;0,190557;-0,9049625;2,593246; 
0,02893067;0,7902215;2,668191;0,03764766;0,2052552;2,625425;0,03729623;0,2654217;2,683937;0,02707574;0,6185017;2,678016;-0,1528337;0,5647619;2,696457;-0,2824968;0,7543103;2,586534;-0,3506749;0,9603531;2,495593;-0,3760175;1,041965;2,484971;0,2116682;0,5590323;2,686072;0,3429544;0,7429643;2,610672;0,3865927;0,9599813;2,533347;0,3848788;1,044741;2,518232;-0,04283365;0,1224858;2,618029;-0,0545891;-0,4517975;2,657631;-0,03250062;-0,8268309;2,640078;-0,04525958;-0,8925042;2,588848;0,122292;0,1253317;2,606621;0,1716626;-0,4530593;2,629889;0,1711336;-0,833787;2,651849;0,1905451;-0,9049624;2,593239; 
0,02912103;0,7903652;2,668324;0,03754846;0,2051026;2,625445;0,03722915;0,2653329;2,683955;0,0272027;0,6188347;2,678366;-0,1527595;0,5648028;2,696466;-0,2815887;0,7541229;2,587239;-0,3506267;0,9595339;2,495692;-0,3759488;1,041033;2,484787;0,2115227;0,5589412;2,686165;0,342615;0,7429973;2,611285;0,3863187;0,9598044;2,533671;0,3844322;1,044558;2,518988;-0,04283436;0,1224831;2,618011;-0,05466456;-0,4518503;2,657551;-0,0326678;-0,8267869;2,640017;-0,04524748;-0,8918436;2,588636;0,1218521;0,1250949;2,606673;0,1717492;-0,4545743;2,630058;0,1712074;-0,8340015;2,651862;0,1904994;-0,904968;2,593229; 
0,03000696;0,7907768;2,669022;0,0375917;0,2050163;2,625433;0,03729963;0,2652618;2,683948;0,02744633;0,6191418;2,678733;-0,1527366;0,564863;2,696464;-0,2814532;0,7541502;2,587122;-0,3505602;0,9595309;2,495877;-0,3759316;1,04092;2,484885;0,2104628;0,5589761;2,685978;0,3426484;0,7431588;2,611687;0,3861923;0,9598787;2,534053;0,3844475;1,04452;2,519171;-0,04275688;0,1224961;2,61798;-0,05483525;-0,4515398;2,657301;-0,03271752;-0,8266152;2,640033;-0,04497682;-0,8919364;2,588814;0,1218468;0,125093;2,606651;0,1716549;-0,4551117;2,630079;0,1711812;-0,8339768;2,651865;0,1905107;-0,9050667;2,593246; 
