;-0,004710556;0,8555766;2,589761;0,01392455;0,2446683;2,578289;0,01194322;0,3041366;2,638281;0,0001908267;0,6612425;2,642286;-0,1881237;0,5838531;2,667563;-0,4395206;0,6062764;2,645818;-0,6533961;0,6806923;2,618684;-0,6556354;0,7604554;2,595579;0,2067389;0,5836847;2,664999;0,5032812;0,6387211;2,67996;0,7485018;0,7505378;2,66336;0,8372599;0,8112607;2,663662;-0,06825982;0,1548555;2,565284;-0,02522405;-0,4667512;2,573598;-0,000982155;-0,8579941;2,584967;-0,03316223;-0,9097627;2,531059;0,1019553;0,1590682;2,55786;0,07104029;-0,4725665;2,586867;0,0693826;-0,841832;2,588369;0,1137474;-0,8962452;2,534272; 
-0,004610429;0,8555945;2,589823;0,01370319;0,2452741;2,578983;0,01182884;0,3046669;2,638889;4,546378E-05;0,6612597;2,642548;-0,1885935;0,5841079;2,669573;-0,4373271;0,6045154;2,645255;-0,6477944;0,6814667;2,608251;-0,6258811;0,7523992;2,587746;0,2071081;0,5841069;2,666343;0,5039983;0,6388654;2,679643;0,7465139;0,7487683;2,659854;0,8374525;0,8102224;2,663848;-0,06854519;0,1554159;2,565982;-0,0252158;-0,4667489;2,573594;-0,001047789;-0,8578218;2,585251;-0,03633306;-0,9093223;2,531885;0,1018258;0,1595133;2,558593;0,07104857;-0,4725691;2,586925;0,06938574;-0,8432315;2,5882;0,1152148;-0,8958516;2,535399; 
-0,005443236;0,8562111;2,591088;0,01344386;0,2460833;2,579696;0,01171187;0,3053713;2,639536;0,0001668195;0,6613743;2,642912;-0,1889418;0,5842043;2,67044;-0,4367344;0,6040431;2,644855;-0,647048;0,6813675;2,607277;-0,6228708;0,7514184;2,58709;0,2070587;0,5843167;2,666862;0,5041608;0,639153;2,678951;0,746261;0,7483981;2,658602;0,8372576;0,8097822;2,662603;-0,06894391;0,1562926;2,567058;-0,02541151;-0,4665875;2,573607;-0,0008087115;-0,8576464;2,585113;-0,03610359;-0,9088858;2,532437;0,101492;0,1601953;2,559076;0,07100746;-0,4725136;2,58701;0,06942024;-0,8437174;2,588075;0,1167421;-0,8961415;2,536269; 
-0,005001535;0,8562616;2,591028;0,01328289;0,2465354;2,580087;0,01162315;0,3057492;2,639847;0,0001337231;0,661361;2,642947;-0,1890074;0,5842699;2,67122;-0,4364754;0,6038405;2,644479;-0,6484535;0,6779159;2,611514;-0,6439062;0,7553075;2,589005;0,2074641;0,5841502;2,667238;0,5046542;0,6392371;2,678739;0,7447006;0,7471973;2,656571;0,8359103;0,808314;2,660185;-0,0691416;0,1567783;2,567733;-0,02544929;-0,4665211;2,573616;-0,0008387117;-0,8577098;2,585074;-0,06740885;-0,9093749;2,531642;0,1013737;0,1604021;2,559287;0,07096684;-0,4723804;2,586971;0,06894578;-0,8443024;2,587892;0,1175091;-0,8960134;2,536616; 
-0,005233785;0,8567847;2,591996;0,01318769;0,2469108;2,580475;0,01160811;0,3060735;2,64018;0,0001728472;0,6613401;2,643051;-0,1891531;0,584555;2,671805;-0,4353808;0,6028719;2,643607;-0,6909576;0,6985928;2,599066;-0,693197;0,778356;2,575961;0,2074781;0,5841342;2,667425;0,50477;0,6392976;2,678441;0,7437997;0,7461764;2,654185;0,8349591;0,8073803;2,658117;-0,06928626;0,1571179;2,568344;-0,02566596;-0,4665021;2,573721;-0,0009209432;-0,8575597;2,585127;-0,0598807;-0,9107015;2,534654;0,1012384;0,1607737;2,559577;0,07096677;-0,4722869;2,586944;0,06869946;-0,844559;2,587743;0,09356733;-0,9014839;2,536496; 
-0,005265355;0,8567923;2,592003;0,01321088;0,2473646;2,580939;0,01159969;0,3064942;2,64065;0,000137036;0,6614549;2,643466;-0,1892463;0,5845729;2,672001;-0,4349447;0,6022733;2,642522;-0,6907042;0,6985044;2,598597;-0,6929436;0,7782675;2,575492;0,2074009;0,5842308;2,66777;0,504949;0,6388441;2,677994;0,7192531;0,7049227;2,641083;0,8086157;0,7686688;2,645586;-0,06926848;0,1575116;2,568591;-0,02623637;-0,4659342;2,573689;-0,001474637;-0,8571106;2,585119;-0,06478152;-0,9108629;2,532533;0,1013014;0,1613524;2,560365;0,07108665;-0,4703413;2,58669;0,0684265;-0,8442743;2,587404;0,1098555;-0,8972666;2,536804; 
-0,004705062;0,8567625;2,592046;0,0132534;0,2472602;2,581135;0,01163209;0,3064102;2,640849;0,0002043311;0,6614145;2,643715;-0,1892466;0,5846133;2,672259;-0,4299065;0,5996504;2,641033;-0,6910554;0,6985855;2,596716;-0,7466584;0,7402974;2,554746;0,2075272;0,5840743;2,668079;0,4912152;0,6295102;2,677685;0,7036262;0,702211;2,643379;0,7933244;0,7654935;2,647602;-0,06924966;0,1575076;2,56862;-0,02626529;-0,4659569;2,573756;-0,001404802;-0,857426;2,584902;-0,05293991;-0,908174;2,533238;0,1013444;0,1609811;2,560915;0,07107295;-0,4703259;2,586722;0,0688161;-0,8447621;2,587082;0,1124186;-0,8965215;2,536301; 
-0,005068457;0,8568736;2,592278;0,01297569;0,2474934;2,581525;0,01142671;0,3066152;2,641169;0,0001839002;0,6613644;2,643779;-0,1893921;0,5845836;2,672589;-0,4301474;0,5994986;2,640866;-0,6472979;0,6703501;2,605692;-0,7051118;0,7145884;2,569739;0,207658;0,5839154;2,668315;0,5008894;0,6322387;2,675817;0,7131955;0,7055305;2,642399;0,8032886;0,7683106;2,645305;-0,06968752;0,1576846;2,569279;-0,02650153;-0,4662134;2,573909;-0,001899244;-0,857479;2,585092;-0,007268498;-0,9098073;2,526881;0,1010967;0,1611303;2,561162;0,07108019;-0,4703174;2,586744;0,06872002;-0,8448253;2,58708;0,1153864;-0,8967556;2,534376; 
-0,004746288;0,8566519;2,592118;0,01294045;0,2475075;2,581704;0,01138829;0,3066082;2,641379;6,908856E-05;0,6613062;2,644169;-0,1894553;0,5845984;2,672714;-0,430478;0,5987688;2,640044;-0,6960873;0,7005371;2,586671;-0,7538973;0,7447724;2,55072;0,2076494;0,5839177;2,668356;0,5034778;0,6322682;2,674965;0,7153829;0,7070827;2,642812;0,8060702;0,7690527;2,643495;-0,0697013;0,1576919;2,569334;-0,02674084;-0,4658978;2,573885;-0,002686685;-0,8570392;2,585404;-0,03305792;-0,9105283;2,536544;0,1010614;0,1611608;2,561436;0,07088924;-0,4703722;2,586847;0,06826173;-0,8446046;2,587369;0,1158776;-0,8966522;2,53463; 
-0,004416599;0,8565174;2,591904;0,01284252;0,2475646;2,581861;0,01130001;0,3066525;2,641518;3,697497E-05;0,6612155;2,644246;-0,1895173;0,5845782;2,672737;-0,4303865;0,5979875;2,639193;-0,6962737;0,7002639;2,586555;-0,7540796;0,744496;2,550606;0,2076509;0,583776;2,668385;0,5060053;0,6330448;2,674253;0,7148395;0,7155128;2,639516;0,8073224;0,7747565;2,640072;-0,06981833;0,1577241;2,569484;-0,0267049;-0,4660411;2,573989;-0,002961729;-0,8570337;2,585429;-0,03122395;-0,9081948;2,540482;0,100957;0,161216;2,56161;0,07078298;-0,4703836;2,586875;0,06814457;-0,8447205;2,587334;0,1184625;-0,8976281;2,533015; 
-0,004544872;0,8563436;2,591653;0,01277139;0,247614;2,582028;0,01122937;0,306695;2,641699;-4,662324E-05;0,6611876;2,64447;-0,1895354;0,5845813;2,672867;-0,4306799;0,5978048;2,639091;-0,696924;0,7000309;2,586321;-0,7547255;0,7442597;2,550375;0,2075985;0,5836022;2,668431;0,4859294;0,6279874;2,674821;0,6964017;0,7067395;2,642459;0,7889136;0,7659249;2,642616;-0,06989347;0,1577264;2,569603;-0,02695561;-0,4659202;2,574007;-0,003031147;-0,8569596;2,585526;-0,02911491;-0,9084412;2,538991;0,1008901;0,1613805;2,561833;0,07076576;-0,4705406;2,586987;0,06792922;-0,8453687;2,587307;0,1188385;-0,8974196;2,533804; 
