;-0,08889124;0,7326728;2,941548;-0,07746761;0,1370292;2,876462;-0,07700395;0,1929837;2,938156;-0,0934381;0,5449979;2,960552;-0,2679159;0,4592479;2,950497;-0,4881019;0,5077581;2,856647;-0,7309939;0,5672501;2,762336;-0,8064976;0,5805599;2,726228;0,09112557;0,4717594;2,929665;0,3276186;0,5025406;2,858183;0,5604433;0,5714356;2,806376;0,6428942;0,5720406;2,7868;-0,1534274;0,05620321;2,857823;-0,1535546;-0,4917361;2,887423;-0,1807786;-0,8647285;2,87666;-0,1987126;-0,9262668;2,831319;0,005840006;0,06057974;2,856903;0,01833033;-0,4868617;2,893714;0,04916006;-0,8448179;2,897463;0,06221332;-0,9033607;2,84556; 
-0,08854469;0,7326989;2,941695;-0,07701036;0,1360266;2,876761;-0,07646459;0,1920701;2,938558;-0,09237377;0,5449672;2,961884;-0,2673165;0,4590333;2,951238;-0,4870133;0,5054799;2,858533;-0,7010387;0,5496106;2,767249;-0,718672;0,551832;2,768225;0,09161416;0,4713048;2,930404;0,3277299;0,5020096;2,858783;0,5532209;0,5638906;2,813166;0,6356119;0,564289;2,793537;-0,1531417;0,05572144;2,858005;-0,1534597;-0,4915285;2,887192;-0,1808946;-0,8645682;2,8767;-0,1981508;-0,9254242;2,833189;0,006014113;0,05927993;2,857141;0,01837163;-0,486885;2,893731;0,04947396;-0,8449182;2,897908;0,06221348;-0,903438;2,84552; 
-0,08764465;0,732648;2,942915;-0,07629649;0,1351876;2,876907;-0,07583499;0,1913215;2,938845;-0,09213924;0,5451333;2,963392;-0,2662702;0,4583764;2,951508;-0,4861263;0,5038811;2,860825;-0,7102245;0,5502157;2,763957;-0,7950827;0,5662985;2,740678;0,09178195;0,4707387;2,930629;0,3301248;0,5017231;2,858728;0,5515351;0,5627075;2,81491;0,6338745;0,5630818;2,79526;-0,152274;0,05509546;2,857934;-0,1531909;-0,4926559;2,887857;-0,1811479;-0,8662577;2,876117;-0,1988251;-0,9257658;2,83262;0,006437204;0,05881805;2,857275;0,01918465;-0,4876363;2,893486;0,04781754;-0,8456276;2,898896;0,06217975;-0,9035232;2,845361; 
-0,0872318;0,7321829;2,944355;-0,07600626;0,1347275;2,877;-0,07558805;0,1908442;2,93903;-0,09182572;0,5450954;2,964287;-0,2657877;0,4581106;2,951729;-0,4858398;0,5031267;2,860873;-0,6948542;0,5503604;2,759529;-0,7764342;0,5633042;2,741206;0,09230423;0,47004;2,931186;0,3304886;0,5017357;2,859203;0,5538646;0,5633038;2,813575;0,636156;0,5636573;2,793913;-0,1520949;0,05478506;2,857905;-0,1530297;-0,4925203;2,887758;-0,1810006;-0,8658503;2,876528;-0,1981544;-0,9253883;2,83418;0,006727383;0,05837047;2,857358;0,01925628;-0,4874814;2,893448;0,04775106;-0,8455439;2,898848;0,06230913;-0,9035252;2,8448; 
-0,08730466;0,7319109;2,944862;-0,0755092;0,1342058;2,877217;-0,07519202;0,1904328;2,939262;-0,0918542;0,5450062;2,964409;-0,2653123;0,4579638;2,951908;-0,4863358;0,5015511;2,86046;-0,6952238;0,5506999;2,760414;-0,7763827;0,5641601;2,740865;0,09241801;0,4699985;2,931446;0,3301161;0,5014498;2,859386;0,5526202;0,5647004;2,814867;0,6348579;0,5650283;2,795196;-0,1512437;0,05424195;2,857822;-0,1528817;-0,492553;2,887751;-0,181164;-0,8651493;2,877101;-0,1980621;-0,9245298;2,835141;0,00714017;0,05791133;2,857971;0,01929075;-0,4881449;2,893775;0,04827359;-0,8457584;2,899405;0,0629361;-0,9041504;2,84411; 
-0,08687614;0,7317469;2,944978;-0,07526307;0,1340823;2,877376;-0,07480875;0,1901254;2,939545;-0,09096479;0,5450935;2,966118;-0,2649559;0,4579406;2,952406;-0,4840522;0,4996539;2,863081;-0,6923221;0,5498092;2,76263;-0,7727448;0,5641459;2,741;0,09253158;0,4699791;2,931844;0,3313227;0,5014776;2,859602;0,5519994;0,5625473;2,815082;0,6341836;0,5628563;2,795413;-0,1511209;0,05415605;2,857852;-0,1528321;-0,4928991;2,88772;-0,1810139;-0,8652911;2,877025;-0,1987215;-0,9254157;2,83317;0,007299017;0,05790153;2,85806;0,01928785;-0,4881494;2,893764;0,04821935;-0,8457105;2,899352;0,06265175;-0,9040365;2,844274; 
-0,08670875;0,7316391;2,944947;-0,07506512;0,1336838;2,877415;-0,07459811;0,1898353;2,939634;-0,09086094;0,5451975;2,966403;-0,2642364;0,4575565;2,952651;-0,4836941;0,4967959;2,865392;-0,6900171;0,5504642;2,762951;-0,7703357;0,5648146;2,741157;0,09276477;0,4698922;2,932015;0,3309231;0,5013406;2,860258;0,5515998;0,5615336;2,815543;0,6337295;0,5618366;2,795882;-0,1508671;0,05394982;2,857936;-0,1526337;-0,4925728;2,887669;-0,1810316;-0,8652425;2,876987;-0,1991606;-0,9244931;2,832479;0,007348685;0,05746359;2,857991;0,01900658;-0,4886847;2,893974;0,04910221;-0,8463623;2,901122;0,06277551;-0,9042152;2,844693; 
-0,08658536;0,7317121;2,945001;-0,07492469;0,1335465;2,877558;-0,07444533;0,1897477;2,939748;-0,09088844;0,5451818;2,966387;-0,2640715;0,4579338;2,953269;-0,4832852;0,4966217;2,86555;-0,6896355;0,5504116;2,763784;-0,7093759;0,5484819;2,767461;0,09285258;0,4699183;2,932244;0,3323836;0,5010834;2,86084;0,552477;0,5627102;2,816327;0,6345606;0,5630053;2,796667;-0,1506192;0,05363;2,858103;-0,1526243;-0,4925599;2,88767;-0,1809348;-0,8649573;2,876942;-0,1997912;-0,924171;2,832426;0,007493279;0,05742364;2,858244;0,0190493;-0,4885844;2,894058;0,04874356;-0,8461338;2,900863;0,06337763;-0,9042903;2,843416; 
-0,0862801;0,731744;2,944695;-0,07461283;0,1335142;2,877621;-0,07406574;0,1897085;2,939824;-0,09065004;0,5451316;2,966425;-0,2638087;0,4578438;2,953578;-0,4828079;0,4964714;2,865804;-0,6901825;0,5479558;2,76561;-0,7054452;0,5454192;2,769937;0,09296849;0,469944;2,932333;0,331473;0,5006441;2,861035;0,5557171;0,5663597;2,817944;0,6377622;0,5666466;2,798284;-0,1501671;0,05366847;2,85818;-0,1527622;-0,4932818;2,888086;-0,1806541;-0,8649452;2,877113;-0,1989126;-0,9248375;2,832408;0,007636957;0,05738644;2,858284;0,0190593;-0,4886001;2,89407;0,04990203;-0,8464925;2,90159;0,06302437;-0,9043964;2,842895; 
-0,08607824;0,7315611;2,944775;-0,0746847;0,1333182;2,877647;-0,07407621;0,1895561;2,939868;-0,09040134;0,5451959;2,96667;-0,2637043;0,4577993;2,953684;-0,4826345;0,4959607;2,866124;-0,6894718;0,5487633;2,765969;-0,7091528;0,5473412;2,767851;0,09297699;0,469841;2,932419;0,3311931;0,5003996;2,861236;0,5547281;0,5639876;2,818874;0,6367301;0,5642734;2,799221;-0,1502971;0,05362031;2,858169;-0,1528371;-0,4931697;2,888108;-0,1809023;-0,8646291;2,877169;-0,1992861;-0,9249332;2,831742;0,007458632;0,05701923;2,858331;0,01872663;-0,4889874;2,894174;0,05000785;-0,8458413;2,90062;0,0629785;-0,9044373;2,842086; 
-0,08576956;0,731896;2,945166;-0,0742409;0,1322093;2,87762;-0,07372914;0,1887846;2,939924;-0,09038498;0,5452073;2,966753;-0,2635081;0,4576336;2,953648;-0,4821712;0,4958804;2,865885;-0,6889607;0,5495822;2,766674;-0,7114504;0,5467933;2,766928;0,09292974;0,469723;2,932437;0,3311814;0,5004057;2,861273;0,5545148;0,5640587;2,818706;0,636479;0,5643441;2,799061;-0,149676;0,05257266;2,858015;-0,1523461;-0,4955489;2,888661;-0,1814413;-0,8654773;2,877288;-0,212745;-0,9240482;2,812716;0,00769302;0,05632564;2,858424;0,01873742;-0,4895961;2,894645;0,04992037;-0,8458385;2,900883;0,0625833;-0,9041786;2,84278; 
