;0,1342972;0,919554;2,616455;0,156673;0,2844647;2,565917;0,1494506;0,3457843;2,632365;0,1376375;0,7273227;2,648271;-0,07052702;0,6304955;2,632917;-0,03555809;0,3139718;2,541777;-0,05032979;0,07480675;2,527104;-0,01381701;-8,14721E-05;2,531921;0,3565692;0,6222652;2,661636;0,63298;0,7457293;2,672032;0,8403857;0,8634486;2,633237;0,9445691;0,9221005;2,609433;0,07012474;0,1893211;2,539143;0,1250222;-0,4366212;2,571325;0,1575003;-0,818602;2,56868;0,1516111;-0,89974;2,478751;0,2517407;0,1918437;2,55069;0,2564662;-0,438735;2,574229;0,2468778;-0,810639;2,56844;0,2494527;-0,8929033;2,474775; 
0,1342254;0,9199107;2,616518;0,1566881;0,2844444;2,565732;0,1494728;0,3458114;2,632187;0,1377363;0,7276162;2,648082;-0,07042026;0,6305067;2,632771;-0,03555637;0,3137959;2,541754;-0,05125955;0,07457927;2,525943;-0,01474256;-0,0003175884;2,530761;0,3565955;0,6223217;2,661538;0,6279747;0,7435144;2,671633;0,8359711;0,8608396;2,635096;0,9455798;0,9242079;2,610704;0,07009992;0,1892318;2,539031;0,1253235;-0,4361582;2,571056;0,1571705;-0,8181858;2,569213;0,1556672;-0,8991066;2,479209;0,2517425;0,1919534;2,550449;0,256498;-0,4387606;2,574031;0,2475641;-0,8108454;2,568373;0,2494975;-0,8928736;2,475039; 
0,1344215;0,9205055;2,617061;0,1567695;0,2845815;2,565559;0,1495696;0,3459848;2,631999;0,1382133;0,727928;2,647866;-0,0703182;0,6304817;2,632202;-0,03558886;0,3135173;2,541653;-0,05385246;0,07441142;2,521958;-0,01733116;-0,0004942939;2,526777;0,3567132;0,6224845;2,661292;0,6280578;0,7436845;2,671632;0,8361559;0,860995;2,634793;0,9442704;0,9239832;2,610858;0,07008173;0,1894291;2,538865;0,1254339;-0,4358505;2,570658;0,1575514;-0,8179954;2,569304;0,1569776;-0,8987283;2,479256;0,251789;0,1920035;2,550318;0,2563483;-0,4386357;2,573398;0,2476776;-0,8106834;2,568065;0,2494126;-0,8929071;2,475169; 
0,1537864;0,9241175;2,587421;0,165818;0,2846511;2,55438;0,1597117;0,3476983;2,619602;0,1562456;0,7307355;2,627256;-0,05246246;0,6285987;2,610453;-0,01784642;0,3101587;2,527267;-0,03440442;0,07306471;2,478795;0,002110504;-0,001827903;2,483613;0,370055;0,6221904;2,641611;0,6602259;0,717539;2,666826;0,9322748;0,8580723;2,601593;0,9986206;0,9045722;2,581557;0,07764386;0,1900067;2,529634;0,1275698;-0,4333841;2,566669;0,1575167;-0,8170935;2,567808;0,1577932;-0,8988831;2,478419;0,2587325;0,1920699;2,541366;0,2617653;-0,436967;2,56881;0,2498014;-0,8114828;2,565933;0,2500249;-0,8929765;2,475; 
0,1539275;0,9237641;2,586297;0,1680112;0,2846823;2,551631;0,1617666;0,3475769;2,617101;0,156804;0,7309549;2,626382;-0,05094752;0,6283055;2,609118;-0,01435229;0,3100392;2,525305;-0,02970598;0,07396512;2,469051;0,006775703;-0,0008593351;2,473865;0,371911;0,6222889;2,639498;0,6664499;0,7132977;2,669182;0,9283844;0,8537755;2,600235;0,9868594;0,9113522;2,585458;0,08013275;0,1904499;2,52669;0,1279974;-0,4321366;2,565001;0,1569703;-0,8169272;2,567524;0,157378;-0,8996099;2,478373;0,2611862;0,1918703;2,538248;0,2638027;-0,4378431;2,567822;0,2497339;-0,8112527;2,565614;0,2530382;-0,8931826;2,475331; 
0,1540976;0,923851;2,586147;0,1691971;0,2848729;2,549726;0,163227;0,347834;2,614936;0,159082;0,730168;2,622904;-0,0492273;0,6270772;2,607983;-0,01361442;0,3091964;2,524968;-0,03135529;0,07451163;2,461586;0,005098175;-0,0002549365;2,466395;0,374073;0,6217403;2,638134;0,677422;0,6994808;2,671033;0,9240825;0,8368661;2,590032;0,9674;0,8887619;2,582839;0,08099195;0,1905294;2,525229;0,1275074;-0,4305755;2,562758;0,1566448;-0,8163096;2,566954;0,1573716;-0,8995869;2,47813;0,2621954;0,1920159;2,536499;0,2649068;-0,4365265;2,566543;0,2506808;-0,8100728;2,564886;0,2531721;-0,8933176;2,475112; 
0,1546938;0,9243348;2,585299;0,1705265;0,2841931;2,547785;0,1642602;0,3473323;2,613049;0,1595664;0,7306015;2,621476;-0,04428087;0,624342;2,60598;-0,3500045;0,6180748;2,564108;-0,5440176;0,7513953;2,465655;-0,6216673;0,8273445;2,434967;0,3751778;0,6213956;2,637545;0,6884839;0,6744708;2,673511;0,890729;0,7831506;2,587148;0,9596613;0,8656222;2,555999;0,08251414;0,1901417;2,523899;0,1276576;-0,4300111;2,56212;0,1570952;-0,815667;2,56706;0,1576384;-0,8995554;2,478218;0,2633325;0,1918596;2,534374;0,2651299;-0,4366302;2,566481;0,2493321;-0,8107967;2,563956;0,2535011;-0,8934612;2,475255; 
0,1554427;0,9236811;2,583871;0,1718678;0,282279;2,54557;0,1656516;0,3457975;2,610774;0,1604047;0,7303115;2,618824;-0,04180203;0,6227198;2,605482;-0,3354641;0,5698191;2,569461;-0,5078989;0,710939;2,461659;-0,5761237;0,792236;2,430135;0,3745877;0,6205739;2,636122;0,6670526;0,6153221;2,682222;0,9107382;0,7647821;2,557178;0,954597;0,8329581;2,536538;0,08409797;0,1891198;2,522857;0,1278452;-0,4305329;2,561746;0,1567447;-0,8179559;2,566073;0,1504988;-0,9005426;2,477735;0,2640057;0,191157;2,532362;0,2646527;-0,4364685;2,566131;0,2497344;-0,8109716;2,563857;0,2522752;-0,8944609;2,472991; 
0,1561027;0,9238691;2,58229;0,1729075;0,2803438;2,543733;0,1666332;0,3441224;2,608897;0,1614071;0,7296579;2,616892;-0,03762433;0,616493;2,60368;-0,3096947;0,516305;2,582227;-0,4708512;0,6568256;2,456837;-0,5235776;0,7334;2,423546;0,3746595;0,6198909;2,635721;0,677672;0,587702;2,678041;0,8805473;0,6775087;2,557802;0,936313;0,7579867;2,517177;0,08537078;0,187241;2,521175;0,1278533;-0,4307041;2,561279;0,1566044;-0,8183457;2,56555;0,1487915;-0,8996911;2,477569;0,2645898;0,1905019;2,531147;0,2631755;-0,4353487;2,565269;0,2498991;-0,8108213;2,564051;0,2517095;-0,8942266;2,47268; 
0,1564872;0,9240341;2,579973;0,1742265;0,2780361;2,542085;0,1677441;0,34231;2,607547;0,1614596;0,72966;2,616657;-0,03455088;0,6085758;2,602206;-0,2811314;0,4623457;2,582843;-0,4404975;0,5947123;2,445298;-0,4843811;0,6683671;2,412424;0,3739969;0,6182708;2,634482;0,6569042;0,5243673;2,669654;0,8620949;0,5969318;2,551952;0,9226301;0,6774237;2,513148;0,08710757;0,1854373;2,519442;0,1278221;-0,4306911;2,561166;0,1565204;-0,8180857;2,565651;0,1503173;-0,8994498;2,477654;0,2657452;0,1893021;2,529782;0,2627051;-0,4348265;2,564658;0,2507138;-0,8106896;2,564365;0,2531081;-0,8934752;2,473345; 
0,1564204;0,9231917;2,57841;0,1746236;0,2743298;2,539828;0,1680992;0,3392472;2,605232;0,1608091;0,7289503;2,614089;-0,03320796;0,6047778;2,60156;-0,2323078;0,4112062;2,59127;-0,4019404;0,5072803;2,434996;-0,4448436;0,5674247;2,39596;0,3726204;0,6152648;2,632922;0,6303673;0,4698521;2,655863;0,8402821;0,5231978;2,535892;0,9019681;0,5891569;2,498739;0,08814836;0,1821463;2,517485;0,1274468;-0,4308183;2,560784;0,1565265;-0,8181458;2,565658;0,14713;-0,8998462;2,478357;0,2659802;0,1873724;2,528321;0,2639596;-0,4348235;2,56423;0,2528952;-0,8082014;2,565094;0,2524452;-0,8935958;2,472405; 
