;0,1987648;0,7579445;2,754854;0,18351;0,1458217;2,718393;0,1886743;0,2050746;2,779218;0,1898148;0,5655826;2,79101;0,0022903;0,4807853;2,804099;-0,2490005;0,5639058;2,766024;-0,4566576;0,6644844;2,706616;-0,5721559;0,7250457;2,662545;0,3894396;0,4663767;2,770993;0,6347243;0,5610833;2,689052;0,8472998;0,6750464;2,601642;0,9334611;0,7031975;2,560335;0,09796298;0,06159264;2,704058;0,09630417;-0,4731432;2,738327;0,107368;-0,8357626;2,70019;0,08471331;-0,8972735;2,625727;0,2662499;0,05895149;2,696785;0,3034335;-0,4725103;2,707736;0,3160002;-0,8432258;2,698569;0,3148373;-0,9033204;2,642505; 
0,1987308;0,7579184;2,75486;0,1834684;0,1457888;2,718314;0,1886618;0,205082;2,779114;0,1899351;0,5656503;2,790668;0,002190179;0,4806896;2,80401;-0,2506114;0,5658361;2,765558;-0,4564368;0,6645374;2,705867;-0,5637029;0,7229087;2,663743;0,3893254;0,4663228;2,770781;0,6257877;0,5643629;2,68553;0,8462024;0,6742465;2,60367;0,9333667;0,7031758;2,560358;0,09793685;0,06158271;2,704038;0,09634325;-0,4730514;2,738354;0,1072039;-0,8356977;2,700048;0,08439746;-0,8975025;2,62552;0,266172;0,05889582;2,69672;0,3035835;-0,4736384;2,707968;0,3157763;-0,8454603;2,697251;0,314379;-0,9087168;2,631841; 
0,1987264;0,757877;2,755254;0,1834559;0,1459057;2,718307;0,18865;0,2051405;2,779097;0,1899485;0,5655431;2,790595;0,002092018;0,4806417;2,804;-0,2469459;0,5631279;2,766432;-0,4562933;0,6646327;2,70524;-0,5617727;0,7233169;2,663393;0,3893217;0,4662805;2,770786;0,6277261;0,5631158;2,687646;0,8445193;0,6746096;2,603738;0,9332352;0,703358;2,560419;0,09790591;0,06166332;2,704092;0,09615524;-0,473126;2,738181;0,1074186;-0,8364107;2,699442;0,08579711;-0,8976057;2,627244;0,2661768;0,05900307;2,696678;0,3038131;-0,4726496;2,707713;0,3154987;-0,844633;2,697298;0,3147324;-0,9071379;2,634944; 
0,1988245;0,7578157;2,755176;0,1833988;0,1459401;2,718313;0,1885755;0,2051791;2,779105;0,1898632;0,5656442;2,790666;0,001924885;0,4806306;2,803926;-0,2463387;0,5631512;2,766069;-0,4561031;0,6645225;2,705018;-0,5628901;0,7226818;2,664851;0,3893195;0,4662869;2,770765;0,6390037;0,568104;2,687126;0,8388409;0,6678758;2,621306;0,9360898;0,7072695;2,570873;0,09782405;0,06170669;2,70417;0,09601824;-0,472562;2,737993;0,1074029;-0,8364806;2,699162;0,0833483;-0,8988793;2,623026;0,2661304;0,05900177;2,696632;0,3036696;-0,4733985;2,707889;0,3149174;-0,8452454;2,696836;0,3149716;-0,907977;2,631349; 
0,1985582;0,7572348;2,755612;0,1833852;0,1459303;2,71831;0,1885572;0,2051785;2,779095;0,1898716;0,5656343;2,790596;0,001751357;0,4805423;2,803864;-0,2431845;0,5473905;2,767643;-0,4561867;0,6645674;2,704444;-0,5582065;0,72099;2,665462;0,3893078;0,4662717;2,770756;0,6403289;0,5689631;2,687385;0,8400071;0,6687194;2,620987;0,9371225;0,7079244;2,570222;0,09779496;0,06169028;2,704175;0,09610357;-0,472859;2,737966;0,1072243;-0,8364186;2,698758;0,08273744;-0,8993114;2,622174;0,2661116;0,05895829;2,696653;0,3039114;-0,47493;2,707982;0,3141773;-0,84606;2,696313;0,3148463;-0,9088569;2,627048; 
0,1984693;0,7573604;2,756398;0,1833223;0,1460115;2,71832;0,1885059;0,205223;2,779104;0,1898905;0,5656136;2,790645;0,001689114;0,4805667;2,803823;-0,2385921;0,5475235;2,768394;-0,4561883;0,6645999;2,704393;-0,5544716;0,7193633;2,666231;0,389305;0,4662803;2,77077;0,6374387;0,5649265;2,689363;0,8636813;0,6817484;2,599897;0,9337248;0,7032084;2,563139;0,09770469;0,0617625;2,704198;0,09607675;-0,4728509;2,737843;0,1072247;-0,8367957;2,698747;0,08251849;-0,9002727;2,621445;0,2660431;0,05903481;2,69664;0,3039358;-0,4749412;2,707978;0,3144059;-0,8454093;2,696913;0,3162352;-0,9065707;2,633748; 
0,1985098;0,7574189;2,756288;0,1833156;0,1460117;2,718317;0,1884489;0,2052333;2,779098;0,1898142;0,5656117;2,790567;0,001676985;0,4804926;2,803495;-0,2383014;0,5433826;2,767916;-0,4565908;0,6644513;2,703084;-0,5519902;0,7178914;2,664892;0,3893053;0,4662756;2,770774;0,6260385;0,5663544;2,684927;0,8557739;0,6751223;2,602582;0,9334515;0,7028655;2,562996;0,09769726;0,06177146;2,70422;0,09593591;-0,4727484;2,737913;0,107286;-0,8364742;2,6989;0,08224879;-0,9004186;2,620711;0,2660411;0,05902974;2,696638;0,3040457;-0,4755237;2,708095;0,3142632;-0,8444288;2,696659;0,315963;-0,9071973;2,629017; 
0,1984852;0,7573621;2,756323;0,1832645;0,1460806;2,718372;0,1884015;0,2052745;2,779157;0,1898164;0,5656267;2,790767;0,001635839;0,4804827;2,803495;-0,2321982;0,542322;2,770569;-0,4566236;0,6642218;2,702957;-0,5480736;0,7150549;2,670919;0,3893104;0,466268;2,770773;0,6399502;0,570188;2,687292;0,9086078;0,6869683;2,571721;0,976781;0,7335195;2,547855;0,09762254;0,06185768;2,704306;0,09603468;-0,4728306;2,73799;0,1080171;-0,8374856;2,698478;0,08149013;-0,9011326;2,618014;0,266009;0,05905454;2,696645;0,3038852;-0,4749003;2,708088;0,3146521;-0,8439437;2,697267;0,3151849;-0,9054701;2,635554; 
0,1986927;0,7574843;2,756631;0,1832533;0,1460889;2,718372;0,1883832;0,2052628;2,779158;0,1897698;0,5655903;2,790919;0,001664393;0,4805045;2,803499;-0,2411989;0,5421582;2,770014;-0,4544571;0,662888;2,703129;-0,5573381;0,7143718;2,670063;0,3893351;0,4662675;2,770786;0,6429892;0,5707819;2,687744;0,8418505;0,6682334;2,609218;0,9332042;0,7013764;2,562994;0,0976188;0,06186415;2,704303;0,09613884;-0,4727381;2,737949;0,1077704;-0,8371554;2,698693;0,08312641;-0,900253;2,621075;0,2659927;0,05907172;2,696636;0,3038442;-0,4750099;2,70807;0,3145621;-0,8438018;2,697239;0,3156152;-0,9061737;2,630679; 
0,198363;0,7578723;2,756716;0,1832048;0,1461721;2,718375;0,1883674;0,205328;2,779143;0,1897739;0,5655724;2,790825;0,001466971;0,4803859;2,803675;-0,2393736;0,5434272;2,769854;-0,4543296;0,6624597;2,703253;-0,5564743;0,7128814;2,668951;0,3893646;0,466253;2,770812;0,642224;0,5684548;2,688986;0,8401548;0,6677668;2,616134;0,9381632;0,7058912;2,566506;0,09754638;0,06191601;2,704316;0,09605782;-0,4727683;2,737677;0,1077689;-0,8370789;2,698467;0,08230492;-0,900299;2,618201;0,2659692;0,05910133;2,696653;0,30392;-0,4750814;2,708155;0,3142907;-0,8435645;2,697428;0,3165109;-0,9043386;2,634863; 
0,1981423;0,7573743;2,75664;0,1832008;0,1461726;2,718375;0,1883559;0,2053356;2,779139;0,1897642;0,565573;2,790772;0,001355201;0,4804737;2,803719;-0,2426753;0,5486573;2,768445;-0,4551114;0,6622149;2,703404;-0,5616211;0,7134195;2,668528;0,3894034;0,4662464;2,770872;0,6432199;0,5688907;2,689101;0,8414775;0,6687628;2,618388;0,9389766;0,7064471;2,567503;0,09753079;0,06189989;2,704296;0,09608892;-0,4727283;2,737623;0,1076053;-0,836411;2,698323;0,08208497;-0,9003376;2,618031;0,2659659;0,05907976;2,696726;0,3036856;-0,4751352;2,708145;0,3142879;-0,843564;2,697502;0,316865;-0,9049541;2,634266; 
