;0,2267366;0,7402894;2,753362;0,2170485;0,1156312;2,708618;0,2216924;0,176613;2,770321;0,2266584;0,5479771;2,785161;0,03995136;0,4397397;2,802508;-0,2031821;0,4526448;2,83691;-0,2347632;0,6728404;2,77094;-0,2262946;0,7565666;2,752767;0,4210908;0,4242445;2,776414;0,6339977;0,4389886;2,737908;0,6532872;0,6601573;2,755371;0,6336036;0,7762868;2,768772;0,1318018;0,03291836;2,69353;0,1283504;-0,4920692;2,742696;0,1419868;-0,8500386;2,711397;0,1291773;-0,9099823;2,637359;0,2987677;0,03078356;2,688801;0,3329095;-0,4772113;2,702374;0,3330108;-0,8451624;2,698042;0,3490176;-0,9040833;2,633413; 
0,2272472;0,7424137;2,75411;0,2171188;0,1157342;2,708735;0,2217864;0,1767362;2,770447;0,2271962;0,5481727;2,785254;0,04018187;0,4399672;2,802957;-0,2027851;0,452099;2,837189;-0,2345549;0,6726803;2,771074;-0,2263113;0,7564682;2,752785;0,4214098;0,4242006;2,777024;0,6342061;0,4387946;2,738279;0,6519151;0,663931;2,756444;0,6335636;0,7790749;2,769566;0,1318129;0,03297747;2,693626;0,1283535;-0,4920048;2,742692;0,1418854;-0,8500818;2,711391;0,1299165;-0,9101955;2,637266;0,2987918;0,03085822;2,688899;0,3327855;-0,4762608;2,702277;0,3335051;-0,8437849;2,697915;0,3488397;-0,9039358;2,633288; 
0,432729;0,7415414;2,697384;0,3830804;0,1293582;2,721828;0,4065864;0,1929732;2,772271;0,4374282;0,5495684;2,746268;0,266584;0,4420675;2,795274;0,1922987;0,1822635;2,869334;0,1578148;0,3967465;2,806021;0,1633007;0,4818914;2,786164;0,6120361;0,4223911;2,691461;0,8206096;0,4202505;2,617522;0,8109556;0,6565914;2,580868;0,7879419;0,7686352;2,577124;0,2931068;0,06696614;2,736436;-0,06077856;-0,1822172;2,673327;-0,09232058;-0,5939224;2,656518;-0,1642143;-0,6327907;2,653405;0,4525165;0,03295613;2,692557;0,3961471;-0,4736202;2,666475;0,3652532;-0,8430612;2,684486;0,3513899;-0,9056846;2,621375; 
0,432659;0,7395374;2,69784;0,3845317;0,1296454;2,721401;0,4073904;0,1933197;2,770835;0,4376906;0,5496172;2,746455;0,2667224;0,4416991;2,795216;0,1928469;0,1819289;2,869599;0,1593466;0,3998262;2,804956;0,1648316;0,4849566;2,785102;0,6118987;0,422208;2,691473;0,8202858;0,4209977;2,616761;0,8109834;0,6573068;2,580501;0,7879252;0,7683116;2,576532;0,2945272;0,06635672;2,735847;-0,06042928;-0,1811569;2,673013;-0,09333575;-0,5929272;2,656471;-0,1645172;-0,6331165;2,653508;0,4555254;0,03521192;2,691652;0,3961785;-0,4732993;2,666329;0,3662996;-0,842589;2,684052;0,3520142;-0,9058707;2,620501; 
0,4335565;0,7360514;2,698895;0,3855667;0,1299522;2,720491;0,4080266;0,1935976;2,769188;0,4382367;0,5496732;2,746567;0,2668522;0,4416624;2,795053;0,1930491;0,1818482;2,869316;0,1595539;0,3997578;2,804672;0,1650379;0,4848732;2,784822;0,6121399;0,4218968;2,6913;0,8205329;0,4209497;2,616717;0,8111308;0,6574258;2,580346;0,7872129;0,7680402;2,576042;0,2952366;0,06610938;2,734834;-0,06025147;-0,1802486;2,671088;-0,09381145;-0,5920961;2,656144;-0,1648313;-0,6325512;2,652694;0,4570153;0,03605024;2,690281;0,396644;-0,4713964;2,665767;0,3681159;-0,8414989;2,683788;0,3524155;-0,9058684;2,620623; 
0,4344268;0,7351085;2,698728;0,3860286;0,1303027;2,719914;0,4082493;0,1939064;2,767998;0,4393921;0,5500223;2,747006;0,2678069;0,4413434;2,794173;0,1933062;0,1821744;2,869541;0,1598204;0,4001724;2,804894;0,1653032;0,4852687;2,785049;0,6129767;0,4216694;2,691054;0,8203474;0,4317425;2,61315;0,8114791;0,6584117;2,579818;0,7877913;0,7672003;2,575222;0,2955533;0,06627014;2,733852;-0,06017971;-0,1791528;2,668387;-0,09447727;-0,5910833;2,65486;-0,1649007;-0,6325188;2,650985;0,4573767;0,03658173;2,689729;0,3970764;-0,467893;2,665241;0,3688576;-0,840739;2,684054;0,3544707;-0,9028391;2,629112; 
0,4353608;0,7353126;2,697897;0,3864561;0,1303027;2,719332;0,4083332;0,1940216;2,766876;0,4395649;0,5501992;2,746865;0,2690558;0,4413984;2,792904;0,193939;0,1823085;2,867999;0,1606518;0,4010312;2,803065;0,1661332;0,4861065;2,783225;0,6138747;0,4214487;2,690854;0,8211359;0,4323714;2,612733;0,8118089;0,6589;2,579467;0,7880726;0,7668106;2,574968;0,2959921;0,06614251;2,73273;-0,05979407;-0,178505;2,664965;-0,09406263;-0,5905629;2,652961;-0,1999661;-0,6179739;2,635318;0,4577795;0,0366722;2,689437;0,3969902;-0,4681503;2,665248;0,3691428;-0,8405745;2,683707;0,3545268;-0,903963;2,624263; 
0,438169;0,7378504;2,696364;0,3868476;0,1299228;2,718534;0,4083709;0,1938199;2,765699;0,4409081;0,5506269;2,746475;0,2708414;0,4412912;2,790809;0,1953251;0,1819268;2,86485;0,1620455;0,400692;2,799888;0,1675255;0,4857451;2,780053;0,6163894;0,421339;2,69115;0,8240764;0,4270075;2,614037;0,8123689;0,6588688;2,579081;0,7890109;0,7661151;2,57511;0,2961572;0,06591027;2,731665;-0,05991572;-0,1777007;2,662086;-0,100627;-0,5894364;2,647634;-0,2059543;-0,6207239;2,632477;0,4580642;0,03595214;2,688757;0,3968459;-0,4699025;2,666033;0,3695019;-0,8406278;2,68365;0,3550931;-0,9049375;2,622898; 
0,4386428;0,7353716;2,695683;0,3882312;0,1302628;2,717281;0,4094002;0,1940521;2,764314;0,4412172;0,5506318;2,746384;0,2710795;0,441229;2,790495;0,1957341;0,1814603;2,863552;0,1627346;0,4011766;2,79821;0,1682128;0,4862021;2,778381;0,6169894;0,4208943;2,691185;0,8248993;0,4252753;2,615013;0,8127518;0,6588149;2,578902;0,7905028;0,7636519;2,574469;0,297267;0,06566157;2,730137;-0,05919978;-0,1768009;2,658891;-0,1013688;-0,5885593;2,644345;-0,2070366;-0,6205849;2,632859;0,4600602;0,03677849;2,687263;0,3966588;-0,4685865;2,66564;0,3696127;-0,8392208;2,683686;0,355073;-0,9047003;2,623119; 
0,4398752;0,7366393;2,694727;0,3883977;0,130358;2,716954;0,4094331;0,1941871;2,763699;0,4418654;0,5508114;2,746265;0,2720746;0,4409499;2,789507;0,1962442;0,181138;2,862008;0,1632663;0,4009466;2,79663;0,1687428;0,4859452;2,776807;0,6176963;0,4204521;2,69126;0,8258654;0,4244445;2,616313;0,8133423;0,6586957;2,579024;0,7910174;0,7635463;2,575114;0,2973456;0,06567066;2,729421;-0,05915704;-0,1758693;2,65538;-0,1022969;-0,587693;2,64079;-0,2082386;-0,6198031;2,631149;0,4601534;0,03698977;2,687138;0,3961434;-0,4688196;2,665584;0,3696296;-0,8389194;2,683475;0,3546239;-0,9060544;2,620743; 
0,4400937;0,7366825;2,69437;0,3882488;0,1302343;2,716702;0,4091504;0,1941382;2,763239;0,4419895;0,5508201;2,746145;0,2725327;0,440549;2,788823;0,1961153;0,1809301;2,861293;0,1633929;0,4016302;2,795577;0,1688674;0,4865984;2,775761;0,6185239;0,4200019;2,691605;0,8268741;0,4232152;2,617538;0,8143026;0,6589203;2,579257;0,7931979;0,7622862;2,576503;0,2970362;0,06575388;2,729227;-0,05903819;-0,1756827;2,653032;-0,1057852;-0,5873471;2,636125;-0,2125394;-0,6172507;2,627168;0,4597743;0,03622802;2,686635;0,3959753;-0,4688413;2,665357;0,3696715;-0,8394549;2,683187;0,3546574;-0,9060268;2,620715; 
