;0,2746005;0,7302358;2,80481;0,2549126;0,1600013;2,738862;0,2582238;0,2142906;2,800556;0,259919;0,5603464;2,825459;0,08223906;0,4939465;2,829318;-0,0703729;0,6720567;2,777651;0,05001953;0,8403156;2,730939;0,09015034;0,8964019;2,720009;0,4559823;0,4789755;2,807629;0,6069263;0,6614949;2,79619;0,5032883;0,8429439;2,767569;0,469893;0,9072698;2,749953;0,1728509;0,07855823;2,72538;0,1556019;-0,4846039;2,75756;0,1489851;-0,8556264;2,733996;0,1219791;-0,9171506;2,649631;0,3349114;0,07868197;2,711262;0,3883439;-0,47921;2,711238;0,404897;-0,8474643;2,702478;0,4062622;-0,9101523;2,612646; 
0,2722229;0,7319316;2,804059;0,2550077;0,1604976;2,738731;0,2581144;0,2149374;2,800374;0,258967;0,561519;2,824527;0,08204192;0,493942;2,829137;-0,07028277;0,6723028;2,777043;0,0485654;0,8416088;2,730428;0,08818145;0,8980442;2,71953;0,4565868;0,4797749;2,808362;0,6076387;0,6610737;2,796298;0,5034927;0,8419874;2,765579;0,4699276;0,9060856;2,74781;0,1729617;0,07875451;2,725246;0,1558929;-0,4832835;2,757358;0,1483856;-0,8546045;2,734388;0,1221774;-0,9147557;2,651356;0,3351353;0,0789101;2,711272;0,3882692;-0,4791709;2,710819;0,4043807;-0,8475463;2,701703;0,4058156;-0,9106722;2,610873; 
0,4527062;0,7496611;2,747769;0,4247378;0,1759413;2,77101;0,4366903;0,2340418;2,82344;0,4440778;0,5628473;2,803215;0,2868243;0,4486443;2,857893;0,2267529;0,1974698;2,85523;0,3824596;0,2188359;2,702921;0,4343618;0,225958;2,65679;0,6495049;0,4888173;2,799583;0,7982664;0,6547815;2,716721;0,6626791;0,8441241;2,661374;0,5984905;0,8801469;2,650334;0,3421199;0,1119355;2,777933;0,07410809;-0,1328024;2,494437;0,218683;-0,5231236;2,488634;0,2769399;-0,5853052;2,519069;0,499142;0,07562931;2,744501;0,4444319;-0,4700414;2,699487;0,4168671;-0,8376778;2,696365;0,405692;-0,9084949;2,610716; 
0,4535331;0,7431301;2,748793;0,4254718;0,1736535;2,770536;0,437315;0,2320119;2,822649;0,4458523;0,5616634;2,803206;0,286739;0,44663;2,855983;0,2266797;0,1952528;2,85592;0,38489;0,2354978;2,710867;0,4376268;0,2489128;2,667152;0,6491793;0,488696;2,799413;0,7987815;0,6522583;2,716846;0,6818187;0,8230829;2,671505;0,6075265;0,8884623;2,652548;0,3426268;0,1093328;2,777768;0,0732961;-0,1335621;2,494402;0,2174571;-0,5242561;2,488015;0,202521;-0,5626493;2,389886;0,4995977;0,07404391;2,743721;0,4445184;-0,4725716;2,700138;0,4181533;-0,8393229;2,695244;0,4065987;-0,9075001;2,608315; 
0,4541254;0,7418857;2,749839;0,425566;0,1732716;2,770488;0,4373141;0,2316375;2,822302;0,4453156;0,5611999;2,803688;0,2869065;0,4469095;2,856061;0,2267047;0,1952384;2,855872;0,3860281;0,2354296;2,71218;0,4391359;0,2488267;2,668916;0,6490538;0,4884405;2,799221;0,7986124;0,6523548;2,716712;0,6820044;0,8233058;2,670818;0,6078135;0,8889641;2,652111;0,3426997;0,108888;2,777909;0,07323512;-0,1340391;2,495081;0,2175462;-0,524884;2,488221;0,2025379;-0,5632336;2,390111;0,5000524;0,07363407;2,743234;0,4440709;-0,4741474;2,700195;0,4190018;-0,8392741;2,695162;0,4065168;-0,907401;2,608324; 
0,4542565;0,7413617;2,749125;0,4253776;0,1733395;2,770396;0,437309;0,2316155;2,821967;0,4454455;0,5609853;2,804087;0,2873706;0,4471136;2,857045;0,2269577;0,1949109;2,855958;0,3902536;0,2445507;2,720773;0,4446856;0,2610973;2,680341;0,6488805;0,4882579;2,799227;0,7986552;0,6522734;2,71634;0,6819683;0,8229822;2,669515;0,6075306;0,8886859;2,651727;0,3422495;0,1093042;2,777589;0,07348901;-0,1353941;2,495994;0,2185461;-0,5260449;2,490821;0,2032617;-0,5643422;2,392756;0,4997569;0,07373887;2,743102;0,4439912;-0,4742801;2,700238;0,4208606;-0,8382927;2,694781;0,4064597;-0,9064903;2,607728; 
0,4542776;0,7413058;2,749038;0,4267284;0,1730297;2,769244;0,4382024;0,231212;2,821094;0,4454349;0,5607964;2,804172;0,2873224;0,4469033;2,856868;0,2269498;0,1949193;2,855913;0,3914261;0,2459071;2,722926;0,4462515;0,262903;2,683224;0,6487913;0,4881109;2,799111;0,7990345;0,6515657;2,716376;0,6829491;0,8227255;2,669831;0,6085908;0,8886124;2,652116;0,3439978;0,1086691;2,774617;0,07241669;-0,1360714;2,496229;0,2153023;-0,5276952;2,491115;0,2000068;-0,5659027;2,393042;0,502367;0,07376967;2,742163;0,4440778;-0,4742613;2,700335;0,4215876;-0,8375779;2,694563;0,4065831;-0,9054586;2,60877; 
0,4543073;0,7414464;2,749022;0,4268304;0,1730358;2,76902;0,4383635;0,2312327;2,820691;0,4457711;0,5606707;2,803731;0,2876207;0,4475606;2,857094;0,2269737;0,1943734;2,856339;0,391398;0,2472755;2,724132;0,4462061;0,2649096;2,684687;0,6488173;0,4880931;2,799043;0,7990526;0,6525782;2,716177;0,6820236;0,8229796;2,66907;0,6074457;0,8888099;2,651881;0,343938;0,1087139;2,774239;0,07158098;-0,1357453;2,496703;0,2149008;-0,5273287;2,4925;0,1995494;-0,5655425;2,394464;0,5025014;0,07381326;2,742122;0,44405;-0,4744075;2,700471;0,4208371;-0,8367827;2,69387;0,4061818;-0,9052449;2,609257; 
0,4543505;0,7416593;2,749845;0,4270289;0,1730343;2,768901;0,4385748;0,2312356;2,820488;0,4457943;0,5607202;2,803764;0,2878841;0,4477358;2,857381;0,22702;0,1943635;2,856384;0,3912441;0,2473185;2,723938;0,4459855;0,2649702;2,68441;0,648769;0,488043;2,798855;0,7992976;0,6521924;2,715827;0,6830721;0,8232621;2,669368;0,6079924;0,8885761;2,652199;0,3440752;0,1087185;2,774125;0,07128567;-0,1356021;2,497213;0,2144213;-0,5274717;2,492271;0,1989432;-0,5656716;2,394271;0,5028549;0,0739549;2,742014;0,4436448;-0,4753072;2,700931;0,4208767;-0,8368807;2,69388;0,4062422;-0,9051124;2,609235; 
0,4540086;0,7397816;2,750096;0,4273218;0,1730011;2,768729;0,4388642;0,2310849;2,820309;0,4460882;0,5601947;2,804047;0,2878465;0,4477026;2,85735;0,2269231;0,1949597;2,856786;0,3925179;0,2468912;2,72582;0,4477161;0,2642018;2,686782;0,6488755;0,4879862;2,798764;0,7992085;0,6520565;2,715567;0,6825458;0,8226788;2,668372;0,6076003;0,8882191;2,651325;0,3441135;0,1084953;2,774027;0,07128584;-0,1359725;2,497599;0,2147809;-0,5277886;2,494328;0,1992837;-0,5659403;2,396329;0,5037792;0,07407088;2,741457;0,4436772;-0,4753428;2,701242;0,4220454;-0,8366699;2,693187;0,4065532;-0,9048808;2,608615; 
0,4542635;0,7395792;2,749418;0,4275866;0,1730908;2,768486;0,4391818;0,2311035;2,82009;0,4463525;0,5601599;2,80411;0,2881382;0,4478523;2,857117;0,2271136;0,1936107;2,857514;0,3912836;0,2546372;2,728962;0,4460069;0,2749794;2,690727;0,6487987;0,4876299;2,798181;0,7992382;0,6520568;2,715548;0,6838949;0,8234958;2,667965;0,608647;0,8888294;2,651254;0,3442597;0,1086785;2,773839;0,07163075;-0,1371014;2,498714;0,2160451;-0,5287265;2,495866;0,2004558;-0,5668438;2,397898;0,5040816;0,0742216;2,741126;0,4436777;-0,4753472;2,701518;0,4221985;-0,8370802;2,692953;0,4064199;-0,9047613;2,608269; 
