;0,1829087;0,7190144;2,331349;0,2037767;0,1447786;2,273301;0,2079627;0,1962479;2,333147;0,2037546;0,5250817;2,34717;-0,00446295;0,4334418;2,370386;-0,2028933;0,5090106;2,36509;-0,04741763;0,6536506;2,32906;0,001623999;0,6946435;2,328655;0,4123772;0,4621201;2,342856;0,6107945;0,5371014;2,339576;0,4370778;0,6611984;2,326395;0,3636332;0,6971632;2,35452;0,1106246;0,0484359;2,261105;0,1061531;-0,4672254;2,277179;0,09561878;-0,8170792;2,285113;0,06416272;-0,8836568;2,239167;0,2966385;0,05671304;2,242834;0,3274864;-0,4619536;2,266166;0,341219;-0,8101918;2,26676;0,3673567;-0,8664125;2,213098; 
0,1829574;0,7190382;2,331579;0,2036227;0,1442344;2,273347;0,2078958;0,1959015;2,333192;0,2036516;0,5250663;2,347234;-0,004474018;0,4334887;2,370485;-0,2031721;0,5075208;2,365914;-0,04897024;0,6532136;2,329947;6,60345E-05;0,6942081;2,329538;0,4101733;0,4583582;2,341621;0,6072092;0,5360386;2,339221;0,4359695;0,6631759;2,325294;0,3625284;0,6991389;2,353418;0,1106215;0,04836638;2,261084;0,1061109;-0,4670833;2,277124;0,09560235;-0,8170927;2,285075;0,06407284;-0,8837957;2,239129;0,2963943;0,05623598;2,243037;0,3274095;-0,461375;2,266149;0,3411124;-0,810128;2,266877;0,367296;-0,8664379;2,213058; 
0,1833105;0,7195481;2,332064;0,2036178;0,1442049;2,27336;0,2080053;0,1958795;2,333185;0,2040155;0,525158;2,347355;-0,00465541;0,4333128;2,371011;-0,2028771;0,5081942;2,365824;-0,04907705;0,6539613;2,32961;-4,448742E-05;0,6949556;2,3292;0,4096545;0,4584427;2,341467;0,6065384;0,5358679;2,339248;0,4339159;0,6607533;2,326298;0,3604782;0,6967147;2,35442;0,1106236;0,04836993;2,261079;0,1061108;-0,4670804;2,277153;0,0955664;-0,8170978;2,28505;0,06424922;-0,8835302;2,238423;0,2962538;0,05626721;2,24316;0,3274267;-0,4613881;2,266148;0,3411485;-0,810236;2,266759;0,3672785;-0,8664594;2,213034; 
0,1830895;0,719476;2,332074;0,203757;0,1445733;2,273576;0,2080167;0,1961718;2,333382;0,2039627;0,5251322;2,347463;-0,004496625;0,4325817;2,371361;-0,2023815;0,507799;2,365965;-0,04931583;0,6539916;2,329568;-0,0002860054;0,6949843;2,329159;0,4120011;0,4612908;2,343095;0,6095112;0,5369159;2,339582;0,4359361;0,6600807;2,327909;0,362502;0,6960404;2,356031;0,1106959;0,04843463;2,261203;0,1061122;-0,4670779;2,277124;0,09553902;-0,817081;2,284955;0,06463972;-0,8833293;2,238577;0,2965766;0,05669354;2,243292;0,3274286;-0,4614336;2,266104;0,3411693;-0,8099988;2,266766;0,3673866;-0,8665507;2,212881; 
0,3072298;0,728816;2,272676;0,3009674;0,1325267;2,222909;0,316498;0,1885921;2,279918;0,3366254;0,5290166;2,281332;0,1527736;0,4261545;2,325487;0,009345517;0,3085774;2,402097;0,1155457;0,4856484;2,337168;0,1645684;0,5266446;2,336754;0,5195993;0,4484545;2,259774;0,6999101;0,5608639;2,223395;0,4885502;0,6962158;2,254629;0,4151196;0,7321737;2,282749;0,2197384;0,06125936;2,228754;0,0247243;-0,3139819;2,164473;0,1704046;-0,5546188;2,183647;0,1286804;-0,6118337;2,164479;0,3672343;0,03742592;2,18668;0,3167062;-0,4614203;2,234793;0,2906997;-0,799041;2,223734;0,3017616;-0,8520103;2,174198; 
0,3072813;0,7288072;2,272627;0,3009622;0,1326308;2,222901;0,3165;0,188669;2,279891;0,3366331;0,5290205;2,281324;0,1526305;0,4261132;2,325529;0,009411842;0,308554;2,402097;0,114636;0,4865747;2,339226;0,1636563;0,5275689;2,338813;0,5195757;0,4484299;2,259753;0,6996849;0,5608221;2,223257;0,4901523;0,6972877;2,253788;0,4167254;0,7332438;2,281907;0,2196752;0,06131092;2,228714;0,02512588;-0,3138671;2,164476;0,2653317;-0,6129918;2,179574;0,2519477;-0,6428801;2,099687;0,367297;0,03763174;2,186705;0,3165423;-0,4617193;2,234068;0,2911021;-0,7991519;2,223537;0,3017984;-0,852249;2,174018; 
0,3072202;0,7283363;2,272613;0,3009658;0,1325115;2,222832;0,3164311;0,1885421;2,279816;0,3368613;0,5287527;2,281196;0,1526829;0,4260155;2,325015;0,01062684;0,3080376;2,40234;0,1142774;0,4859845;2,336689;0,1632954;0,5269767;2,336276;0,5199183;0,4482687;2,259875;0,6996571;0,5608899;2,223029;0,4901526;0,6972849;2,253785;0,4167293;0,7332393;2,281902;0,2196743;0,06111735;2,228591;0,0253464;-0,3138099;2,164299;0,2664222;-0,6126262;2,178485;0,2531756;-0,642522;2,098544;0,367229;0,03745446;2,186643;0,314037;-0,4636297;2,231865;0,2912302;-0,7992811;2,223512;0,3018003;-0,8527102;2,174285; 
0,3088025;0,7280802;2,272115;0,3012682;0,1321612;2,222561;0,3164271;0,1882901;2,279663;0,3373268;0,5288985;2,281279;0,1540249;0,4251079;2,322356;0,0132955;0,3089439;2,403093;0,1498802;0,4713771;2,300422;0,1988962;0,5123676;2,300009;0,5200655;0,4482285;2,25986;0,6996419;0,5607812;2,223035;0,5371874;0,6963101;2,224674;0,4637672;0,7322629;2,252789;0,2200386;0,06076146;2,22801;0,02609125;-0,3140934;2,164029;0,2672138;-0,6131841;2,177804;0,282391;-0,71131;2,17421;0,3673937;0,03734365;2,186565;0,3116613;-0,4659052;2,230272;0,2916076;-0,7997895;2,223476;0,3018497;-0,853073;2,173987; 
0,3092178;0,7276214;2,272027;0,301345;0,1321343;2,222546;0,3163072;0,1882741;2,279674;0,3373565;0,5288782;2,281297;0,1542532;0,4255844;2,321229;0,03914894;0,2874391;2,410965;0,1607083;0,4456772;2,309619;0,2097219;0,4866657;2,309206;0,520496;0,448086;2,259972;0,6997081;0,5609215;2,222933;0,5337212;0,6898172;2,236791;0,4603046;0,7257683;2,264906;0,220171;0,06077769;2,227801;0,0265031;-0,3138704;2,163696;0,2672771;-0,6137637;2,175873;0,2823845;-0,7119394;2,172851;0,3675581;0,03725879;2,186728;0,3062618;-0,455312;2,224848;0,2910409;-0,8102534;2,22421;0,3030222;-0,8568591;2,168715; 
0,309596;0,7273982;2,272302;0,3016222;0,1319303;2,222575;0,3162047;0,1881664;2,279742;0,337513;0,5289298;2,28127;0,1536856;0,4236752;2,318558;0,04855029;0,277869;2,415915;0,170994;0,4336411;2,315173;0,2200056;0,4746279;2,31476;0,5209022;0,4474858;2,260007;0,6996143;0,5608451;2,22291;0,5375751;0,6953892;2,231793;0,4641615;0,7313387;2,259906;0,220323;0,06054468;2,227497;0,02659558;-0,3137425;2,163255;0,2746403;-0,4543959;2,152789;0,2610422;-0,5526993;2,14719;0,3683454;0,03683464;2,187454;0,3050278;-0,4604497;2,224577;0,291647;-0,8087052;2,22385;0,3029391;-0,8566687;2,169357; 
0,312353;0,7262825;2,2729;0,3020125;0,1315333;2,222488;0,3160931;0,1879419;2,279737;0,3377649;0,5290912;2,28124;0,1529731;0,4209073;2,314901;0,07035224;0,2671292;2,417911;0,1429534;0,4516176;2,302486;0,1919628;0,4926028;2,302073;0,5211505;0,4475167;2,260118;0,6997322;0,5608308;2,223203;0,5393406;0,6972717;2,231128;0,4659299;0,7332199;2,25924;0,2204517;0,06008044;2,227207;0,02634694;-0,3136684;2,162604;0,3008386;-0,3919032;2,133947;0,2539736;-0,479497;2,130068;0,3692388;0,03615657;2,187585;0,3035075;-0,4659607;2,224861;0,2919775;-0,8071139;2,223841;0,3026792;-0,8563883;2,170387; 
