;0,07454375;0,6982438;2,829021;0,03841135;0,15466;2,746044;0,04099749;0,2042757;2,801973;0,05674242;0,5219246;2,829155;-0,09813783;0,4388788;2,807373;-0,2497371;0,6412656;2,654561;-0,2242019;0,9176612;2,589369;-0,2236318;0,9937137;2,593936;0,1832796;0,474052;2,8176;0,3990238;0,6292152;2,716889;0,392201;0,9127789;2,658082;0,3891042;1,003592;2,661113;-0,0235865;0,09382655;2,727843;-0,01698159;-0,4797991;2,789377;-0,01743086;-0,8535039;2,776808;-0,01314533;-0,9288731;2,713937;0,09473644;0,09085511;2,731346;0,2244596;-0,4799985;2,754184;0,2449973;-0,8476937;2,759167;0,2573175;-0,918572;2,698483; 
0,07541571;0,6983839;2,830598;0,03868469;0,1552294;2,746386;0,04110709;0,2045906;2,802527;0,05719164;0,5227581;2,83225;-0,09754855;0,4382884;2,807414;-0,2511841;0,6406628;2,655266;-0,2268029;0,918106;2,592588;-0,2256187;0,9938376;2,595775;0,1845664;0,4738951;2,819476;0,3747153;0,5629221;2,748498;0,3877026;0,8435291;2,675257;0,3887304;1,00351;2,663235;-0,02350348;0,09441578;2,726957;-0,01696768;-0,4799674;2,789191;-0,01747529;-0,8534214;2,776779;-0,01329278;-0,9286882;2,713636;0,09547665;0,09180322;2,733169;0,224661;-0,4798602;2,754315;0,2450229;-0,8478526;2,759493;0,2573379;-0,9187269;2,698941; 
0,07556733;0,69844;2,832495;0,0391025;0,155722;2,746817;0,04149328;0,2050374;2,803072;0,0573188;0,5232322;2,833112;-0,09762874;0,4383948;2,807969;-0,251989;0,6404969;2,655289;-0,2281022;0,917452;2,593582;-0,2266781;0,9931254;2,596506;0,1847238;0,4741309;2,820313;0,3959405;0,6289867;2,718535;0,3924877;0,9131657;2,661983;0,3891945;1,002937;2,665479;-0,02287652;0,09477022;2,726864;-0,01685508;-0,4799775;2,789169;-0,0174717;-0,8534686;2,776785;-0,01104015;-0,9282212;2,714001;0,09568402;0,09236276;2,734;0,2251445;-0,4805743;2,754627;0,2450435;-0,847829;2,759497;0,2574424;-0,9187235;2,698784; 
0,07589405;0,6989977;2,834113;0,03939627;0,1552802;2,747163;0,04168664;0,204694;2,803479;0,05699286;0,5237135;2,834126;-0,09761722;0,4384063;2,808056;-0,2527143;0,6399637;2,655643;-0,2283855;0,9171578;2,594514;-0,2271512;0,9930193;2,597263;0,1839795;0,4733822;2,820349;0,3745499;0,5664757;2,746467;0,3883905;0,8479931;2,676771;0,390277;1,003022;2,665969;-0,02229914;0,09463444;2,726563;-0,01675019;-0,4801924;2,789121;-0,01734832;-0,8532251;2,776864;-0,01217663;-0,9277791;2,714046;0,09592304;0,09138461;2,735505;0,2253051;-0,4810567;2,755067;0,2449194;-0,8478377;2,759117;0,2573974;-0,9187782;2,69884; 
0,07612853;0,6992353;2,834538;0,03981364;0,1569069;2,747528;0,04187189;0,2059886;2,80397;0,05686365;0,5242842;2,834938;-0,09762957;0,4383446;2,808076;-0,2531626;0,6395681;2,65595;-0,2292316;0,9174547;2,595437;-0,2291017;0,993373;2,598849;0,1843323;0,473104;2,821299;0,3746365;0,565878;2,746346;0,3887871;0,8475211;2,677315;0,3901911;1,002656;2,667617;-0,0215039;0,09821135;2,725535;-0,01677351;-0,4804781;2,78919;-0,01743648;-0,8533101;2,777133;-0,0126481;-0,9275842;2,713334;0,09613747;0,09182119;2,736015;0,2253719;-0,4810156;2,755123;0,2449205;-0,847858;2,759152;0,2574829;-0,9189046;2,699106; 
0,07604582;0,6993827;2,835762;0,03943426;0,158199;2,747757;0,04155315;0,2068433;2,804285;0,05661662;0,5242644;2,835557;-0,09754715;0,4384093;2,808192;-0,2532951;0,6395928;2,655947;-0,2295133;0,9172795;2,595424;-0,22961;0,9932527;2,598948;0,1843704;0,4732518;2,82162;0,3754058;0,5744334;2,743449;0,3896975;0,856428;2,676107;0,3912196;1,002678;2,669832;-0,02243912;0,100471;2,724637;-0,01571733;-0,4792356;2,789355;-0,0174671;-0,8530774;2,777361;-0,01267867;-0,9275068;2,713372;0,09593748;0,0925338;2,736605;0,2256052;-0,4813571;2,755303;0,2450162;-0,8481926;2,758791;0,25812;-0,919567;2,699031; 
0,07630466;0,6994721;2,836685;0,03933913;0,1579376;2,747819;0,04138756;0,2066894;2,804374;0,05661824;0,5244385;2,835872;-0,0974103;0,4382595;2,80824;-0,2541107;0,639733;2,655958;-0,2295972;0,916738;2,595883;-0,2290448;0,9918987;2,599831;0,1852967;0,4728805;2,822325;0,3756182;0,5712745;2,74388;0,3896854;0,8533524;2,676811;0,3916132;1,002418;2,669564;-0,02300249;0,09969956;2,724698;-0,01630563;-0,4803306;2,78935;-0,01749719;-0,8532799;2,777509;-0,01323341;-0,9277911;2,713799;0,0959887;0,09225841;2,736649;0,2257403;-0,4811765;2,755327;0,2454188;-0,8486803;2,759156;0,2585686;-0,9198732;2,698341; 
0,07781012;0,6999744;2,836807;0,03954844;0,1578215;2,748082;0,04158312;0,2065207;2,804724;0,05662087;0,5244413;2,836794;-0,09752066;0,438291;2,808567;-0,2545708;0,6399574;2,655899;-0,2299946;0,9167184;2,596065;-0,229022;0,9918697;2,599836;0,1853831;0,4722455;2,822571;0,3758902;0,5698735;2,743417;0,3901275;0,8521207;2,677157;0,392001;1,002766;2,670062;-0,02246777;0,09907184;2,724798;-0,01642263;-0,4805402;2,789291;-0,01747178;-0,8535334;2,777361;-0,01331829;-0,9281865;2,714197;0,0961253;0,09231957;2,737022;0,2260184;-0,4808224;2,755767;0,2454029;-0,8486403;2,759186;0,2587045;-0,9198539;2,69832; 
0,07801143;0,6997339;2,836993;0,03966958;0,1577434;2,748341;0,04151252;0,2063357;2,805041;0,05581998;0,5240189;2,837741;-0,09755446;0,438443;2,808667;-0,254722;0,6397594;2,655935;-0,2300542;0,9166648;2,59605;-0,2294691;0,9917956;2,599765;0,1860048;0,4726053;2,82357;0,3981018;0,6311153;2,714524;0,3946229;0,9165236;2,664569;0,3923481;1,003311;2,671829;-0,02212978;0,09857281;2,724908;-0,01600569;-0,4801827;2,789248;-0,01750294;-0,8535985;2,777389;-0,0133251;-0,9279394;2,714145;0,09629656;0,09231555;2,737384;0,2260452;-0,4812085;2,75606;0,245379;-0,8486425;2,759177;0,2587069;-0,9197479;2,697852; 
0,07824371;0,6995915;2,83658;0,03994568;0,1574918;2,748557;0,04168642;0,2062287;2,805256;0,05593269;0,524295;2,837897;-0,09754917;0,4383705;2,808733;-0,2548135;0,6395207;2,656091;-0,2304255;0,9160718;2,596007;-0,2302693;0,990993;2,599494;0,186654;0,4725659;2,823909;0,3764698;0,5624632;2,744821;0,3906061;0,8449669;2,678758;0,3927693;1,00343;2,671689;-0,02170448;0,09773485;2,725103;-0,01623844;-0,4807516;2,789444;-0,01768642;-0,8538225;2,777212;-0,01363614;-0,9276678;2,713976;0,09659104;0,09209725;2,737655;0,2260614;-0,4812377;2,756099;0,2453624;-0,8487883;2,759093;0,2587117;-0,9197569;2,697871; 
0,07875033;0,7000926;2,837133;0,0401107;0,1576361;2,74865;0,04200226;0,2063472;2,805416;0,05695828;0,5245318;2,838473;-0,09742425;0,4386267;2,809105;-0,2550688;0,6393561;2,656034;-0,231157;0,9155558;2,596171;-0,2306151;0,9910384;2,599514;0,1866925;0,4725824;2,823927;0,3764739;0,5624589;2,744812;0,390762;0,8449816;2,678855;0,3864049;0,9150417;2,685608;-0,02152442;0,0982753;2,724987;-0,0172206;-0,4815357;2,790007;-0,01772317;-0,8537573;2,777176;-0,01416887;-0,9285257;2,711855;0,09665932;0,09206356;2,737789;0,2260344;-0,4813779;2,756086;0,2454412;-0,8488951;2,758988;0,2588843;-0,9197758;2,697792; 
