;0,07328434;0,7149383;2,605483;0,08917365;0,09609893;2,508561;0,08967737;0,1546995;2,571001;0,08997901;0,5196769;2,591276;-0,1147924;0,4032838;2,585547;-0,399908;0,3704019;2,619227;-0,6323693;0,3570265;2,649039;-0,6989283;0,3520617;2,656454;0,2765728;0,4147237;2,584193;0,5548393;0,3848716;2,618734;0,788534;0,3762719;2,64285;0,8574349;0,3851041;2,654432;0,002380286;0,007683249;2,487621;-0,02055211;-0,4969696;2,51338;-0,03897296;-0,8432329;2,50832;-0,08275566;-0,9037447;2,437475;0,1764519;0,0129694;2,489997;0,2118526;-0,5007352;2,51522;0,2397649;-0,8324674;2,510947;0,2799209;-0,8997076;2,442958; 
0,07376462;0,7149651;2,606375;0,08925767;0,0961573;2,508535;0,08976953;0,1547617;2,570984;0,09001034;0,5197567;2,591346;-0,1147439;0,4032817;2,585676;-0,3995806;0,3703262;2,619091;-0,6322899;0,3565985;2,647945;-0,698726;0,3520359;2,656281;0,2768168;0,4147594;2,584273;0,5548559;0,3848058;2,618637;0,7886533;0,376081;2,642637;0,8511549;0,3782054;2,651744;0,002422433;0,007695336;2,487606;-0,0205246;-0,4968494;2,51329;-0,03902525;-0,8433046;2,50801;-0,08275979;-0,9037135;2,437383;0,1765528;0,01302304;2,489916;0,2117056;-0,5003731;2,515103;0,2393939;-0,8316946;2,511056;0,27991;-0,8997145;2,442881; 
0,07443269;0,7140477;2,607085;0,08938961;0,09650052;2,508786;0,09004895;0,1549322;2,571353;0,09134179;0,519897;2,593235;-0,1146559;0,4033168;2,585727;-0,3996354;0,3703564;2,619016;-0,6325316;0,3566952;2,647254;-0,6991892;0,3544972;2,654263;0,2771543;0,4147027;2,584197;0,5509678;0,3827713;2,617612;0,784863;0,3763102;2,641886;0,8517238;0,3768223;2,651406;0,002579571;0,008062666;2,487891;-0,02061888;-0,4968737;2,513124;-0,03906687;-0,8433148;2,507959;-0,08266319;-0,903686;2,437359;0,1764491;0,0132309;2,489898;0,2116822;-0,5003667;2,515044;0,2395122;-0,8317217;2,510904;0,280053;-0,8997275;2,442849; 
0,07464182;0,7136624;2,606893;0,08955936;0,09672292;2,50879;0,09028243;0,1551186;2,571379;0,09175837;0,519912;2,593354;-0,1146651;0,4033211;2,585836;-0,3998764;0,3711377;2,616941;-0,633608;0,3604062;2,641571;-0,6889904;0,3876454;2,615511;0,2773106;0,4149271;2,584281;0,547249;0,3806433;2,614489;0,7816455;0,3756729;2,63617;0,8510991;0,3733588;2,644883;0,002589403;0,008279822;2,48775;-0,02059942;-0,4968885;2,513136;-0,0390804;-0,8433317;2,507932;-0,08262105;-0,9036801;2,437395;0,1766095;0,01335327;2,489954;0,2117069;-0,5003248;2,515047;0,2401587;-0,8309329;2,511262;0,2798333;-0,8993468;2,444866; 
0,07469526;0,713645;2,606728;0,0895861;0,09678825;2,508819;0,09030348;0,1551755;2,571404;0,09179496;0,5198959;2,593354;-0,1146511;0,4033347;2,585836;-0,3988582;0,3719664;2,614569;-0,6335565;0,3646418;2,634167;-0,6860473;0,365241;2,63476;0,2775202;0,4150818;2,584446;0,5496967;0,3817217;2,614522;0,7846195;0,3738107;2,632388;0,8483639;0,3700946;2,640104;0,002565852;0,008335167;2,487733;-0,0205638;-0,496871;2,513156;-0,03874203;-0,8436782;2,508009;-0,08311516;-0,9040358;2,437631;0,1766403;0,0133785;2,49001;0,2117252;-0,5003136;2,515032;0,2400256;-0,8310554;2,511227;0,279874;-0,8993573;2,44472; 
0,07467734;0,7136377;2,606697;0,08958451;0,09680062;2,508929;0,09034484;0,155223;2,571508;0,09202942;0,5200805;2,5934;-0,114596;0,4034993;2,585948;-0,3977714;0,3725785;2,611957;-0,6325924;0,365025;2,630967;-0,6945142;0,3869611;2,618194;0,2776792;0,4150932;2,584455;0,5500146;0,3821903;2,614144;0,7854365;0,3709693;2,628865;0,856562;0,3659024;2,637854;0,002532854;0,008357924;2,487905;-0,02053657;-0,4968986;2,513155;-0,03869566;-0,8437464;2,508122;-0,08313044;-0,9039812;2,437577;0,1765416;0,01332302;2,490138;0,2116791;-0,5000648;2,515048;0,2398882;-0,8305203;2,511261;0,279851;-0,8993383;2,444625; 
0,07479668;0,7135597;2,606527;0,08960187;0,0966977;2,509049;0,09035726;0,1551511;2,5716;0,09190563;0,5199544;2,593356;-0,114589;0,4035125;2,58599;-0,3975747;0,3727295;2,61153;-0,6326112;0,3649115;2,629204;-0,694693;0,3868151;2,617532;0,2777249;0,4151344;2,584446;0,5487522;0,38059;2,612855;0,7885158;0,3696382;2,62719;0,859547;0,3642179;2,636305;0,00254414;0,008268384;2,488046;-0,02051106;-0,4969584;2,513241;-0,03871685;-0,8437955;2,508024;-0,08300355;-0,9043909;2,437479;0,1765784;0,01309901;2,490332;0,2116807;-0,4999787;2,515091;0,2395945;-0,8301806;2,511314;0,2798367;-0,8992264;2,444124; 
0,07494032;0,7132429;2,606074;0,08968137;0,09666963;2,509099;0,09043563;0,1551378;2,571629;0,09200652;0,5198153;2,593203;-0,1145903;0,403516;2,585979;-0,3976611;0,3724934;2,610971;-0,6327903;0,3635237;2,627876;-0,6994879;0,3605571;2,630587;0,277858;0,4151357;2,584483;0,5465856;0,3792145;2,611683;0,7860571;0,3701999;2,625556;0,8570428;0,3645495;2,634767;0,002556614;0,008239123;2,488096;-0,02045205;-0,4969389;2,513295;-0,03886789;-0,8437317;2,508117;-0,08253939;-0,9043258;2,437843;0,1767422;0,01296944;2,490434;0,2116882;-0,4999725;2,515077;0,2396295;-0,8302495;2,511341;0,2799405;-0,8992672;2,444031; 
0,07446079;0,7139835;2,605009;0,08966447;0,0966567;2,509129;0,0904272;0,1551762;2,571637;0,09182286;0,5198897;2,592911;-0,1146052;0,4034765;2,58596;-0,3966496;0,3713897;2,610237;-0,632013;0,3594409;2,624372;-0,6985431;0,354926;2,627797;0,2778539;0,4151521;2,584435;0,5439081;0,3774096;2,610311;0,7818438;0,3689805;2,622039;0,8527089;0,3630805;2,631296;0,002528476;0,008206557;2,488177;-0,02032868;-0,4968401;2,513356;-0,03886135;-0,8439292;2,508226;-0,08256889;-0,9043633;2,437841;0,1767072;0,01293465;2,490521;0,211674;-0,4998857;2,515087;0,2395601;-0,830311;2,511375;0,2799165;-0,8992665;2,44395; 
0,07467363;0,7138693;2,604792;0,0896817;0,09654469;2,509125;0,09039936;0,1551212;2,571619;0,09153688;0,5197823;2,592635;-0,1143506;0,4031353;2,585686;-0,3977396;0,3661134;2,609188;-0,6330827;0,352986;2,623168;-0,69965;0,349743;2,626567;0,2778715;0,4151116;2,584414;0,5441674;0,3740486;2,609004;0,7800459;0,3669772;2,620584;0,8489075;0,3549874;2,624327;0,002558082;0,008131257;2,488192;-0,02030154;-0,4968433;2,513422;-0,03896556;-0,8438347;2,508419;-0,08259036;-0,9044073;2,437865;0,1767399;0,01281886;2,490551;0,2117107;-0,4999982;2,515122;0,2395976;-0,8302857;2,511361;0,2797616;-0,8992907;2,443996; 
0,07469166;0,7138905;2,604683;0,08965556;0,09619643;2,509135;0,09030647;0,1549278;2,571588;0,09111156;0,5196778;2,59211;-0,1139989;0,4028475;2,58534;-0,3969729;0,359626;2,608077;-0,6319869;0,3353853;2,61723;-0,6815412;0,3231762;2,619619;0,2778287;0,4150463;2,584395;0,5424811;0,3645178;2,605735;0,7824861;0,3513144;2,615239;0,8577737;0,3324667;2,61529;0,002591232;0,007892298;2,488357;-0,02033477;-0,4969058;2,513517;-0,03902413;-0,8439918;2,508428;-0,08260451;-0,9044335;2,43784;0,1767102;0,01254218;2,490576;0,2117242;-0,5001571;2,515249;0,2392844;-0,8308476;2,51101;0,2798643;-0,8993317;2,443731; 
