;0,07036297;0,703236;2,719033;0,0902281;0,09034122;2,644329;0,09168947;0,1470543;2,708159;0,0924373;0,5055724;2,726022;-0,1167388;0,3913393;2,719464;-0,3970831;0,3672237;2,736206;-0,6305348;0,3479932;2,731875;-0,6723682;0,3494358;2,732958;0,2780441;0,409074;2,715028;0,568499;0,3762224;2,724043;0,8019963;0,36562;2,727865;0,8893461;0,3614979;2,74416;0,003728297;0,001389998;2,62427;-0,01656897;-0,4986675;2,650394;-0,03616477;-0,8469328;2,644778;-0,07218845;-0,9112381;2,587824;0,1762407;0,005719863;2,624081;0,2038484;-0,5181677;2,648805;0,2278503;-0,8536785;2,643511;0,2701101;-0,91657;2,582348; 
0,07042143;0,7022905;2,718589;0,09030228;0,09040181;2,644375;0,09173305;0,1470881;2,708169;0,09230026;0,505397;2,725949;-0,1167669;0,3913619;2,719369;-0,3977959;0,3676935;2,736679;-0,6312485;0,3480751;2,732233;-0,6726642;0,3493502;2,733147;0,2782421;0,4091308;2,714844;0,5670715;0,3768376;2,724118;0,802792;0,3668315;2,728264;0,8901541;0,3627088;2,744561;0,003782181;0,001424691;2,624312;-0,01639153;-0,4964237;2,649948;-0,03595199;-0,8468594;2,644866;-0,07204168;-0,9107194;2,588423;0,1764278;0,005751443;2,624156;0,2038413;-0,5181535;2,648786;0,2277463;-0,8535786;2,643309;0,2702562;-0,9166951;2,582212; 
0,0702867;0,7024338;2,718243;0,09032293;0,09053474;2,644376;0,09180401;0,1472246;2,708161;0,09273005;0,5055015;2,725915;-0,116806;0,3914565;2,719381;-0,397907;0,3677407;2,736724;-0,6313816;0,3480678;2,732267;-0,6732465;0,3495524;2,733296;0,2783843;0,4091107;2,714763;0,5657823;0,3772793;2,724118;0,7996375;0,3684133;2,724751;0,8870138;0,36429;2,741051;0,003679544;0,001583131;2,624408;-0,01642352;-0,4973226;2,650093;-0,03589918;-0,8467114;2,644826;-0,07186466;-0,9105948;2,588366;0,1764338;0,005817086;2,624086;0,2038314;-0,5181738;2,648771;0,2274699;-0,8535528;2,643241;0,2704332;-0,9167835;2,581878; 
0,07027949;0,7023969;2,718194;0,09035841;0,0905664;2,64438;0,09187873;0,1472552;2,708168;0,09290941;0,5055355;2,726013;-0,1167985;0,3914726;2,719332;-0,3984493;0,367826;2,736854;-0,6319339;0,3479967;2,732433;-0,6731501;0,3499706;2,733571;0,2784013;0,4094641;2,714669;0,5637182;0,3777016;2,723878;0,7976497;0,3734927;2,725667;0,885038;0,3693687;2,741968;0,00370429;0,001620875;2,624428;-0,01630216;-0,4985988;2,650466;-0,03591726;-0,8466767;2,64482;-0,07065772;-0,9101704;2,588848;0,1764428;0,005848567;2,624064;0,2039207;-0,5181128;2,648757;0,2274922;-0,8535064;2,643253;0,2703499;-0,9168285;2,582017; 
0,06966746;0,7032841;2,719405;0,09031623;0,09056704;2,644397;0,09187462;0,1472331;2,708197;0,09267245;0,5057213;2,726418;-0,1168914;0,3914848;2,719319;-0,3982728;0,3675328;2,736813;-0,6317536;0,347266;2,732234;-0,697458;0,3457915;2,735189;0,2782847;0,4094629;2,714272;0,566684;0,3720741;2,720386;0,8007355;0,3621392;2,717834;0,8881385;0,3580146;2,734138;0,003646692;0,001626095;2,624429;-0,01656941;-0,4960956;2,64993;-0,03610869;-0,8465983;2,644474;-0,07060686;-0,9102873;2,588711;0,1764196;0,005849423;2,624057;0,2038125;-0,5180605;2,648632;0,2276052;-0,8535076;2,643098;0,2703662;-0,9168412;2,582031; 
0,07012758;0,7029803;2,720703;0,09023713;0,09054454;2,644393;0,09182984;0,1472218;2,708191;0,09256426;0,5057414;2,726447;-0,1169159;0,3916536;2,719319;-0,3979423;0,3672709;2,736545;-0,6314491;0,3467521;2,73138;-0,6971655;0,3452037;2,734277;0,2780812;0,4092676;2,713965;0,5628168;0,3722145;2,71935;0,7968401;0,3612426;2,716896;0,884258;0,3571173;2,733203;0,003572362;0,001626515;2,624411;-0,01658485;-0,4948174;2,649603;-0,0360221;-0,846059;2,64483;-0,07053135;-0,910233;2,588656;0,1763151;0,005853859;2,624069;0,2037711;-0,5178832;2,648571;0,2277162;-0,8535773;2,642961;0,2704736;-0,9167325;2,582216; 
0,06988136;0,7036898;2,722198;0,09022442;0,09053944;2,644384;0,09185801;0,1472229;2,708177;0,09266227;0,5058858;2,726495;-0,1169471;0,3917216;2,719348;-0,3979026;0,3668992;2,736581;-0,6314367;0,3467754;2,731407;-0,6713727;0,3472188;2,733216;0,2778118;0,4091865;2,713735;0,5313073;0,3666282;2,713866;0,7653337;0,3574318;2,712613;0,8527657;0,3533058;2,728923;0,003530428;0,001637833;2,624422;-0,01656574;-0,4937945;2,649355;-0,03578568;-0,8463171;2,644837;-0,07064769;-0,9101464;2,58814;0,1762638;0,005869993;2,624044;0,2037395;-0,5176557;2,648457;0,2277453;-0,8530228;2,64303;0,2704636;-0,9167393;2,582209; 
0,06960331;0,7033837;2,722405;0,09011906;0,09057793;2,644402;0,09171951;0,1472472;2,708201;0,09173008;0,5058082;2,726681;-0,1171621;0,3918585;2,719525;-0,397923;0,3669247;2,736569;-0,6314453;0,3467039;2,731419;-0,6719927;0,3462727;2,733078;0,2777099;0,4092485;2,713621;0,5369997;0,3697581;2,713782;0,7707888;0,3562065;2,712922;0,858234;0,3520799;2,729234;0,003451175;0,001671911;2,624495;-0,01688208;-0,496554;2,650166;-0,03586413;-0,8463051;2,64478;-0,07025766;-0,9100944;2,588288;0,1762153;0,005909595;2,623988;0,2037398;-0,5176123;2,648419;0,2279538;-0,8529974;2,642697;0,2704031;-0,9166797;2,582088; 
0,06954564;0,7038553;2,723118;0,09011097;0,09057891;2,644426;0,09173983;0,1472435;2,708238;0,09177035;0,5059466;2,726911;-0,117159;0,3918805;2,719525;-0,3979574;0,3667612;2,736432;-0,6314767;0,3466178;2,731427;-0,6722758;0,3456847;2,732761;0,2776018;0,4092846;2,713441;0,5355557;0,3698023;2,714036;0,7693539;0,3554573;2,712123;0,8568133;0,35133;2,728437;0,003435324;0,001679734;2,624517;-0,01673118;-0,4980439;2,650389;-0,0357542;-0,846431;2,644988;-0,07025891;-0,910098;2,588284;0,1762015;0,005942342;2,624004;0,2037067;-0,5174158;2,648325;0,2280647;-0,8530164;2,64266;0,2704875;-0,9165548;2,581904; 
0,06962273;0,7036442;2,723569;0,09001004;0,09053904;2,644452;0,09166886;0,1472084;2,708262;0,09156681;0,5058978;2,726955;-0,1171757;0,3918597;2,719527;-0,3975752;0,3667491;2,736234;-0,6310338;0,3465312;2,731566;-0,6720477;0,3459027;2,73293;0,2774121;0,4092505;2,713131;0,5065676;0,3662787;2,70981;0,7406024;0,3621111;2,710027;0,8280765;0,3579831;2,726345;0,003348733;0,001674636;2,624599;-0,016856;-0,4961528;2,649931;-0,03550502;-0,8465699;2,644808;-0,06982017;-0,9094425;2,589016;0,1761014;0,005918694;2,623977;0,2037304;-0,5173252;2,648253;0,2280923;-0,852789;2,64298;0,2703943;-0,9163618;2,581921; 
0,06902625;0,7045068;2,72373;0,08996742;0,09056415;2,644491;0,09160347;0,1472344;2,708311;0,0912813;0,5059599;2,727111;-0,117229;0,3918992;2,719535;-0,3974861;0,3667115;2,736163;-0,6309232;0,3464809;2,731516;-0,6729047;0,3463303;2,73201;0,2773897;0,4093249;2,713119;0,5193737;0,3677869;2,714619;0,7535719;0,3596122;2,70928;0,8410604;0,3554835;2,7256;0,003325574;0,001694013;2,624633;-0,01676323;-0,4942243;2,649432;-0,03548545;-0,8466264;2,644793;-0,06973415;-0,9093198;2,588986;0,1760836;0,005940527;2,623987;0,2036649;-0,5171568;2,648181;0,2279789;-0,8523374;2,642516;0,2704397;-0,9162816;2,581805; 
