;-0,02915427;0,7202207;3,134864;0,002830408;0,1404508;3,0267;-0,004035743;0,1922132;3,089339;-0,03584468;0,5354996;3,11535;-0,1926552;0,393229;3,103355;-0,2438686;0,1217103;3,099469;-0,2844561;-0,1181284;3,017074;-0,2747408;-0,2134311;2,983265;0,1540833;0,4351186;3,123171;0,306684;0,6436099;3,131746;0,3197857;0,9557645;3,12605;0,3164124;1,059672;3,143024;-0,08099924;0,06787516;3,011067;-0,09677196;0,01977919;2,556601;-0,08772998;-0,2988979;2,652026;-0,1016913;-0,377184;2,603393;0,1012078;0,05945279;3,002305;0,03536227;-0,4944921;2,986166;-0,01290776;-0,8763978;2,961601;-0,009815846;-0,9042698;2,882485; 
-0,0320232;0,7185986;3,134653;0,003523273;0,1387794;3,025756;-0,003635434;0,1911841;3,088673;-0,03613871;0,5353541;3,11513;-0,1935993;0,3923877;3,103291;-0,2444728;0,120904;3,099475;-0,283589;-0,1176237;3,016661;-0,2737217;-0,2133046;2,983914;0,1538012;0,434922;3,122105;0,3057208;0,6435136;3,131046;0,3188173;0,9556736;3,124816;0,3160307;1,05945;3,142714;-0,07814339;0,06322428;3,010135;-0,09955148;0,01404163;2,556083;-0,09484292;-0,3083929;2,64798;-0,1013322;-0,3768044;2,604276;0,1013635;0,05911384;3,001366;0,03485146;-0,4961566;2,986174;-0,01298648;-0,8758651;2,96145;-0,003113678;-0,942704;2,910246; 
-0,04143319;0,717555;3,138209;0,001346154;0,1383874;3,025429;-0,004908927;0,1910492;3,088229;-0,03677204;0,5352114;3,114197;-0,1961255;0,3922645;3,105441;-0,244392;0,1208043;3,099653;-0,2824844;-0,1171522;3,016255;-0,2731315;-0,2133965;2,984797;0,1508924;0,4353434;3,11922;0,3058856;0,6436293;3,131199;0,317223;0,9544926;3,113665;0,3157949;1,052595;3,140385;-0,082082;0,06455808;3,011052;-0,09868537;0,0129578;2,557098;-0,09495049;-0,3078931;2,647115;-0,1012623;-0,3770321;2,604219;0,09876566;0,05770072;3,00034;0,0340548;-0,4993875;2,985867;-0,01345289;-0,8760317;2,961481;-0,002961876;-0,942597;2,911463; 
-0,03637552;0,7127967;3,133332;4,642899E-05;0,1386222;3,024892;-0,006496078;0,1913333;3,087558;-0,03810276;0,5349576;3,112843;-0,1955465;0,3917238;3,103763;-0,2443638;0,119196;3,098772;-0,2803399;-0,1229632;3,013221;-0,2694687;-0,2190622;2,98171;0,1508208;0,434824;3,118523;0,3057899;0,6436127;3,130641;0,3127263;0,9560477;3,113683;0,3144769;1,060283;3,14033;-0,08347883;0,06622402;3,01054;-0,09884802;0,01182247;2,55691;-0,1040308;-0,3226082;2,645666;-0,1013948;-0,3796098;2,602863;0,09722473;0,05751489;2,999933;0,03389638;-0,4994248;2,985543;-0,01402677;-0,8776641;2,961082;-0,001173978;-0,9432811;2,909904; 
-0,03756016;0,7163935;3,132313;0,002167544;0,136846;3,023911;-0,005064123;0,190157;3,086726;-0,0381293;0,5349812;3,112445;-0,1958934;0,3915749;3,103646;-0,2441729;0,1192729;3,09882;-0,2798021;-0,1191656;3,014805;-0,2693843;-0,2151257;2,982613;0,1507946;0,4349554;3,118072;0,3048028;0,6439469;3,129132;0,312347;0,9563626;3,112235;0,3136832;1,060342;3,13894;-0,07772534;0,06125259;3,008649;-0,1002875;0,0133503;2,554632;-0,0922676;-0,3082489;2,648758;-0,101606;-0,3806788;2,604433;0,0983643;0,05723151;2,999522;0,03381936;-0,4995594;2,985193;-0,01418993;-0,8780456;2,961036;-0,004431682;-0,9434975;2,915054; 
-0,03806223;0,7148029;3,130829;0,0004292616;0,1373048;3,023673;-0,006282469;0,1905083;3,086395;-0,03864342;0,5348697;3,111818;-0,1970822;0,3917448;3,103765;-0,2441713;0,1192473;3,098866;-0,279151;-0,1183135;3,014938;-0,2689954;-0,2142901;2,982532;0,1506038;0,435302;3,116834;0,3036665;0,6436936;3,125804;0,3134983;0,9560449;3,10988;0,3138422;1,066348;3,139045;-0,08232594;0,06373848;3,009862;-0,09936558;0,00967408;2,556343;-0,09244828;-0,3082691;2,648585;-0,1010412;-0,3807698;2,605561;0,09716714;0,05673452;2,998555;0,0341535;-0,4966555;2,984428;-0,01425095;-0,8778775;2,961025;-0,007037034;-0,9408261;2,928286; 
-0,03696876;0,7145355;3,130274;0,001649862;0,1359656;3,023006;-0,005047482;0,1897285;3,086033;-0,03888797;0,5352305;3,112176;-0,197054;0,3917788;3,103731;-0,2435877;0,1192491;3,099154;-0,2785167;-0,1170825;3,015673;-0,2685052;-0,2131067;2,983387;0,1495722;0,4342295;3,112864;0,3030519;0,6431262;3,124485;0,3175805;0,9549193;3,106676;0,3136295;1,053004;3,133641;-0,07887881;0,06128504;3,009127;-0,1005758;0,00821745;2,555749;-0,09664848;-0,3172711;2,644204;-0,1010338;-0,3807748;2,605603;0,09772434;0,05663549;2,997829;0,03369837;-0,4956661;2,983587;-0,01344761;-0,8768517;2,961104;-0,00850906;-0,9420285;2,932495; 
-0,03712986;0,7136055;3,12953;0,0003414785;0,1362815;3,022951;-0,005976588;0,1898036;3,085789;-0,03894654;0,5305761;3,109017;-0,1969886;0,390409;3,103042;-0,2434106;0,1187463;3,099375;-0,2784376;-0,1325593;3,012544;-0,266005;-0,2278275;2,978652;0,1493099;0,4344397;3,112728;0,3032529;0,6437287;3,124297;0,3178614;0,9522597;3,105406;0,3137178;1,050573;3,131797;-0,08218163;0,06275384;3,011053;-0,1002282;0,005861096;2,558016;-0,09695227;-0,3182861;2,645236;-0,1014904;-0,3811481;2,605834;0,09649025;0,05677072;2,99686;0,03346544;-0,4961643;2,983264;-0,01379022;-0,8768741;2,961247;-0,004524365;-0,9452855;2,914855; 
-0,03780666;0,7141926;3,129349;0,003015991;0,1344371;3,021989;-0,003579084;0,1883725;3,08497;-0,03737833;0,5315652;3,109291;-0,196283;0,3899249;3,101734;-0,2430601;0,1187667;3,099149;-0,2787704;-0,1318066;3,013221;-0,2638822;-0,2287112;2,985197;0,1492602;0,4343753;3,111329;0,3031499;0,6451441;3,123709;0,3165925;0,9571337;3,103274;0,3135529;1,055025;3,131655;-0,07704359;0,05903553;3,009559;-0,1015201;0,00598805;2,556405;-0,09741994;-0,3165794;2,645233;-0,1013846;-0,3810553;2,605918;0,09793055;0,05662335;2,996114;0,03256809;-0,4963206;2,982502;-0,01485337;-0,8788686;2,9609;-0,004111742;-0,9462656;2,914886; 
-0,03239848;0,7150035;3,128832;0,003122523;0,1346593;3,021467;-0,003611905;0,1884693;3,084419;-0,03750937;0,5316947;3,109016;-0,1960642;0,3904507;3,101162;-0,2431878;0,118513;3,098804;-0,2780801;-0,125956;3,013935;-0,2649982;-0,2232633;2,986056;0,1496044;0,4344236;3,111371;0,3041115;0,6481246;3,121205;0,3150961;0,9603896;3,102351;0,3126406;1,058301;3,131065;-0,07671195;0,06001166;3,008549;-0,1016751;0,005565856;2,55565;-0,09769246;-0,3179192;2,64606;-0,101728;-0,3815871;2,606268;0,09810155;0,05659557;2,995612;0,03247106;-0,4961735;2,982196;-0,01489353;-0,8791549;2,960777;-0,007860785;-0,9441407;2,928211; 
-0,04306217;0,7150131;3,129487;0,00138394;0,1352373;3,021012;-0,004302489;0,1886786;3,084017;-0,03747492;0,5316204;3,108982;-0,1970694;0,3897356;3,102698;-0,2432559;0,1188138;3,099151;-0,2765216;-0,1218344;3,016332;-0,2654527;-0,2192285;2,987523;0,1485732;0,4343953;3,110252;0,3038071;0,6465565;3,120469;0,314767;0,9588234;3,101903;0,3119666;1,056833;3,130615;-0,08031854;0,06135619;3,008776;-0,1006315;0,006074347;2,555777;-0,09802052;-0,3191919;2,64645;-0,1026067;-0,3833545;2,604672;0,09634335;0,05707099;2,994158;0,03212392;-0,4957005;2,981756;-0,01482112;-0,8779593;2,960772;-0,01451378;-0,9059565;2,881635; 
