;0,1627476;0,8752277;2,087547;0,1276842;0,2532758;2,042673;0,1331939;0,310942;2,107102;0,1561129;0,6805406;2,138753;-0,01536004;0,557963;2,125829;-0,1003871;0,3032832;2,101566;-0,1397314;0,07237718;1,985829;-0,1562393;-0,01516202;1,937545;0,3651967;0,6048154;2,129949;0,5508031;0,7180287;2,039196;0,7625337;0,8471769;1,953474;0,8243051;0,8848553;1,932656;0,03933007;0,1702572;2,027441;-0,1401804;-0,3414311;2,022281;-0,279486;-0,7164809;2,161171;-0,3416465;-0,8095419;2,125406;0,2059139;0,1692779;2,015156;0,1595159;-0,3521993;2,056674;0,1190828;-0,7414933;2,060175;0,1215846;-0,8200082;2,02194; 
0,1638366;0,874876;2,087097;0,1286218;0,2529972;2,042763;0,1343085;0,3107047;2,107183;0,1568677;0,6803297;2,138659;-0,01454857;0,5578037;2,126142;-0,09954496;0,3036032;2,10232;-0,1378191;0,09543301;2,00819;-0,1528255;0,00999555;1,954786;0,366365;0,6042223;2,129162;0,5518464;0,7171282;2,037631;0,7634945;0,8459622;1,950999;0,8252363;0,8835456;1,929918;0,04024757;0,169963;2,027827;-0,1401735;-0,3422071;2,024503;-0,2772731;-0,717286;2,165473;-0,3407966;-0,8090138;2,126717;0,2067682;0,1689688;2,014974;0,1599333;-0,3522934;2,056839;0,119374;-0,7415937;2,060283;0,1217914;-0,8199506;2,021863; 
0,1651576;0,8745455;2,086399;0,1295153;0,2532485;2,043059;0,1354945;0,3109591;2,107428;0,1580108;0,6802315;2,138469;-0,01460338;0,557846;2,127143;-0,09798232;0,3043579;2,103626;-0,1365435;0,078929;1,997379;-0,1554713;-0,005730286;1,944031;0,3674236;0,6036043;2,128424;0,5530296;0,715838;2,036209;0,7647639;0,8438711;1,948817;0,8265423;0,8812277;1,92751;0,04083491;0,170095;2,028154;-0,1402419;-0,3425011;2,025826;-0,2773594;-0,7177381;2,166766;-0,3408633;-0,8100122;2,129653;0,2075766;0,1689083;2,015155;0,1602509;-0,3526049;2,05712;0,1194897;-0,7416326;2,060372;0,1217907;-0,8198811;2,021868; 
0,1657598;0,874194;2,085855;0,1306589;0,2529565;2,043338;0,1370488;0,3107289;2,107664;0,1607355;0,6798757;2,138093;-0,01351426;0,5580348;2,127773;-0,09663994;0,3044531;2,104729;-0,1363737;0,07681639;1,996252;-0,1504699;0,01632363;1,953738;0,3688253;0,6028419;2,12763;0,5543514;0,7149385;2,035087;0,7659407;0,8427828;1,947339;0,8277007;0,8800988;1,92592;0,04171196;0,169862;2,028805;-0,1399524;-0,3420893;2,026574;-0,2773104;-0,7172328;2,167852;-0,3406433;-0,8098963;2,13162;0,2085106;0,1685265;2,015186;0,1605789;-0,3527974;2,057383;0,1195445;-0,7416551;2,060381;0,1221197;-0,8199021;2,022038; 
0,1665242;0,8743492;2,086081;0,1311411;0,2527287;2,043566;0,1377174;0,310582;2,107863;0,1611592;0,6799291;2,138144;-0,01193698;0,557842;2,128536;-0,09540293;0,297861;2,106022;-0,1355801;0,06558274;1,989864;-0,1533275;0,004278671;1,949963;0,3695894;0,6025876;2,127112;0,5554559;0,713512;2,033648;0,7673851;0,8399905;1,944869;0,8292663;0,8769209;1,923141;0,04237081;0,1696295;2,029501;-0,1371081;-0,331385;2,023163;-0,2723374;-0,706129;2,167376;-0,3351279;-0,8015912;2,138497;0,2088114;0,1683669;2,0152;0,160918;-0,3530842;2,057611;0,1195208;-0,7419163;2,060688;0,1221626;-0,8199168;2,021996; 
0,1659177;0,8742043;2,08583;0,1317882;0,2527108;2,043925;0,1386146;0,3105952;2,108192;0,1626048;0,6798322;2,138134;-0,01173227;0,5578027;2,12918;-0,09442554;0,2993097;2,107206;-0,1353268;0,06640322;1,99063;-0,1534385;0,003817913;1,950714;0,3702772;0,6022449;2,1268;0,5563402;0,7123225;2,032592;0,7684459;0,8378074;1,94298;0,8304003;0,8744606;1,921002;0,04288572;0,1694444;2,030369;-0,1361122;-0,3269545;2,021983;-0,2707391;-0,701694;2,167042;-0,3333666;-0,7980214;2,141199;0,2093143;0,1682709;2,015224;0,1610816;-0,3531454;2,057902;0,119505;-0,7419317;2,060702;0,1222623;-0,8198397;2,021977; 
0,1659598;0,8742015;2,086246;0,1324648;0,2527741;2,0444;0,1395535;0,3106575;2,108641;0,1642532;0,6796743;2,138324;-0,01113267;0,5579332;2,129936;-0,09427974;0,2982289;2,107813;-0,1345636;0,06791652;1,99172;-0,1544295;0,001119464;1,949779;0,3711382;0,6020948;2,126676;0,5570992;0,7118884;2,031833;0,7690387;0,8370202;1,941516;0,8309412;0,8735682;1,919333;0,0433632;0,1695014;2,031013;-0,1366846;-0,3303227;2,025203;-0,271747;-0,7046783;2,171096;-0,3351026;-0,7996493;2,142532;0,2097671;0,1682209;2,015489;0,1612796;-0,3538356;2,058375;0,1201825;-0,7415661;2,060689;0,121999;-0,8195393;2,022179; 
0,1698601;0,8739795;2,086669;0,1331109;0,2528437;2,044915;0,1404617;0,310691;2,109137;0,1656224;0,679442;2,138696;-0,01072734;0,5579731;2,130816;-0,09412267;0,2973104;2,108333;-0,1344146;0,06848075;1,992445;-0,1549682;1,704646E-05;1,949838;0,3719824;0,6015553;2,126404;0,5576732;0,7112468;2,030762;0,7692538;0,8362318;1,939552;0,8310741;0,8727503;1,9171;0,04385315;0,1695318;2,031932;-0,1364823;-0,3274064;2,024029;-0,2691662;-0,701512;2,172607;-0,3333333;-0,7961562;2,145105;0,2102096;0,1681699;2,015636;0,1613641;-0,3550265;2,058848;0,1203088;-0,7415051;2,060719;0,1217782;-0,8194453;2,022256; 
0,1719433;0,8737005;2,086963;0,1338061;0,2530217;2,045565;0,1413002;0,3108147;2,109731;0,1663838;0,6792025;2,139056;-0,01012876;0,558133;2,131758;-0,0941762;0,2968212;2,108771;-0,1348;0,07040611;1,99453;-0,1550909;-0,0006896649;1,949335;0,3728446;0,6010585;2,12633;0,5582514;0,7107342;2,03;0,7694538;0,835669;1,938027;0,831161;0,8721714;1,915353;0,04440784;0,1696947;2,032602;-0,1361819;-0,3253484;2,023566;-0,2682878;-0,699559;2,172697;-0,3327675;-0,7943501;2,146796;0,2108112;0,1682377;2,016178;0,1614739;-0,3550227;2,058947;0,1203338;-0,7414777;2,060695;0,1217495;-0,8193346;2,022186; 
0,1739646;0,8737212;2,088132;0,1342515;0,2530651;2,046159;0,1420681;0,3107863;2,110363;0,1675872;0,6791356;2,140041;-0,009436729;0,5585735;2,133337;-0,09312497;0,2988184;2,110375;-0,1351851;0,07112665;1,995294;-0,1554523;-0,001414127;1,949236;0,3733372;0,6009279;2,126354;0,5589288;0,7096196;2,029074;0,7702899;0,8334031;1,936038;0,8320377;0,8695657;1,913055;0,04474536;0,1697614;2,033589;-0,1375023;-0,3327809;2,030118;-0,2714601;-0,7072154;2,177694;-0,3363863;-0,8001475;2,146976;0,2110614;0,16822;2,016353;0,1615143;-0,3550112;2,058991;0,1205079;-0,7414859;2,060643;0,1206832;-0,8192194;2,021989; 
0,1762551;0,872918;2,088113;0,1346349;0,252992;2,046681;0,1427313;0,3106043;2,110953;0,1691133;0,6789296;2,141237;-0,008725652;0,5585011;2,134171;-0,0932109;0,2981207;2,111135;-0,1352641;0,07129246;1,995824;-0,1555457;-0,001980468;1,948981;0,3737863;0,6004556;2,126294;0,5592727;0,7088302;2,028352;0,7704619;0,8322223;1,934581;0,8321525;0,8682665;1,911387;0,04508052;0,1697697;2,034322;-0,1371958;-0,3297608;2,028855;-0,2686291;-0,7045881;2,177825;-0,3342687;-0,7975271;2,148993;0,21119;0,1681827;2,016525;0,1615894;-0,3549585;2,059029;0,1204726;-0,7414832;2,060617;0,1205921;-0,8192009;2,022058; 
