;0,1841598;0,7474917;2,439301;0,1617457;0,116157;2,33996;0,1501928;0,1762582;2,401109;0,1504268;0,5449808;2,430351;0,00164092;0,4202093;2,414763;-0,08829425;0,1697973;2,332078;-0,09376242;-0,03260804;2,188292;-0,09468506;-0,1323536;2,155255;0,3407287;0,4196113;2,479919;0,413092;0,138936;2,459926;0,4559195;-0,08516638;2,420434;0,4463518;-0,1718502;2,422979;0,0844636;0,04968873;2,309578;0,06090063;-0,3361779;2,051534;0,05279171;-0,6377555;1,864214;0,06751236;-0,6639394;1,768655;0,2431233;0,03049906;2,33228;0,1646014;-0,5188668;2,256181;0,1902119;-0,7968715;2,347445;0,1713526;-0,775975;2,246399; 
0,1921633;0,7463973;2,432481;0,1615781;0,1158944;2,340011;0,150258;0,1762966;2,401145;0,1525312;0,5458911;2,429266;0,001735106;0,4205569;2,414511;-0,08949448;0,169199;2,333513;-0,118727;-0,07140418;2,204414;-0,1247322;-0,1574019;2,18681;0,3400121;0,4207085;2,479196;0,4014233;0,1419572;2,463331;0,4430424;-0,08340192;2,435095;0,4368909;-0,1700915;2,433569;0,08446667;0,04968426;2,309617;0,06006273;-0,3422661;2,061861;0,05190785;-0,6469375;1,873323;0,06550837;-0,6725262;1,783172;0,2413745;0,02960104;2,333098;0,2001337;-0,4646231;2,31206;0,1767804;-0,7835096;2,325186;0,158153;-0,7657984;2,223444; 
0,1962161;0,7487644;2,431333;0,1608429;0,1143974;2,339728;0,1495599;0,1758463;2,400743;0,1573261;0,5478073;2,42673;0,007240596;0,42414;2,41181;-0,1015199;0,1557458;2,333121;-0,134987;-0,07698172;2,221984;-0,1718363;-0,1715861;2,220976;0,3396733;0,420915;2,478877;0,3957026;0,1427598;2,467859;0,435746;-0,08330344;2,447577;0,4281103;-0,1793046;2,445611;0,08443213;0,04957983;2,309609;0,05899437;-0,3432049;2,063829;0,05276653;-0,6531848;1,887519;0,06335823;-0,6868646;1,813503;0,2376283;0,02784872;2,333924;0,1999736;-0,464672;2,312019;0,1736042;-0,7652391;2,314024;0,1524721;-0,7521026;2,212036; 
0,1970815;0,7311754;2,37398;0,1594659;0,1129062;2,334885;0,150554;0,1745169;2,395043;0,159378;0,5431932;2,413561;0,002420295;0,4227217;2,407085;-0,07331487;0,1882425;2,283398;0,008801766;0,03059198;2,124146;0,05381749;-0,05410042;2,080909;0,3385896;0,4174141;2,461675;0,4241244;0,1501259;2,434281;0,5094907;-0,05267364;2,354618;0,538236;-0,1478933;2,320331;0,08256684;0,04899243;2,308537;0,01468583;-0,3906482;2,084384;0,001672365;-0,6793461;1,935348;-0,0008401805;-0,7216665;1,8661;0,2368843;0,02470213;2,32451;0,1757474;-0,4952708;2,317749;0,1351764;-0,8333189;2,273888;0,1660085;-0,8933241;2,230489; 
0,1975132;0,7305952;2,375238;0,1573731;0,1038119;2,324959;0,1494924;0,1658334;2,385235;0,1592664;0,5394292;2,406802;-7,389893E-05;0,4214648;2,405089;-0,07384057;0,1881695;2,284966;-0,01233722;0,0186916;2,128866;0,02997235;-0,06422722;2,079659;0,33832;0,4169636;2,458114;0,4243217;0,1496432;2,433467;0,5085394;-0,05424872;2,355715;0,5373507;-0,1492966;2,320747;0,077452;0,03219973;2,297659;0,01455725;-0,3906395;2,084998;0,001431738;-0,6792432;1,935683;-0,0005983239;-0,7224669;1,868124;0,2361698;0,02127432;2,317859;0,1754471;-0,4956408;2,317739;0,1341941;-0,8316284;2,273551;0,1658587;-0,8929079;2,230814; 
0,1976249;0,7312096;2,375367;0,1564668;0,1030483;2,323545;0,1493551;0,165205;2,383855;0,1594549;0,5391929;2,404848;-0,0006760524;0,4220321;2,404624;-0,07678427;0,1862472;2,291418;-0,03296717;0,007002249;2,140838;-0,02198843;-0,08198389;2,085485;0,338784;0,4165691;2,45402;0,4254726;0,1479217;2,430961;0,5069168;-0,05842806;2,357631;0,5289609;-0,1452621;2,330087;0,07679039;0,03191177;2,297373;0,01394616;-0,3920596;2,089487;0,0006225111;-0,6794363;1,936508;-0,0004421349;-0,7232907;1,869459;0,2347863;0,02039744;2,315315;0,1750824;-0,4962041;2,317276;0,1340887;-0,8313012;2,273551;0,1702675;-0,895071;2,234601; 
0,1976267;0,7323976;2,375528;0,154038;0,1019745;2,321351;0,1482645;0,1644534;2,381802;0,1603936;0,5390602;2,401943;-0,001153858;0,4222869;2,404179;-0,07813616;0,1838128;2,298533;-0,06008244;-0,01501625;2,160355;-0,05046745;-0,07593472;2,112838;0,3395145;0,4153475;2,449637;0,4257438;0,1480852;2,428705;0,5061125;-0,05986266;2,35961;0,5242882;-0,1461193;2,336159;0,07348335;0,03105142;2,296196;0,01310735;-0,3925799;2,092277;0,0003169682;-0,6793966;1,937218;-0,0004344465;-0,7242974;1,871945;0,2316874;0,01920656;2,312399;0,1743432;-0,4972585;2,316565;0,1340874;-0,8312749;2,273627;0,1733142;-0,8964093;2,240696; 
0,1973798;0,7345722;2,375357;0,1509416;0,1022764;2,319974;0,1470852;0,1649421;2,380501;0,1617866;0,539987;2,399189;-0,001580472;0,4233532;2,404173;-0,08144141;0,1765598;2,305126;-0,08418628;-0,02943538;2,172259;-0,0904922;-0,1220295;2,133081;0,3405656;0,4142383;2,443615;0,4263138;0,1485395;2,424375;0,5051618;-0,06171948;2,362219;0,5212663;-0,1435302;2,343062;0,06900284;0,03235124;2,296583;0,012412;-0,3922164;2,097115;0,0006073596;-0,6788874;1,939928;-0,0003247732;-0,7258518;1,876091;0,226817;0,01880415;2,309491;0,1739555;-0,4975758;2,316149;0,1339711;-0,8300918;2,273378;0,1732104;-0,8945105;2,239423; 
0,196897;0,737096;2,375733;0,1483196;0,1020656;2,319187;0,1457685;0,1651881;2,37958;0,1631554;0,5410716;2,396316;-0,001618675;0,4239108;2,403646;-0,09012082;0,1547139;2,311253;-0,1164069;-0,07012888;2,183481;-0,1167434;-0,141831;2,153199;0,3415207;0,4137373;2,439732;0,4267552;0,1482382;2,420719;0,5052096;-0,06320226;2,363095;0,518791;-0,1416386;2,34888;0,06561273;0,03269003;2,297336;0,01296732;-0,3920928;2,103235;0,0009456234;-0,6802351;1,941878;0,0004635208;-0,7276882;1,879391;0,2231773;0,01810462;2,308042;0,173704;-0,4981343;2,315877;0,1344002;-0,829275;2,273507;0,1736973;-0,8943554;2,233418; 
0,1969017;0,7385967;2,375322;0,1455406;0,1013983;2,318584;0,1437097;0,1650909;2,3786;0,1637112;0,5414769;2,392793;-0,001397394;0,4227819;2,401701;-0,09565403;0,1554922;2,325335;-0,1349383;-0,0748443;2,206458;-0,1460734;-0,1496997;2,188462;0,3423487;0,4138475;2,437403;0,4264813;0,1479388;2,416732;0,5055599;-0,0641402;2,363332;0,5186187;-0,139472;2,348744;0,06261864;0,03250799;2,298239;0,01572869;-0,3766838;2,118301;0,001847965;-0,6834382;1,944989;0,002361159;-0,7304348;1,883255;0,2195123;0,01685049;2,307108;0,172774;-0,4996009;2,314988;0,1346479;-0,8292757;2,273636;0,1742559;-0,8938426;2,233289; 
0,1977225;0,739191;2,374963;0,1435969;0,1013788;2,317974;0,1421289;0,165245;2,377738;0,1635704;0,5417991;2,391155;-0,001129914;0,4223626;2,400276;-0,1022332;0,1531276;2,336093;-0,1616553;-0,06514791;2,244479;-0,1818295;-0,1606916;2,224884;0,3435334;0,4130076;2,435024;0,4263582;0,1478489;2,41347;0,505521;-0,06470686;2,362659;0,5192865;-0,13971;2,346951;0,06040202;0,03270763;2,298562;0,01585118;-0,3829825;2,117752;0,002980835;-0,6860622;1,947963;0,006887657;-0,7336805;1,887156;0,2176185;0,01660502;2,306234;0,172775;-0,499369;2,31484;0,1363104;-0,8226127;2,272344;0,1731797;-0,8935907;2,232875; 
