;0,2423169;0,6843665;3,305555;0,1832459;0,1087851;3,240785;0,1976673;0,1635453;3,296154;0,236448;0,5027429;3,308996;0,06552275;0,394826;3,312453;0,002456199;0,1632139;3,331259;-0,02835849;-0,04380627;3,243117;-0,02372826;-0,05267418;3,255522;0,3778547;0,4276836;3,270835;0,5253805;0,6120179;3,123312;0,5204781;0,8970587;3,01423;0,5223379;1,006398;2,986133;0,09650913;0,04848168;3,245955;0,003797233;-0,2398165;2,925312;-0,03324614;-0,5127259;3,158446;-0,07345565;-0,5773965;3,123529;0,256517;0,02593745;3,205109;0,2438429;-0,4612195;3,176717;0,1981262;-0,8653945;3,171198;0,1977149;-0,9406331;3,128839; 
0,2415823;0,6841264;3,305175;0,1841988;0,1085958;3,240288;0,1985508;0,163359;3,295748;0,2358441;0,502319;3,308525;0,06671573;0,3974233;3,31351;0,004198424;0,1658921;3,330103;-0,02628399;-0,04161018;3,243309;-0,02192628;-0,05151461;3,254895;0,3805932;0,4265378;3,271133;0,5255294;0,6127263;3,123133;0,5207531;0,8977833;3,014288;0,5223613;1,005904;2,985686;0,09836406;0,04854329;3,245482;0,004005022;-0,2395982;2,925618;-0,03241105;-0,512798;3,157815;-0,0689426;-0,5790786;3,122146;0,2566527;0,02577255;3,204829;0,2461308;-0,4666924;3,175499;0,199417;-0,8638227;3,173728;0,1990712;-0,940468;3,13096; 
0,2411229;0,6838091;3,304664;0,1852692;0,1080445;3,239872;0,1998088;0,1627868;3,295458;0,2361006;0,5020716;3,308514;0,06681255;0,3974443;3,313548;0,005159732;0,1649185;3,329987;-0,02480323;-0,04213722;3,241879;-0,02048926;-0,05142419;3,254123;0,3820314;0,4262041;3,271327;0,5255985;0,6125525;3,123253;0,5210457;0,8975921;3,014548;0,5223804;1,005536;2,986147;0,09947386;0,04821813;3,245001;0,004392572;-0,2393704;2,925246;-0,03185782;-0,5138832;3,156703;-0,06691337;-0,5808051;3,121016;0,2569247;0,02529177;3,204564;0,2478811;-0,4682572;3,175959;0,1990284;-0,8706085;3,173048;0,1995168;-0,9421205;3,129842; 
0,2415374;0,6838228;3,304778;0,1859658;0,108338;3,239725;0,2007944;0,1630378;3,295372;0,236184;0,5020694;3,308569;0,06563406;0,3990793;3,315645;0,009593947;0,1653097;3,321989;-0,03036684;-0,04430699;3,246878;-0,02367273;-0,05588667;3,254372;0,3839487;0,4260395;3,271386;0,5250437;0,6232582;3,121478;0,5208915;0,9082485;3,012722;0,5223386;1,00548;2,986119;0,09982872;0,04824779;3,244906;0,004770532;-0,2356474;2,922128;-0,0311932;-0,5146292;3,156821;-0,06582328;-0,5812811;3,120493;0,2572512;0,02529417;3,204288;0,2501683;-0,4659876;3,175462;0,198962;-0,8716333;3,172033;0,2004281;-0,9429976;3,128831; 
0,2424992;0,6836534;3,306042;0,1866346;0,1076834;3,23954;0,2015788;0,1622722;3,295192;0,2362487;0,500586;3,308218;0,06610234;0,3989437;3,31576;0,009798083;0,1651984;3,321748;-0,03285406;-0,04438169;3,248479;-0,02629676;-0,06036918;3,254195;0,384205;0,4258031;3,271311;0,5252611;0,6194447;3,125122;0,5209845;0,9038091;3,014691;0,5224918;1,005498;2,98645;0,1007255;0,04797813;3,244648;0,008105084;-0,2421144;2,927263;-0,03009655;-0,5143982;3,157526;-0,06312824;-0,5812851;3,120432;0,2574272;0,02470846;3,204289;0,250277;-0,4665172;3,1754;0,1994284;-0,8735453;3,170493;0,2023011;-0,944705;3,127261; 
0,2427937;0,6838909;3,306637;0,1876241;0,1070738;3,238986;0,2024962;0,1619057;3,294683;0,2367792;0,5008975;3,307637;0,06647794;0,3991171;3,315897;0,0100695;0,1652334;3,321908;-0,03031587;-0,04386167;3,245616;-0,02860534;-0,08200992;3,245471;0,3854087;0,4258331;3,272157;0,525225;0,6193182;3,125196;0,5212629;0,9038512;3,015422;0,5223574;1,005381;2,986869;0,1017464;0,04743084;3,24376;0,008723028;-0,2396526;2,924048;-0,03010837;-0,5156855;3,157469;-0,06301589;-0,5823789;3,120149;0,2579893;0,02418462;3,204229;0,2519674;-0,4643443;3,174914;0,2007292;-0,8688287;3,17346;0,201942;-0,9413877;3,129241; 
0,2428698;0,6837429;3,306625;0,1881712;0,1066364;3,239098;0,2030323;0,1615634;3,294828;0,2367883;0,5008302;3,307723;0,0672471;0,3997247;3,316439;0,01147768;0,1653576;3,319732;-0,02590438;-0,04367638;3,241571;-0,02238657;-0,06911943;3,245671;0,3861446;0,4251913;3,272318;0,52477;0,6189751;3,126634;0,5221298;0,9036982;3,017562;0,5258217;1,011619;2,98919;0,1023591;0,047202;3,243582;0,009033449;-0,2388286;2,923381;-0,02909334;-0,515345;3,157477;-0,06169082;-0,5824391;3,120819;0,2584462;0,02364312;3,204756;0,2519985;-0,4643349;3,174871;0,2015628;-0,8639895;3,174875;0,2022618;-0,941058;3,128974; 
0,2422962;0,6821415;3,307184;0,1889012;0,1056616;3,238962;0,2035884;0,1606439;3,294714;0,2365974;0,4998348;3,307501;0,06789398;0,3993829;3,316534;0,01205834;0,1589103;3,316612;-0,0241686;-0,04974264;3,236687;-0,02231467;-0,08341327;3,238564;0,3861293;0,4243731;3,27306;0,524375;0,6179754;3,127406;0,5220916;0,9031705;3,01985;0,5249875;1,010293;2,991126;0,1034634;0,04638564;3,243433;0,009303175;-0,2382658;2,922591;-0,02846675;-0,5140126;3,155738;-0,06086376;-0,5818923;3,120597;0,2587952;0,02312812;3,204775;0,2521122;-0,4646483;3,174484;0,2017105;-0,8661776;3,173545;0,2022689;-0,9410238;3,129241; 
0,2416169;0,6815015;3,307166;0,1895792;0,1054882;3,238707;0,2043333;0,160405;3,294482;0,2369764;0,4994522;3,30745;0,06839157;0,3991725;3,316559;0,01341207;0,1600647;3,31725;-0,02894259;-0,04827623;3,240123;-0,02562712;-0,08015162;3,242074;0,3864044;0,4243168;3,273006;0,524348;0,618292;3,128417;0,5220293;0,9036161;3,021391;0,5246164;1,010063;2,991874;0,1046147;0,04646116;3,24259;0,009491332;-0,2370471;2,921369;-0,02820853;-0,514345;3,15522;-0,0613469;-0,5814396;3,119462;0,2590831;0,0229886;3,204828;0,2525685;-0,4648444;3,174156;0,2031245;-0,8632331;3,173593;0,2023078;-0,9411041;3,129208; 
0,2413849;0,6816165;3,307705;0,1898765;0,1053095;3,238738;0,2045143;0,160131;3,294595;0,2366916;0,4993197;3,308717;0,06907187;0,3984064;3,316514;0,01504264;0,1635742;3,313769;-0,02658606;-0,04610035;3,240821;-0,02230781;-0,07219825;3,243573;0,3877453;0,424379;3,273637;0,5246467;0,6188506;3,130747;0,5258313;0,9060085;3,02968;0,5291116;1,018689;3,002439;0,1048808;0,04632896;3,242505;0,00983867;-0,2363776;2,920903;-0,02751975;-0,5141074;3,155068;-0,06064907;-0,5813952;3,119856;0,2594817;0,02265692;3,204815;0,252382;-0,4651102;3,174155;0,2029847;-0,8631185;3,173559;0,2024389;-0,9414668;3,129445; 
0,2391616;0,6802265;3,308835;0,1901903;0,1052407;3,238905;0,2049054;0,159877;3,294832;0,2367929;0,4985086;3,309725;0,06958859;0,3981818;3,316736;0,01519548;0,1636629;3,313723;-0,02510937;-0,04629731;3,24106;-0,02009025;-0,0670106;3,245262;0,3880145;0,4247561;3,273759;0,525993;0,6177996;3,133604;0,5251775;0,9053235;3,033974;0,5267633;1,014902;3,005591;0,1055274;0,04603771;3,243083;0,01464147;-0,24787;2,931148;-0,02677338;-0,5134975;3,154819;-0,06033493;-0,580654;3,119945;0,2595749;0,02269155;3,204715;0,2532609;-0,4640225;3,174659;0,2037174;-0,8620149;3,173958;0,2029746;-0,9412565;3,128079; 
