;0,3672163;0,5714946;2,591736;0,3485992;0,05162578;2,592747;0,3702271;0,09902854;2,646375;0,4080568;0,40984;2,665873;0,2216261;0,3304396;2,68373;0,1451074;0,07528679;2,681909;0,09695606;-0,141906;2,570522;0,08559281;-0,2077809;2,54651;0,552646;0,3731922;2,608225;0,6393438;0,5907897;2,482581;0,5659853;0,7830026;2,395621;0,5361837;0,8456997;2,410368;0,2603962;-0,01209515;2,60094;0,170762;-0,3323852;2,351912;0,1457642;-0,6613587;2,423759;0,1053197;-0,7335486;2,387113;0,4121365;-0,03292772;2,549344;0,3713952;-0,4971975;2,55106;0,3311493;-0,8332382;2,564142;0,3611104;-0,8955959;2,493961; 
0,3675757;0,5716845;2,591289;0,3490457;0,05188208;2,592218;0,3705249;0,09926026;2,645952;0,408372;0,4102949;2,665779;0,2217787;0,3306164;2,682971;0,1476884;0,07804739;2,678335;0,1005716;-0,1344107;2,570697;0,08930211;-0,2003742;2,546831;0,5532441;0,3730351;2,608023;0,6394758;0,5910313;2,482645;0,5672172;0,783398;2,394994;0,5369807;0,8444313;2,408992;0,2610248;-0,01175728;2,599855;0,1697353;-0,3321759;2,351038;0,1440042;-0,6560631;2,424357;0,1066768;-0,7303962;2,3889;0,412558;-0,03277476;2,548939;0,3693336;-0,5096955;2,554803;0,3313331;-0,830636;2,56515;0,3589656;-0,8927031;2,498752; 
0,3682893;0,576358;2,592552;0,3485405;0,05236036;2,591689;0,3700165;0,0997064;2,645427;0,4081801;0,4107428;2,665267;0,2217069;0,3307175;2,682392;0,1487364;0,0784741;2,675997;0,1026467;-0,1345342;2,573049;0,09146094;-0,2005238;2,549289;0,5532574;0,3730687;2,607854;0,6397356;0,5916386;2,482518;0,5678653;0,7839458;2,39433;0,5381673;0,8438286;2,407317;0,2604259;-0,0111136;2,599088;0,1688078;-0,3319771;2,350049;0,1426179;-0,6565118;2,425594;0,1042272;-0,7294934;2,388691;0,4119704;-0,03233427;2,548583;0,3692733;-0,5098121;2,554801;0,3306923;-0,8314704;2,564715;0,3589385;-0,8927048;2,498747; 
0,3686698;0,5766021;2,592182;0,3490102;0,05256492;2,591002;0,3702137;0,10003;2,644724;0,408145;0,4110487;2,663825;0,2220373;0,3317122;2,680805;0,1497523;0,08063171;2,674506;0,1050295;-0,130568;2,574612;0,09386848;-0,1965738;2,550888;0,5530026;0,3734059;2,607686;0,6409706;0,5910631;2,483472;0,572439;0,7839395;2,393643;0,5314463;0,8684175;2,392631;0,2615985;-0,01077872;2,597885;0,1670068;-0,3310276;2,347707;0,1372854;-0,6587539;2,425112;0,1012747;-0,7321876;2,38692;0,4122427;-0,03200847;2,548368;0,3694662;-0,5017585;2,552051;0,33064;-0,8314697;2,564682;0,3602093;-0,8928379;2,496773; 
0,3693096;0,577159;2,590663;0,3481879;0,05230182;2,590154;0,3692609;0,0998433;2,643853;0,4073431;0,4110864;2,662774;0,2223226;0,3324747;2,678681;0,1500938;0,08078247;2,673959;0,1064468;-0,1284459;2,576363;0,09530053;-0,194459;2,552661;0,5524578;0,3732964;2,606419;0,6412835;0,5910354;2,483636;0,5724674;0,7837505;2,39365;0,531516;0,8682683;2,392422;0,261179;-0,01059673;2,597076;0,1650568;-0,3304452;2,346027;0,1338072;-0,6581652;2,424695;0,09466395;-0,7293239;2,385456;0,4110332;-0,03235617;2,547823;0,3684588;-0,5071051;2,552656;0,3303735;-0,8315777;2,564588;0,3600399;-0,8929163;2,496824; 
0,3687656;0,5781575;2,590478;0,34833;0,05240679;2,589218;0,3692264;0,1000914;2,642797;0,4067526;0,4109381;2,660478;0,2221603;0,3324077;2,677518;0,1507218;0,08117024;2,673854;0,1073899;-0,1272098;2,577329;0,09625112;-0,1932291;2,553638;0,5520738;0,3734964;2,606003;0,6417617;0,5918763;2,483672;0,5725529;0,7843911;2,39353;0,5314489;0,8688335;2,391261;0,2615868;-0,01043339;2,596151;0,1637012;-0,3297901;2,344933;0,1322067;-0,6561325;2,424196;0,09394608;-0,7277704;2,385114;0,4110976;-0,03223748;2,547262;0,3681128;-0,4940977;2,547915;0,3301436;-0,831642;2,564491;0,3593124;-0,8926907;2,497145; 
0,3689673;0,5789104;2,590641;0,3485735;0,05299863;2,58833;0,3692634;0,1005536;2,641968;0,4064577;0,4110731;2,659841;0,2216846;0,3330321;2,676636;0,1510211;0,08099823;2,674015;0,1107263;-0,1224206;2,584251;0,09960079;-0,1884507;2,560584;0,5519636;0,3739049;2,60565;0,6421689;0,5919385;2,483859;0,5738029;0,7867916;2,398988;0,5406846;0,8465051;2,40777;0,2618916;-0,01002155;2,595263;0,1627119;-0,3293993;2,344122;0,1307139;-0,6549911;2,423945;0,09395476;-0,726923;2,384135;0,4114794;-0,03160482;2,546313;0,3707156;-0,4819608;2,545219;0,3301167;-0,8316651;2,564614;0,3592764;-0,8925599;2,497209; 
0,3709928;0,579772;2,59007;0,3489859;0,05286305;2,587737;0,3694908;0,1005701;2,641283;0,4065518;0,4108655;2,658002;0,2224716;0,3326457;2,674808;0,1511717;0,08077856;2,674533;0,1102061;-0,122782;2,585995;0,09908167;-0,1888176;2,562335;0,5520759;0,3741586;2,605249;0,6431842;0,5919837;2,484524;0,571126;0,7999281;2,393388;0,5351996;0,8568024;2,410469;0,262399;-0,01020421;2,594991;0,1618497;-0,3293956;2,343525;0,1280379;-0,6548941;2,42272;0,08911406;-0,724892;2,381689;0,4118806;-0,03170357;2,54569;0,3690124;-0,5010831;2,548356;0,3297715;-0,8317943;2,563839;0,3597497;-0,8945018;2,492061; 
0,3713147;0,5802174;2,589951;0,3492703;0,05327332;2,587071;0,3698071;0,1010428;2,640492;0,4061009;0,4111074;2,65655;0,221889;0,3328374;2,674694;0,151765;0,0803881;2,675064;0,1099946;-0,1227624;2,586304;0,08837729;-0,188251;2,578876;0,5511845;0,3735434;2,603857;0,642949;0,5926677;2,483958;0,5756115;0,7879438;2,397161;0,5416699;0,8487582;2,407791;0,2626195;-0,01005946;2,594616;0,1612752;-0,3294693;2,343181;0,1257094;-0,652849;2,421591;0,08357464;-0,7216415;2,381844;0,4124262;-0,03115276;2,544967;0,3688036;-0,4988267;2,54787;0,3298073;-0,8317522;2,563569;0,3597558;-0,894663;2,492206; 
0,3719595;0,5811046;2,590456;0,3493665;0,05319057;2,586601;0,369762;0,1011781;2,63992;0,405482;0,4114799;2,654895;0,2217904;0,333155;2,673883;0,1517601;0,08031758;2,675313;0,1089021;-0,1254893;2,588361;0,08415337;-0,1899138;2,581538;0,5508093;0,3735559;2,603461;0,6430592;0,5927264;2,483935;0,5768067;0,7878627;2,397829;0,5361084;0,872352;2,394852;0,2628647;-0,01011547;2,594246;0,160918;-0,3293734;2,342927;0,1237619;-0,6524902;2,421613;0,08358625;-0,7220988;2,381409;0,412517;-0,03118113;2,544763;0,3678437;-0,5049674;2,54953;0,3301482;-0,8327901;2,562302;0,3581944;-0,8946526;2,496803; 
0,3734961;0,5837716;2,590395;0,3492553;0,05309275;2,585871;0,3697484;0,10125;2,639176;0,4054528;0,4125078;2,654196;0,2221348;0,3327591;2,672429;0,1518206;0,07937299;2,675443;0,1062566;-0,1295567;2,588381;0,08262917;-0,19435;2,581237;0,5505477;0,3737719;2,601539;0,6433951;0,5925155;2,483795;0,5772076;0,7877002;2,397743;0,5378931;0,8728446;2,395586;0,2627825;-0,01013351;2,59351;0,1606409;-0,3295862;2,343002;0,124079;-0,6509066;2,422411;0,08651984;-0,7212265;2,381083;0,4124611;-0,03120853;2,544298;0,3688373;-0,492349;2,546892;0,3291965;-0,8317996;2,562727;0,3570623;-0,8936313;2,497163; 
