;0,2217054;0,8543393;2,570768;0,1370934;0,2441621;2,597512;0,1489592;0,3077694;2,651851;0,202514;0,6617709;2,631617;0,02170092;0,5638357;2,646271;-0,09961581;0,3302547;2,719264;-0,1718676;0,1008715;2,681459;-0,1979254;-0,005146541;2,666567;0,4044707;0,5658475;2,643629;0,6566509;0,6015118;2,583607;0,8532106;0,7341677;2,487679;0,9771348;0,8363543;2,460361;0,03934432;0,1729313;2,590471;-0,2331539;-0,3388052;2,576947;-0,4303932;-0,7085721;2,671794;-0,4906449;-0,7790022;2,633998;0,2066286;0,1467975;2,585913;0,130198;-0,4314557;2,613513;0,09936225;-0,8171369;2,597961;0,1178957;-0,8943909;2,540358; 
0,2213596;0,855345;2,571666;0,1369551;0,2444157;2,598219;0,148919;0,3081243;2,651935;0,2031171;0,662107;2,631608;0,02143459;0,5646363;2,646165;-0,0987947;0,334271;2,719285;-0,1700058;0,1140911;2,686691;-0,1952146;0,008174814;2,669776;0,4045043;0,5657923;2,643189;0,6566179;0,6013035;2,582678;0,854346;0,7350785;2,487003;0,9678127;0,8313341;2,458745;0,03906839;0,1731707;2,591103;-0,2325919;-0,3393118;2,577841;-0,4308751;-0,7100787;2,668548;-0,4911695;-0,7814186;2,632517;0,2064977;0,1469058;2,587061;0,1305246;-0,4316676;2,613859;0,09889504;-0,817223;2,598338;0,1179084;-0,8944317;2,540373; 
0,221462;0,855747;2,57214;0,1363543;0,244669;2,599345;0,1484457;0,3085278;2,65229;0,2031098;0,6621562;2,631599;0,02143307;0,5654215;2,646194;-0,09907795;0,3355447;2,718948;-0,1743052;0,1050388;2,685252;-0,1979335;-0,001238272;2,668312;0,40426;0,5655803;2,64273;0,6686294;0,6052047;2,57657;0,8526501;0,7338308;2,48687;0,9608545;0,8301768;2,456246;0,03864293;0,1736592;2,592094;-0,232131;-0,339464;2,578617;-0,4303689;-0,710033;2,670659;-0,4898602;-0,7811592;2,632853;0,205584;0,1470002;2,58902;0,1307968;-0,432644;2,614558;0,09924648;-0,817768;2,598429;0,1177725;-0,8943912;2,540747; 
0,2213755;0,8558181;2,572049;0,1361956;0,2448541;2,599809;0,1483944;0,3087522;2,65229;0,2035501;0,6623182;2,63197;0,02127695;0,5668743;2,646546;-0,09968237;0,3390005;2,718863;-0,1795489;0,09896091;2,682989;-0,2025354;-0,007673532;2,667475;0,4041643;0,565591;2,642426;0,665239;0,6039663;2,575897;0,8509581;0,7327214;2,486575;0,9575238;0,8291867;2,454497;0,03843994;0,1739047;2,592577;-0,2311901;-0,3390598;2,579218;-0,4288821;-0,7095981;2,672863;-0,4884199;-0,7798643;2,633487;0,2054077;0,147119;2,589357;0,131112;-0,4324731;2,615101;0,09943833;-0,8184477;2,598382;0,1177919;-0,8944065;2,541195; 
0,2216529;0,8558875;2,572275;0,1358224;0,2449145;2,600667;0,148099;0,3089167;2,652622;0,2037769;0,6623504;2,632321;0,02133818;0,5675163;2,646588;-0,1003928;0,3402426;2,718365;-0,1844154;0,09561068;2,680542;-0,2144938;-0,008863844;2,662637;0,404175;0,5656613;2,642343;0,6709951;0,6061044;2,572519;0,8497095;0,7316123;2,48653;0,958231;0,831973;2,454379;0,03793444;0,1741557;2,593723;-0,230751;-0,3394138;2,580154;-0,4295008;-0,7098122;2,673109;-0,4885998;-0,7802047;2,633237;0,2050326;0,1470267;2,589995;0,1310509;-0,4327011;2,615395;0,09887207;-0,8189549;2,598398;0,1179368;-0,8945069;2,541481; 
0,2215624;0,855807;2,572197;0,135653;0,2448588;2,601112;0,148008;0,3089317;2,65257;0,2039553;0,6622515;2,632443;0,02128725;0,5678274;2,646799;-0,1011978;0,3406768;2,71826;-0,1865769;0,09469187;2,679366;-0,2165785;-0,009867974;2,661842;0,4040311;0,5656604;2,642178;0,6631292;0,6023482;2,573524;0,8549122;0,7357326;2,483844;0,9556963;0,8313671;2,454371;0,03772724;0,1741807;2,594251;-0,2303672;-0,3396285;2,580964;-0,4293166;-0,710115;2,673933;-0,4883474;-0,7801147;2,633216;0,2048394;0,1469399;2,590412;0,1311384;-0,4326981;2,615541;0,09896215;-0,8197834;2,598049;0,117913;-0,8946298;2,541476; 
0,2215408;0,8557724;2,572397;0,1356509;0,2449436;2,601621;0,1480364;0,3090412;2,652645;0,2040721;0,662149;2,632738;0,02143052;0,5681351;2,647155;-0,1019851;0,3415052;2,7178;-0,189998;0,09323724;2,676131;-0,2181678;0,02169107;2,649239;0,4040354;0,5656991;2,6421;0,668209;0,6033162;2,572844;0,8553785;0,7369503;2,482162;0,9513867;0,8441029;2,457843;0,03780785;0,1742208;2,59458;-0,2300775;-0,3394717;2,581777;-0,4296879;-0,7084761;2,678653;-0,4871229;-0,7788509;2,636228;0,2047759;0,1471076;2,591075;0,1313238;-0,4326577;2,615859;0,09904083;-0,8186795;2,598339;0,1178555;-0,8946801;2,541442; 
0,221564;0,8557134;2,572568;0,1355952;0,24541;2,602522;0,148157;0,3094576;2,653216;0,2052976;0,6624198;2,633922;0,02141406;0,5686857;2,647634;-0,1033795;0,3415263;2,71702;-0,1916605;0,09418919;2,673133;-0,2181169;0,02113205;2,648576;0,4040622;0,5658697;2,642003;0,6705251;0,6032908;2,571955;0,846259;0,7316458;2,483989;0,9508747;0,8451848;2,456889;0,03766445;0,1748469;2,595359;-0,230117;-0,3397561;2,582887;-0,4354844;-0,7076247;2,674207;-0,4901155;-0,7816174;2,634243;0,2045476;0,1473801;2,591927;0,1313016;-0,4325477;2,61602;0,09898122;-0,8186104;2,598424;0,1179408;-0,8947302;2,541527; 
0,2216835;0,8559951;2,573366;0,1356995;0,2456123;2,602998;0,1483448;0,309647;2,653388;0,2061631;0,6623994;2,634451;0,02159367;0,5688242;2,647971;-0,1038276;0,3422964;2,71657;-0,1916499;0,09634404;2,670947;-0,2168461;0,02258992;2,647094;0,4041361;0,5661239;2,642137;0,6627662;0,5996757;2,572759;0,845408;0,7306974;2,48349;0,9435676;0,8393309;2,45261;0,03784421;0,1750335;2,595716;-0,2302341;-0,3397225;2,583605;-0,4342459;-0,7084717;2,675122;-0,4899777;-0,7819087;2,635595;0,2044098;0,1476669;2,592514;0,1313524;-0,4324709;2,616095;0,09898173;-0,8186053;2,598435;0,1179089;-0,8948646;2,541543; 
0,2218521;0,8559532;2,574061;0,1357284;0,2457991;2,603457;0,1484367;0,3097791;2,65363;0,2068022;0,6622272;2,635163;0,02165662;0,568978;2,648394;-0,1041723;0,3426683;2,716369;-0,1924303;0,09746659;2,668705;-0,216727;0,02303059;2,646042;0,4042362;0,566413;2,642466;0,6672896;0,6001425;2,57142;0,8519055;0,7362045;2,479244;0,9407439;0,8372777;2,451315;0,03780565;0,1751376;2,596179;-0,2303586;-0,339844;2,584239;-0,4345394;-0,7085955;2,676056;-0,490144;-0,7818921;2,636036;0,2043799;0,1478939;2,592803;0,1321066;-0,4301052;2,616394;0,09888409;-0,8167102;2,598889;0,117539;-0,8929228;2,542794; 
0,2226475;0,8554808;2,574583;0,1358954;0,2458768;2,604092;0,1487593;0,3097515;2,654233;0,2080735;0,6620971;2,636584;0,02199806;0,5694312;2,649251;-0,1040984;0,342736;2,71595;-0,192454;0,09836407;2,666559;-0,216157;0,02353713;2,644547;0,4043207;0,5669149;2,642909;0,6700501;0,5997962;2,570271;0,8522564;0,7361693;2,478485;0,9411538;0,8343694;2,449915;0,03794354;0,1752323;2,596825;-0,2304928;-0,3400023;2,584553;-0,4337626;-0,7089593;2,677873;-0,490205;-0,7821237;2,63874;0,2044015;0,1480308;2,593164;0,1320227;-0,4301959;2,616546;0,09890984;-0,8171397;2,599048;0,1177763;-0,8930259;2,542888; 
