;0,3266396;0,9349422;2,543253;0,2674741;0,2744758;2,512825;0,2728163;0,3433231;2,576837;0,3351553;0,7404612;2,577725;0,1540875;0,6036212;2,556803;0,03984281;0,3380022;2,590191;-0,06650637;0,1181885;2,553853;-0,07553691;0,04133961;2,516736;0,5453077;0,6118763;2,599655;0,830808;0,5633273;2,591964;1,042396;0,553043;2,453206;0,9998437;0,5500023;2,465872;0,170217;0,2015453;2,49953;-0,1189001;-0,2439961;2,513138;-0,4068848;-0,5643185;2,469553;-0,4907575;-0,6408749;2,39669;0,3394081;0,1752314;2,497197;0,2813668;-0,3831365;2,522737;0,2608246;-0,7979432;2,55338;0,2670191;-0,8924438;2,476431; 
0,3238001;0,9351851;2,543421;0,2661174;0,2747893;2,512488;0,2712233;0,3435627;2,576549;0,3325257;0,7406304;2,577692;0,1519825;0,6031122;2,556139;0,03913508;0,3377208;2,590074;-0,06718156;0,1180137;2,55246;-0,07803585;0,03739263;2,51507;0,5434761;0,6124214;2,599531;0,8213508;0,563624;2,591056;1,036879;0,5555319;2,45915;0,9999276;0,5500157;2,465894;0,1689267;0,2018364;2,499372;-0,1184899;-0,244547;2,511517;-0,4071836;-0,5644687;2,469182;-0,491266;-0,6389861;2,394408;0,338322;0,1755578;2,496449;0,2810436;-0,3831613;2,522613;0,2608906;-0,7964951;2,555041;0,2667546;-0,8921205;2,476467; 
0,3202744;0,93485;2,542877;0,265265;0,2752302;2,511977;0,270047;0,3439575;2,576023;0,3289453;0,740765;2,577001;0,1496733;0,6032178;2,555462;0,03859141;0,3373836;2,590304;-0,06814506;0,1182578;2,549777;-0,08090415;0,03363238;2,512124;0,5413693;0,6127503;2,598995;0,7776167;0,5613295;2,608228;0,9974017;0,5626939;2,484413;0,9984524;0,5523736;2,465292;0,1683389;0,2024626;2,498908;-0,118422;-0,2450909;2,510282;-0,4025044;-0,5692117;2,465496;-0,4910301;-0,6389827;2,391213;0,3377555;0,1757237;2,495811;0,2808348;-0,383324;2,522657;0,2610946;-0,7963601;2,55476;0,2665935;-0,8926052;2,476104; 
0,3161164;0,9360495;2,543752;0,262731;0,2754171;2,510962;0,2672558;0,3440842;2,575026;0,3252422;0,7408519;2,576073;0,1477825;0,6036205;2,554698;0,03615097;0,3383212;2,58967;-0,06805351;0,1179495;2,549515;-0,07816076;0,03924219;2,5125;0,5374734;0,6135375;2,597995;0,8042077;0,562893;2,585865;1,026804;0,5632086;2,46797;1,089132;0,5563719;2,411393;0,1661075;0,2026844;2,498443;-0,1182804;-0,2454674;2,508805;-0,4001557;-0,5705533;2,446896;-0,4945242;-0,6438468;2,384089;0,3355682;0,1763065;2,494113;0,2805232;-0,3833034;2,522721;0,2608618;-0,7963673;2,554782;0,2662662;-0,8919083;2,476283; 
0,2165849;0,9324369;2,560348;0,2030469;0,2682258;2,492857;0,2179116;0,3364125;2,558273;0,2746572;0,7432196;2,566128;0,07406476;0,5958918;2,567242;0,01496493;0,3304714;2,58954;-0,09193522;0,0881326;2,493447;-0,1333858;-0,008446231;2,448628;0,4458498;0,6064459;2,549974;0,6868156;0,4529353;2,598751;0,857498;0,3563521;2,436369;0,8971645;0,3191052;2,323826;0,1087316;0,2002709;2,493982;-0,0587941;-0,4247661;2,483504;-0,1795868;-0,8276163;2,463911;-0,228812;-0,9027602;2,420567;0,2724936;0,1712261;2,460896;0,2638953;-0,3881087;2,489683;0,258904;-0,7967166;2,551886;0,2669845;-0,8923169;2,475436; 
0,2150517;0,9263116;2,560552;0,1945943;0,2503296;2,489166;0,2099611;0,3215027;2,555434;0,2691389;0,7391185;2,566172;0,06924285;0,591506;2,565666;0,005325035;0,3263211;2,590595;-0,09301883;0,0825336;2,480376;-0,1264522;-0,01202877;2,425672;0,4400993;0,5915984;2,546605;0,6490297;0,393149;2,600847;0,7728419;0,2470675;2,432481;0,7923426;0,1856311;2,323338;0,09643404;0,1672366;2,486903;-0,03755076;-0,4262856;2,479149;-0,1288374;-0,8248435;2,473133;-0,210453;-0,8963859;2,430887;0,2676593;0,1629504;2,458933;0,2631607;-0,3957045;2,471843;0,259028;-0,7982305;2,550505;0,2673648;-0,8930154;2,474106; 
0,2148755;0,9230909;2,561047;0,1909017;0,2428049;2,487818;0,2063933;0,3138205;2,554092;0,2663642;0,7344;2,565737;0,06676075;0,5890809;2,565305;-0,006422204;0,3253869;2,592957;-0,09336074;0,08034784;2,469589;-0,1215902;-0,01089077;2,406907;0,4350617;0,579455;2,543661;0,6373022;0,3798703;2,597919;0,7253816;0,2114487;2,427777;0,7391425;0,1292968;2,309659;0,09456292;0,1639095;2,486188;-0,03488744;-0,4270871;2,478255;-0,1291628;-0,8248299;2,473198;-0,2072829;-0,8968842;2,432119;0,2628402;0,1550412;2,457655;0,2607208;-0,3980578;2,457797;0,258391;-0,7987007;2,548686;0,2677288;-0,8929464;2,473116; 
0,2165032;0,9179159;2,561171;0,1872475;0,2361671;2,48694;0,2036506;0,3071565;2,553113;0,2649206;0,7287459;2,564815;0,0653969;0,5877957;2,565869;-0,01944188;0,3250501;2,596346;-0,09242561;0,06943316;2,449894;-0,1145554;-0,01590734;2,395611;0,4288231;0,5718563;2,540043;0,6256651;0,355194;2,584905;0,6816656;0,1777202;2,41;0,6814598;0,09006072;2,300791;0,09199736;0,1599109;2,486303;-0,03461771;-0,4272469;2,477632;-0,1342176;-0,8298297;2,474277;-0,2072071;-0,8980157;2,432718;0,2579057;0,148929;2,456262;0,2604691;-0,4022224;2,442448;0,2576117;-0,8041329;2,544142;0,2678787;-0,8933074;2,473023; 
0,2208716;0,9087206;2,56309;0,186435;0,2328162;2,487013;0,203458;0,3035469;2,553261;0,2663267;0,7246779;2,565872;0,06550875;0,585354;2,566208;-0,03425763;0,3287886;2,603981;-0,09417237;0,07009092;2,449073;-0,1109043;-0,008432261;2,400616;0,4277299;0,5680181;2,538388;0,6185858;0,3537058;2,577231;0,6407753;0,1244692;2,328694;0,6514405;0,06638141;2,26833;0,09117647;0,1566737;2,487066;-0,03743407;-0,4275239;2,476278;-0,139401;-0,8319727;2,475588;-0,2084622;-0,8992701;2,433945;0,256418;0,1466343;2,455667;0,2573012;-0,4013374;2,429456;0,2572661;-0,8062056;2,542942;0,2677557;-0,8936611;2,472716; 
0,2262234;0,9036034;2,563233;0,1860601;0,2315936;2,487104;0,204303;0,3017005;2,553234;0,2734462;0,7185533;2,56582;0,0686684;0,583479;2,569118;-0,04337415;0,3377419;2,611648;-0,1020847;0,08787474;2,459263;-0,10794;-0,01402935;2,412977;0,4297482;0,5631084;2,536157;0,6167591;0,3561177;2,567518;0,6267744;0,1768487;2,333166;0,603847;0,1011647;2,250613;0,09037668;0,1553574;2,488303;-0,04690734;-0,4257277;2,473076;-0,1444157;-0,83017;2,477722;-0,2082481;-0,8980685;2,436101;0,2545559;0,1450397;2,454544;0,2531287;-0,3960282;2,420988;0,2567728;-0,8013883;2,540592;0,2679897;-0,8936303;2,472226; 
0,25369;0,8953032;2,569186;0,1861864;0,2312166;2,487081;0,2065645;0,3005499;2,552988;0,2839677;0,7162123;2,565904;0,07671307;0,5846467;2,575908;-0,04021719;0,3563052;2,630429;-0,1037971;0,1470618;2,504537;-0,08926318;0,1012674;2,45661;0,4353258;0,5591354;2,532866;0,6154981;0,3816905;2,538667;0,6415933;0,2436561;2,322459;0,5878242;0,1575536;2,209016;0,09033304;0,1553304;2,488522;-0,05534277;-0,4256856;2,470597;-0,1561727;-0,8316455;2,477763;-0,2171996;-0,8977036;2,434827;0,2537547;0,1442421;2,453967;0,2508066;-0,3955469;2,419452;0,256949;-0,8007594;2,539858;0,2680347;-0,8939533;2,472371; 
