;0,4660519;0,7454206;2,738016;0,3599037;0,1667754;2,736118;0,3689137;0,2279594;2,786292;0,4313205;0,5689126;2,773279;0,2646605;0,4620548;2,761628;0,1455435;0,2103746;2,719404;0,1001938;0,005257294;2,634893;0,08507727;-0,06311515;2,611459;0,613301;0,5116172;2,787805;0,7410278;0,7137902;2,727849;0,8200724;0,9221126;2,631707;0,8419967;1,00899;2,60675;0,271731;0,1075928;2,709218;0,0008976161;-0,2561488;2,727731;-0,2412343;-0,5816414;2,653878;-0,2353449;-0,6165955;2,564307;0,4231834;0,07225202;2,73241;0,3459003;-0,4677414;2,693151;0,3303314;-0,8412413;2,691542;0,3179191;-0,9063602;2,613031; 
0,4636861;0,7515163;2,733347;0,3587731;0,1691764;2,733402;0,367315;0,2300564;2,784138;0,4295727;0,5698385;2,77213;0,264474;0,4632088;2,759979;0,1454245;0,2100478;2,718609;0,1017606;0,005173787;2,632313;0,08720601;-0,06311756;2,608283;0,6123984;0,5133535;2,788613;0,7434608;0,7220631;2,725714;0,8198137;0,9273393;2,630048;0,8404459;1,00967;2,607419;0,2715262;0,1079363;2,708838;0,002258182;-0,2568934;2,726819;-0,1917922;-0,6162814;2,689423;-0,2607587;-0,6832621;2,634181;0,4206722;0,07636835;2,729978;0,3448963;-0,4672366;2,690556;0,3299745;-0,8416544;2,691666;0,3170648;-0,9067401;2,615462; 
0,4632293;0,7524838;2,731735;0,3580116;0,1702343;2,731706;0,3659247;0,2308837;2,783091;0,4273903;0,5702712;2,771756;0,2642106;0,4627108;2,757051;0,1456181;0,2102332;2,718256;0,09634714;-0,04071698;2,617061;0,07992348;-0,1243671;2,588063;0,6130459;0,5160503;2,789461;0,7430665;0,7222755;2,726015;0,8185055;0,9300875;2,629504;0,8388101;1,009928;2,607814;0,2711908;0,1080243;2,708618;0,004439831;-0,2586433;2,725308;-0,2036624;-0,6090448;2,664335;-0,1964086;-0,6438578;2,574704;0,4197795;0,07756619;2,727713;0,3438809;-0,4662569;2,687784;0,3288577;-0,8417147;2,691195;0,317201;-0,9069899;2,616115; 
0,4634337;0,753361;2,731415;0,3574333;0,1728833;2,730521;0,3652317;0,2326433;2,782582;0,4272145;0,5702542;2,771719;0,2641338;0,4637031;2,75607;0,1453245;0,2104862;2,717613;0,1003959;-0,008214736;2,617935;0,0854197;-0,08111506;2,589442;0,6134925;0,5177792;2,790008;0,7412286;0,7175634;2,730054;0,818161;0,9308288;2,629962;0,8371446;1,010326;2,607825;0,2706261;0,1090852;2,707911;0,008584887;-0,2609526;2,723368;-0,1961879;-0,6140214;2,665468;-0,1886269;-0,6487364;2,575836;0,4186567;0,08069409;2,7271;0,3428585;-0,4634873;2,685091;0,3287758;-0,8418337;2,691186;0,3159832;-0,903357;2,630763; 
0,4623157;0,752172;2,731086;0,356957;0,1726491;2,729885;0,364201;0,2324822;2,782284;0,425108;0,570119;2,771043;0,2637575;0,4636819;2,755122;0,1451502;0,2104611;2,71727;0,1018456;-0,004862063;2,617488;0,08741075;-0,07663646;2,588959;0,6133101;0,5180612;2,791626;0,7411162;0,7176056;2,730275;0,817888;0,9309067;2,630041;0,8360633;1,010083;2,607937;0,2698961;0,1082516;2,707502;0,01117724;-0,2640959;2,721686;-0,1834972;-0,6235408;2,667243;-0,1753116;-0,6582764;2,577703;0,4184535;0,08066685;2,726751;0,3425968;-0,4628506;2,684352;0,3281124;-0,8415833;2,691784;0,3142327;-0,9030124;2,637849; 
0,4623227;0,7523857;2,730924;0,3563563;0,172734;2,72921;0,3631046;0,232482;2,782;0,4228452;0,5698738;2,771103;0,2628371;0,4643408;2,754163;0,1448475;0,2105738;2,716845;0,1025894;-0,002348168;2,618925;0,08850331;-0,07332217;2,591016;0,6125536;0,519409;2,792924;0,74104;0,7177182;2,730479;0,8177549;0,9309025;2,630081;0,8348822;1,010283;2,607615;0,2693932;0,1079686;2,707195;-0,03479795;-0,3857601;2,730505;-0,2026678;-0,7589774;2,680639;-0,1939704;-0,793673;2,591126;0,4179011;0,08101553;2,725854;0,3423357;-0,4629829;2,683885;0,3281516;-0,8420122;2,691473;0,3175433;-0,9056939;2,619045; 
0,4610964;0,7514607;2,729922;0,3549079;0,1715934;2,728224;0,361185;0,2314143;2,781384;0,4201901;0,5691609;2,770747;0,2617112;0,4640429;2,752745;0,1437645;0,2102871;2,716155;0,1033382;-0,00267307;2,619226;0,08986279;-0,07365979;2,591645;0,6103563;0,5184708;2,793347;0,7403391;0,7162035;2,732876;0,8170362;0,9346603;2,629454;0,8338333;1,011412;2,607292;0,2679721;0,1065243;2,706323;-0,03280358;-0,3888043;2,730126;-0,1974287;-0,7637947;2,682427;-0,1882461;-0,7984688;2,592942;0,4169141;0,08046128;2,725337;0,342211;-0,4629613;2,683547;0,3278973;-0,8431368;2,691246;0,3156235;-0,9068398;2,619056; 
0,4590898;0,7489333;2,730654;0,3542199;0,1706383;2,727303;0,3600033;0,2304223;2,780837;0,4163602;0,5684404;2,770669;0,257262;0,4629053;2,751441;0,1420226;0,2102755;2,715944;0,1082051;-0,03828512;2,612319;0,09693258;-0,1211386;2,582505;0,6091733;0,5182746;2,793671;0,737173;0,7134279;2,734639;0,8166214;0,9346762;2,629518;0,8328363;1,011612;2,607661;0,2672099;0,1042555;2,705616;-0,02770972;-0,3930399;2,729367;-0,1782725;-0,774444;2,690106;-0,1688263;-0,8090537;2,600602;0,416593;0,0796437;2,724041;0,3419566;-0,4614362;2,682489;0,3278669;-0,8433102;2,690872;0,3156515;-0,9069727;2,618706; 
0,456732;0,7460318;2,731555;0,3513438;0,1674594;2,726161;0,3570469;0,22786;2,780355;0,4138781;0,5685167;2,77167;0,2569254;0,4628212;2,750882;0,1401668;0,2102692;2,716161;0,102812;-0,00174928;2,621672;0,09036044;-0,07242211;2,594902;0,605917;0,5175995;2,794179;0,731353;0,7085148;2,737017;0,8153222;0,9344651;2,630927;0,8324929;1,011343;2,608017;0,2639666;0,1002982;2,705568;-0,02108462;-0,400389;2,728975;-0,1641774;-0,7849717;2,69462;-0,1544236;-0,8194706;2,605107;0,4149057;0,07856099;2,722403;0,342647;-0,4585318;2,681286;0,3283082;-0,8430461;2,690552;0,3175467;-0,903273;2,628883; 
0,4534783;0,7497331;2,727707;0,3500401;0,1682394;2,72617;0,355269;0,2284378;2,780718;0,4099958;0,5695718;2,77329;0,2558514;0,4637051;2,750889;0,1373643;0,2111337;2,717074;0,1009741;-0,0007065934;2,623825;0,08884404;-0,07132002;2,597468;0,60524;0,5202004;2,794943;0,7306729;0,7110378;2,737072;0,8154034;0,9355955;2,631567;0,8320221;1,011913;2,60813;0,2627835;0,1004828;2,705556;-0,01104361;-0,4064934;2,72811;-0,1529507;-0,7917705;2,701055;-0,1721988;-0,8908451;2,655166;0,4139426;0,07936439;2,722196;0,342895;-0,4539786;2,680591;0,3285656;-0,84268;2,691205;0,3152728;-0,9029362;2,635169; 
0,4513593;0,7471457;2,72804;0,3488259;0,1680167;2,725802;0,3539122;0,2280783;2,780692;0,4085808;0,5695546;2,773928;0,2536637;0,4642768;2,75074;0,1352186;0,2105902;2,716873;0,0998936;-0,001249381;2,623834;0,08811861;-0,07186259;2,597545;0,6018771;0,5215148;2,795004;0,7299176;0,7109795;2,73732;0,8142804;0,9356956;2,632977;0,830666;1,011702;2,608502;0,261585;0,09986091;2,705414;-0,006219533;-0,4184793;2,727537;-0,1507428;-0,8029541;2,703272;-0,1695649;-0,8933769;2,654414;0,4125474;0,07973269;2,721252;0,3434572;-0,4511804;2,679768;0,3286286;-0,8427859;2,691116;0,315098;-0,904446;2,638896; 
