;0,4404574;0,7499842;2,706411;0,3550288;0,1552803;2,729872;0,3678331;0,2179765;2,780544;0,4154772;0,5677401;2,764572;0,247135;0,4595042;2,776207;0,1558595;0,2043667;2,760609;0,1143753;-0,005184039;2,667922;0,03684113;0,01458892;2,636186;0,6135186;0,4702495;2,756559;0,8252779;0,5279073;2,647974;0,987859;0,632889;2,514045;1,082297;0,6785805;2,439516;0,2599697;0,08646839;2,727788;-0,01404088;-0,3321461;2,730874;-0,2267311;-0,6929649;2,70077;-0,2848653;-0,7573518;2,629721;0,4264725;0,06122479;2,712939;0,3659807;-0,457992;2,702616;0,3322287;-0,8337567;2,698468;0,3194786;-0,9052429;2,626933; 
0,4401963;0,7507601;2,706429;0,3544038;0,1555162;2,730046;0,3672021;0,2181387;2,780833;0,4147868;0,5677652;2,764968;0,2469671;0,45942;2,776325;0,1556441;0,2044878;2,760636;0,1206132;-0,007912874;2,672734;0,0430705;0,01186226;2,640996;0,6133488;0,4701113;2,756735;0,8242521;0,5274172;2,649559;0,9866707;0,6322387;2,515355;1,080371;0,6784089;2,443721;0,259466;0,08673965;2,727763;-0,02384206;-0,3451872;2,733183;-0,2277716;-0,698386;2,704315;-0,2866849;-0,7583745;2,630061;0,4256337;0,06149439;2,713249;0,3655996;-0,4554316;2,701938;0,3321921;-0,8337634;2,698433;0,3189929;-0,9047471;2,628235; 
0,4395801;0,7487477;2,707746;0,354154;0,1552405;2,730094;0,3669979;0,2178317;2,780999;0,4148929;0,5673969;2,765222;0,2469497;0,4594145;2,776407;0,1551408;0,2044123;2,760569;0,120441;-0,007902041;2,6724;0,04289226;0,01187462;2,640659;0,6131452;0,470072;2,757032;0,8234196;0,5274226;2,651119;0,9859677;0,6324255;2,517336;1,079328;0,6783944;2,446155;0,2590906;0,08648168;2,727929;-0,02071818;-0,3391606;2,732374;-0,2300156;-0,6983453;2,703235;-0,2884658;-0,7591961;2,629259;0,4253232;0,06127853;2,713118;0,3660001;-0,4539596;2,701046;0,3323587;-0,8338404;2,698498;0,319676;-0,9037969;2,63005; 
0,4396145;0,7503014;2,707803;0,3540589;0,1553222;2,730084;0,3668766;0,2178586;2,781084;0,4146767;0,5672235;2,765272;0,2469638;0,459519;2,776571;0,1545553;0,2045655;2,760649;0,1182024;-0,007520467;2,672752;0,0406467;0,01225797;2,641008;0,6129948;0,470134;2,757442;0,8232766;0,5277954;2,651774;0,9857146;0,6326107;2,51776;1,079276;0,6791692;2,446198;0,2590187;0,0867454;2,727823;-0,01906983;-0,3371505;2,732678;-0,2319627;-0,6981275;2,701406;-0,2898225;-0,7600476;2,627813;0,4251711;0,06134281;2,713152;0,3659401;-0,4532422;2,700583;0,3323248;-0,8337104;2,69869;0,3189096;-0,9013121;2,639159; 
0,4305639;0,7446525;2,714019;0,3474459;0,154553;2,734704;0,3608611;0,2172558;2,785459;0,40948;0,5669338;2,76862;0,2394972;0,4540729;2,78209;0,1516209;0,2032623;2,763865;0,1108819;-0,008617371;2,677818;0,03331093;0,01116496;2,646067;0,6078074;0,4705714;2,760635;0,8146485;0,5456958;2,644201;0,9898359;0,6361472;2,516699;1,083256;0,6944065;2,447939;0,2504448;0,08513178;2,735336;-0,01933328;-0,3588865;2,741597;-0,2226081;-0,7139692;2,707036;-0,2820303;-0,7680213;2,628612;0,4196265;0,06076374;2,715866;0,3655185;-0,4542569;2,701903;0,332267;-0,8335636;2,698872;0,318112;-0,8990517;2,642814; 
0,4283127;0,7417023;2,716679;0,3474219;0,1545708;2,735073;0,3611149;0,2170031;2,786011;0,4068581;0,5664766;2,770503;0,2353116;0,4545464;2,786925;0,1500834;0,2030779;2,764714;0,1080684;-0,008796364;2,679516;0,03048466;0,01098923;2,64776;0,6057859;0,4712414;2,761911;0,8142765;0,5466166;2,643271;0,989006;0,6394232;2,517054;1,082641;0,6982347;2,447407;0,2507232;0,08487868;2,735492;-0,01978483;-0,363259;2,742849;-0,2203359;-0,7312286;2,702393;-0,2823378;-0,7775076;2,621034;0,4196523;0,06088559;2,716275;0,3655372;-0,4534273;2,702869;0,3319867;-0,8328056;2,699885;0,318417;-0,8991948;2,642004; 
0,4263103;0,7447414;2,716983;0,345165;0,1550588;2,737002;0,358733;0,2176448;2,78802;0,4052614;0,5675172;2,77204;0,2344282;0,4539837;2,787142;0,1489564;0,2039608;2,766226;0,106176;-0,007715926;2,681013;0,0285797;0,01207285;2,649252;0,6034132;0,4715638;2,763443;0,8141769;0,5468047;2,643081;0,9883024;0,641417;2,517511;1,082711;0,7007392;2,448002;0,2491244;0,08525694;2,736614;-0,01955434;-0,3652751;2,743109;-0,2174628;-0,7348579;2,704952;-0,2781188;-0,7815769;2,622819;0,4168463;0,06162759;2,718894;0,3655034;-0,4536327;2,703097;0,3318254;-0,832338;2,700371;0,3182476;-0,8989456;2,642848; 
0,4247739;0,7451972;2,717786;0,3439581;0,155312;2,737898;0,357281;0,2178438;2,788927;0,4039462;0,5672174;2,77263;0,2331939;0,4527092;2,786697;0,1484612;0,2038067;2,76609;0,1044317;-0,007835895;2,681662;0,02682579;0,01195535;2,649897;0,6020688;0,471951;2,764664;0,8164808;0,5463583;2,650107;0,9860417;0,6436602;2,519986;1,085151;0,7067943;2,454007;0,2480593;0,08546443;2,737413;-0,01530766;-0,3640323;2,743033;-0,2126158;-0,7341464;2,709382;-0,2735332;-0,7809628;2,627465;0,4157152;0,06176919;2,719708;0,3654839;-0,4555553;2,70432;0,3318208;-0,8323591;2,700379;0,3180266;-0,9004557;2,639552; 
0,4181952;0,7477539;2,716428;0,3393418;0,156175;2,739688;0,3517323;0,2190455;2,790374;0,3935804;0,5683381;2,772399;0,228298;0,4549928;2,788206;0,139244;0,2031561;2,770254;0,07239016;-0,002584964;2,686422;-0,005177185;0,01719638;2,654673;0,5977026;0,4734002;2,766788;0,8140925;0,5508452;2,661872;0,9815525;0,6516346;2,531746;1,048143;0,7081514;2,495297;0,2443613;0,08570334;2,739524;-0,004141723;-0,3788132;2,747982;-0,183892;-0,7575938;2,704345;-0,2299717;-0,8135371;2,61852;0,4118953;0,06259749;2,72134;0,3654393;-0,4554684;2,70468;0,3318239;-0,8323985;2,700587;0,317419;-0,8990144;2,642066; 
0,4100322;0,7426979;2,716866;0,3387522;0,1557579;2,739927;0,3505092;0,2185319;2,79064;0,3902785;0,5677933;2,773495;0,2204871;0,4516768;2,786295;0,1369228;0,2017903;2,77386;0,0752148;-0,03414789;2,676847;0,05464546;-0,112794;2,649215;0,5923114;0,4743027;2,767407;0,7994417;0,54557;2,679275;0,9696677;0,6469652;2,543147;1,048068;0,7084541;2,494571;0,2437225;0,08447246;2,739784;-0,001056925;-0,3809882;2,748208;-0,1768479;-0,7618822;2,708733;-0,2251719;-0,8142576;2,621865;0,411775;0,06249647;2,721399;0,3651893;-0,4552194;2,704728;0,3318062;-0,8328498;2,700549;0,3174016;-0,898995;2,642053; 
0,4073793;0,7451807;2,71629;0,3367411;0,1544694;2,740764;0,3484784;0,2176259;2,791389;0,3883706;0,5684011;2,774328;0,2165182;0,4500199;2,786684;0,1347103;0,2003635;2,775903;0,06336644;-0,002323419;2,688065;0,03958514;-0,06988572;2,663491;0,5901144;0,4750611;2,767817;0,7992104;0,5457017;2,679541;0,9695761;0,6484321;2,545188;1,048032;0,7089505;2,493257;0,2420946;0,08232868;2,740116;0,001437567;-0,3905318;2,747783;-0,17253;-0,7692686;2,70587;-0,218223;-0,8222339;2,617901;0,4095302;0,06123414;2,722747;0,3650857;-0,4550767;2,704824;0,3312623;-0,8329118;2,701007;0,3170659;-0,8996288;2,64033; 
0,404273;0,7428071;2,717066;0,3331009;0,1522074;2,742066;0,3450255;0,2158199;2,792657;0,3867207;0,5682306;2,775602;0,2143998;0,4489836;2,786233;0,1328616;0,1999993;2,777266;0,07376954;-0,04141014;2,679764;0,0540722;-0,12188;2,651969;0,5884016;0,4753836;2,768183;0,799123;0,545964;2,679577;0,9685625;0,6498487;2,546106;1,047876;0,7091613;2,493192;0,2386639;0,07935786;2,741293;0,007404013;-0,3900685;2,74664;-0,163332;-0,7697529;2,703122;-0,2103502;-0,8246796;2,617036;0,4053452;0,05902364;2,723947;0,3645701;-0,4541064;2,704985;0,331266;-0,8328801;2,701026;0,3169426;-0,8995366;2,64068; 
0,4014788;0,7415028;2,718175;0,3314353;0,1511762;2,742821;0,3431631;0,2148375;2,793454;0,384564;0,5678958;2,776747;0,2128222;0,4481555;2,786468;0,1309067;0,1996867;2,779212;0,0591316;-0,005294889;2,698843;0,03520656;-0,07362208;2,676757;0,5850536;0,475326;2,768916;0,7982702;0,5465859;2,679734;0,9683561;0,6510044;2,546145;1,046724;0,7098113;2,491917;0,2376262;0,07851005;2,741585;0,01433958;-0,3941807;2,74637;-0,155334;-0,7779604;2,701388;-0,203581;-0,8320138;2,615385;0,4036223;0,05823547;2,725031;0,3645362;-0,4541865;2,70499;0,3307786;-0,8333772;2,701065;0,318444;-0,9009389;2,637053; 
0,3999228;0,7468561;2,717437;0,3303715;0,150956;2,743228;0,3418129;0,2147445;2,793898;0,3814765;0,5689664;2,777392;0,2119949;0,448014;2,786369;0,1295802;0,1990767;2,780231;0,06158707;-0,03612255;2,68397;0,03892269;-0,1145223;2,656586;0,5838028;0,4759877;2,768935;0,7975539;0,5476007;2,679793;0,9670215;0,6524334;2,546398;1,046065;0,7108977;2,491456;0,2369252;0,0782949;2,74179;0,01547387;-0,4001653;2,746483;-0,1350545;-0,7738868;2,714051;-0,1843226;-0,8303098;2,630111;0,4028439;0,05803182;2,725575;0,3641326;-0,4549079;2,705249;0,3299744;-0,835277;2,701398;0,3197011;-0,9030983;2,631925; 
0,397995;0,7454832;2,718761;0,3278337;0,1476399;2,744432;0,3396567;0,2122337;2,795339;0,3802728;0,5693424;2,779701;0,2115626;0,4483824;2,786518;0,1286536;0,1982862;2,780603;0,05683429;-0,007382244;2,702776;0,03289452;-0,0759384;2,681536;0,5804676;0,4760137;2,768937;0,796705;0,5483248;2,679897;0,9654333;0,654449;2,546451;1,045538;0,7125298;2,491253;0,2346696;0,07510106;2,743666;0,01664621;-0,4019072;2,746642;-0,1349808;-0,7754902;2,71137;-0,183694;-0,8330045;2,627792;0,4006025;0,05598334;2,725688;0,3641475;-0,4549316;2,705207;0,3294639;-0,8353586;2,701007;0,3194181;-0,9031236;2,631761; 
0,3964948;0,7451264;2,718335;0,3276042;0,1477993;2,744431;0,339346;0,2123103;2,795449;0,3792306;0,569052;2,779761;0,2102416;0,4477792;2,786645;0,1280876;0,1964772;2,781869;0,07129019;-0,04325157;2,694068;0,05235771;-0,1231612;2,669504;0,579611;0,4765289;2,768935;0,7947209;0,5494866;2,678783;0,9654086;0,6569391;2,545511;1,044145;0,716657;2,486889;0,2346629;0,07511082;2,74366;0,01741546;-0,4031578;2,746781;-0,1340155;-0,7758254;2,710477;-0,1797339;-0,8373581;2,628035;0,400151;0,05616749;2,72565;0,3641302;-0,4554297;2,704362;0,3285956;-0,8396899;2,698369;0,3180553;-0,9053078;2,628615
