;0,440551;0,751312;2,712171;0,3593531;0,1417626;2,731398;0,378451;0,2054825;2,781241;0,4322601;0,564566;2,766918;0,2601351;0,4509661;2,787023;0,1599957;0,2104368;2,804983;0,05941882;0,02422276;2,717045;0,0327534;-0,05044759;2,691283;0,6100792;0,45378;2,734775;0,8222735;0,4515434;2,635023;0,9964993;0,4940556;2,486513;1,035798;0,4892315;2,471746;0,2644526;0,07928842;2,73904;-0,03811863;-0,2370493;2,752699;-0,3276352;-0,5417507;2,695954;-0,3880166;-0,6186736;2,635583;0,4275637;0,04745455;2,706171;0,3656355;-0,4556815;2,696796;0,3341157;-0,835453;2,696848;0,3181875;-0,8990334;2,642817; 
0,4414054;0,7535965;2,712379;0,3593112;0,1420799;2,73182;0,3783567;0,2056966;2,781807;0,4325378;0,5643827;2,767271;0,2603054;0,4509259;2,787062;0,1602613;0,2107559;2,804877;0,05737346;0,02505229;2,719019;0,03379921;-0,04406974;2,695392;0,611093;0,4535397;2,735727;0,8370104;0,4470958;2,627157;1,007954;0,4995727;2,478044;1,035889;0,4894264;2,471807;0,2642768;0,07961805;2,739575;-0,03831044;-0,2370257;2,752719;-0,3265997;-0,5432664;2,695891;-0,3879078;-0,6198056;2,636029;0,427464;0,04758018;2,70634;0,3659342;-0,4555793;2,696936;0,3348912;-0,8351489;2,696958;0,3197246;-0,8999174;2,636964; 
0,4425751;0,7541211;2,711982;0,3594095;0,1420109;2,731615;0,3782982;0,2057;2,781737;0,432794;0,5645285;2,766817;0,2615558;0,4507264;2,785575;0,1596852;0,209933;2,801751;0,05646294;0,0234784;2,718585;0,03378507;-0,04401909;2,695452;0,6119239;0,4535362;2,735809;0,8303768;0,4473383;2,630017;1,005326;0,4943168;2,484165;1,035577;0,4897196;2,471767;0,2645889;0,08010443;2,739088;-0,03817158;-0,2390947;2,750833;-0,3266702;-0,545085;2,689947;-0,3850091;-0,6217361;2,62735;0,4274523;0,04682808;2,706111;0,3660877;-0,4559949;2,696963;0,3347566;-0,8352088;2,696927;0,3204508;-0,9013904;2,638291; 
0,4457167;0,758489;2,712077;0,3600243;0,1426208;2,730806;0,3789226;0,2063259;2,780966;0,4337676;0,5649356;2,76562;0,2619109;0,4507688;2,785326;0,159431;0,2095145;2,801024;0,05630028;0,02294475;2,718295;0,03391353;-0,04401345;2,69534;0,6124892;0,4533114;2,736003;0,8257186;0,4445029;2,634003;1,000053;0,4926482;2,487897;1,035488;0,4901759;2,471773;0,2651646;0,08071027;2,738174;-0,03791879;-0,239859;2,749728;-0,3264879;-0,5460644;2,688259;-0,3837724;-0,6220452;2,623871;0,4278812;0,04737051;2,705503;0,3671171;-0,4624036;2,698767;0,3344472;-0,8368169;2,696737;0,3205287;-0,9041785;2,626846; 
0,4463504;0,7601328;2,711726;0,3600055;0,1430569;2,730639;0,3789535;0,2067766;2,780769;0,4346621;0,565235;2,764844;0,2622611;0,4509175;2,7852;0,1584997;0,2088487;2,800106;0,05568679;0,02198093;2,717855;0,03385563;-0,0439255;2,695256;0,6130935;0,4532121;2,736202;0,83788;0,4416412;2,624772;1,010646;0,4974917;2,479719;1,034383;0,4862226;2,474777;0,2650452;0,08122452;2,738019;-0,03779802;-0,2405899;2,749416;-0,3267188;-0,5465744;2,686047;-0,3831895;-0,6230174;2,621455;0,4276839;0,04776196;2,705405;0,3670331;-0,4623704;2,699033;0,3341936;-0,8356448;2,697792;0,3197531;-0,9037806;2,627976; 
0,4471162;0,7575227;2,712131;0,3603522;0,1429684;2,730289;0,3792948;0,2067707;2,780206;0,4356996;0,5646062;2,763397;0,2624376;0,4503869;2,78443;0,158327;0,208805;2,79882;0,05536571;0,02181742;2,71734;0,03402034;-0,04321473;2,695014;0,6132216;0,4530745;2,736259;0,8310369;0,441488;2,628062;1,005868;0,4937183;2,484375;1,028642;0,4818561;2,482508;0,2653476;0,08122324;2,737553;-0,03816971;-0,2417569;2,748682;-0,327637;-0,54755;2,685375;-0,3836827;-0,6240779;2,620483;0,427874;0,0476594;2,705314;0,3669925;-0,4623459;2,69912;0,3337952;-0,8359972;2,697527;0,3199645;-0,9034663;2,627345; 
0,4477618;0,7560769;2,711346;0,3605361;0,1431832;2,730035;0,3794709;0,2069341;2,77987;0,4357881;0,5645715;2,763228;0,2625171;0,4507885;2,784616;0,1579914;0,2070929;2,797071;0,05439043;0,02011871;2,716773;0,03408031;-0,04311297;2,695018;0,6133522;0,4529392;2,736268;0,8277534;0,4414142;2,631567;1,002162;0,4921016;2,486826;1,028583;0,4816154;2,482449;0,2655549;0,08152409;2,737127;-0,03827693;-0,2421626;2,748097;-0,3278115;-0,5480369;2,68345;-0,3839967;-0,6250137;2,619199;0,4279826;0,0477846;2,705193;0,3669934;-0,4623414;2,699105;0,3336391;-0,8361106;2,697334;0,3185284;-0,9005587;2,633021; 
0,4483197;0,756113;2,710868;0,3607005;0,1434255;2,72978;0,3797143;0,207286;2,779409;0,4371683;0,5649325;2,762355;0,2633188;0,451739;2,784544;0,1577133;0,2070868;2,796607;0,0542759;0,02009748;2,716326;0,03365315;-0,04367827;2,694376;0,6137733;0,452626;2,736373;0,8276467;0,4415946;2,631394;1,002695;0,4913318;2,487263;1,028802;0,4812426;2,482564;0,2656772;0,08189154;2,736758;-0,03829391;-0,2424657;2,748051;-0,3249888;-0,5511265;2,682341;-0,3831047;-0,6264084;2,617772;0,4279934;0,04799843;2,705107;0,3669507;-0,4615667;2,699456;0,3337733;-0,8342102;2,697289;0,3178512;-0,8960743;2,640134; 
0,448822;0,7541092;2,710806;0,3607461;0,1433987;2,729648;0,3797786;0,2072659;2,779164;0,4372958;0,5649133;2,762316;0,2638347;0,4520624;2,784467;0,157326;0,2068212;2,795994;0,05406654;0,01972049;2,71584;0,0336901;-0,04358084;2,694048;0,6140328;0,452561;2,736181;0,8400358;0,4444168;2,617755;1,017781;0,4952596;2,477822;1,028673;0,4768399;2,481546;0,2657267;0,08194377;2,736627;-0,03823168;-0,2427593;2,747444;-0,3261696;-0,550653;2,682763;-0,3831402;-0,6264076;2,617702;0,4279801;0,04793523;2,704945;0,3672968;-0,460808;2,699727;0,3338475;-0,8339704;2,697653;0,3179516;-0,8960884;2,640345; 
0,4488349;0,7541762;2,709987;0,3609161;0,1436687;2,729336;0,3799142;0,2075408;2,778744;0,4374271;0,5650693;2,762041;0,2638532;0,4521951;2,784323;0,1574548;0,2075505;2,795024;0,05424645;0,0200839;2,715998;0,03368351;-0,0435253;2,694016;0,6142502;0,4524554;2,73625;0,8329629;0,4434976;2,622659;1,010932;0,4923977;2,48236;1,027198;0,4757872;2,483445;0,2658226;0,08217728;2,736241;-0,03826249;-0,243016;2,746907;-0,3261436;-0,5512345;2,682315;-0,3830484;-0,6260397;2,616079;0,4281236;0,0481498;2,704758;0,367323;-0,4585555;2,70002;0,334367;-0,8337591;2,697586;0,3196425;-0,8958001;2,641399; 
0,4492437;0,7545429;2,709798;0,3610578;0,1438685;2,729141;0,3800622;0,2078046;2,778436;0,4385965;0,5654768;2,761741;0,2644014;0,452315;2,783532;0,1562082;0,2043229;2,793567;0,05253614;0,01725996;2,714206;0,03366413;-0,04337947;2,693293;0,6144751;0,452399;2,736241;0,8385831;0,4425108;2,619949;1,015131;0,4945459;2,478958;1,028163;0,4746118;2,481714;0,2659547;0,08250195;2,736003;-0,03826005;-0,2432439;2,746754;-0,3271916;-0,5506236;2,681147;-0,3833923;-0,6263268;2,615315;0,4281072;0,04832438;2,704617;0,3667159;-0,4597256;2,70077;0,3343316;-0,8337761;2,697701;0,3181199;-0,8979309;2,644358; 
