;0,4601552;0,734648;2,747305;0,4342498;0,1723077;2,76349;0,4450331;0,2304014;2,815133;0,4541367;0,5595326;2,799886;0,2922388;0,4480923;2,848448;0,2291929;0,1965137;2,854707;0,390103;0,2479152;2,71726;0,4437397;0,265049;2,676009;0,6505939;0,4887033;2,797301;0,801272;0,6516456;2,715452;0,6893405;0,8256853;2,669655;0,6144508;0,8927086;2,654643;0,3494479;0,1074374;2,767723;0,07595479;-0,1395479;2,499777;0,2140994;-0,5355327;2,504493;0,2004131;-0,5733971;2,406634;0,5113368;0,07414475;2,7368;0,4457356;-0,4793045;2,706549;0,4241635;-0,8332962;2,696279;0,4076223;-0,90284;2,608289; 
0,4610837;0,7338592;2,747484;0,4340362;0,1720167;2,76314;0,4449739;0,2301966;2,814901;0,454613;0,5597876;2,799525;0,2920765;0,4481893;2,848279;0,2298294;0,1982308;2,853155;0,392435;0,2448126;2,716039;0,4466369;0,2603399;2,674896;0,6506008;0,488635;2,797026;0,8013828;0,6520231;2,715495;0,6904716;0,826834;2,670424;0,6149632;0,8931191;2,654904;0,3492884;0,1072013;2,767029;0,07611948;-0,1395874;2,498909;0,2143031;-0,5356362;2,504545;0,2006038;-0,573494;2,406701;0,5104634;0,0736843;2,736863;0,4456515;-0,4794207;2,706532;0,4234951;-0,8349177;2,695361;0,4076406;-0,9036369;2,60617; 
0,4619761;0,7335312;2,747566;0,4340285;0,1720678;2,762769;0,4449482;0,2302395;2,814617;0,4546525;0,5599997;2,799273;0,2916734;0,4480958;2,847902;0,2297773;0,1981137;2,852852;0,3938699;0,2469155;2,718617;0,4485675;0,2631827;2,678432;0,6507477;0,4885318;2,796958;0,8012221;0,6523577;2,715501;0,6901453;0,8271008;2,670708;0,6143441;0,8930656;2,654954;0,3492882;0,1073603;2,766182;0,0761486;-0,1394054;2,498345;0,2176683;-0,534197;2,506551;0,2040693;-0,5720433;2,408695;0,5104374;0,07365008;2,73679;0,4456933;-0,4793945;2,706475;0,4241887;-0,8340618;2,696079;0,4076681;-0,9036111;2,606135; 
0,4624034;0,7351725;2,746731;0,4341527;0,1727492;2,762293;0,4450935;0,2306549;2,814401;0,455144;0,5603135;2,799535;0,292794;0,4489818;2,84692;0,2292697;0,1974736;2,852656;0,39311;0,2475124;2,718604;0,4477234;0,264192;2,678478;0,6514821;0,4891611;2,796526;0,8015278;0,6523185;2,715579;0,6904034;0,8269367;2,670313;0,6142443;0,8925455;2,654521;0,3493112;0,1087095;2,765716;0,07669672;-0,1385873;2,498062;0,217069;-0,5338917;2,506723;0,2035841;-0,5716654;2,408831;0,510451;0,07421447;2,736043;0,4452624;-0,4809889;2,706217;0,4241458;-0,8341988;2,695813;0,407988;-0,9042897;2,604759; 
0,4633533;0,7352985;2,746693;0,4342149;0,1729298;2,761418;0,445109;0,2307655;2,813595;0,4543838;0,5599878;2,798483;0,2926966;0,4490442;2,846611;0,2293106;0,1973253;2,852578;0,3933606;0,2492531;2,719635;0,448044;0,2665623;2,679876;0,651139;0,4889208;2,795944;0,8014981;0,6524314;2,7155;0,69083;0,827298;2,670051;0,6147705;0,893141;2,654429;0,3495614;0,1089253;2,764833;0,07666281;-0,1382616;2,49761;0,2156217;-0,5342286;2,505991;0,2020751;-0,5720189;2,408126;0,5105662;0,07451537;2,735417;0,4455005;-0,4807948;2,706101;0,4226223;-0,8338491;2,695859;0,4078866;-0,9042767;2,605297; 
0,4635552;0,7347941;2,747182;0,43432;0,1734206;2,76087;0,4452821;0,2311326;2,813219;0,454537;0,5603533;2,798468;0,2925864;0,4490653;2,846536;0,2293545;0,19631;2,852358;0,3925221;0,2523457;2,720079;0,4469113;0,2710242;2,680539;0,6513525;0,4888843;2,795594;0,8011938;0,6526984;2,715292;0,6909764;0,827759;2,66938;0,6146451;0,893442;2,654118;0,3495742;0,1091493;2,764416;0,07742929;-0,1393272;2,497895;0,2153684;-0,5357833;2,506242;0,2858515;-0,5842753;2,533803;0,5107086;0,07511985;2,734649;0,4460777;-0,4815493;2,706016;0,4226429;-0,8339077;2,695731;0,4079826;-0,9041005;2,605174; 
0,4626312;0,7343529;2,747624;0,4343956;0,1729579;2,760068;0,4455336;0,2306858;2,812592;0,4547801;0,560361;2,798301;0,2918787;0,4482712;2,846555;0,2289644;0,1951272;2,852169;0,3917354;0,2555687;2,721532;0,4459924;0,2757159;2,682537;0,6510659;0,488412;2,79485;0,8007933;0,6528228;2,715054;0,690659;0,8278829;2,668882;0,614121;0,8936115;2,654517;0,3494515;0,1083717;2,763154;0,07713079;-0,1406377;2,497607;0,2194494;-0,5354069;2,50875;0,2865225;-0,5904546;2,532128;0,5107775;0,07483856;2,734126;0,4458975;-0,4814175;2,705621;0,4229548;-0,8342547;2,695575;0,4081123;-0,9040964;2,605849; 
0,4617769;0,7353411;2,748193;0,4343353;0,1732473;2,759457;0,4455098;0,2309505;2,812009;0,4547601;0,5605983;2,797707;0,2916623;0,4482377;2,846444;0,2290624;0,1941721;2,852062;0,3919673;0,2554611;2,722062;0,4462689;0,2758908;2,683276;0,6509994;0,4883909;2,794608;0,8002258;0,6535559;2,714653;0,6903798;0,8288494;2,668772;0,6138519;0,8946353;2,654202;0,3493421;0,1085701;2,762964;0,0777041;-0,1412718;2,497749;0,2210152;-0,5357466;2,509511;0,2847229;-0,5955216;2,530515;0,5108085;0,07503814;2,733048;0,4462309;-0,4809282;2,705403;0,4227965;-0,8342272;2,695571;0,4076732;-0,9034563;2,606931; 
0,4611505;0,7361864;2,748315;0,4342815;0,1738343;2,759143;0,4455816;0,2314975;2,811834;0,455171;0,5628566;2,798779;0,2917677;0,4489306;2,846676;0,2292211;0,194614;2,851864;0,3927067;0,2543648;2,721885;0,4472019;0,2742818;2,683105;0,6511073;0,488503;2,794345;0,8004416;0,6535926;2,714454;0,6899903;0,8283852;2,667934;0,6137362;0,8946443;2,653651;0,3492218;0,1094335;2,762517;0,07814619;-0,1416012;2,498121;0,2226859;-0,5356939;2,51037;0,2087105;-0,57327;2,412568;0,5106941;0,07563673;2,732591;0,4462314;-0,4809271;2,705368;0,4227348;-0,8315754;2,694491;0,4079394;-0,9038908;2,605357; 
0,4607908;0,7359868;2,748194;0,434529;0,1736327;2,758536;0,4458061;0,2312745;2,81134;0,4551037;0,5627341;2,798529;0,2911565;0,4484448;2,846625;0,2293353;0,1948333;2,851868;0,3937537;0,2539008;2,722868;0,4485599;0,2735899;2,684412;0,6510605;0,4886355;2,794065;0,8001794;0,6538438;2,714184;0,6896597;0,8284632;2,666999;0,613351;0,8948042;2,652992;0,3494591;0,1085932;2,761927;0,07781908;-0,1419109;2,497851;0,2212362;-0,5365783;2,509611;0,2071955;-0,5741319;2,411811;0,5112556;0,07566501;2,731619;0,446222;-0,4812002;2,705337;0,4228621;-0,8317113;2,69476;0,4079244;-0,9038935;2,605342; 
0,460636;0,7367875;2,74753;0,4345412;0,1738426;2,758414;0,4458839;0,2313623;2,811285;0,4550193;0,5626187;2,798537;0,2911605;0,4487407;2,846623;0,2294331;0,195432;2,851827;0,3944415;0,2527231;2,722787;0,4494443;0,2718201;2,684315;0,6513501;0,4889894;2,793498;0,8001801;0,6537893;2,714095;0,6893157;0,8281537;2,666751;0,6130596;0,894677;2,652935;0,3494864;0,1087828;2,761809;0,0779945;-0,1417648;2,497855;0,2170987;-0,5381718;2,508835;0,2029211;-0,5757113;2,411062;0,5112715;0,07584084;2,731494;0,4465345;-0,480387;2,705342;0,4228537;-0,8315214;2,694739;0,4079691;-0,9033167;2,606462; 
0,4599118;0,7392635;2,74738;0,4344926;0,1738497;2,758314;0,4458331;0,2313474;2,811244;0,4547931;0,5626181;2,798621;0,2929485;0,449934;2,845966;0,2295481;0,1953351;2,85177;0,3942978;0,2529667;2,722538;0,4492144;0,2721772;2,683999;0,6512535;0,4892669;2,793047;0,7998771;0,6540616;2,713416;0,6886597;0,828203;2,66609;0,6123191;0,8947453;2,652452;0,3495294;0,1089598;2,76174;0,07798693;-0,1414853;2,497951;0,216164;-0,538358;2,508837;0,2798643;-0,5967154;2,533404;0,5110884;0,07599392;2,731275;0,4467227;-0,4801354;2,70535;0,4233423;-0,8313278;2,694942;0,4079403;-0,903245;2,606327; 
0,4599126;0,7387486;2,747428;0,4347089;0,1739868;2,758007;0,4461908;0,2314593;2,810953;0,455;0,5626752;2,79842;0,2911114;0,4502579;2,846997;0,2295916;0,1952903;2,851815;0,3969966;0,2538279;2,726943;0,4527983;0,2733404;2,689856;0,6512114;0,489538;2,792831;0,7996064;0,6542279;2,713266;0,6886577;0,8285377;2,665939;0,612554;0,8954539;2,652454;0,3496107;0,1089191;2,76134;0,07809857;-0,1417241;2,497974;0,2179871;-0,5378419;2,511837;0,2035749;-0,5753523;2,414123;0,5114006;0,07609166;2,731087;0,4467694;-0,4797974;2,705242;0,4206257;-0,8342257;2,69493;0,4080887;-0,9037985;2,604985; 
0,4588202;0,7395428;2,746568;0,434662;0,1743796;2,757994;0,4462048;0,2316984;2,810982;0,454857;0,5626289;2,798632;0,2905613;0,4511107;2,847424;0,2295242;0,1952568;2,851979;0,3981442;0,2546706;2,729434;0,4543509;0,2744752;2,69312;0,6511322;0,4895753;2,792602;0,7995292;0,6550692;2,712531;0,6872202;0,8286498;2,665949;0,6111955;0,8956995;2,652364;0,3495166;0,1094864;2,761579;0,0785161;-0,1417368;2,498469;0,21832;-0,5380768;2,511753;0,2037871;-0,5755634;2,414062;0,5114083;0,07631498;2,730846;0,4468092;-0,4798522;2,705294;0,4206449;-0,8346601;2,694807;0,4080442;-0,9036705;2,604646; 
0,4577274;0,7401251;2,746428;0,4342926;0,1739712;2,757887;0,445842;0,2314653;2,810879;0,4542888;0,562809;2,798309;0,2906565;0,4512424;2,847073;0,2298917;0,1956183;2,852153;0,3981327;0,2530603;2,727978;0,454213;0,2722076;2,691119;0,6511208;0,4894492;2,792291;0,7992877;0,6552084;2,712134;0,6869261;0,8287603;2,665575;0,6103911;0,8951756;2,651383;0,3494354;0,1092362;2,761623;0,07858834;-0,1420332;2,498684;0,2870269;-0,4577289;2,572718;0,2717398;-0,5726528;2,536092;0,5107111;0,07578696;2,730747;0,446734;-0,4804392;2,705436;0,4207737;-0,8345397;2,694911;0,4079273;-0,9037813;2,604192; 
0,4575465;0,7402397;2,746666;0,4342927;0,1739984;2,757788;0,4458684;0,2314781;2,810807;0,4543158;0,5628113;2,798274;0,2905515;0,451183;2,846875;0,2298581;0,1955609;2,852155;0,3986545;0,2519991;2,728315;0,4549199;0,2708118;2,691566;0,6509718;0,4894649;2,791985;0,7986506;0,6551596;2,711903;0,6865446;0,828975;2,665869;0,6077717;0,8926172;2,650987;0,3493801;0,1091169;2,761755;0,07886118;-0,1422303;2,498749;0,2340644;-0,5321339;2,519273;0,2195096;-0,5696726;2,421513;0,5107573;0,07608727;2,729941;0,4467461;-0,4803244;2,705452;0,4209194;-0,8340594;2,694886;0,4069413;-0,9026458;2,608099; 
0,4564238;0,7404579;2,746571;0,4343342;0,1737748;2,757718;0,4459197;0,2312508;2,810789;0,4546945;0,5627152;2,798625;0,2912533;0,451556;2,84638;0,2298529;0,1955564;2,852093;0,398936;0,2516532;2,728519;0,4552971;0,2703521;2,691857;0,650589;0,4894311;2,791779;0,7987047;0,6554781;2,711813;0,685614;0,8285392;2,665157;0,6311625;0,8534963;2,656196;0,349479;0,1089974;2,761718;0,07914436;-0,1427401;2,499134;0,2301169;-0,5345998;2,518063;0,2155919;-0,5721068;2,420274;0,5107102;0,07608063;2,729881;0,446715;-0,4802217;2,7055;0,4210591;-0,8336871;2,695217;0,40708;-0,9025781;2,608168; 
0,456481;0,7406828;2,746466;0,4316598;0,1733537;2,760037;0,4440981;0,2312365;2,812496;0,4545651;0,5627832;2,798678;0,2912605;0,452373;2,847524;0,2300451;0,1958537;2,851916;0,3993989;0,2500836;2,727823;0,4558501;0,2681602;2,690986;0,650177;0,4897258;2,791466;0,7989057;0,6542454;2,711774;0,6863787;0,8277203;2,665355;0,6319638;0,853866;2,656502;0,3479467;0,1089449;2,765283;0,08069491;-0,1422207;2,499163;0,2288491;-0,5352238;2,518425;0,213998;-0,57289;2,420732;0,5037037;0,07536636;2,733505;0,4468235;-0,4805653;2,7061;0,4219735;-0,8329658;2,695237;0,4071897;-0,9025282;2,60745; 
0,4559657;0,74098;2,747371;0,4317247;0,1733826;2,759791;0,4441533;0,231233;2,81233;0,4546305;0,5628006;2,798626;0,2912126;0,4524046;2,847498;0,2301272;0,1962679;2,851436;0,4000167;0,2469009;2,726466;0,4566466;0,2637785;2,689335;0,6499472;0,4896835;2,79142;0,798758;0,6541963;2,71178;0,6861444;0,827672;2,665662;0,6323387;0,8534904;2,656522;0,3479174;0,1088531;2,765264;0,08080631;-0,142264;2,499157;0,2290993;-0,5352941;2,518701;0,2142314;-0,5729507;2,420992;0,5045682;0,07590882;2,731839;0,4469015;-0,480639;2,706162;0,4222357;-0,8330028;2,695201;0,4075643;-0,902775;2,606912; 
0,4553521;0,7411793;2,747963;0,4315838;0,1730066;2,75967;0,4440596;0,230986;2,812277;0,454735;0,5628787;2,798689;0,2926501;0,4532816;2,847194;0,2303225;0,1967293;2,851247;0,400943;0,2457981;2,726695;0,4578166;0,2621543;2,689702;0,6498024;0,4895504;2,791333;0,7985448;0,6543683;2,711738;0,6859984;0,8279583;2,665985;0,6119904;0,8966225;2,649591;0,3479199;0,1087903;2,765164;0,08092099;-0,1425547;2,499425;0,2292852;-0,5356744;2,518953;0,2144386;-0,5733148;2,421246;0,5043817;0,07575639;2,73182;0,4468025;-0,4806215;2,706237;0,4224561;-0,8342874;2,695492;0,406135;-0,9004546;2,624568; 
0,4552164;0,7405828;2,74901;0,4315984;0,1724609;2,759221;0,4441985;0,2305815;2,811924;0,4547985;0,5629386;2,798597;0,2918074;0,4524535;2,84777;0,2302984;0,196564;2,851315;0,4002065;0,2488026;2,727115;0,4568425;0,2662155;2,690237;0,648662;0,4882377;2,790949;0,7985253;0,6543612;2,711715;0,6854184;0,8276056;2,666043;0,6112536;0,8961645;2,649742;0,3475083;0,1077177;2,764598;0,0803394;-0,1431187;2,498751;0,2280025;-0,5365787;2,518568;0,2129087;-0,5741999;2,420894;0,504814;0,07549379;2,731364;0,4466633;-0,4806779;2,706299;0,42353;-0,8336469;2,695104;0,4065768;-0,9010104;2,620123; 
