;0,2982976;0,720425;2,261851;0,2977605;0,1244181;2,219044;0,3137338;0,1824624;2,27545;0,3336426;0,5293452;2,275604;0,156055;0,4114159;2,312682;0,115119;0,1777825;2,36975;0,1731321;0,370225;2,251169;0,2220948;0,411171;2,250756;0,5161411;0,4477672;2,249783;0,6935989;0,5562501;2,198067;0,5359197;0,6919274;2,208277;0,4625791;0,7278411;2,236362;0,2129478;0,05156237;2,229043;-0,1090108;-0,2049433;2,140156;0,1353547;-0,4748577;2,187922;0,1217496;-0,5049676;2,108003;0,3656423;0,03141196;2,181757;0,3004895;-0,483633;2,228775;0,2998317;-0,7965498;2,222538;0,3050994;-0,8534352;2,176281; 
0,2955647;0,7199233;2,259536;0,2957203;0,1242384;2,218116;0,3120947;0,182234;2,274404;0,3325261;0,5291696;2,274571;0,15361;0,4105843;2,312961;0,1148654;0,1763416;2,369498;0,1728786;0,3687841;2,250919;0,2218391;0,4097284;2,250506;0,5144324;0,4483686;2,247665;0,6929904;0,5547672;2,195318;0,4779994;0,6931415;2,23698;0,404662;0,7290537;2,265064;0,2109988;0,05124836;2,228655;-0,1095015;-0,2072742;2,141907;-0,01974231;-0,4737666;2,149675;0,07804967;-0,4708372;2,167516;0,3634462;0,03075554;2,179724;0,2991261;-0,483805;2,227777;0,2989466;-0,797357;2,221854;0,3040313;-0,8536456;2,174855; 
0,2933053;0,7193407;2,257067;0,2949791;0,1234722;2,217682;0,3113227;0,1816157;2,273853;0,3307123;0,5287318;2,273293;0,1523039;0,4093825;2,312495;0,1148838;0,1761589;2,369327;0,172897;0,3686014;2,25075;0,2218555;0,4095439;2,250337;0,5130742;0,4479081;2,246131;0,6917781;0,5538573;2,193423;0,457487;0,6962979;2,250205;0,3841527;0,7322086;2,278288;0,2104738;0,05027293;2,228789;-0,1099693;-0,2079776;2,142287;-0,01912402;-0,4739707;2,149863;0,07865671;-0,4705116;2,167653;0,3629149;0,0297771;2,178565;0,2974291;-0,4815927;2,22621;0,2975225;-0,7979357;2,221344;0,3039379;-0,8540161;2,174263; 
0,2921774;0,7187719;2,25561;0,29312;0,1232043;2,217657;0,3096292;0,1813578;2,273691;0,3294843;0,5282943;2,272641;0,1512114;0,4085894;2,312212;0,11489;0,1760616;2,36934;0,1729032;0,368504;2,250766;0,2218596;0,4094448;2,250353;0,5123404;0,4483032;2,245116;0,6913527;0,5536381;2,192516;0,4579006;0,6962682;2,251344;0,3845694;0,7321774;2,279426;0,20887;0,05024097;2,228764;-0,1106266;-0,2088006;2,14246;-0,01851095;-0,4742245;2,149842;0,07924035;-0,4701255;2,167631;0,3610424;0,02918991;2,178691;0,297359;-0,4804149;2,225119;0,2982314;-0,7981972;2,219899;0,30403;-0,8548226;2,173399; 
0,2918097;0,7185224;2,255022;0,2922566;0,1230169;2,217372;0,3089519;0,1812432;2,273322;0,3291065;0,5283323;2,27199;0,1504909;0,4081101;2,312011;0,1146211;0,1758656;2,369132;0,1726342;0,368308;2,25056;0,2215886;0,4092471;2,250148;0,5116896;0,4483549;2,244135;0,6907698;0,5535462;2,191929;0,4572492;0,6968249;2,248923;0,383921;0,7327327;2,277004;0,2079312;0,05019297;2,228558;-0,1109043;-0,2093416;2,142551;-0,017767;-0,4742666;2,149793;0,07998541;-0,4701953;2,167554;0,3602603;0,02884437;2,178448;0,2965398;-0,4829982;2,224938;0,2979774;-0,798716;2,219524;0,3038986;-0,855286;2,172979; 
0,2908709;0,7180825;2,253276;0,2914875;0,1230193;2,216787;0,3083559;0,1811747;2,27267;0,328597;0,5279011;2,271197;0,1496245;0,407986;2,312018;0,1144852;0,1752306;2,369424;0,1724983;0,367673;2,250855;0,2214509;0,4086105;2,250443;0,5108768;0,4484692;2,243016;0,6902244;0,5531584;2,191124;0,4577886;0,697109;2,249981;0,3844633;0,7330153;2,27806;0,2071259;0,05011633;2,228287;-0,1114785;-0,2094429;2,142742;-0,01816906;-0,4742224;2,149442;0,0795918;-0,4704866;2,167192;0,3594484;0,02870873;2,177324;0,2961837;-0,4830007;2,224653;0,2956644;-0,8007224;2,2195;0,3040057;-0,8561913;2,172017; 
0,2906724;0,7180426;2,252799;0,2908446;0,1230962;2,216322;0,3077682;0,1811858;2,272176;0,3276546;0,5276329;2,270794;0,1479385;0,4078938;2,312444;0,1140602;0,1751431;2,369219;0,1720733;0,3675856;2,250652;0,2210241;0,4085216;2,25024;0,5104665;0,448562;2,242257;0,689881;0,552896;2,189865;0,536016;0,6929617;2,196228;0,4626933;0,7288668;2,224307;0,2064637;0,04998903;2,227996;-0,1117865;-0,2097079;2,142825;0,07239144;-0,540443;2,171563;0,1674335;-0,5627143;2,190433;0,3589489;0,02858682;2,176418;0,2961915;-0,4830453;2,224416;0,2960726;-0,799876;2,218822;0,3037866;-0,8560963;2,17213; 
0,2898997;0,718107;2,25175;0,2904564;0,1230073;2,216035;0,3073025;0,1810776;2,271866;0,3264515;0,5273094;2,270518;0,1477313;0,4075734;2,31198;0,1138118;0,1749593;2,369054;0,1718249;0,3674018;2,25049;0,220774;0,4083365;2,250078;0,5100017;0,4488277;2,241598;0,6895828;0,5527609;2,189229;0,5359765;0,6929418;2,196148;0,4626563;0,7288455;2,224226;0,206323;0,04994053;2,227902;-0,1119652;-0,2093602;2,142857;0,07403553;-0,5392712;2,170942;0,1696593;-0,5589758;2,189694;0,3585927;0,02844056;2,17583;0,296211;-0,4833481;2,224229;0,2959544;-0,8001885;2,218591;0,3036075;-0,8563879;2,171871; 
0,2901163;0,7182235;2,251082;0,2894103;0,1228673;2,216019;0,3064705;0,1809069;2,271774;0,3259533;0,5270587;2,270313;0,1474526;0,407593;2,311974;0,1134799;0,1745036;2,368905;0,171493;0,3669461;2,250344;0,2204404;0,4078792;2,249932;0,5093265;0,4486529;2,240577;0,6894208;0,5520763;2,188251;0,5363892;0,6926706;2,196038;0,4630716;0,7285731;2,224115;0,2052265;0,05009099;2,22788;-0,1125641;-0,2094259;2,142814;0,07271639;-0,5398923;2,170516;0,1683675;-0,5594118;2,189289;0,3575555;0,02812109;2,17593;0,2961138;-0,4835051;2,224013;0,2958971;-0,8002201;2,218588;0,3035456;-0,8563588;2,171802; 
0,2895988;0,71898;2,250334;0,2890421;0,1229368;2,215921;0,3061788;0,1809825;2,271627;0,3257171;0,5270854;2,270038;0,1471368;0,4072071;2,311443;0,1132729;0,1739074;2,368911;0,171286;0,3663498;2,250352;0,2202316;0,4072816;2,249941;0,5087963;0,4488649;2,23969;0,6892105;0,5520306;2,186939;0,5352443;0,6915733;2,194391;0,4619293;0,7274745;2,222466;0,2047184;0,05013158;2,227864;-0,1128363;-0,2092957;2,14272;0,07269184;-0,5396491;2,170735;0,1684092;-0,5588084;2,189515;0,3573397;0,02822711;2,175843;0,296185;-0,4847107;2,223939;0,2967835;-0,7987;2,217973;0,3032294;-0,8559399;2,172361; 
0,2895398;0,7188902;2,250038;0,2886341;0,1231973;2,21564;0,3059523;0,1812001;2,27133;0,3257938;0,5272752;2,26975;0,146894;0,4072795;2,311341;0,1131152;0,1731215;2,368761;0,1711283;0,365564;2,250206;0,2200722;0,4064943;2,249794;0,5085776;0,4485424;2,238888;0,6894702;0,5521234;2,185935;0,5355903;0,6915911;2,19398;0,4622778;0,7274911;2,222054;0,2040091;0,05014801;2,227816;-0,1136082;-0,2087774;2,142426;0,1372017;-0,470372;2,187116;0,1374715;-0,5696511;2,19367;0,3569208;0,02870272;2,175197;0,2966726;-0,4857633;2,224007;0,2968203;-0,798346;2,217803;0,3031047;-0,8558003;2,172332; 
