;-0,05449668;0,6886585;2,666232;-0,03358138;0,06826662;2,613595;-0,03670728;0,1274742;2,676889;-0,036819;0,4942189;2,693595;-0,2224652;0,3709346;2,68304;-0,2852792;0,1233981;2,657306;-0,32208;-0,07526778;2,5247;-0,3203316;-0,1458565;2,491396;0,1295606;0,3931143;2,705173;0,2081482;0,1034923;2,697474;0,2469414;-0,1150253;2,60879;0,2458449;-0,1759178;2,586677;-0,1095713;-0,0107284;2,588618;-0,11893;-0,4967118;2,624909;-0,1080308;-0,8457546;2,60095;-0,1470241;-0,916033;2,539872;0,04359261;-0,008518899;2,603955;0,1245717;-0,5170151;2,613996;0,1931424;-0,8482109;2,602872;0,2394684;-0,9060562;2,554627; 
-0,05446783;0,688553;2,666519;-0,03344157;0,06847008;2,613523;-0,03666604;0,1275915;2,676836;-0,03707113;0,4942521;2,693623;-0,2224732;0,3709452;2,68284;-0,2875591;0,1257514;2,655328;-0,3275677;-0,070471;2,51971;-0,3206704;-0,1458424;2,491296;0,1294651;0,3930026;2,70506;0,2081673;0,1034722;2,697385;0,246713;-0,114615;2,607306;0,2535296;-0,1762538;2,585462;-0,1093309;-0,01030904;2,587896;-0,1189609;-0,4965172;2,624493;-0,1077039;-0,8455451;2,601139;-0,1468659;-0,916109;2,540308;0,04404597;-0,00826462;2,604265;0,1241985;-0,5184124;2,613722;0,1915718;-0,8455166;2,602484;0,2376151;-0,9050553;2,553225; 
-0,0548157;0,6885238;2,666138;-0,03323609;0,06886786;2,613527;-0,03658391;0,1279028;2,676814;-0,03712856;0,494321;2,693569;-0,2225427;0,3712097;2,682511;-0,2910988;0,1295625;2,650914;-0,3350815;-0,06715353;2,517497;-0,3263124;-0,1450815;2,489987;0,1294436;0,392953;2,705007;0,2087813;0,1046273;2,696109;0,2502275;-0,1111983;2,601217;0,2511032;-0,1725631;2,575422;-0,1091364;-0,009875953;2,587539;-0,1182513;-0,4973486;2,623743;-0,1073595;-0,8461765;2,600539;-0,1469903;-0,9161806;2,54032;0,04447837;-0,007876887;2,604704;0,1233993;-0,5203903;2,613088;0,1887323;-0,8451455;2,597703;0,2340458;-0,9104668;2,527495; 
-0,05486268;0,6884794;2,66604;-0,03315747;0,06881788;2,613277;-0,03653478;0,1279288;2,676544;-0,03719367;0,4945458;2,693071;-0,2225319;0,371577;2,681749;-0,2931935;0,1294863;2,647168;-0,3375497;-0,06814088;2,515416;-0,3315088;-0,1461665;2,490469;0,1294474;0,3920783;2,704044;0,2100378;0,1055669;2,693684;0,258407;-0,1042388;2,587497;0,2604398;-0,1642557;2,553398;-0,1091013;-0,009946315;2,587339;-0,1177036;-0,4975071;2,622869;-0,1071816;-0,8460373;2,599828;-0,1469759;-0,9162062;2,540315;0,04460835;-0,007920594;2,604495;0,1226854;-0,5212903;2,611741;0,1823593;-0,8457642;2,592741;0,2334344;-0,9131424;2,520445; 
-0,05474142;0,6882777;2,665635;-0,03287016;0,06922187;2,613018;-0,0364401;0,1282214;2,676267;-0,03735011;0,4942976;2,692451;-0,2223383;0,371753;2,680909;-0,294767;0,1299237;2,641991;-0,341498;-0,06968695;2,514621;-0,339529;-0,1469057;2,490954;0,1300846;0,3921053;2,703833;0,2135502;0,1138983;2,691869;0,2629992;-0,09513885;2,584524;0,2658241;-0,1588054;2,549872;-0,1088;-0,009486168;2,586359;-0,1170656;-0,4958979;2,620707;-0,1068648;-0,8444173;2,59972;-0,1470904;-0,9157526;2,540195;0,04508803;-0,007802004;2,60467;0,1215348;-0,5227862;2,609134;0,1807967;-0,8463418;2,591896;0,2319078;-0,9143872;2,517956; 
-0,05390133;0,6895112;2,665061;-0,03109911;0,07059421;2,612023;-0,03528632;0,1293176;2,675185;-0,03647932;0,4942994;2,691187;-0,2209361;0,3725452;2,679404;-0,2944022;0,1330768;2,638703;-0,3432518;-0,06831612;2,515511;-0,3434318;-0,1489643;2,491654;0,1345646;0,3910595;2,704987;0,2200502;0,1226065;2,688783;0,2681953;-0,08613876;2,580142;0,2794245;-0,1527203;2,540865;-0,1074785;-0,008313764;2,584193;-0,1167904;-0,495137;2,619182;-0,1065754;-0,8442506;2,599307;-0,1471365;-0,9152818;2,540278;0,0476748;-0,007298571;2,604689;0,1207495;-0,5248692;2,607082;0,1806823;-0,8465229;2,591218;0,2315164;-0,915319;2,517008; 
-0,05212004;0,6876651;2,664144;-0,02803165;0,07080058;2,610493;-0,03262217;0,1294663;2,673659;-0,03446051;0,494298;2,690025;-0,2187248;0,3715591;2,676659;-0,2935031;0,1321853;2,635731;-0,3443891;-0,07036144;2,515707;-0,3467951;-0,1507622;2,495337;0,1365051;0,3907931;2,704194;0,2237564;0,1265124;2,686129;0,2703348;-0,08154143;2,575238;0,2876172;-0,1546528;2,527375;-0,104613;-0,00853113;2,581696;-0,1164622;-0,4950895;2,618013;-0,1058297;-0,8440281;2,59919;-0,147114;-0,9151624;2,540414;0,05143055;-0,007335625;2,603867;0,1211101;-0,5264331;2,60616;0,1827558;-0,8480075;2,590853;0,2320229;-0,9157535;2,516803; 
-0,04844413;0,6874931;2,661897;-0,02489546;0,07050653;2,609023;-0,03005351;0,1290915;2,672215;-0,03256357;0,4938276;2,689021;-0,212012;0,3732313;2,672711;-0,2905766;0,1302778;2,633474;-0,343062;-0,07405145;2,517813;-0,3454662;-0,1554702;2,501577;0,1424648;0,388379;2,701776;0,2262557;0,1305037;2,684837;0,2766604;-0,07499479;2,570497;0,2949103;-0,1486066;2,523701;-0,1009733;-0,008746536;2,579576;-0,1139861;-0,4951336;2,616149;-0,1054904;-0,8437013;2,598877;-0,1470302;-0,9149206;2,540309;0,05441405;-0,00779076;2,602884;0,1219157;-0,5272113;2,605461;0,1835051;-0,8483949;2,590091;0,231854;-0,9157881;2,516508; 
-0,04351153;0,6856488;2,659986;-0,02112183;0,07036795;2,607234;-0,02632635;0,1289233;2,670414;-0,02932153;0,4934672;2,687289;-0,2075163;0,3742966;2,671165;-0,2878166;0,1290406;2,632264;-0,3426654;-0,07595684;2,519298;-0,3441692;-0,1560201;2,504249;0,1472497;0,386629;2,699523;0,2298714;0,1327271;2,682876;0,2852525;-0,07534269;2,560683;0,2999195;-0,1476028;2,521689;-0,09705618;-0,008833505;2,577308;-0,1098942;-0,4989255;2,614187;-0,1048614;-0,8447321;2,59762;-0,1470385;-0,9150225;2,540138;0,05808039;-0,008071657;2,601613;0,1230311;-0,5265239;2,605202;0,1827452;-0,8500648;2,588967;0,2324607;-0,9161558;2,51585; 
-0,03748832;0,6840312;2,659492;-0,01714368;0,07056221;2,604835;-0,02216895;0,1292421;2,668015;-0,02519334;0,49418;2,684875;-0,2017647;0,3741028;2,668476;-0,2814054;0,126567;2,632946;-0,3347925;-0,08367509;2,523888;-0,3333585;-0,1640752;2,511504;0,1566497;0,3839812;2,695591;0,2322055;0,1334717;2,681797;0,2857021;-0,0717375;2,560911;0,3049614;-0,1448338;2,51777;-0,0941481;-0,008672525;2,575366;-0,1072456;-0,501068;2,611372;-0,104242;-0,8450252;2,597477;-0,1469913;-0,9151223;2,540106;0,06314971;-0,008469054;2,598726;0,1243364;-0,5267025;2,604997;0,1828173;-0,8501523;2,588955;0,2324085;-0,9163066;2,515763; 
-0,03310136;0,6870164;2,657662;-0,012573;0,06979892;2,602023;-0,01812983;0,1285406;2,665749;-0,02120534;0,4953147;2,685151;-0,1934681;0,3730679;2,665199;-0,2756224;0,1234298;2,635172;-0,3280931;-0,08834017;2,530778;-0,319977;-0,1677818;2,51652;0,1585358;0,3846956;2,694316;0,2391718;0,1316769;2,679303;0,2932423;-0,06886664;2,557247;0,3112081;-0,1436877;2,512151;-0,08849384;-0,008889407;2,572393;-0,1019591;-0,5044714;2,608757;-0,1039247;-0,8449186;2,59698;-0,1473764;-0,9152625;2,538321;0,0667504;-0,008294535;2,595477;0,1262236;-0,5271423;2,604926;0,1828521;-0,8502865;2,588994;0,2324167;-0,9162296;2,516004; 
